RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,26851,Marc Leishman,66.00,66,1
1,0,24138,Ian Poulter,66.00,66,1
3,0,25562,Andres Romero,67.50,135,2
4,0,10885,Robert Allenby,67.67,203,3
4,0,20157,Retief Goosen,67.67,203,3
6,0,28089,Jason Day,67.75,271,4
7,0,29910,Blake Adams,67.83,407,6
8,0,06522,Ernie Els,68.00,68,1
8,0,08537,J.P. Hayes,68.00,136,2
10,0,25364,Paul Casey,68.20,341,5
11,0,25686,Jason Dufner,68.33,410,6
11,0,24490,George McNeill,68.33,205,3
13,0,23623,Bo Van Pelt,68.67,412,6
14,0,33419,Cameron Tringale,68.75,275,4
15,0,20436,Garrett Willis,68.80,344,5
16,0,22913,John Rollins,68.83,413,6
17,0,06621,Joe Durant,69.00,414,6
17,0,12716,Charley Hoffman,69.00,414,6
17,0,01619,Skip Kendall,69.00,207,3
20,0,26695,Michael Letzig,69.10,691,10
21,0,06567,Vijay Singh,69.25,277,4
22,0,27936,Martin Laird,69.40,347,5
22,0,22293,Heath Slocum,69.40,347,5
24,0,23135,Tim Clark,69.50,417,6
25,0,11123,Chris Couch,69.57,487,7
25,0,23638,Brendon de Jonge,69.57,487,7
27,0,26420,Richard Johnson,69.67,209,3
27,0,02206,David Toms,69.67,209,3
27,0,27095,Nick Watney,69.67,418,6
30,0,24357,K.J. Choi,69.75,279,4
30,0,09011,David Duval,69.75,279,4
30,0,24502,Adam Scott,69.75,279,4
30,0,28780,Nicholas Thompson,69.75,279,4
30,0,23349,Charles Warren,69.75,279,4
35,0,24846,Ricky Barnes,69.80,698,10
35,0,26300,Matt Jones,69.80,349,5
35,0,23800,Bryce Molder,69.80,349,5
35,0,12602,Dean Wilson,69.80,349,5
39,0,01948,Tim Petrovic,69.82,768,11
40,0,21961,Charles Howell III,69.86,489,7
41,0,29221,Webb Simpson,69.88,559,8
41,0,23788,D.J. Trahan,69.88,559,8
43,0,20848,Ángel Cabrera,70.00,140,2
43,0,27141,J.B. Holmes,70.00,420,6
43,0,06515,Shaun Micheel,70.00,350,5
43,0,25345,Carl Pettersson,70.00,630,9
43,0,12755,Vance Veazey,70.00,70,1
43,0,23322,Brett Wetterich,70.00,210,3
49,0,01724,Jeff Maggert,70.14,491,7
50,0,27933,John Merrick,70.17,421,6
51,0,28307,Matt Every,70.20,351,5
52,0,20160,Charlie Wi,70.22,632,9
53,0,08725,Tom Gillis,70.27,773,11
54,0,07749,Brett Quigley,70.29,492,7
55,0,27466,Spencer Levin,70.30,703,10
56,0,01249,John Daly,70.33,211,3
56,0,06251,Chris DiMarco,70.33,422,6
56,0,24912,Will MacKenzie,70.33,422,6
56,0,27302,Garth Mulroy,70.33,211,3
60,0,23673,Michael Connell,70.40,352,5
61,0,24925,Jonathan Byrd,70.43,493,7
62,0,01313,Steve Elkington,70.50,423,6
62,0,23108,Matt Kuchar,70.50,282,4
62,0,20572,Rod Pampling,70.50,141,2
62,0,24361,Pat Perez,70.50,282,4
62,0,01945,Kenny Perry,70.50,282,4
62,0,20645,John Senden,70.50,705,10
62,0,26679,Kevin Stadler,70.50,705,10
62,0,27330,Josh Teater,70.50,564,8
62,0,24663,Y.E. Yang,70.50,282,4
71,0,25240,D.A. Points,70.57,494,7
71,0,27214,Kevin Streelman,70.57,494,7
73,0,24924,Bill Haas,70.58,847,12
74,0,22056,Cameron Percy,70.60,353,5
75,0,21350,Ryuji Imada,70.64,777,11
76,0,23541,Ben Crane,70.67,424,6
76,0,22046,Geoff Ogilvy,70.67,212,3
78,0,20472,Alex Cejka,70.75,566,8
78,0,30946,Alex Prugh,70.75,566,8
80,0,07457,Steve Flesch,70.80,354,5
81,0,23307,Roger Tambellini,70.83,425,6
82,0,27649,Brandt Snedeker,70.86,496,7
83,0,32640,Troy Merritt,70.88,567,8
84,0,19846,Brian Gay,70.89,638,9
85,0,21949,Joe Ogilvie,70.90,709,10
86,0,07867,Woody Austin,71.00,355,5
86,0,01116,Michael Bradley,71.00,426,6
86,0,01797,Rocco Mediate,71.00,355,5
86,0,25396,Kevin Na,71.00,426,6
86,0,26301,James Nitties,71.00,426,6
86,0,25818,Scott Piercy,71.00,497,7
86,0,28620,Aron Price,71.00,284,4
86,0,20127,Chris Riley,71.00,355,5
86,0,26882,Michael Sim,71.00,497,7
86,0,20686,Jeev Milkha Singh,71.00,426,6
86,0,26287,Roland Thatcher,71.00,781,11
86,0,10425,Jay Williamson,71.00,71,1
98,0,23325,Vaughn Taylor,71.10,711,10
99,0,10585,Scott McCarron,71.13,569,8
100,0,10860,Justin Leonard,71.20,356,5
101,0,26392,Chris Wilson,71.22,641,9
102,0,22621,Ben Curtis,71.25,285,4
103,0,28500,Martin Flores,71.29,499,7
104,0,20105,Jeff Gove,71.33,428,6
104,0,12782,Tim Herron,71.33,642,9
104,0,26596,Ryan Moore,71.33,214,3
104,0,23621,Rory Sabbatini,71.33,214,3
108,0,26951,Johnson Wagner,71.38,571,8
109,0,23409,James Driscoll,71.40,357,5
109,0,08075,Jerry Kelly,71.40,357,5
111,0,22122,Andrew McLardy,71.43,500,7
112,0,20229,Stewart Cink,71.50,286,4
112,0,32102,Rickie Fowler,71.50,286,4
112,0,21209,Sergio Garcia,71.50,143,2
112,0,24781,Hunter Mahan,71.50,286,4
112,0,22405,Justin Rose,71.50,143,2
112,0,12714,Chris Tidland,71.50,429,6
118,0,27797,Derek Lamely,71.57,501,7
119,0,20498,Briny Baird,71.60,358,5
119,0,30925,Dustin Johnson,71.60,358,5
119,0,28475,Jeff Overton,71.60,358,5
122,0,28087,Kris Blanks,71.64,1003,14
123,0,24507,Jason Bohn,71.67,430,6
123,0,01320,Bob Estes,71.67,430,6
123,0,24358,Robert Garrigus,71.67,430,6
123,0,20766,Padraig Harrington,71.67,215,3
123,0,28158,Steve Marino,71.67,430,6
123,0,27770,Camilo Villegas,71.67,215,3
129,0,27963,Chris Stroud,71.71,502,7
130,0,01161,Mark Calcavecchia,71.75,287,4
130,0,24140,Sean O'Hair,71.75,287,4
132,0,25632,Jimmy Walker,71.78,646,9
133,0,23353,J.J. Henry,71.80,718,10
133,0,26289,Boo Weekley,71.80,718,10
135,0,20593,Greg Chalmers,71.83,431,6
135,0,01766,Billy Mayfair,71.83,431,6
137,0,01941,Tom Pernice Jr.,71.86,503,7
138,0,21753,Brian Davis,72.00,360,5
138,0,23983,Luke Donald,72.00,288,4
138,0,23718,Nathan Green,72.00,360,5
138,0,01577,Lee Janzen,72.00,360,5
138,0,24024,Zach Johnson,72.00,360,5
138,0,12705,Cliff Kresge,72.00,432,6
138,0,26881,Jarrod Lyle,72.00,360,5
138,0,01810,Phil Mickelson,72.00,72,1
146,0,27060,John Mallinger,72.11,649,9
147,0,12510,Chad Campbell,72.17,433,6
147,0,25190,Jeff Quinney,72.17,433,6
149,0,22378,Trevor Immelman,72.25,289,4
150,0,25720,Chad Collins,72.33,434,6
150,0,01329,Brad Faxon,72.33,217,3
150,0,06012,Greg Kraft,72.33,217,3
150,0,08375,Paul Stankowski,72.33,217,3
150,0,02239,Scott Verplank,72.33,434,6
155,0,24227,Justin Bolli,72.50,580,8
155,0,28237,Rory McIlroy,72.50,290,4
157,0,23613,Rich Barcelo,72.55,798,11
158,0,22371,Aaron Baddeley,72.60,363,5
159,0,20663,Brenden Pappas,72.63,581,8
159,0,32617,Jerod Turner,72.63,581,8
161,0,06004,Stephen Ames,72.67,436,6
161,0,20098,Stuart Appleby,72.67,436,6
163,0,21878,Mark Wilson,72.71,509,7
164,0,22946,Henrik Bjornstad,72.75,291,4
164,0,21731,Freddie Jacobson,72.75,291,4
164,0,06595,Kevin Sutherland,72.75,291,4
167,0,20070,Matt Bettencourt,72.80,728,10
167,0,23320,Ryan Palmer,72.80,364,5
167,0,25892,Steve Wheatcroft,72.80,364,5
170,0,27613,David Lutterus,72.86,510,7
171,0,27120,Troy Matteson,72.88,583,8
