RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,23983,Luke Donald,1.094,56.900,52
2,0,12510,Chad Campbell,.987,85.887,87
3,0,01810,Phil Mickelson,.900,52.180,58
4,0,29221,Webb Simpson,.755,62.666,83
5,0,23108,Matt Kuchar,.698,49.586,71
6,0,24357,K.J. Choi,.689,39.951,58
7,0,02206,David Toms,.669,39.486,59
8,0,23621,Rory Sabbatini,.657,40.089,61
9,0,10809,Jim Furyk,.643,44.997,70
10,0,06522,Ernie Els,.635,37.484,59
11,0,30926,Chris Kirk,.611,47.031,77
12,0,27095,Nick Watney,.604,37.476,62
13,0,07867,Woody Austin,.588,29.384,50
14,0,24846,Ricky Barnes,.584,37.364,64
15,0,28087,Kris Blanks,.576,47.846,83
16,0,06527,Steve Stricker,.538,28.535,53
17,0,01706,Davis Love III,.528,27.453,52
18,0,30110,Kyle Stanley,.515,41.228,80
19,0,27466,Spencer Levin,.508,47.745,94
19,0,22405,Justin Rose,.508,32.000,63
21,0,10885,Robert Allenby,.494,34.568,70
21,0,06621,Joe Durant,.494,31.596,64
23,0,21753,Brian Davis,.493,45.312,92
24,0,26289,Boo Weekley,.492,28.053,57
25,0,26476,Chez Reavie,.461,37.832,82
26,0,28620,Aron Price,.453,22.201,49
26,0,20645,John Senden,.453,36.674,81
28,0,06643,Paul Goydos,.452,33.463,74
29,0,01116,Michael Bradley,.448,26.436,59
30,0,23788,D.J. Trahan,.405,33.626,83
31,0,26679,Kevin Stadler,.400,29.176,73
32,0,27770,Camilo Villegas,.399,22.770,57
33,0,20229,Stewart Cink,.396,20.590,52
34,0,27141,J.B. Holmes,.388,18.218,47
34,0,19970,Robert Karlsson,.388,17.456,45
36,0,06251,Chris DiMarco,.383,31.432,82
37,0,31323,Gary Woodland,.380,26.608,70
38,0,24024,Zach Johnson,.349,22.350,64
39,0,23623,Bo Van Pelt,.344,24.433,71
40,0,22293,Heath Slocum,.339,25.113,74
41,0,21961,Charles Howell III,.333,30.309,91
42,0,23638,Brendon de Jonge,.312,28.683,92
42,0,21209,Sergio Garcia,.312,14.043,45
44,0,27214,Kevin Streelman,.305,21.631,71
45,0,26331,Charl Schwartzel,.287,11.481,40
46,0,25396,Kevin Na,.286,19.426,68
47,0,24358,Robert Garrigus,.280,19.330,69
48,0,25632,Jimmy Walker,.271,20.627,76
49,0,06573,Brandt Jobe,.262,21.216,81
50,0,06567,Vijay Singh,.260,18.722,72
51,0,20472,Alex Cejka,.259,12.185,47
52,0,20498,Briny Baird,.252,12.363,49
53,0,24925,Jonathan Byrd,.248,17.871,72
53,0,25686,Jason Dufner,.248,16.135,65
55,0,30692,Scott Stallings,.244,16.866,69
56,0,21407,Arjun Atwal,.241,20.024,83
57,0,25818,Scott Piercy,.240,15.122,63
58,0,27936,Martin Laird,.234,14.490,62
59,0,27963,Chris Stroud,.230,17.957,78
60,0,24138,Ian Poulter,.222,8.673,39
61,0,20157,Retief Goosen,.212,8.472,40
62,0,20766,Padraig Harrington,.209,9.404,45
62,0,29518,Brendan Steele,.209,16.123,77
64,0,12716,Charley Hoffman,.200,14.791,74
65,0,10505,Shane Bertsch,.199,10.340,52
66,0,22371,Aaron Baddeley,.196,12.170,62
67,0,30925,Dustin Johnson,.195,10.519,54
68,0,32102,Rickie Fowler,.194,12.834,66
69,0,25804,Bubba Watson,.193,11.397,59
70,0,26596,Ryan Moore,.192,11.506,60
71,0,27649,Brandt Snedeker,.191,12.783,67
71,0,23325,Vaughn Taylor,.191,15.813,83
73,0,28158,Steve Marino,.184,11.406,62
74,0,24507,Jason Bohn,.167,11.170,67
74,0,30750,Tommy Gainey,.167,15.228,91
76,0,23541,Ben Crane,.162,10.067,62
77,0,08075,Jerry Kelly,.161,10.939,68
78,0,25345,Carl Pettersson,.147,13.207,90
79,0,24140,Sean O'Hair,.140,8.422,60
80,0,27933,John Merrick,.134,8.019,60
81,0,22348,Nick O'Hern,.127,9.677,76
82,0,20848,Ángel Cabrera,.126,4.402,35
83,0,22913,John Rollins,.124,8.925,72
84,0,19846,Brian Gay,.117,8.629,74
85,0,01766,Billy Mayfair,.116,9.877,85
86,0,21731,Freddie Jacobson,.105,7.322,70
87,0,29718,Anthony Kim,.103,5.956,58
88,0,24502,Adam Scott,.102,4.603,45
89,0,22378,Trevor Immelman,.085,5.728,67
90,0,32366,Kevin Chappell,.082,5.006,61
91,0,23353,J.J. Henry,.080,6.356,79
92,0,12602,Dean Wilson,.073,4.148,57
93,0,34255,Joseph Bramlett,.068,4.157,61
94,0,24781,Hunter Mahan,.066,5.024,76
95,0,09011,David Duval,.065,3.751,58
96,0,25900,Lucas Glover,.052,3.178,61
97,0,24924,Bill Haas,.044,3.139,72
98,0,23673,Michael Connell,.042,3.052,72
99,0,24490,George McNeill,.039,2.263,58
100,0,26851,Marc Leishman,.034,2.713,80
101,0,06004,Stephen Ames,.029,1.731,60
101,0,25572,Graeme McDowell,.029,1.089,37
101,0,22046,Geoff Ogilvy,.029,1.558,54
104,0,23548,Bill Lunde,.027,2.106,77
105,0,28089,Jason Day,.026,1.541,59
106,0,26758,David Hearn,.016,1.237,76
107,0,31557,Jim Herman,.011,.599,57
108,0,25457,Alexandre Rocha,.005,.236,49
109,0,22961,David Mathis,.003,.218,70
110,0,27974,Sung Kang,-.003,-.150,51
111,0,10733,Kent Jones,-.008,-.535,67
112,0,24980,Scott Gutschewski,-.013,-.729,55
113,0,08375,Paul Stankowski,-.014,-.926,65
114,0,21878,Mark Wilson,-.017,-1.183,70
115,0,31202,William McGirt,-.021,-1.899,92
116,0,21805,Harrison Frazar,-.025,-1.032,42
117,0,20436,Garrett Willis,-.037,-2.371,64
118,0,25562,Andres Romero,-.038,-2.568,68
119,0,24361,Pat Perez,-.048,-3.391,70
120,0,20593,Greg Chalmers,-.057,-4.484,79
121,0,12652,Cameron Beckman,-.061,-3.893,64
122,0,22621,Ben Curtis,-.063,-3.886,62
123,0,23320,Ryan Palmer,-.064,-3.854,60
124,0,10860,Justin Leonard,-.070,-5.176,74
125,0,21350,Ryuji Imada,-.085,-6.479,76
126,0,27120,Troy Matteson,-.089,-7.207,81
127,0,26668,Marc Turnesa,-.092,-4.209,46
128,0,25240,D.A. Points,-.097,-7.205,74
129,0,30946,Alex Prugh,-.109,-7.733,71
130,0,24663,Y.E. Yang,-.111,-4.647,42
131,0,24290,D.J. Brigman,-.119,-6.540,55
131,0,28475,Jeff Overton,-.119,-8.707,73
131,0,26951,Johnson Wagner,-.119,-8.317,70
134,0,12782,Tim Herron,-.122,-9.371,77
135,0,33419,Cameron Tringale,-.133,-12.943,97
136,0,23800,Bryce Molder,-.138,-9.785,71
137,0,24604,Hunter Haas,-.141,-11.993,85
138,0,28679,Fabián Gómez,-.146,-10.086,69
139,0,20098,Stuart Appleby,-.152,-9.123,60
140,0,23497,Tag Ridings,-.165,-12.209,74
141,0,20572,Rod Pampling,-.180,-10.802,60
142,0,32698,Bobby Gates,-.183,-12.245,67
143,0,29720,Andres Gonzales,-.184,-8.468,46
144,0,27939,Matt McQuillan,-.188,-9.021,48
144,0,31193,Jim Renner,-.188,-9.983,53
146,0,25444,Justin Hicks,-.192,-8.435,44
147,0,08725,Tom Gillis,-.212,-10.591,50
148,0,23718,Nathan Green,-.225,-15.766,70
149,0,23409,James Driscoll,-.226,-13.778,61
150,0,21949,Joe Ogilvie,-.236,-14.372,61
151,0,27064,Jhonattan Vegas,-.246,-17.244,70
152,0,01948,Tim Petrovic,-.247,-19.050,77
153,0,23614,Rich Beem,-.257,-11.811,46
154,0,26287,Roland Thatcher,-.259,-15.792,61
155,0,01577,Lee Janzen,-.264,-13.224,50
156,0,29420,Billy Horschel,-.290,-17.960,62
157,0,33413,Ben Martin,-.301,-19.557,65
157,0,20127,Chris Riley,-.301,-20.482,68
159,0,20070,Matt Bettencourt,-.309,-23.758,77
160,0,06515,Shaun Micheel,-.319,-20.706,65
161,0,32150,Michael Thompson,-.321,-22.163,69
162,0,33141,Keegan Bradley,-.330,-25.443,77
163,0,26420,Richard Johnson,-.335,-18.101,54
164,0,11123,Chris Couch,-.345,-23.448,68
165,0,07457,Steve Flesch,-.367,-28.636,78
166,0,27330,Josh Teater,-.390,-35.888,92
167,0,08537,J.P. Hayes,-.406,-19.492,48
168,0,28486,Michael Putnam,-.418,-22.147,53
169,0,25834,Daniel Summerhays,-.434,-28.673,66
170,0,29910,Blake Adams,-.453,-47.547,105
171,0,32640,Troy Merritt,-.468,-26.650,57
172,0,26881,Jarrod Lyle,-.505,-36.363,72
173,0,26300,Matt Jones,-.506,-32.357,64
174,0,33911,Nate Smith,-.547,-28.992,53
175,0,20160,Charlie Wi,-.608,-46.838,77
176,0,32876,Martin Piller,-.610,-31.727,52
177,0,31401,Zack Miller,-.612,-45.912,75
178,0,25274,Steven Bowditch,-.615,-47.945,78
179,0,27797,Derek Lamely,-.636,-36.874,58
180,0,34072,Will Strickler,-.648,-27.845,43
181,0,01313,Steve Elkington,-.651,-27.340,42
182,0,30711,Colt Knost,-.672,-45.040,67
183,0,01797,Rocco Mediate,-.682,-32.755,48
184,0,29478,Kevin Kisner,-.707,-40.320,57
185,0,35087,Bio Kim,-.838,-48.607,58
186,0,10585,Scott McCarron,-1.240,-66.955,54
