RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,32334,Charlie Beljan,34' 10",98,3413.833,+4.00
2,0,25804,Bubba Watson,37' 2",116,4311.417,-6.00
3,0,23541,Ben Crane,37' 5",104,3893.750,-13.00
4,0,20848,Ángel Cabrera,37' 6",73,2736.000,+9.00
5,0,28308,Troy Kelly,38' 8",107,4136.250,+11.00
6,0,20160,Charlie Wi,38' 11",145,5640.500,+19.00
7,0,27895,Jonas Blixt,39' 0",122,4760.667,+2.00
7,0,02206,David Toms,39' 0",65,2532.417,+3.00
9,0,29478,Kevin Kisner,39' 2",108,4226.000,+23.00
10,0,26287,Roland Thatcher,39' 3",70,2746.167,+12.00
11,0,06036,Scott Dunlap,39' 7",96,3803.583,+6.00
12,0,27302,Garth Mulroy,39' 9",75,2979.750,-2.00
12,0,23623,Bo Van Pelt,39' 9",92,3655.333,+4.00
14,0,20623,Gavin Coles,39' 11",79,3151.417,+4.00
15,0,24925,Jonathan Byrd,40' 0",100,4001.583,+1.00
15,0,30925,Dustin Johnson,40' 0",108,4319.667,-3.00
15,0,27060,John Mallinger,40' 0",110,4403.167,+34.00
18,0,30750,Tommy Gainey,40' 2",185,7426.667,+14.00
19,0,29479,Scott Brown,40' 3",91,3663.250,+13.00
20,0,29221,Webb Simpson,40' 4",110,4437.083,-17.00
21,0,12652,Cameron Beckman,40' 5",133,5375.750,+14.00
21,0,06527,Steve Stricker,40' 5",81,3272.000,-5.00
23,0,10885,Robert Allenby,40' 6",112,4537.833,+29.00
24,0,24494,Erik Compton,40' 7",137,5560.833,+8.00
24,0,22621,Ben Curtis,40' 7",67,2716.750,E
24,0,20766,Padraig Harrington,40' 7",97,3935.500,+9.00
24,0,25572,Graeme McDowell,40' 7",47,1908.667,+8.00
28,0,33141,Keegan Bradley,40' 8",131,5330.333,+8.00
28,0,20850,Daniel Chopra,40' 8",128,5205.667,+25.00
28,0,25686,Jason Dufner,40' 8",107,4352.583,+13.00
28,0,26289,Boo Weekley,40' 8",104,4227.917,+8.00
32,0,25345,Carl Pettersson,40' 10",131,5351.500,+26.00
33,0,24140,Sean O'Hair,40' 11",150,6137.750,+19.00
33,0,29518,Brendan Steele,40' 11",118,4828.583,+9.00
35,0,24781,Hunter Mahan,41' 0",116,4758.917,+17.00
35,0,22046,Geoff Ogilvy,41' 0",98,4016.083,+15.00
37,0,01249,John Daly,41' 1",80,3283.833,+10.00
37,0,25818,Scott Piercy,41' 1",194,7963.083,+14.00
39,0,30944,Jason Kokrak,41' 2",162,6672.083,+15.00
40,0,28500,Martin Flores,41' 3",165,6810.583,+21.00
41,0,11123,Chris Couch,41' 8",101,4208.250,+4.00
41,0,20691,Greg Owen,41' 8",171,7124.000,+24.00
43,0,28307,Matt Every,41' 11",118,4950.000,+3.00
43,0,27141,J.B. Holmes,41' 11",183,7674.167,+18.00
45,0,12510,Chad Campbell,42' 0",137,5753.500,+31.00
45,0,21731,Freddie Jacobson,42' 0",86,3608.583,+16.00
45,0,22293,Heath Slocum,42' 0",100,4198.833,+12.00
48,0,21407,Arjun Atwal,42' 1",123,5176.750,+20.00
49,0,22961,David Mathis,42' 3",135,5708.333,+18.00
50,0,06251,Chris DiMarco,42' 4",128,5417.417,+27.00
50,0,23903,Stephen Gangluff,42' 4",120,5082.500,+26.00
50,0,31202,William McGirt,42' 4",149,6309.833,+6.00
50,0,23788,D.J. Trahan,42' 4",107,4527.750,+22.00
54,0,22348,Nick O'Hern,42' 5",108,4581.583,+17.00
54,0,27963,Chris Stroud,42' 5",131,5553.083,+8.00
54,0,25834,Daniel Summerhays,42' 5",117,4963.417,+15.00
57,0,29289,S.Y. Noh,42' 6",161,6841.583,+1.00
57,0,26329,Louis Oosthuizen,42' 6",87,3700.000,+2.00
59,0,23325,Vaughn Taylor,42' 7",108,4596.917,+20.00
60,0,25892,Steve Wheatcroft,42' 10",73,3125.333,+10.00
61,0,29476,Kyle Reifers,43' 0",105,4515.333,+15.00
62,0,12782,Tim Herron,43' 1",156,6726.333,+14.00
62,0,27974,Sung Kang,43' 1",131,5647.500,+23.00
64,0,06522,Ernie Els,43' 2",136,5875.167,+13.00
64,0,33122,Russell Knox,43' 2",98,4231.083,+13.00
64,0,26476,Chez Reavie,43' 2",93,4015.500,+13.00
64,0,06567,Vijay Singh,43' 2",167,7203.583,+22.00
68,0,20070,Matt Bettencourt,43' 3",129,5582.083,+25.00
69,0,23135,Tim Clark,43' 4",66,2860.083,+9.00
69,0,06034,Marco Dawson,43' 4",76,3296.000,+7.00
69,0,22405,Justin Rose,43' 4",109,4725.333,+4.00
69,0,22582,Kyle Thompson,43' 4",70,3035.583,+13.00
73,0,10213,Dicky Pride,43' 5",82,3559.750,+15.00
73,0,26951,Johnson Wagner,43' 5",132,5734.500,+17.00
75,0,24604,Hunter Haas,43' 8",107,4673.583,+19.00
75,0,28237,Rory McIlroy,43' 8",103,4500.833,+7.00
75,0,30110,Kyle Stanley,43' 8",157,6852.583,+5.00
