RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,23983,Luke Donald,41.86,18,43
2,0,23800,Bryce Molder,40.00,38,95
3,0,25686,Jason Dufner,39.13,18,46
4,0,01724,Jeff Maggert,38.75,31,80
5,0,24924,Bill Haas,38.60,22,57
6,0,20572,Rod Pampling,38.36,28,73
7,0,26758,David Hearn,38.04,35,92
8,0,22293,Heath Slocum,37.50,21,56
9,0,25632,Jimmy Walker,37.38,40,107
10,0,25457,Alexandre Rocha,37.21,16,43
10,0,08793,Tiger Woods,37.21,16,43
12,0,25240,D.A. Points,37.18,29,78
13,0,23541,Ben Crane,36.99,27,73
14,0,22405,Justin Rose,36.96,17,46
14,0,20645,John Senden,36.96,17,46
16,0,21528,Henrik Stenson,36.54,19,52
17,0,26289,Boo Weekley,36.36,16,44
18,0,20766,Padraig Harrington,36.17,17,47
19,0,28308,Troy Kelly,36.11,26,72
20,0,06522,Ernie Els,36.07,22,61
21,0,22621,Ben Curtis,36.00,18,50
22,0,21209,Sergio Garcia,35.90,14,39
23,0,30711,Colt Knost,35.78,39,109
24,0,10213,Dicky Pride,35.29,24,68
25,0,30927,Brendon Todd,35.05,34,97
26,0,19846,Brian Gay,34.86,38,109
27,0,22913,John Rollins,34.78,24,69
28,0,32102,Rickie Fowler,34.72,25,72
29,0,01320,Bob Estes,34.52,29,84
30,0,23108,Matt Kuchar,34.43,21,61
31,0,20593,Greg Chalmers,34.38,33,96
32,0,28237,Rory McIlroy,34.29,12,35
33,0,25345,Carl Pettersson,34.26,37,108
34,0,21350,Ryuji Imada,34.23,38,111
35,0,27060,John Mallinger,33.93,19,56
36,0,23135,Tim Clark,33.33,13,39
36,0,24024,Zach Johnson,33.33,21,63
36,0,27095,Nick Watney,33.33,29,87
39,0,01766,Billy Mayfair,32.98,31,94
40,0,01810,Phil Mickelson,32.79,20,61
41,0,24663,Y.E. Yang,32.73,18,55
42,0,23204,Gary Christian,32.47,25,77
43,0,06251,Chris DiMarco,32.18,28,87
44,0,26596,Ryan Moore,32.05,25,78
44,0,26951,Johnson Wagner,32.05,25,78
46,0,28087,Kris Blanks,31.91,15,47
47,0,27963,Chris Stroud,31.87,29,91
48,0,02206,David Toms,31.71,13,41
49,0,20229,Stewart Cink,31.58,24,76
49,0,27556,Ted Potter Jr.,31.58,18,57
51,0,23320,Ryan Palmer,31.51,23,73
52,0,26329,Louis Oosthuizen,31.48,17,54
53,0,30944,Jason Kokrak,31.25,30,96
54,0,27649,Brandt Snedeker,30.99,22,71
55,0,06036,Scott Dunlap,30.77,12,39
56,0,29478,Kevin Kisner,30.36,17,56
57,0,29420,Billy Horschel,30.30,10,33
58,0,23409,James Driscoll,30.00,33,110
58,0,29221,Webb Simpson,30.00,18,60
60,0,21961,Charles Howell III,29.87,23,77
61,0,20098,Stuart Appleby,29.85,20,67
62,0,33141,Keegan Bradley,29.69,19,64
63,0,20848,Ángel Cabrera,29.55,13,44
64,0,24925,Jonathan Byrd,29.41,20,68
64,0,27974,Sung Kang,29.41,30,102
64,0,22348,Nick O'Hern,29.41,30,102
67,0,27936,Martin Laird,29.31,17,58
68,0,23623,Bo Van Pelt,28.85,15,52
69,0,33419,Cameron Tringale,28.74,25,87
70,0,27436,Graham DeLaet,28.57,20,70
70,0,27302,Garth Mulroy,28.57,14,49
70,0,26331,Charl Schwartzel,28.57,8,28
73,0,28455,Will Claxton,28.40,23,81
74,0,24357,K.J. Choi,28.26,13,46
74,0,21753,Brian Davis,28.26,26,92
76,0,24140,Sean O'Hair,28.21,22,78
77,0,20104,Ken Duke,28.17,20,71
78,0,10860,Justin Leonard,28.16,29,103
79,0,06527,Steve Stricker,28.07,16,57
80,0,32200,Roberto Castro,28.05,23,82
80,0,29222,Billy Hurley III,28.05,23,82
82,0,10809,Jim Furyk,28.00,14,50
83,0,32698,Bobby Gates,27.85,22,79
84,0,27933,John Merrick,27.78,20,72
85,0,01116,Michael Bradley,27.66,26,94
86,0,28307,Matt Every,27.50,22,80
86,0,26851,Marc Leishman,27.50,22,80
88,0,23353,J.J. Henry,27.47,25,91
