RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,23983,Luke Donald,69.39,68,98
2,0,02206,David Toms,67.68,67,99
3,0,23108,Matt Kuchar,66.04,105,159
4,0,22405,Justin Rose,65.49,74,113
5,0,27649,Brandt Snedeker,65.10,125,192
6,0,24024,Zach Johnson,64.25,124,193
7,0,28089,Jason Day,63.93,78,122
8,0,22046,Geoff Ogilvy,63.19,103,163
9,0,23800,Bryce Molder,62.86,88,140
10,0,01320,Bob Estes,62.50,100,160
11,0,21753,Brian Davis,61.90,117,189
12,0,06522,Ernie Els,61.65,82,133
13,0,01724,Jeff Maggert,61.58,117,190
14,0,11123,Chris Couch,61.54,80,130
14,0,30925,Dustin Johnson,61.54,96,156
16,0,08793,Tiger Woods,61.32,65,106
17,0,20623,Gavin Coles,61.29,95,155
18,0,06573,Brandt Jobe,60.82,59,97
19,0,19846,Brian Gay,60.40,122,202
20,0,22913,John Rollins,60.39,93,154
21,0,20160,Charlie Wi,59.91,139,232
22,0,25396,Kevin Na,59.90,118,197
23,0,24361,Pat Perez,59.78,107,179
24,0,33419,Cameron Tringale,59.76,101,169
25,0,20593,Greg Chalmers,59.70,120,201
26,0,06567,Vijay Singh,59.69,114,191
27,0,28237,Rory McIlroy,59.60,59,99
28,0,23621,Rory Sabbatini,59.50,119,200
28,0,06527,Steve Stricker,59.50,72,121
30,0,01810,Phil Mickelson,59.46,88,148
31,0,29926,Danny Lee,59.44,85,143
32,0,25686,Jason Dufner,59.32,70,118
33,0,25818,Scott Piercy,59.31,121,204
34,0,22371,Aaron Baddeley,59.26,96,162
35,0,27895,Jonas Blixt,59.20,103,174
36,0,32200,Roberto Castro,58.74,84,143
37,0,31558,J.J. Killeen,58.69,125,213
38,0,21961,Charles Howell III,58.58,99,169
39,0,01766,Billy Mayfair,58.41,125,214
40,0,29420,Billy Horschel,58.33,63,108
40,0,26329,Louis Oosthuizen,58.33,56,96
40,0,29221,Webb Simpson,58.33,84,144
43,0,20645,John Senden,58.27,81,139
44,0,23718,Nathan Green,58.26,67,115
45,0,21878,Mark Wilson,58.24,106,182
46,0,27644,Brian Harman,57.87,125,216
47,0,27466,Spencer Levin,57.84,107,185
48,0,23320,Ryan Palmer,57.81,111,192
49,0,27214,Kevin Streelman,57.74,97,168
50,0,24138,Ian Poulter,57.61,53,92
51,0,27963,Chris Stroud,57.58,114,198
52,0,28307,Matt Every,57.42,89,155
53,0,34021,Bud Cauley,57.32,137,239
54,0,27556,Ted Potter Jr.,57.30,102,178
55,0,30852,Ryo Ishikawa,57.28,59,103
56,0,25804,Bubba Watson,57.25,75,131
57,0,21731,Freddie Jacobson,57.14,56,98
58,0,32102,Rickie Fowler,57.06,97,170
58,0,22293,Heath Slocum,57.06,97,170
60,0,24924,Bill Haas,57.04,77,135
61,0,25345,Carl Pettersson,57.00,114,200
62,0,10860,Justin Leonard,56.85,83,146
63,0,24358,Robert Garrigus,56.80,96,169
64,0,31202,William McGirt,56.77,109,192
65,0,26758,David Hearn,56.68,123,217
66,0,33122,Russell Knox,56.56,69,122
67,0,26851,Marc Leishman,56.54,121,214
68,0,32366,Kevin Chappell,56.48,109,193
69,0,20572,Rod Pampling,56.47,96,170
70,0,20104,Ken Duke,56.42,123,218
70,0,25632,Jimmy Walker,56.42,145,257
72,0,29518,Brendan Steele,56.40,97,172
73,0,27060,John Mallinger,56.36,93,165
74,0,28455,Will Claxton,56.28,112,199
75,0,27797,Derek Lamely,56.21,86,153
76,0,25240,D.A. Points,56.17,91,162
77,0,29222,Billy Hurley III,56.15,105,187
78,0,30944,Jason Kokrak,56.02,93,166
79,0,23623,Bo Van Pelt,55.93,99,177
80,0,35139,Richard Lee,55.92,85,152
81,0,01941,Tom Pernice Jr.,55.78,82,147
82,0,20098,Stuart Appleby,55.71,78,140
82,0,23638,Brendon de Jonge,55.71,117,210
84,0,22348,Nick O'Hern,55.69,93,167
85,0,24925,Jonathan Byrd,55.63,79,142
85,0,22378,Trevor Immelman,55.63,79,142
87,0,12782,Tim Herron,55.56,90,162
88,0,01706,Davis Love III,55.47,71,128
89,0,30927,Brendon Todd,55.44,107,193
90,0,28500,Martin Flores,55.42,138,249
91,0,01797,Rocco Mediate,55.41,87,157
92,0,24357,K.J. Choi,55.40,77,139
93,0,06036,Scott Dunlap,55.34,57,103
94,0,21209,Sergio Garcia,55.28,68,123
94,0,24663,Y.E. Yang,55.28,68,123
96,0,27095,Nick Watney,55.23,95,172
