RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,0,25686,Jason Dufner,2.11,173,82
2,0,10809,Jim Furyk,2.19,184,84
3,0,19846,Brian Gay,2.28,198,87
4,0,22405,Justin Rose,2.31,157,68
5,0,06527,Steve Stricker,2.34,164,70
6,0,23983,Luke Donald,2.35,146,62
7,0,22621,Ben Curtis,2.37,147,62
8,0,08793,Tiger Woods,2.39,160,67
9,0,34021,Bud Cauley,2.43,241,99
9,0,23800,Bryce Molder,2.43,192,79
9,0,29221,Webb Simpson,2.43,185,76
12,0,33122,Russell Knox,2.44,166,68
13,0,29420,Billy Horschel,2.46,145,59
13,0,01797,Rocco Mediate,2.46,167,68
13,0,23325,Vaughn Taylor,2.46,194,79
16,0,23548,Bill Lunde,2.47,195,79
17,0,23108,Matt Kuchar,2.48,203,82
17,0,25818,Scott Piercy,2.48,236,95
17,0,26679,Kevin Stadler,2.48,201,81
20,0,27644,Brian Harman,2.49,251,101
20,0,27649,Brandt Snedeker,2.49,194,78
22,0,25345,Carl Pettersson,2.50,230,92
22,0,33419,Cameron Tringale,2.50,220,88
24,0,27436,Graham DeLaet,2.51,198,79
24,0,26758,David Hearn,2.51,238,95
24,0,24140,Sean O'Hair,2.51,211,84
24,0,27770,Camilo Villegas,2.51,193,77
28,0,23638,Brendon de Jonge,2.52,290,115
28,0,30925,Dustin Johnson,2.52,169,67
28,0,01810,Phil Mickelson,2.52,199,79
28,0,24361,Pat Perez,2.52,199,79
32,0,27895,Jonas Blixt,2.53,182,72
32,0,28455,Will Claxton,2.53,250,99
32,0,28307,Matt Every,2.53,202,80
32,0,29289,S.Y. Noh,2.53,256,101
32,0,28475,Jeff Overton,2.53,256,101
32,0,20645,John Senden,2.53,197,78
38,0,21209,Sergio Garcia,2.54,142,56
38,0,24024,Zach Johnson,2.54,239,94
38,0,24781,Hunter Mahan,2.54,208,82
38,0,26329,Louis Oosthuizen,2.54,160,63
42,0,32334,Charlie Beljan,2.56,146,57
42,0,25396,Kevin Na,2.56,202,79
42,0,27963,Chris Stroud,2.56,220,86
42,0,25804,Bubba Watson,2.56,169,66
46,0,28237,Rory McIlroy,2.57,139,54
46,0,24138,Ian Poulter,2.57,144,56
46,0,02206,David Toms,2.57,149,58
