RANK,MOVEMENT,PLAYER_ID,PLAYER,COMBINED RANK,CARRY EFFICIENCY RANK,TOTAL DIST. EFFIC. RANK
1,0,22405,Justin Rose,5,1,4
2,0,22792,Peter Hanson,6,4,2
3,0,23325,Vaughn Taylor,10,5,5
4,0,29420,Billy Horschel,12,5,7
5,0,06522,Ernie Els,17,2,15
5,0,21878,Mark Wilson,17,9,8
7,0,24781,Hunter Mahan,22,3,19
8,0,28780,Nicholas Thompson,24,10,14
9,0,23452,Nicolas Colsaerts,28,8,20
10,0,24140,Sean O'Hair,36,5,31
11,0,23541,Ben Crane,37,15,22
11,0,27644,Brian Harman,37,13,24
13,0,26758,David Hearn,38,11,27
13,0,06527,Steve Stricker,38,35,3
15,0,26476,Chez Reavie,40,29,11
16,0,22806,Doug LaBelle II,41,26,15
17,0,01724,Jeff Maggert,44,39,5
17,0,02206,David Toms,44,16,28
19,0,21753,Brian Davis,47,39,8
20,0,34021,Bud Cauley,50,18,32
20,0,30926,Chris Kirk,50,12,38
22,0,24024,Zach Johnson,51,29,22
23,0,25562,Andres Romero,56,13,43
24,0,23320,Ryan Palmer,60,18,42
24,0,23623,Bo Van Pelt,60,23,37
26,0,33141,Keegan Bradley,65,18,47
27,0,33461,Morgan Hoffmann,66,51,15
28,0,25818,Scott Piercy,70,37,33
29,0,30925,Dustin Johnson,73,33,40
29,0,22295,Darron Stiles,73,65,8
31,0,19846,Brian Gay,74,56,18
32,0,23135,Tim Clark,75,74,1
32,0,21099,David Lynn,75,62,13
32,0,32150,Michael Thompson,75,41,34
35,0,26679,Kevin Stadler,83,32,51
36,0,20443,Jin Park,84,41,43
37,0,28307,Matt Every,86,43,43
37,0,27649,Brandt Snedeker,86,37,49
39,0,25345,Carl Pettersson,88,48,40
40,0,21528,Henrik Stenson,93,35,58
41,0,25274,Steven Bowditch,99,31,68
42,0,34098,Russell Henley,101,21,80
43,0,24138,Ian Poulter,103,91,12
44,0,30692,Scott Stallings,104,23,81
45,0,31560,Brian Stuard,111,48,63
46,0,24399,Scott Gardiner,114,56,58
46,0,29518,Brendan Steele,114,54,60
48,0,26596,Ryan Moore,115,94,21
48,0,34046,Jordan Spieth,115,86,29
50,0,26497,Casey Wittenberg,117,56,61
51,0,27330,Josh Teater,118,21,97
52,0,27895,Jonas Blixt,120,43,77
52,0,27936,Martin Laird,120,25,95
54,0,23621,Rory Sabbatini,123,26,97
55,0,01810,Phil Mickelson,126,71,55
56,0,32448,James Hahn,129,26,103
57,0,30110,Kyle Stanley,130,46,84
58,0,28310,Lee Williams,134,88,46
59,0,25834,Daniel Summerhays,136,112,24
60,0,28135,Aaron Watkins,137,76,61
61,0,28089,Jason Day,138,16,122
61,0,10860,Justin Leonard,138,109,29
63,0,29479,Scott Brown,141,71,70
63,0,23788,D.J. Trahan,141,107,34
63,0,20396,Lee Westwood,141,68,73
66,0,34174,John Huh,143,88,55
67,0,33418,Shawn Stefani,145,54,91
68,0,23353,J.J. Henry,147,59,88
68,0,12716,Charley Hoffman,147,70,77
68,0,27120,Troy Matteson,147,59,88
71,0,01320,Bob Estes,148,114,34
71,0,23108,Matt Kuchar,148,94,54
73,0,26331,Charl Schwartzel,152,68,84
74,0,29425,Andrew Svoboda,155,104,51
75,0,25572,Graeme McDowell,156,93,63
75,0,22046,Geoff Ogilvy,156,48,108
77,0,26289,Boo Weekley,158,107,51
78,0,30750,Tommy Gainey,159,51,108
78,0,34409,David Lingmerth,159,71,88
80,0,27933,John Merrick,162,138,24
80,0,06567,Vijay Singh,162,94,68
82,0,30944,Jason Kokrak,167,104,63
83,0,20766,Padraig Harrington,168,62,106
83,0,25240,D.A. Points,168,129,39
85,0,23800,Bryce Molder,171,122,49
85,0,08793,Tiger Woods,171,33,138
87,0,22913,John Rollins,172,77,95
88,0,22056,Cameron Percy,173,103,70
88,0,27963,Chris Stroud,173,51,122
90,0,24227,Justin Bolli,174,82,92
91,0,22621,Ben Curtis,175,94,81
92,0,06573,Brandt Jobe,176,74,102
93,0,30163,Henrik Norlander,177,43,134
93,0,20160,Charlie Wi,177,114,63
95,0,12782,Tim Herron,178,77,101
96,0,28237,Rory McIlroy,179,64,115
97,0,31557,Jim Herman,182,119,63
98,0,25900,Lucas Glover,183,110,73
99,0,32102,Rickie Fowler,185,65,120
100,0,24663,Y.E. Yang,193,116,77
101,0,25336,Alistair Presnell,195,98,97
102,0,24924,Bill Haas,197,82,115
103,0,10885,Robert Allenby,198,77,121
104,0,32366,Kevin Chappell,199,88,111
105,0,08075,Jerry Kelly,200,130,70
105,0,27214,Kevin Streelman,200,127,73
107,0,22961,David Mathis,202,110,92
108,0,27436,Graham DeLaet,205,46,159
109,0,24494,Erik Compton,208,116,92
110,0,35539,Luke Guthrie,210,67,143
111,0,29740,Brad Fritsch,213,102,111
112,0,34261,Scott Langley,216,169,47
113,0,24357,K.J. Choi,217,160,57
113,0,25686,Jason Dufner,217,144,73
115,0,23983,Luke Donald,218,82,136
115,0,21961,Charles Howell III,218,100,118
117,0,31202,William McGirt,220,86,134
117,0,24502,Adam Scott,220,136,84
119,0,28475,Jeff Overton,223,101,122
119,0,10213,Dicky Pride,223,142,81
121,0,28679,Fabián Gómez,224,140,84
122,0,25804,Bubba Watson,226,123,103
123,0,27408,Martin Kaymer,227,80,147
124,0,24358,Robert Garrigus,229,59,170
125,0,34099,Harris English,230,81,149
126,0,20098,Stuart Appleby,232,125,107
127,0,20593,Greg Chalmers,240,140,100
127,0,29221,Webb Simpson,240,125,115
129,0,28500,Martin Flores,241,123,118
129,0,34360,Patrick Reed,241,98,143
131,0,26851,Marc Leishman,243,82,161
132,0,25632,Jimmy Walker,245,119,126
133,0,27129,Luke List,255,104,151
134,0,30711,Colt Knost,259,148,111
134,0,29289,S.Y. Noh,259,91,168
136,0,36884,Ben Kohles,262,130,132
137,0,32200,Roberto Castro,269,112,157
137,0,28455,Will Claxton,269,138,131
137,0,25444,Justin Hicks,269,158,111
140,0,35139,Richard Lee,271,135,136
141,0,24490,George McNeill,273,127,146
142,0,27503,Steve LeBrun,274,119,155
143,0,10809,Jim Furyk,275,147,128
143,0,20572,Rod Pampling,275,172,103
145,0,31323,Gary Woodland,277,130,147
146,0,23497,Tag Ridings,278,137,141
147,0,27556,Ted Potter Jr.,280,158,122
148,0,28259,Sangmoon Bae,281,153,128
149,0,20848,Ángel Cabrera,282,130,152
150,0,12510,Chad Campbell,283,156,127
150,0,33869,Eric Meierdierks,283,118,165
152,0,20104,Ken Duke,284,176,108
153,0,26951,Johnson Wagner,288,143,145
154,0,22371,Aaron Baddeley,291,149,142
155,0,28092,D.H. Lee,295,155,140
156,0,24507,Jason Bohn,296,144,152
156,0,34431,Robert Streb,296,168,128
158,0,26300,Matt Jones,297,134,163
159,0,30852,Ryo Ishikawa,298,149,149
160,0,19970,Robert Karlsson,300,144,156
161,0,27770,Camilo Villegas,306,173,133
162,0,06004,Stephen Ames,312,174,138
163,0,27095,Nick Watney,318,152,166
164,0,23638,Brendon de Jonge,320,166,154
165,0,20229,Stewart Cink,322,153,169
166,0,37273,Derek Ernst,323,160,163
167,0,23409,James Driscoll,324,149,175
168,0,20691,Greg Owen,325,163,162
169,0,01116,Michael Bradley,329,157,172
170,0,21731,Freddie Jacobson,336,178,158
171,0,08725,Tom Gillis,337,177,160
171,0,33419,Cameron Tringale,337,164,173
173,0,21209,Sergio Garcia,338,162,176
174,0,20645,John Senden,342,171,171
174,0,10423,Mike Weir,342,175,167
176,0,32334,Charlie Beljan,343,165,178
176,0,24361,Pat Perez,343,166,177
178,0,32698,Bobby Gates,344,170,174
179,0,24846,Ricky Barnes,358,179,179
180,0,22378,Trevor Immelman,360,180,180
