RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,23325,Vaughn Taylor,41.75,103,43
2,0,06527,Steve Stricker,40.66,91,37
3,0,29420,Billy Horschel,38.26,230,88
4,0,10809,Jim Furyk,38.15,173,66
5,0,26758,David Hearn,37.56,205,77
6,0,25686,Jason Dufner,36.18,152,55
7,0,23409,James Driscoll,35.93,167,60
8,0,35139,Richard Lee,35.75,207,74
9,0,20160,Charlie Wi,35.68,185,66
10,0,28089,Jason Day,35.57,149,53
11,0,24507,Jason Bohn,35.32,201,71
12,0,23983,Luke Donald,35.29,119,42
12,0,28679,Fabián Gómez,35.29,170,60
14,0,33418,Shawn Stefani,35.11,131,46
15,0,32102,Rickie Fowler,34.97,163,57
16,0,24494,Erik Compton,34.54,194,67
17,0,21528,Henrik Stenson,34.23,111,38
18,0,01320,Bob Estes,34.19,155,53
19,0,23800,Bryce Molder,34.15,164,56
20,0,32150,Michael Thompson,34.11,129,44
21,0,19846,Brian Gay,34.05,185,63
22,0,27649,Brandt Snedeker,33.94,165,56
23,0,20593,Greg Chalmers,33.84,198,67
24,0,24357,K.J. Choi,33.77,151,51
25,0,20645,John Senden,33.56,149,50
26,0,22371,Aaron Baddeley,33.33,156,52
26,0,21731,Freddie Jacobson,33.33,123,41
26,0,26851,Marc Leishman,33.33,177,59
26,0,27095,Nick Watney,33.33,216,72
30,0,28259,Sangmoon Bae,33.03,221,73
31,0,23320,Ryan Palmer,32.99,194,64
32,0,23108,Matt Kuchar,32.97,182,60
33,0,21753,Brian Davis,32.86,213,70
34,0,25900,Lucas Glover,32.85,137,45
35,0,10860,Justin Leonard,32.81,192,63
35,0,27214,Kevin Streelman,32.81,192,63
37,0,22621,Ben Curtis,32.76,116,38
38,0,33461,Morgan Hoffmann,32.68,153,50
39,0,27963,Chris Stroud,32.67,202,66
40,0,30926,Chris Kirk,32.63,236,77
41,0,22961,David Mathis,32.61,184,60
42,0,25834,Daniel Summerhays,32.52,206,67
43,0,23621,Rory Sabbatini,32.49,197,64
44,0,08075,Jerry Kelly,32.40,179,58
44,0,34431,Robert Streb,32.40,179,58
46,0,26331,Charl Schwartzel,32.34,167,54
47,0,23541,Ben Crane,32.33,133,43
48,0,21209,Sergio Garcia,32.26,124,40
49,0,10213,Dicky Pride,32.19,146,47
50,0,21099,David Lynn,32.16,171,55
51,0,34098,Russell Henley,32.10,162,52
52,0,34360,Patrick Reed,32.08,212,68
53,0,27556,Ted Potter Jr.,32.00,150,48
54,0,29518,Brendan Steele,31.94,191,61
55,0,01810,Phil Mickelson,31.88,160,51
56,0,24024,Zach Johnson,31.75,189,60
57,0,24924,Bill Haas,31.66,199,63
58,0,24140,Sean O'Hair,31.65,158,50
59,0,30852,Ryo Ishikawa,31.61,155,49
60,0,21961,Charles Howell III,31.58,190,60
60,0,31560,Brian Stuard,31.58,171,54
62,0,27120,Troy Matteson,31.52,165,52
63,0,25804,Bubba Watson,31.48,162,51
64,0,36884,Ben Kohles,31.47,197,62
65,0,29221,Webb Simpson,31.25,176,55
66,0,25444,Justin Hicks,31.21,173,54
66,0,10423,Mike Weir,31.21,141,44
68,0,26300,Matt Jones,31.15,183,57
69,0,32698,Bobby Gates,31.07,103,32
70,0,25336,Alistair Presnell,31.01,129,40
71,0,33141,Keegan Bradley,30.77,195,60
71,0,12716,Charley Hoffman,30.77,208,64
73,0,23788,D.J. Trahan,30.70,114,35
74,0,02206,David Toms,30.67,75,23
75,0,27408,Martin Kaymer,30.63,111,34
75,0,08793,Tiger Woods,30.63,111,34
77,0,34409,David Lingmerth,30.49,164,50
78,0,24227,Justin Bolli,30.47,128,39
78,0,27129,Luke List,30.47,128,39
80,0,28237,Rory McIlroy,30.30,99,30
81,0,22792,Peter Hanson,30.28,109,33
81,0,25632,Jimmy Walker,30.28,218,66
83,0,37273,Derek Ernst,30.20,149,45
84,0,34099,Harris English,30.17,232,70
85,0,28307,Matt Every,30.13,229,69
86,0,27933,John Merrick,30.10,206,62
87,0,25572,Graeme McDowell,30.09,113,34
88,0,30925,Dustin Johnson,30.00,150,45
89,0,21878,Mark Wilson,29.84,124,37
90,0,08725,Tom Gillis,29.81,161,48
91,0,30944,Jason Kokrak,29.76,168,50
92,0,32366,Kevin Chappell,29.69,192,57
93,0,20229,Stewart Cink,29.53,149,44
94,0,34261,Scott Langley,29.50,200,59
95,0,24846,Ricky Barnes,29.47,190,56
96,0,24138,Ian Poulter,29.29,99,29
97,0,20691,Greg Owen,29.17,168,49
98,0,27330,Josh Teater,29.09,165,48
99,0,26596,Ryan Moore,29.08,141,41
100,0,25562,Andres Romero,29.05,148,43
101,0,23638,Brendon de Jonge,29.03,279,81
102,0,23497,Tag Ridings,28.93,159,46
103,0,22806,Doug LaBelle II,28.82,170,49
104,0,26679,Kevin Stadler,28.71,209,60
105,0,10885,Robert Allenby,28.67,150,43
106,0,25345,Carl Pettersson,28.65,178,51
106,0,30110,Kyle Stanley,28.65,171,49
108,0,28500,Martin Flores,28.64,199,57
109,0,25274,Steven Bowditch,28.57,147,42
109,0,30750,Tommy Gainey,28.57,224,64
111,0,31202,William McGirt,28.44,211,60
112,0,24502,Adam Scott,28.35,127,36
112,0,31323,Gary Woodland,28.35,261,74
114,0,25240,D.A. Points,28.33,180,51
115,0,24781,Hunter Mahan,28.31,166,47
116,0,34046,Jordan Spieth,28.30,212,60
117,0,29289,S.Y. Noh,28.29,152,43
118,0,06004,Stephen Ames,28.21,117,33
118,0,20848,Ángel Cabrera,28.21,156,44
120,0,28475,Jeff Overton,28.19,188,53
121,0,24663,Y.E. Yang,28.18,110,31
122,0,20098,Stuart Appleby,28.16,206,58
123,0,27436,Graham DeLaet,28.15,238,67
124,0,27770,Camilo Villegas,27.98,168,47
125,0,27503,Steve LeBrun,27.94,136,38
126,0,33419,Cameron Tringale,27.89,190,53
127,0,27895,Jonas Blixt,27.88,165,46
128,0,30163,Henrik Norlander,27.81,169,47
129,0,24361,Pat Perez,27.75,173,48
130,0,32334,Charlie Beljan,27.74,155,43
131,0,22046,Geoff Ogilvy,27.66,94,26
132,0,28135,Aaron Watkins,27.62,105,29
133,0,26497,Casey Wittenberg,27.56,156,43
134,0,06573,Brandt Jobe,27.54,138,38
134,0,25818,Scott Piercy,27.54,167,46
136,0,27644,Brian Harman,27.50,200,55
137,0,34174,John Huh,27.47,182,50
138,0,30711,Colt Knost,27.40,146,40
139,0,22056,Cameron Percy,27.27,165,45
140,0,06522,Ernie Els,27.21,136,37
140,0,28092,D.H. Lee,27.21,147,40
142,0,24399,Scott Gardiner,27.15,151,41
143,0,32448,James Hahn,26.92,182,49
144,0,35539,Luke Guthrie,26.90,171,46
145,0,29740,Brad Fritsch,26.85,216,58
146,0,22378,Trevor Immelman,26.83,164,44
147,0,26289,Boo Weekley,26.73,217,58
148,0,12510,Chad Campbell,26.63,184,49
149,0,24490,George McNeill,26.59,173,46
150,0,22405,Justin Rose,26.40,125,33
151,0,26476,Chez Reavie,26.37,182,48
152,0,23353,J.J. Henry,26.32,209,55
153,0,28455,Will Claxton,25.66,152,39
153,0,20396,Lee Westwood,25.66,152,39
155,0,20766,Padraig Harrington,25.49,102,26
156,0,12782,Tim Herron,25.44,114,29
157,0,27936,Martin Laird,25.16,155,39
158,0,29479,Scott Brown,25.00,140,35
158,0,31557,Jim Herman,25.00,136,34
158,0,01724,Jeff Maggert,25.00,176,44
158,0,22913,John Rollins,25.00,176,44
162,0,23135,Tim Clark,24.79,117,29
163,0,23452,Nicolas Colsaerts,24.76,105,26
164,0,32200,Roberto Castro,24.68,231,57
165,0,22295,Darron Stiles,24.56,114,28
166,0,34021,Bud Cauley,24.39,164,40
167,0,26951,Johnson Wagner,24.24,165,40
168,0,30692,Scott Stallings,24.23,194,47
169,0,20104,Ken Duke,23.42,222,52
170,0,28780,Nicholas Thompson,23.40,235,55
171,0,20443,Jin Park,23.30,103,24
172,0,29425,Andrew Svoboda,23.26,86,20
173,0,28310,Lee Williams,23.13,134,31
174,0,19970,Robert Karlsson,22.99,87,20
175,0,20572,Rod Pampling,22.83,92,21
176,0,24358,Robert Garrigus,22.38,143,32
177,0,33869,Eric Meierdierks,21.05,114,24
178,0,23623,Bo Van Pelt,21.02,157,33
179,0,01116,Michael Bradley,20.54,112,23
180,0,06567,Vijay Singh,17.57,148,26
