RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS 10'-15',TOTAL 3 PUTTS
1,0,28307,Matt Every,6,50
2,0,25444,Justin Hicks,5,51
2,0,01724,Jeff Maggert,5,44
2,0,06567,Vijay Singh,5,30
2,0,20160,Charlie Wi,5,40
6,0,10885,Robert Allenby,4,33
6,0,06004,Stephen Ames,4,21
6,0,25686,Jason Dufner,4,45
6,0,30750,Tommy Gainey,4,44
6,0,34098,Russell Henley,4,33
6,0,34174,John Huh,4,54
6,0,08075,Jerry Kelly,4,27
6,0,35139,Richard Lee,4,36
6,0,27120,Troy Matteson,4,27
6,0,22046,Geoff Ogilvy,4,40
6,0,25818,Scott Piercy,4,36
6,0,25240,D.A. Points,4,45
6,0,25562,Andres Romero,4,27
6,0,26679,Kevin Stadler,4,38
6,0,30692,Scott Stallings,4,36
6,0,33419,Cameron Tringale,4,41
6,0,27770,Camilo Villegas,4,36
6,0,26289,Boo Weekley,4,58
24,0,28259,Sangmoon Bae,3,55
24,0,24507,Jason Bohn,3,29
24,0,24494,Erik Compton,3,42
24,0,20104,Ken Duke,3,43
24,0,32102,Rickie Fowler,3,24
24,0,19846,Brian Gay,3,21
24,0,32448,James Hahn,3,31
24,0,31557,Jim Herman,3,33
24,0,12782,Tim Herron,3,24
24,0,26300,Matt Jones,3,38
24,0,27936,Martin Laird,3,38
24,0,26851,Marc Leishman,3,36
24,0,33869,Eric Meierdierks,3,34
24,0,30163,Henrik Norlander,3,37
24,0,24361,Pat Perez,3,37
24,0,25345,Carl Pettersson,3,30
24,0,27556,Ted Potter Jr.,3,41
24,0,22913,John Rollins,3,34
24,0,26331,Charl Schwartzel,3,17
24,0,34046,Jordan Spieth,3,34
24,0,27330,Josh Teater,3,27
24,0,28780,Nicholas Thompson,3,58
24,0,20396,Lee Westwood,3,34
47,0,20098,Stuart Appleby,2,44
47,0,32334,Charlie Beljan,2,39
47,0,33141,Keegan Bradley,2,30
47,0,12510,Chad Campbell,2,44
47,0,32200,Roberto Castro,2,46
47,0,32366,Kevin Chappell,2,44
47,0,20229,Stewart Cink,2,36
47,0,28455,Will Claxton,2,42
47,0,23452,Nicolas Colsaerts,2,29
47,0,27436,Graham DeLaet,2,49
47,0,23409,James Driscoll,2,33
47,0,24358,Robert Garrigus,2,22
47,0,22792,Peter Hanson,2,11
47,0,26758,David Hearn,2,26
47,0,21961,Charles Howell III,2,39
47,0,30852,Ryo Ishikawa,2,39
47,0,27408,Martin Kaymer,2,26
47,0,30926,Chris Kirk,2,40
47,0,30944,Jason Kokrak,2,49
47,0,22806,Doug LaBelle II,2,32
47,0,34261,Scott Langley,2,27
47,0,27933,John Merrick,2,33
47,0,23800,Bryce Molder,2,30
47,0,20443,Jin Park,2,27
47,0,24138,Ian Poulter,2,18
47,0,26476,Chez Reavie,2,27
47,0,23621,Rory Sabbatini,2,53
47,0,24502,Adam Scott,2,18
47,0,29221,Webb Simpson,2,23
47,0,23788,D.J. Trahan,2,24
47,0,26951,Johnson Wagner,2,37
47,0,25632,Jimmy Walker,2,34
47,0,26497,Casey Wittenberg,2,29
47,0,08793,Tiger Woods,2,16
81,0,22371,Aaron Baddeley,1,27
81,0,24846,Ricky Barnes,1,43
81,0,27895,Jonas Blixt,1,30
81,0,24227,Justin Bolli,1,30
81,0,25274,Steven Bowditch,1,36
81,0,01116,Michael Bradley,1,35
81,0,20848,Ángel Cabrera,1,44
81,0,34021,Bud Cauley,1,34
81,0,24357,K.J. Choi,1,35
81,0,23135,Tim Clark,1,17
81,0,23541,Ben Crane,1,34
81,0,22621,Ben Curtis,1,31
81,0,21753,Brian Davis,1,39
81,0,23638,Brendon de Jonge,1,45
81,0,34099,Harris English,1,43
81,0,01320,Bob Estes,1,24
81,0,28500,Martin Flores,1,47
81,0,29740,Brad Fritsch,1,42
81,0,24399,Scott Gardiner,1,30
81,0,32698,Bobby Gates,1,16
81,0,28679,Fabián Gómez,1,26
81,0,12716,Charley Hoffman,1,43
81,0,33461,Morgan Hoffmann,1,27
81,0,29420,Billy Horschel,1,41
81,0,22378,Trevor Immelman,1,41
81,0,21731,Freddie Jacobson,1,20
81,0,24024,Zach Johnson,1,35
81,0,19970,Robert Karlsson,1,27
81,0,27503,Steve LeBrun,1,36
81,0,28092,D.H. Lee,1,37
81,0,34409,David Lingmerth,1,37
81,0,27129,Luke List,1,42
81,0,21099,David Lynn,1,24
81,0,24781,Hunter Mahan,1,32
81,0,22961,David Mathis,1,37
81,0,31202,William McGirt,1,32
81,0,28237,Rory McIlroy,1,22
81,0,24490,George McNeill,1,40
81,0,26596,Ryan Moore,1,36
81,0,29289,S.Y. Noh,1,43
81,0,24140,Sean O'Hair,1,33
81,0,28475,Jeff Overton,1,32
81,0,20691,Greg Owen,1,54
81,0,22056,Cameron Percy,1,33
81,0,25336,Alistair Presnell,1,32
81,0,34360,Patrick Reed,1,44
81,0,23497,Tag Ridings,1,22
81,0,20645,John Senden,1,36
81,0,30110,Kyle Stanley,1,55
81,0,33418,Shawn Stefani,1,19
81,0,21528,Henrik Stenson,1,27
81,0,22295,Darron Stiles,1,27
81,0,27214,Kevin Streelman,1,27
81,0,06527,Steve Stricker,1,17
81,0,31560,Brian Stuard,1,31
81,0,25834,Daniel Summerhays,1,33
81,0,23623,Bo Van Pelt,1,30
81,0,27095,Nick Watney,1,49
81,0,10423,Mike Weir,1,18
81,0,28310,Lee Williams,1,26
