RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,23800,Bryce Molder,66.00,132,2
2,0,20498,Briny Baird,67.00,67,1
3,0,34265,Will Wilcox,67.20,336,5
4,0,02206,David Toms,67.25,269,4
5,0,23135,Tim Clark,67.40,337,5
6,0,12510,Chad Campbell,67.50,135,2
7,0,32102,Rickie Fowler,67.63,541,8
8,0,28780,Nicholas Thompson,67.67,203,3
9,0,08075,Jerry Kelly,67.80,339,5
10,0,01810,Phil Mickelson,68.33,410,6
10,0,29221,Webb Simpson,68.33,410,6
12,0,34409,David Lingmerth,68.50,137,2
13,0,24925,Jonathan Byrd,69.00,414,6
13,0,23983,Luke Donald,69.00,207,3
13,0,31557,Jim Herman,69.00,138,2
13,0,27466,Spencer Levin,69.00,138,2
13,0,24912,Will MacKenzie,69.00,207,3
13,0,01724,Jeff Maggert,69.00,207,3
13,0,28237,Rory McIlroy,69.00,828,12
13,0,23621,Rory Sabbatini,69.00,414,6
13,0,31323,Gary Woodland,69.00,552,8
22,0,27095,Nick Watney,69.14,484,7
23,0,33141,Keegan Bradley,69.17,830,12
23,0,26679,Kevin Stadler,69.17,415,6
25,0,29222,Billy Hurley III,69.20,346,5
26,0,22405,Justin Rose,69.22,623,9
27,0,25686,Jason Dufner,69.25,277,4
28,0,20848,Ángel Cabrera,69.33,208,3
28,0,27644,Brian Harman,69.33,624,9
28,0,23320,Ryan Palmer,69.33,624,9
28,0,30927,Brendon Todd,69.33,624,9
32,0,27895,Jonas Blixt,69.50,139,2
32,0,32200,Roberto Castro,69.50,139,2
32,0,21961,Charles Howell III,69.50,556,8
32,0,36689,Brooks Koepka,69.50,139,2
32,0,27120,Troy Matteson,69.50,139,2
32,0,32640,Troy Merritt,69.50,139,2
38,0,27436,Graham DeLaet,69.56,626,9
39,0,06522,Ernie Els,69.60,348,5
39,0,21209,Sergio Garcia,69.60,696,10
41,0,25345,Carl Pettersson,69.63,557,8
42,0,30944,Jason Kokrak,69.67,627,9
42,0,06567,Vijay Singh,69.67,418,6
42,0,20160,Charlie Wi,69.67,209,3
45,0,31202,William McGirt,69.71,488,7
45,0,25834,Daniel Summerhays,69.71,488,7
47,0,34563,Chesson Hadley,69.78,628,9
47,0,25804,Bubba Watson,69.78,628,9
49,0,27963,Chris Stroud,69.80,698,10
49,0,27064,Jhonattan Vegas,69.80,349,5
51,0,27408,Martin Kaymer,69.83,419,6
51,0,33413,Ben Martin,69.83,419,6
53,0,24490,George McNeill,69.86,489,7
54,0,29420,Billy Horschel,69.90,699,10
55,0,10885,Robert Allenby,70.00,280,4
55,0,25191,Gonzalo Fernandez-Castaño,70.00,420,6
55,0,19846,Brian Gay,70.00,210,3
55,0,23353,J.J. Henry,70.00,420,6
55,0,29478,Kevin Kisner,70.00,280,4
55,0,10860,Justin Leonard,70.00,210,3
55,0,24140,Sean O'Hair,70.00,70,1
55,0,25240,D.A. Points,70.00,70,1
55,0,27556,Ted Potter Jr.,70.00,280,4
55,0,24138,Ian Poulter,70.00,350,5
55,0,34431,Robert Streb,70.00,560,8
55,0,31560,Brian Stuard,70.00,350,5
55,0,25632,Jimmy Walker,70.00,770,11
55,0,26289,Boo Weekley,70.00,280,4
69,0,10809,Jim Furyk,70.06,1191,17
70,0,23108,Matt Kuchar,70.07,1051,15
71,0,21731,Freddie Jacobson,70.11,631,9
72,0,24507,Jason Bohn,70.14,491,7
72,0,28089,Jason Day,70.14,491,7
72,0,24502,Adam Scott,70.14,982,14
75,0,24024,Zach Johnson,70.17,842,12
76,0,34021,Bud Cauley,70.20,351,5
76,0,30750,Tommy Gainey,70.20,351,5
78,0,25274,Steven Bowditch,70.25,281,4
78,0,26758,David Hearn,70.25,562,8
80,0,20645,John Senden,70.27,773,11
81,0,34046,Jordan Spieth,70.29,984,14
82,0,29926,Danny Lee,70.33,422,6
83,0,32366,Kevin Chappell,70.40,704,10
84,0,32334,Charlie Beljan,70.50,282,4
84,0,37273,Derek Ernst,70.50,141,2
84,0,29740,Brad Fritsch,70.50,282,4
84,0,32448,James Hahn,70.50,282,4
84,0,26329,Louis Oosthuizen,70.50,282,4
84,0,30692,Scott Stallings,70.50,141,2
84,0,27214,Kevin Streelman,70.50,423,6
91,0,23541,Ben Crane,70.60,353,5
91,0,24781,Hunter Mahan,70.60,353,5
93,0,35732,Wes Roach,70.67,212,3
93,0,30110,Kyle Stanley,70.67,212,3
95,0,25349,Tim Wilkinson,70.71,495,7
96,0,22621,Ben Curtis,70.75,283,4
96,0,24924,Bill Haas,70.75,849,12
96,0,30852,Ryo Ishikawa,70.75,283,4
96,0,35139,Richard Lee,70.75,283,4
96,0,35300,Andrew Loupe,70.75,283,4
96,0,20396,Lee Westwood,70.75,283,4
102,0,24358,Robert Garrigus,70.80,354,5
103,0,25444,Justin Hicks,70.86,496,7
