RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 240-260,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,02206,David Toms,25.86,30,116,+0.07
2,0,24357,K.J. Choi,21.55,25,116,+0.04
3,0,29222,Billy Hurley III,21.23,31,146,E
4,0,10860,Justin Leonard,20.49,25,122,+0.12
5,0,40058,Zac Blair,18.32,37,202,-0.14
6,0,21753,Brian Davis,17.31,27,156,+0.15
7,0,30711,Colt Knost,16.87,28,166,+0.14
8,0,34262,Jon Curran,16.45,25,152,+0.04
9,0,23541,Ben Crane,15.79,18,114,+0.33
10,0,08075,Jerry Kelly,14.47,22,152,-0.14
11,0,31560,Brian Stuard,14.20,25,176,-0.20
12,0,20104,Ken Duke,13.95,24,172,-0.17
13,0,30927,Brendon Todd,13.64,24,176,-0.25
14,0,28475,Jeff Overton,12.94,22,170,+0.36
15,0,26596,Ryan Moore,12.14,17,140,-0.12
16,0,35539,Luke Guthrie,12.00,18,150,+0.22
17,0,34174,John Huh,11.73,23,196,+0.22
18,0,34261,Scott Langley,11.54,21,182,+0.10
19,0,22293,Heath Slocum,11.46,11,96,E
20,0,23983,Luke Donald,11.19,15,134,+0.13
21,0,31202,William McGirt,11.17,23,206,-0.04
22,0,10809,Jim Furyk,10.94,14,128,+0.07
23,0,25240,D.A. Points,10.87,15,138,+0.47
24,0,26758,David Hearn,10.82,21,194,+0.10
25,0,24490,George McNeill,10.75,20,186,-0.05
26,0,23800,Bryce Molder,10.71,18,168,+0.17
27,0,20593,Greg Chalmers,10.64,10,94,+0.10
28,0,25349,Tim Wilkinson,10.61,14,132,E
29,0,37454,Whee Kim,10.45,14,134,+0.21
30,0,33419,Cameron Tringale,10.42,20,192,-0.15
31,0,25396,Kevin Na,10.34,18,174,E
32,0,22371,Aaron Baddeley,10.27,15,146,+0.33
33,0,10885,Robert Allenby,10.19,11,108,+0.45
34,0,29926,Danny Lee,10.18,23,226,E
35,0,24507,Jason Bohn,10.00,19,190,+0.21
36,0,34256,Andrew Putnam,9.52,12,126,+0.25
37,0,25198,Francesco Molinari,9.43,10,106,E
37,0,28132,Tyrone Van Aswegen,9.43,10,106,+0.30
39,0,21878,Mark Wilson,9.41,16,170,-0.31
40,0,26851,Marc Leishman,9.02,11,122,+0.27
41,0,33122,Russell Knox,8.85,17,192,-0.12
42,0,23108,Matt Kuchar,8.79,16,182,+0.06
43,0,25191,Gonzalo Fernandez-Castaño,8.78,13,148,+0.15
43,0,34130,Sung Joon Park,8.78,13,148,+0.15
45,0,25720,Chad Collins,8.55,13,152,-0.31
46,0,28679,Fabián Gómez,8.54,14,164,-0.36
47,0,20771,Steven Alker,8.47,10,118,+0.30
48,0,23048,Eric Axley,8.33,9,108,+0.33
48,0,20766,Padraig Harrington,8.33,10,120,+0.30
50,0,28486,Michael Putnam,8.23,13,158,+0.46
51,0,25686,Jason Dufner,8.06,10,124,+0.10
52,0,27895,Jonas Blixt,7.94,10,126,+0.50
53,0,24024,Zach Johnson,7.74,13,168,-0.15
