RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF 1 PUTTS,# OF HOLES
1,0,34256,Andrew Putnam,46.72,185,396
2,0,34046,Jordan Spieth,46.30,200,432
3,0,26300,Matt Jones,46.06,199,432
3,0,08075,Jerry Kelly,46.06,199,432
5,0,33461,Morgan Hoffmann,45.56,205,450
6,0,23800,Bryce Molder,44.89,202,450
7,0,25274,Steven Bowditch,44.62,249,558
8,0,30927,Brendon Todd,44.23,207,468
9,0,33419,Cameron Tringale,43.65,220,504
10,0,35539,Luke Guthrie,43.59,204,468
11,0,28475,Jeff Overton,43.30,226,522
12,0,25834,Daniel Summerhays,42.91,224,522
13,0,27141,J.B. Holmes,42.82,185,432
14,0,24507,Jason Bohn,42.80,208,486
15,0,32640,Troy Merritt,42.72,223,522
16,0,20593,Greg Chalmers,42.71,123,288
17,0,28089,Jason Day,42.69,146,342
18,0,12716,Charley Hoffman,42.59,207,486
19,0,24846,Ricky Barnes,42.52,199,468
20,0,25632,Jimmy Walker,42.51,176,414
21,0,25369,Jamie Donaldson,42.46,107,252
22,0,23108,Matt Kuchar,42.36,183,432
23,0,24140,Sean O'Hair,42.31,198,468
23,0,27649,Brandt Snedeker,42.31,198,468
25,0,25493,Nick Taylor,42.26,213,504
26,0,27895,Jonas Blixt,42.22,190,450
26,0,33448,Justin Thomas,42.22,228,540
28,0,25818,Scott Piercy,42.18,205,486
29,0,28259,Sangmoon Bae,42.15,220,522
30,0,28679,Fabián Gómez,42.09,197,468
31,0,34174,John Huh,42.04,227,540
32,0,29518,Brendan Steele,42.03,174,414
33,0,40058,Zac Blair,42.01,242,576
34,0,35532,Tom Hoge,42.00,189,450
35,0,21753,Brian Davis,41.98,204,486
35,0,29222,Billy Hurley III,41.98,204,486
37,0,24361,Pat Perez,41.88,196,468
38,0,01810,Phil Mickelson,41.81,143,342
39,0,25396,Kevin Na,41.78,188,450
40,0,30852,Ryo Ishikawa,41.77,203,486
40,0,25892,Steve Wheatcroft,41.77,203,486
42,0,32366,Kevin Chappell,41.67,195,468
42,0,39977,Max Homa,41.67,195,468
