RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
1,0,29725,Tony Finau,31,633,4.9
2,0,40058,Zac Blair,30,636,4.7
3,0,28500,Martin Flores,28,511,5.5
3,0,24140,Sean O'Hair,28,589,4.8
3,0,24361,Pat Perez,28,591,4.7
6,0,25274,Steven Bowditch,27,681,4.0
6,0,20229,Stewart Cink,27,435,6.2
6,0,29420,Billy Horschel,27,522,5.2
6,0,21961,Charles Howell III,27,619,4.4
10,0,26300,Matt Jones,26,514,5.1
10,0,33413,Ben Martin,26,511,5.1
10,0,25818,Scott Piercy,26,598,4.3
10,0,27770,Camilo Villegas,26,550,4.7
14,0,12510,Chad Campbell,25,603,4.1
14,0,28679,Fabián Gómez,25,516,4.8
14,0,33667,Carlos Ortiz,25,578,4.3
14,0,25834,Daniel Summerhays,25,659,3.8
18,0,33399,Adam Hadwin,24,558,4.3
18,0,34431,Robert Streb,24,686,3.5
18,0,34264,Hudson Swafford,24,567,4.2
18,0,32150,Michael Thompson,24,515,4.7
22,0,29926,Danny Lee,23,788,2.9
22,0,32640,Troy Merritt,23,604,3.8
24,0,28089,Jason Day,22,443,5.0
24,0,31557,Jim Herman,22,464,4.7
24,0,29425,Andrew Svoboda,22,474,4.6
27,0,35539,Luke Guthrie,21,497,4.2
27,0,23353,J.J. Henry,21,446,4.7
27,0,23108,Matt Kuchar,21,600,3.5
27,0,27466,Spencer Levin,21,538,3.9
27,0,35541,John Peterson,21,506,4.2
27,0,33448,Justin Thomas,21,713,2.9
27,0,33419,Cameron Tringale,21,594,3.5
27,0,21878,Mark Wilson,21,561,3.7
35,0,24507,Jason Bohn,20,627,3.2
35,0,34563,Chesson Hadley,20,673,3.0
35,0,29478,Kevin Kisner,20,676,3.0
35,0,30944,Jason Kokrak,20,548,3.6
39,0,21753,Brian Davis,19,522,3.6
39,0,20104,Ken Duke,19,554,3.4
39,0,32448,James Hahn,19,566,3.4
39,0,27644,Brian Harman,19,559,3.4
39,0,12716,Charley Hoffman,19,557,3.4
39,0,23800,Bryce Molder,19,565,3.4
39,0,25345,Carl Pettersson,19,733,2.6
39,0,27649,Brandt Snedeker,19,587,3.2
39,0,27214,Kevin Streelman,19,473,4.0
39,0,28780,Nicholas Thompson,19,464,4.1
39,0,27064,Jhonattan Vegas,19,496,3.8
39,0,25892,Steve Wheatcroft,19,529,3.6
51,0,28259,Sangmoon Bae,18,671,2.7
51,0,32366,Kevin Chappell,18,567,3.2
51,0,23638,Brendon de Jonge,18,655,2.7
51,0,34099,Harris English,18,644,2.8
51,0,29720,Andres Gonzales,18,536,3.4
51,0,26758,David Hearn,18,608,3.0
51,0,34098,Russell Henley,18,468,3.8
51,0,33122,Russell Knox,18,571,3.2
51,0,27936,Martin Laird,18,506,3.6
51,0,35451,Scott Pinckney,18,488,3.7
51,0,23621,Rory Sabbatini,18,485,3.7
51,0,31560,Brian Stuard,18,575,3.1
63,0,29535,Brice Garnett,17,406,4.2
63,0,30852,Ryo Ishikawa,17,540,3.1
63,0,34046,Jordan Spieth,17,541,3.1
63,0,29518,Brendan Steele,17,532,3.2
63,0,33418,Shawn Stefani,17,602,2.8
63,0,30927,Brendon Todd,17,600,2.8
69,0,40026,Daniel Berger,16,571,2.8
69,0,25364,Paul Casey,16,420,3.8
69,0,24494,Erik Compton,16,535,3.0
69,0,21209,Sergio Garcia,16,270,5.9
69,0,36801,Mark Hubbard,16,419,3.8
69,0,34174,John Huh,16,643,2.5
69,0,24024,Zach Johnson,16,510,3.1
69,0,34409,David Lingmerth,16,557,2.9
69,0,32839,Hideki Matsuyama,16,534,3.0
69,0,24490,George McNeill,16,645,2.5
69,0,25396,Kevin Na,16,555,2.9
69,0,34256,Andrew Putnam,16,413,3.9
69,0,34360,Patrick Reed,16,612,2.6
69,0,27963,Chris Stroud,16,477,3.4
69,0,25493,Nick Taylor,16,604,2.6
69,0,27095,Nick Watney,16,545,2.9
69,0,34265,Will Wilcox,16,275,5.8
86,0,24846,Ricky Barnes,15,473,3.2
86,0,27895,Jonas Blixt,15,373,4.0
86,0,29479,Scott Brown,15,602,2.5
86,0,20472,Alex Cejka,15,554,2.7
86,0,34262,Jon Curran,15,440,3.4
86,0,23983,Luke Donald,15,385,3.9
86,0,24781,Hunter Mahan,15,460,3.3
86,0,23623,Bo Van Pelt,15,441,3.4
86,0,26951,Johnson Wagner,15,391,3.8
86,0,31323,Gary Woodland,15,386,3.9
96,0,22371,Aaron Baddeley,14,505,2.8
96,0,25686,Jason Dufner,14,319,4.4
96,0,24924,Bill Haas,14,467,3.0
96,0,30711,Colt Knost,14,518,2.7
96,0,28475,Jeff Overton,14,523,2.7
96,0,25240,D.A. Points,14,419,3.3
96,0,29476,Kyle Reifers,14,570,2.5
96,0,02206,David Toms,14,399,3.5
96,0,26289,Boo Weekley,14,463,3.0
105,0,23541,Ben Crane,13,387,3.4
105,0,37273,Derek Ernst,13,422,3.1
105,0,25191,Gonzalo Fernandez-Castaño,13,419,3.1
105,0,20157,Retief Goosen,13,446,2.9
105,0,20766,Padraig Harrington,13,351,3.7
105,0,27141,J.B. Holmes,13,522,2.5
105,0,36689,Brooks Koepka,13,470,2.8
105,0,34261,Scott Langley,13,545,2.4
105,0,31202,William McGirt,13,680,1.9
105,0,27933,John Merrick,13,389,3.3
105,0,26596,Ryan Moore,13,459,2.8
105,0,26329,Louis Oosthuizen,13,337,3.9
105,0,24138,Ian Poulter,13,382,3.4
