RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,25804,Bubba Watson,4.47,929,208
2,0,33448,Justin Thomas,4.49,1507,336
3,0,30925,Dustin Johnson,4.50,1009,224
4,0,23108,Matt Kuchar,4.54,1353,298
4,0,22405,Justin Rose,4.54,954,210
4,0,29221,Webb Simpson,4.54,1054,232
7,0,28089,Jason Day,4.55,1055,232
7,0,36689,Brooks Koepka,4.55,1101,242
9,0,33667,Carlos Ortiz,4.56,1419,311
9,0,25632,Jimmy Walker,4.56,1195,262
11,0,22371,Aaron Baddeley,4.57,1041,228
11,0,25369,Jamie Donaldson,4.57,695,152
13,0,40026,Daniel Berger,4.58,1398,305
13,0,33141,Keegan Bradley,4.58,1236,270
13,0,25364,Paul Casey,4.58,1057,231
13,0,27436,Graham DeLaet,4.58,916,200
13,0,01810,Phil Mickelson,4.58,1027,224
13,0,24502,Adam Scott,4.58,678,148
19,0,32102,Rickie Fowler,4.59,1065,232
19,0,27141,J.B. Holmes,4.59,1268,276
19,0,26300,Matt Jones,4.59,1312,286
19,0,30944,Jason Kokrak,4.59,1257,274
19,0,34046,Jordan Spieth,4.59,1277,278
24,0,20848,Ángel Cabrera,4.60,764,166
24,0,21961,Charles Howell III,4.60,1564,340
24,0,32839,Hideki Matsuyama,4.60,1352,294
24,0,33418,Shawn Stefani,4.60,1380,300
28,0,32334,Charlie Beljan,4.61,1052,228
28,0,12510,Chad Campbell,4.61,1369,297
28,0,34099,Harris English,4.61,1410,306
28,0,24024,Zach Johnson,4.61,1158,251
28,0,29478,Kevin Kisner,4.61,1472,319
28,0,26329,Louis Oosthuizen,4.61,913,198
28,0,30946,Alex Prugh,4.61,1170,254
28,0,34360,Patrick Reed,4.61,1476,320
28,0,06567,Vijay Singh,4.61,1125,244
28,0,27649,Brandt Snedeker,4.61,1350,293
28,0,29518,Brendan Steele,4.61,1319,286
28,0,34264,Hudson Swafford,4.61,1359,295
40,0,29725,Tony Finau,4.62,1534,332
40,0,12716,Charley Hoffman,4.62,1385,300
40,0,33461,Morgan Hoffmann,4.62,1219,264
40,0,36801,Mark Hubbard,4.62,1119,242
40,0,25818,Scott Piercy,4.62,1285,278
40,0,36699,Patrick Rodgers,4.62,702,152
40,0,21528,Henrik Stenson,4.62,887,192
40,0,26289,Boo Weekley,4.62,1163,252
48,0,32366,Kevin Chappell,4.63,1269,274
48,0,21209,Sergio Garcia,4.63,814,176
48,0,34261,Scott Langley,4.63,1339,289
48,0,23621,Rory Sabbatini,4.63,1167,252
52,0,25720,Chad Collins,4.64,1151,248
52,0,24924,Bill Haas,4.64,1263,272
52,0,30926,Chris Kirk,4.64,1124,242
52,0,34409,David Lingmerth,4.64,1290,278
52,0,25198,Francesco Molinari,4.64,761,164
52,0,26596,Ryan Moore,4.64,1230,265
52,0,24361,Pat Perez,4.64,1484,320
52,0,29223,Sam Saunders,4.64,1221,263
52,0,26331,Charl Schwartzel,4.64,919,198
61,0,27895,Jonas Blixt,4.65,1121,241
61,0,25274,Steven Bowditch,4.65,1474,317
61,0,32200,Roberto Castro,4.65,697,150
61,0,20229,Stewart Cink,4.65,1103,237
61,0,28500,Martin Flores,4.65,1302,280
61,0,24358,Robert Garrigus,4.65,976,210
61,0,27644,Brian Harman,4.65,1228,264
61,0,34098,Russell Henley,4.65,1172,252
61,0,31557,Jim Herman,4.65,1278,275
61,0,35532,Tom Hoge,4.65,1121,241
61,0,08075,Jerry Kelly,4.65,1120,241
61,0,24490,George McNeill,4.65,1320,284
61,0,25396,Kevin Na,4.65,1387,298
61,0,20645,John Senden,4.65,1145,246
61,0,34431,Robert Streb,4.65,1533,330
