RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,22892,Jason Gore,250,Farmers Ins.,3,18 - Par 5
2,0,29725,Tony Finau,236,Shriners Hosp.,2,13 - Par 5
3,0,32200,Roberto Castro,221,Wells Fargo,2,18 - Par 4
4,0,39451,Alex Redfield,217,Barbasol Champ,1,5 - Par 5 -
5,0,37455,Si Woo Kim,216,Travelers Champ,1,5 - Par 3 -
6,0,20472,Alex Cejka,212,Shriners Hosp.,3,17 - Par 3
7,0,29720,Andres Gonzales,210,Barbasol Champ,3,18 - Par 4
8,0,28307,Matt Every,209,Phoenix Open,3,2 - Par 4 -
9,0,20572,Rod Pampling,207,the Memorial,4,16 - Par 3
10,0,47996,Jack Maguire,207,Phoenix Open,2,12 - Par 3
11,0,25493,Nick Taylor,206,CareerBuilder,2,6 - Par 3 -
12,0,24846,Ricky Barnes,204,Zurich Classic,2,3 - Par 3 -
13,0,25198,Francesco Molinari,203,Quicken Loans,3,11 - Par 4
14,0,20443,Jin Park,203,Shriners Hosp.,2,3 - Par 4 -
15,0,30692,Scott Stallings,200,Texas Open,2,13 - Par 3
16,0,23541,Ben Crane,198,Farmers Ins.,3,15 - Par 4
17,0,26758,David Hearn,195,the Memorial,1,10 - Par 4
18,0,12510,Chad Campbell,194,Phoenix Open,2,7 - Par 3 -
19,0,27064,Jhonattan Vegas,190,Barbasol Champ,2,17 - Par 3
20,0,34174,John Huh,190,DEAN & DELUCA,1,14 - Par 4
21,0,31202,William McGirt,188,Wells Fargo,4,2 - Par 3 -
22,0,26300,Matt Jones,186,the Memorial,2,18 - Par 4
23,0,21731,Freddie Jacobson,184,Farmers Ins.,3,15 - Par 4
24,0,29745,Tyler Aldridge,180,Sanderson Farms,2,4 - Par 3 -
26,0,06522,Ernie Els,177,Travelers Champ,3,16 - Par 3
27,0,28114,Dawie van der Walt,174,Byron Nelson,2,12 - Par 4
28,0,12782,Tim Herron,167,Barbasol Champ,2,1 - Par 4 -
29,0,20766,Padraig Harrington,166,Sony Open,2,5 - Par 4 -
30,0,26596,Ryan Moore,164,Northern Trust,4,16 - Par 3
31,0,23983,Luke Donald,164,Wyndham Champ,1,16 - Par 3
32,0,25632,Jimmy Walker,164,WGC-Bridgestone,4,9 - Par 4 -
33,0,29479,Scott Brown,163,Wyndham Champ,4,3 - Par 3 -
36,0,30852,Ryo Ishikawa,160,Phoenix Open,1,6 - Par 4 -
37,0,27942,Rob Oppenheim,160,Texas Open,2,1 - Par 4 -
38,0,32366,Kevin Chappell,158,DEAN & DELUCA,1,10 - Par 4
39,0,27466,Spencer Levin,158,Byron Nelson,2,6 - Par 4 -
40,0,33413,Ben Martin,158,the Memorial,4,1 - Par 4 -
42,0,33418,Shawn Stefani,156,Wyndham Champ,3,16 - Par 3
43,0,34466,Peter Malnati,156,Wyndham Champ,3,16 - Par 3
44,0,35539,Luke Guthrie,156,Wyndham Champ,4,13 - Par 4
45,0,25345,Carl Pettersson,155,St. Jude,2,7 - Par 4 -
46,0,50527,Jared du Toit,155,Canadian Open,1,17 - Par 4
47,0,29518,Brendan Steele,154,the Memorial,1,18 - Par 4
48,0,24924,Bill Haas,153,DEAN & DELUCA,4,14 - Par 4
49,0,29268,Bronson Burgoon,151,St. Jude,2,9 - Par 4 -
50,0,28132,Tyrone Van Aswegen,150,Northern Trust,3,16 - Par 3
51,0,06527,Steve Stricker,150,Valspar Champ,2,10 - Par 4
52,0,27963,Chris Stroud,150,Canadian Open,4,3 - Par 4 -
53,0,36699,Patrick Rodgers,150,Barbasol Champ,2,11 - Par 4
55,0,25240,D.A. Points,149,Texas Open,4,11 - Par 4
56,0,26951,Johnson Wagner,149,Wyndham Champ,4,6 - Par 4 -
57,0,49633,Charlie Danielson,149,John Deere,3,18 - Par 4
58,0,21209,Sergio Garcia,148,Honda Classic,1,2 - Par 4 -
59,0,35545,Blayne Barber,148,Valspar Champ,1,12 - Par 4
60,0,34265,Will Wilcox,148,THE PLAYERS,2,17 - Par 3
61,0,28158,Steve Marino,147,Barbasol Champ,4,1 - Par 4 -
62,0,29476,Kyle Reifers,146,Sony Open,1,15 - Par 4
63,0,34431,Robert Streb,146,Wyndham Champ,1,17 - Par 4
64,0,32757,Patton Kizzire,146,Sanderson Farms,3,14 - Par 5
65,0,29221,Webb Simpson,145,the Memorial,3,9 - Par 4 -
66,0,20691,Greg Owen,144,Sony Open,1,12 - Par 4
67,0,26331,Charl Schwartzel,142,TOUR Champ,3,7 - Par 4 -
68,0,23320,Ryan Palmer,142,PGA Championshi,3,2 - Par 4 -
69,0,34563,Chesson Hadley,142,CareerBuilder,2,18 - Par 4
71,0,28092,D.H. Lee,141,Frys.com Open,1,14 - Par 4
73,0,33410,Andrew Landry,138,John Deere,4,8 - Par 4 -
74,0,28237,Rory McIlroy,137,TOUR Champ,4,16 - Par 4
75,0,30927,Brendon Todd,136,RBC Heritage,1,16 - Par 4
76,0,33141,Keegan Bradley,136,Zurich Classic,2,4 - Par 4 -
77,0,33667,Carlos Ortiz,135,Wells Fargo,3,17 - Par 3
78,0,31560,Brian Stuard,135,Farmers Ins.,1,14 - Par 4
79,0,10809,Jim Furyk,135,Travelers Champ,4,3 - Par 4 -
81,0,46440,Smylie Kaufman,134,Phoenix Open,2,1 - Par 4 -
82,0,28258,K.T. Kim,133,WGC-Cadillac,4,12 - Par 5
83,0,45526,Abraham Ancer,133,Byron Nelson,2,9 - Par 4 -
84,0,24494,Erik Compton,132,Travelers Champ,2,9 - Par 4 -
85,0,32640,Troy Merritt,129,DEAN & DELUCA,3,18 - Par 4
86,0,21961,Charles Howell III,129,Byron Nelson,1,1 - Par 4 -
89,0,23800,Bryce Molder,128,Deutsche Bank,2,1 - Par 4 -
90,0,32839,Hideki Matsuyama,127,PGA Championshi,2,2 - Par 4 -
92,0,25834,Daniel Summerhays,126,PGA Championshi,3,2 - Par 4 -
93,0,29478,Kevin Kisner,126,The Barclays,1,2 - Par 4 -
95,0,36801,Mark Hubbard,125,Sony Open,1,15 - Par 4
96,0,31557,Jim Herman,123,Arnold Palmer,3,6 - Par 5 -
97,0,27129,Luke List,122,Quicken Loans,1,16 - Par 5
100,0,34098,Russell Henley,121,Shell Houston,3,1 - Par 4 -
102,0,34168,Soomin Lee,121,PGA Championshi,2,2 - Par 4 -
103,0,22056,Cameron Percy,120,John Deere,1,8 - Par 4 -
105,0,33204,Shane Lowry,120,THE PLAYERS,2,18 - Par 4
107,0,34021,Bud Cauley,117,Byron Nelson,1,10 - Par 4
108,0,20157,Retief Goosen,117,John Deere,2,8 - Par 4 -
110,0,24461,Thomas Aiken,115,Byron Nelson,2,4 - Par 4 -
112,0,08075,Jerry Kelly,113,Travelers Champ,4,12 - Par 4
114,0,22405,Justin Rose,112,Arnold Palmer,1,3 - Par 4 -
115,0,46501,Ollie Schniederjans,111,Shriners Hosp.,2,12 - Par 4
116,0,26476,Chez Reavie,110,AT&T Pebble,2,11 - Par 4
118,0,32876,Martin Piller,108,CareerBuilder,1,11 - Par 5
121,0,27436,Graham DeLaet,103,Farmers Ins.,4,17 - Par 4
122,0,24511,Thongchai Jaidee,103,PGA Championshi,4,3 - Par 4 -
124,0,30925,Dustin Johnson,101,Byron Nelson,1,4 - Par 4 -
125,0,34264,Hudson Swafford,100,The Barclays,2,13 - Par 5
129,0,34262,Jon Curran,96,the Memorial,2,5 - Par 5 -
130,0,24502,Adam Scott,95,The Barclays,3,1 - Par 4 -
133,0,30163,Henrik Norlander,94,Travelers Champ,1,13 - Par 5
134,0,23638,Brendon de Jonge,94,Quicken Loans,2,8 - Par 4 -
135,0,30711,Colt Knost,92,The Barclays,2,7 - Par 5 -
137,0,29926,Danny Lee,91,DEAN & DELUCA,4,2 - Par 4 -
139,0,27649,Brandt Snedeker,91,DEAN & DELUCA,2,1 - Par 5 -
140,0,35314,Andy Sullivan,90,Honda Classic,2,6 - Par 4 -
144,0,37189,Harold Varner III,88,Quicken Loans,3,16 - Par 5
146,0,35451,Scott Pinckney,86,Barbasol Champ,3,16 - Par 5
147,0,50157,Philip Barbaree,84,St. Jude,2,1 - Par 4 -
148,0,35532,Tom Hoge,83,Quicken Loans,2,8 - Par 4 -
150,0,34099,Harris English,83,DEAN & DELUCA,4,1 - Par 5 -
151,0,29222,Billy Hurley III,82,John Deere,2,2 - Par 5 -
152,0,31646,Emiliano Grillo,81,Deutsche Bank,1,18 - Par 5
153,0,31323,Gary Woodland,80,PGA Championshi,2,2 - Par 4 -
155,0,33461,Morgan Hoffmann,76,Shell Houston,1,4 - Par 5 -
156,0,37273,Derek Ernst,75,Barbasol Champ,1,6 - Par 3 -
157,0,28475,Jeff Overton,74,Wells Fargo,1,14 - Par 4
159,0,23621,Rory Sabbatini,71,Canadian Open,2,14 - Par 4
164,0,20396,Lee Westwood,66,Shell Houston,1,4 - Par 5 -
165,0,26881,Jarrod Lyle,64,Frys.com Open,1,16 - Par 5
166,0,25818,Scott Piercy,64,PGA Championshi,2,8 - Par 4 -
168,0,32888,Lucas Lee,63,Valspar Champ,1,3 - Par 4 -
169,0,34046,Jordan Spieth,60,BMW Champ,3,11 - Par 5
172,0,25686,Jason Dufner,54,WGC-Cadillac,4,11 - Par 4
173,0,34360,Patrick Reed,52,CareerBuilder,4,11 - Par 5
174,0,22621,Ben Curtis,51,Arnold Palmer,1,5 - Par 4 -
175,0,27141,J.B. Holmes,51,Farmers Ins.,3,12 - Par 4
178,0,27895,Jonas Blixt,50,Zurich Classic,3,15 - Par 4
181,0,31525,Robby Ormand,48,Texas Open,1,14 - Par 5
182,0,21753,Brian Davis,48,Sanderson Farms,1,15 - Par 4
183,0,32448,James Hahn,48,Valspar Champ,2,16 - Par 4
189,0,28093,Miguel Angel Carballo,44,Frys.com Open,3,17 - Par 4
191,0,25892,Steve Wheatcroft,43,Wells Fargo,1,5 - Par 5 -
192,0,01116,Michael Bradley,42,Byron Nelson,2,7 - Par 5 -
195,0,26851,Marc Leishman,40,THE PLAYERS,1,2 - Par 5 -
196,0,25274,Steven Bowditch,40,Valspar Champ,2,10 - Par 4
199,0,25572,Graeme McDowell,39,Sony Open,1,1 - Par 4 -
200,0,47959,Bryson DeChambeau,39,Travelers Champ,3,12 - Par 4
202,0,29535,Brice Garnett,38,Sanderson Farms,2,15 - Par 4
204,0,22371,Aaron Baddeley,38,Travelers Champ,2,15 - Par 4
207,0,28380,Ryan Helminen,37,PGA Championshi,2,13 - Par 4
210,0,35300,Andrew Loupe,36,Zurich Classic,1,7 - Par 5 -
211,0,20104,Ken Duke,36,Phoenix Open,2,3 - Par 5 -
213,0,27644,Brian Harman,36,Zurich Classic,2,18 - Par 5
218,0,24024,Zach Johnson,35,WGC-Bridgestone,3,13 - Par 4
220,0,24912,Will MacKenzie,34,Quicken Loans,2,18 - Par 4
221,0,01948,Tim Petrovic,34,The RSM Classic,3,12 - Par 3
224,0,20098,Stuart Appleby,33,Canadian Open,4,9 - Par 4 -
229,0,10860,Justin Leonard,32,Northern Trust,2,13 - Par 4
232,0,26499,Rafa Cabrera Bello,32,Shell Houston,3,1 - Par 4 -
233,0,31416,Derek Fathauer,32,Texas Open,1,2 - Par 5 -
234,0,01810,Phil Mickelson,32,TOUR Champ,1,1 - Par 4 -
236,0,01706,Davis Love III,31,Hyundai T of C,4,10 - Par 4
240,0,32816,Satoshi Kodaira,31,Sony Open,1,5 - Par 4 -
242,0,27747,Hiroshi Iwata,31,Zurich Classic,2,7 - Par 5 -
245,0,23325,Vaughn Taylor,31,the Memorial,1,6 - Par 4 -
246,0,32102,Rickie Fowler,30,Hyundai T of C,3,5 - Par 5 -
247,0,25349,Tim Wilkinson,30,Wells Fargo,2,18 - Par 4
248,0,29420,Billy Horschel,30,Farmers Ins.,2,15 - Par 4
250,0,01766,Billy Mayfair,30,Texas Open,1,9 - Par 4 -
255,0,26329,Louis Oosthuizen,30,THE PLAYERS,4,11 - Par 5
256,0,39975,Michael Kim,29,Honda Classic,4,10 - Par 4
258,0,35879,Kelly Kraft,29,Sanderson Farms,2,5 - Par 5 -
