RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,29420,Billy Horschel,-.286
2,0,28237,Rory McIlroy,-.222
3,0,32876,Martin Piller,-.217
3,0,26331,Charl Schwartzel,-.217
5,0,22892,Jason Gore,-.192
6,0,26596,Ryan Moore,-.176
7,0,37455,Si Woo Kim,-.174
8,0,24507,Jason Bohn,-.167
9,0,26300,Matt Jones,-.152
10,0,29974,Branden Grace,-.148
11,0,02206,David Toms,-.130
12,0,25364,Paul Casey,-.125
13,0,12716,Charley Hoffman,-.121
14,0,23320,Ryan Palmer,-.119
15,0,33410,Andrew Landry,-.118
15,0,24781,Hunter Mahan,-.118
17,0,27644,Brian Harman,-.116
18,0,10809,Jim Furyk,-.111
19,0,25632,Jimmy Walker,-.109
20,0,29745,Tyler Aldridge,-.098
21,0,21731,Freddie Jacobson,-.097
22,0,24494,Erik Compton,-.095
23,0,34046,Jordan Spieth,-.093
24,0,31557,Jim Herman,-.088
25,0,22046,Geoff Ogilvy,-.087
26,0,25900,Lucas Glover,-.083
27,0,23325,Vaughn Taylor,-.081
28,0,30692,Scott Stallings,-.079
29,0,35879,Kelly Kraft,-.077
29,0,06527,Steve Stricker,-.077
31,0,35300,Andrew Loupe,-.071
32,0,27895,Jonas Blixt,-.069
33,0,30927,Brendon Todd,-.067
34,0,27129,Luke List,-.065
35,0,33461,Morgan Hoffmann,-.061
36,0,20157,Retief Goosen,-.059
36,0,24912,Will MacKenzie,-.059
38,0,28158,Steve Marino,-.054
38,0,25818,Scott Piercy,-.054
40,0,27466,Spencer Levin,-.053
41,0,31416,Derek Fathauer,-.049
42,0,23541,Ben Crane,-.045
43,0,24846,Ricky Barnes,-.044
44,0,33413,Ben Martin,-.042
45,0,25720,Chad Collins,-.038
45,0,29725,Tony Finau,-.038
47,0,31560,Brian Stuard,-.037
48,0,20098,Stuart Appleby,-.034
48,0,20691,Greg Owen,-.034
50,0,20645,John Senden,-.033
51,0,29478,Kevin Kisner,-.032
51,0,34431,Robert Streb,-.032
53,0,06567,Vijay Singh,-.031
54,0,30926,Chris Kirk,-.030
54,0,33418,Shawn Stefani,-.030
56,0,25686,Jason Dufner,-.027
57,0,27649,Brandt Snedeker,-.024
58,0,29268,Bronson Burgoon,E
58,0,24357,K.J. Choi,E
58,0,28089,Jason Day,E
58,0,20104,Ken Duke,E
58,0,32102,Rickie Fowler,E
58,0,28679,Fabián Gómez,E
58,0,21961,Charles Howell III,E
58,0,34174,John Huh,E
58,0,08075,Jerry Kelly,E
58,0,23108,Matt Kuchar,E
58,0,31420,Anirban Lahiri,E
58,0,29461,Jamie Lovemark,E
58,0,25198,Francesco Molinari,E
58,0,29289,S.Y. Noh,E
58,0,24140,Sean O'Hair,E
58,0,33667,Carlos Ortiz,E
58,0,35451,Scott Pinckney,E
58,0,26476,Chez Reavie,E
58,0,24502,Adam Scott,E
58,0,29221,Webb Simpson,E
58,0,25834,Daniel Summerhays,E
58,0,33419,Cameron Tringale,E
58,0,28132,Tyrone Van Aswegen,E
58,0,25892,Steve Wheatcroft,E
82,0,33448,Justin Thomas,+.023
82,0,27064,Jhonattan Vegas,+.023
84,0,32200,Roberto Castro,+.025
84,0,27214,Kevin Streelman,+.025
86,0,36801,Mark Hubbard,+.028
87,0,27974,Sung Kang,+.029
88,0,32640,Troy Merritt,+.031
88,0,26289,Boo Weekley,+.031
90,0,29476,Kyle Reifers,+.033
91,0,27942,Rob Oppenheim,+.036
92,0,26851,Marc Leishman,+.037
93,0,28475,Jeff Overton,+.040
94,0,23353,J.J. Henry,+.043
95,0,23800,Bryce Molder,+.045
96,0,37273,Derek Ernst,+.048
96,0,35539,Luke Guthrie,+.048
98,0,24358,Robert Garrigus,+.050
98,0,21878,Mark Wilson,+.050
100,0,27963,Chris Stroud,+.053
101,0,36689,Brooks Koepka,+.056
102,0,34360,Patrick Reed,+.061
103,0,24461,Thomas Aiken,+.067
103,0,31323,Gary Woodland,+.067
105,0,32448,James Hahn,+.069
105,0,01810,Phil Mickelson,+.069
105,0,22405,Justin Rose,+.069
108,0,23638,Brendon de Jonge,+.071
108,0,21209,Sergio Garcia,+.071
108,0,30163,Henrik Norlander,+.071
111,0,35732,Wes Roach,+.077
112,0,37189,Harold Varner III,+.079
112,0,27770,Camilo Villegas,+.079
114,0,35532,Tom Hoge,+.080
115,0,20766,Padraig Harrington,+.083
115,0,29518,Brendan Steele,+.083
117,0,34098,Russell Henley,+.085
118,0,20229,Stewart Cink,+.087
119,0,46440,Smylie Kaufman,+.089
120,0,32366,Kevin Chappell,+.091
120,0,27141,J.B. Holmes,+.091
120,0,32757,Patton Kizzire,+.091
120,0,25804,Bubba Watson,+.091
124,0,34264,Hudson Swafford,+.094
125,0,37454,Whee Kim,+.095
