RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (FEET),TOTAL PUTTS
1,0,27936,Martin Laird,25' 2",18528.000,737
2,0,34099,Harris English,24' 10",17929.500,721
3,0,32757,Patton Kizzire,24' 5",18708.167,766
4,0,21961,Charles Howell III,24' 4",20064.917,824
4,0,27649,Brandt Snedeker,24' 4",18037.167,741
6,0,22371,Aaron Baddeley,24' 3",17176.750,708
6,0,28089,Jason Day,24' 3",12228.000,505
6,0,20157,Retief Goosen,24' 3",11554.167,477
9,0,32102,Rickie Fowler,24' 2",16630.083,687
9,0,29420,Billy Horschel,24' 2",14296.500,592
9,0,27974,Sung Kang,24' 2",17926.917,741
12,0,36699,Patrick Rodgers,24' 1",18191.500,756
13,0,23353,J.J. Henry,24' 0",16912.333,705
13,0,29478,Kevin Kisner,24' 0",17778.333,741
13,0,20645,John Senden,24' 0",20255.750,843
16,0,20229,Stewart Cink,23' 11",13068.417,547
16,0,32876,Martin Piller,23' 11",11300.000,473
18,0,40058,Zac Blair,23' 10",19156.667,804
18,0,29461,Jamie Lovemark,23' 10",19510.833,820
20,0,27644,Brian Harman,23' 9",21362.833,900
20,0,23108,Matt Kuchar,23' 9",18458.083,776
20,0,31202,William McGirt,23' 9",21592.083,910
20,0,34046,Jordan Spieth,23' 9",12941.167,545
20,0,25834,Daniel Summerhays,23' 9",18668.000,785
20,0,25892,Steve Wheatcroft,23' 9",16147.250,680
20,0,21878,Mark Wilson,23' 9",13595.500,573
27,0,25364,Paul Casey,23' 8",14182.417,600
27,0,34262,Jon Curran,23' 8",19361.083,819
27,0,24924,Bill Haas,23' 8",16276.667,688
27,0,34261,Scott Langley,23' 8",12931.417,547
27,0,31323,Gary Woodland,23' 8",19419.917,821
32,0,24461,Thomas Aiken,23' 7",12381.583,525
32,0,24140,Sean O'Hair,23' 7",20117.833,854
32,0,35451,Scott Pinckney,23' 7",17722.250,751
35,0,23638,Brendon de Jonge,23' 6",16402.167,697
35,0,21209,Sergio Garcia,23' 6",7812.250,332
35,0,21731,Freddie Jacobson,23' 6",16691.417,711
35,0,35300,Andrew Loupe,23' 6",15155.083,645
35,0,29485,Brett Stegmaier,23' 6",18844.833,801
35,0,34264,Hudson Swafford,23' 6",22473.583,956
35,0,27064,Jhonattan Vegas,23' 6",19935.000,847
35,0,26951,Johnson Wagner,23' 6",18769.500,798
43,0,29268,Bronson Burgoon,23' 5",15889.583,678
43,0,33461,Morgan Hoffmann,23' 5",13555.833,578
43,0,30711,Colt Knost,23' 5",16881.250,721
43,0,33204,Shane Lowry,23' 5",8885.750,380
43,0,06527,Steve Stricker,23' 5",10309.417,441
48,0,24846,Ricky Barnes,23' 4",18829.750,806
48,0,24357,K.J. Choi,23' 4",15561.000,667
48,0,29974,Branden Grace,23' 4",10126.417,434
48,0,27466,Spencer Levin,23' 4",20074.667,860
52,0,23983,Luke Donald,23' 3",14221.000,611
52,0,32618,Rhein Gibson,23' 3",10712.583,460
52,0,26758,David Hearn,23' 3",19900.167,857
52,0,30944,Jason Kokrak,23' 3",18838.167,810
52,0,28158,Steve Marino,23' 3",13361.000,574
52,0,35732,Wes Roach,23' 3",10051.917,433
58,0,25274,Steven Bowditch,23' 2",12021.333,519
58,0,33399,Adam Hadwin,23' 2",20422.917,881
58,0,26851,Marc Leishman,23' 2",15355.750,664
58,0,35891,Cameron Smith,23' 2",10913.750,471
62,0,29725,Tony Finau,23' 1",18915.083,818
62,0,10809,Jim Furyk,23' 1",11278.083,488
62,0,29720,Andres Gonzales,23' 1",15544.500,674
62,0,29222,Billy Hurley III,23' 1",13155.917,570
62,0,33122,Russell Knox,23' 1",15373.083,667
62,0,01810,Phil Mickelson,23' 1",13036.500,564
62,0,26329,Louis Oosthuizen,23' 1",10459.583,453
62,0,34431,Robert Streb,23' 1",16362.833,710
70,0,34098,Russell Henley,23' 0",16672.667,725
70,0,27129,Luke List,23' 0",14427.333,628
70,0,37189,Harold Varner III,23' 0",18728.917,815
70,0,27770,Camilo Villegas,23' 0",16383.417,712
70,0,25632,Jimmy Walker,23' 0",15800.250,688
75,0,27895,Jonas Blixt,22' 11",14737.333,643
75,0,32448,James Hahn,22' 11",16883.833,738
75,0,33413,Ben Martin,22' 11",18740.583,818
75,0,29289,S.Y. Noh,22' 11",15962.000,696
79,0,35545,Blayne Barber,22' 10",17613.000,771
79,0,23541,Ben Crane,22' 10",15017.500,658
79,0,31646,Emiliano Grillo,22' 10",17596.667,770
79,0,08075,Jerry Kelly,22' 10",14555.417,638
79,0,37455,Si Woo Kim,22' 10",22739.083,996
84,0,24494,Erik Compton,22' 9",11842.583,521
84,0,25900,Lucas Glover,22' 9",16553.917,728
84,0,28679,Fabián Gómez,22' 9",16244.750,715
84,0,31557,Jim Herman,22' 9",16762.333,736
84,0,36801,Mark Hubbard,22' 9",18949.250,832
84,0,37454,Whee Kim,22' 9",15613.333,686
84,0,23800,Bryce Molder,22' 9",14398.000,633
84,0,26331,Charl Schwartzel,22' 9",12672.167,558
84,0,02206,David Toms,22' 9",12429.667,547
93,0,34174,John Huh,22' 8",18512.917,817
93,0,39975,Michael Kim,22' 8",19124.583,845
93,0,35879,Kelly Kraft,22' 8",10452.000,461
93,0,24781,Hunter Mahan,22' 8",11489.000,507
93,0,25818,Scott Piercy,22' 8",15447.083,682
93,0,29476,Kyle Reifers,22' 8",23389.417,1032
99,0,29479,Scott Brown,22' 7",16357.333,724
99,0,12510,Chad Campbell,22' 7",18977.000,841
99,0,27436,Graham DeLaet,22' 7",13822.000,611
99,0,33410,Andrew Landry,22' 7",7469.000,331
99,0,34466,Peter Malnati,22' 7",16394.083,726
99,0,25572,Graeme McDowell,22' 7",10627.083,471
99,0,29518,Brendan Steele,22' 7",17257.750,765
99,0,33419,Cameron Tringale,22' 7",15956.417,706
107,0,22892,Jason Gore,22' 6",13660.250,608
107,0,24024,Zach Johnson,22' 6",16117.333,717
107,0,36689,Brooks Koepka,22' 6",13191.833,587
107,0,32640,Troy Merritt,22' 6",14688.083,652
107,0,34360,Patrick Reed,22' 6",17046.167,758
107,0,23621,Rory Sabbatini,22' 6",9118.583,406
107,0,24502,Adam Scott,22' 6",12922.250,575
107,0,33418,Shawn Stefani,22' 6",18402.833,818
107,0,31560,Brian Stuard,22' 6",13331.417,593
107,0,30927,Brendon Todd,22' 6",11259.500,501
107,0,28114,Dawie van der Walt,22' 6",13686.250,609
107,0,34265,Will Wilcox,22' 6",13028.667,578
119,0,20098,Stuart Appleby,22' 5",14114.750,629
119,0,31416,Derek Fathauer,22' 5",16514.833,738
119,0,35539,Luke Guthrie,22' 5",9858.250,439
119,0,46440,Smylie Kaufman,22' 5",16858.167,751
119,0,31420,Anirban Lahiri,22' 5",10790.667,482
119,0,30163,Henrik Norlander,22' 5",12347.833,550
119,0,27942,Rob Oppenheim,22' 5",11461.167,512
119,0,29223,Sam Saunders,22' 5",11509.000,513
127,0,40026,Daniel Berger,22' 4",17091.750,765
127,0,20848,Ángel Cabrera,22' 4",11386.667,510
127,0,32200,Roberto Castro,22' 4",21121.750,944
127,0,30926,Chris Kirk,22' 4",16009.000,718
127,0,26596,Ryan Moore,22' 4",14515.167,650
127,0,28475,Jeff Overton,22' 4",12825.833,574
127,0,23320,Ryan Palmer,22' 4",17302.583,774
127,0,25349,Tim Wilkinson,22' 4",10892.750,488
135,0,32366,Kevin Chappell,22' 3",17892.583,803
135,0,34409,David Lingmerth,22' 3",13348.917,601
135,0,27214,Kevin Streelman,22' 3",15399.750,691
135,0,25493,Nick Taylor,22' 3",15174.250,681
139,0,06522,Ernie Els,22' 2",12243.500,552
139,0,12716,Charley Hoffman,22' 2",15657.750,707
139,0,28092,D.H. Lee,22' 2",10321.750,465
139,0,33667,Carlos Ortiz,22' 2",14215.167,642
139,0,22405,Justin Rose,22' 2",11018.750,498
139,0,28132,Tyrone Van Aswegen,22' 2",19572.917,884
145,0,29745,Tyler Aldridge,22' 1",15564.750,705
145,0,27747,Hiroshi Iwata,22' 1",14471.167,656
