RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,28237,Rory McIlroy,28.07,16,57
2,0,22371,Aaron Baddeley,25.88,22,85
3,0,34046,Jordan Spieth,25.86,30,116
4,0,22986,Søren Kjeldsen,25.53,12,47
5,0,25396,Kevin Na,24.79,29,117
6,0,39954,Cody Gribble,24.06,32,133
7,0,30925,Dustin Johnson,21.93,25,114
8,0,27129,Luke List,21.79,34,156
9,0,35450,Patrick Cantlay,21.54,14,65
10,0,27649,Brandt Snedeker,21.43,15,70
11,0,33448,Justin Thomas,21.21,28,132
12,0,49771,J.T. Poston,20.80,26,125
13,0,29720,Andres Gonzales,20.39,21,103
14,0,23497,Tag Ridings,20.37,22,108
15,0,29740,Brad Fritsch,20.31,13,64
16,0,27141,J.B. Holmes,20.28,29,143
17,0,30944,Jason Kokrak,20.27,30,148
18,0,28420,Ryan Brehm,19.65,34,173
19,0,28252,Seamus Power,19.63,32,163
19,0,26331,Charl Schwartzel,19.63,21,107
21,0,34213,Grayson Murray,19.62,31,158
22,0,25804,Bubba Watson,19.57,18,92
23,0,31420,Anirban Lahiri,19.54,17,87
24,0,29461,Jamie Lovemark,19.31,28,145
25,0,46970,Jon Rahm,19.30,22,114
26,0,34431,Robert Streb,19.19,33,172
27,0,25364,Paul Casey,19.09,21,110
28,0,34409,David Lingmerth,19.05,24,126
29,0,27974,Sung Kang,18.99,30,158
29,0,27963,Chris Stroud,18.99,15,79
31,0,29478,Kevin Kisner,18.92,21,111
32,0,35532,Tom Hoge,18.67,14,75
33,0,24846,Ricky Barnes,18.56,31,167
34,0,33461,Morgan Hoffmann,18.46,24,130
35,0,34360,Patrick Reed,18.45,31,168
36,0,22405,Justin Rose,18.37,18,98
37,0,29974,Branden Grace,18.29,15,82
38,0,46550,Brandon Hagy,18.24,29,159
39,0,46443,Brian Campbell,18.18,12,66
40,0,32448,James Hahn,18.03,22,122
41,0,26300,Matt Jones,17.89,17,95
41,0,36689,Brooks Koepka,17.89,22,123
43,0,24357,K.J. Choi,17.86,15,84
44,0,32200,Roberto Castro,17.81,13,73
