RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,35450,Patrick Cantlay,-.164
2,0,33448,Justin Thomas,-.142
3,0,22405,Justin Rose,-.137
4,0,28237,Rory McIlroy,-.134
5,0,21961,Charles Howell III,-.114
6,0,26851,Marc Leishman,-.112
7,0,47959,Bryson DeChambeau,-.107
8,0,30944,Jason Kokrak,-.105
9,0,32839,Hideki Matsuyama,-.104
10,0,30925,Dustin Johnson,-.094
11,0,27064,Jhonattan Vegas,-.091
12,0,49964,Aaron Wise,-.089
13,0,36689,Brooks Koepka,-.081
14,0,25818,Scott Piercy,-.079
15,0,12716,Charley Hoffman,-.071
15,0,46970,Jon Rahm,-.071
17,0,33418,Shawn Stefani,-.070
18,0,45157,Cam Davis,-.068
19,0,30911,Tommy Fleetwood,-.059
20,0,29420,Billy Horschel,-.056
21,0,23108,Matt Kuchar,-.054
21,0,25572,Graeme McDowell,-.054
23,0,32333,Kevin Tway,-.047
24,0,39997,Corey Conners,-.046
24,0,48822,Sebastián Muñoz,-.046
24,0,35732,Wes Roach,-.046
27,0,51766,Wyndham Clark,-.045
27,0,26300,Matt Jones,-.045
29,0,49766,Hank Lebioda,-.041
30,0,40115,Adam Svensson,-.040
31,0,29725,Tony Finau,-.037
31,0,47347,Adam Schenk,-.037
33,0,35449,Adam Long,-.036
34,0,25900,Lucas Glover,-.035
35,0,49303,Anders Albertson,-.034
35,0,39971,Sungjae Im,-.034
37,0,28679,Fabián Gómez,-.033
38,0,24925,Jonathan Byrd,-.032
39,0,24502,Adam Scott,-.031
40,0,34466,Peter Malnati,-.030
40,0,23320,Ryan Palmer,-.030
42,0,29221,Webb Simpson,-.028
43,0,52372,Cameron Champ,-.027
44,0,33141,Keegan Bradley,-.026
44,0,36699,Patrick Rodgers,-.026
46,0,34360,Patrick Reed,-.024
47,0,34098,Russell Henley,-.023
48,0,27936,Martin Laird,-.021
48,0,34256,Andrew Putnam,-.021
50,0,29484,Peter Uihlein,-.016
51,0,33948,Byeong Hun An,-.015
52,0,06522,Ernie Els,-.012
52,0,32102,Rickie Fowler,-.012
54,0,37455,Si Woo Kim,-.011
54,0,37189,Harold Varner III,-.011
56,0,29268,Bronson Burgoon,-.009
56,0,24781,Hunter Mahan,-.009
58,0,35461,Beau Hossler,-.006
59,0,32791,K.H. Lee,-.005
59,0,23621,Rory Sabbatini,-.005
59,0,27214,Kevin Streelman,-.005
59,0,32150,Michael Thompson,-.005
63,0,27974,Sung Kang,E
63,0,37380,Curtis Luck,E
63,0,47993,Denny McCarthy,E
63,0,29223,Sam Saunders,E
63,0,48081,Xander Schauffele,E
63,0,25804,Bubba Watson,E
63,0,31323,Gary Woodland,E
63,0,37340,Chase Wright,E
71,0,23325,Vaughn Taylor,+.004
72,0,35532,Tom Hoge,+.005
72,0,26476,Chez Reavie,+.005
74,0,34046,Jordan Spieth,+.006
74,0,34431,Robert Streb,+.006
76,0,21528,Henrik Stenson,+.007
77,0,46402,Talor Gooch,+.008
77,0,34264,Hudson Swafford,+.008
79,0,34363,Tyrrell Hatton,+.009
80,0,40098,Matt Fitzpatrick,+.011
81,0,34021,Bud Cauley,+.014
81,0,46501,Ollie Schniederjans,+.014
81,0,25632,Jimmy Walker,+.014
84,0,37454,Whee Kim,+.015
84,0,45486,Joaquin Niemann,+.015
86,0,39977,Max Homa,+.016
86,0,26596,Ryan Moore,+.016
88,0,32200,Roberto Castro,+.017
89,0,19803,Ryan Armour,+.018
90,0,40009,Dominic Bozzelli,+.019
90,0,47504,Sam Burns,+.019
90,0,27095,Nick Watney,+.019
93,0,32640,Troy Merritt,+.020
93,0,30786,Brady Schnell,+.020
95,0,26329,Louis Oosthuizen,+.024
96,0,25686,Jason Dufner,+.025
