RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL FAIRWAY BUNKERS,POSSIBLE FWYS,RELATIVE TO PAR
1,0,35732,Wes Roach,3.1,21,91,+0.238
2,0,24781,Hunter Mahan,3.4,22,93,+0.227
2,0,29221,Webb Simpson,3.4,33,137,+0.152
4,0,45157,Cam Davis,3.6,28,119,+0.179
4,0,28237,Rory McIlroy,3.6,29,120,-0.034
6,0,10809,Jim Furyk,3.9,31,130,+0.129
6,0,31560,Brian Stuard,3.9,42,184,+0.286
8,0,35376,Roberto Díaz,4.0,28,125,+0.179
8,0,33410,Andrew Landry,4.0,36,152,+0.222
8,0,34261,Scott Langley,4.0,36,153,+0.417
8,0,49960,Sepp Straka,4.0,32,137,+0.344
12,0,21209,Sergio Garcia,4.2,22,92,+0.182
12,0,26758,David Hearn,4.2,20,81,+0.300
14,0,19803,Ryan Armour,4.3,45,195,+0.333
14,0,28089,Jason Day,4.3,28,120,-0.107
14,0,46523,Joey Garber,4.3,26,108,+0.308
14,0,21528,Henrik Stenson,4.3,25,106,+0.240
18,0,51766,Wyndham Clark,4.4,44,183,+0.250
18,0,29535,Brice Garnett,4.4,40,171,+0.075
18,0,26476,Chez Reavie,4.4,43,181,+0.395
21,0,45526,Abraham Ancer,4.5,45,188,+0.400
21,0,49298,Kramer Hickok,4.5,37,157,+0.486
21,0,25804,Bubba Watson,4.5,31,133,-0.032
24,0,24925,Jonathan Byrd,4.6,23,99,+0.174
24,0,01810,Phil Mickelson,4.6,31,135,E
26,0,31557,Jim Herman,4.7,25,109,+0.400
26,0,36799,Stephan Jaeger,4.7,37,154,+0.243
26,0,26596,Ryan Moore,4.7,41,172,+0.049
26,0,29518,Brendan Steele,4.7,33,139,+0.303
30,0,32200,Roberto Castro,4.8,41,172,+0.293
30,0,52372,Cameron Champ,4.8,45,194,+0.200
30,0,29970,Dylan Frittelli,4.8,45,192,+0.156
30,0,28679,Fabián Gómez,4.8,32,134,+0.469
30,0,26851,Marc Leishman,4.8,38,162,E
30,0,47856,Seth Reeves,4.8,35,148,+0.314
30,0,33418,Shawn Stefani,4.8,41,173,+0.073
30,0,27214,Kevin Streelman,4.8,46,195,+0.239
38,0,47504,Sam Burns,4.9,46,191,+0.304
38,0,39997,Corey Conners,4.9,47,200,+0.340
38,0,30925,Dustin Johnson,4.9,38,158,+0.263
38,0,32816,Satoshi Kodaira,4.9,35,145,+0.486
38,0,26951,Johnson Wagner,4.9,32,137,+0.219
43,0,30978,Kiradech Aphibarnrat,5.0,31,131,E
43,0,20472,Alex Cejka,5.0,28,119,+0.179
43,0,46435,Austin Cook,5.0,37,154,+0.378
43,0,45609,Tyler Duncan,5.0,45,195,+0.267
43,0,40098,Matt Fitzpatrick,5.0,26,110,+0.192
43,0,47990,Kyle Jones,5.0,38,157,+0.237
43,0,36689,Brooks Koepka,5.0,41,175,+0.073
43,0,30944,Jason Kokrak,5.0,52,223,+0.288
43,0,27936,Martin Laird,5.0,51,218,+0.373
52,0,23108,Matt Kuchar,5.1,47,201,+0.021
52,0,25396,Kevin Na,5.1,31,129,+0.484
52,0,39327,Ben Silverman,5.1,40,173,+0.125
52,0,33419,Cameron Tringale,5.1,36,155,+0.111
56,0,33948,Byeong Hun An,5.2,44,183,+0.136
56,0,28259,Sangmoon Bae,5.2,29,122,+0.276
56,0,40026,Daniel Berger,5.2,43,178,+0.209
56,0,29478,Kevin Kisner,5.2,51,216,+0.255
60,0,27895,Jonas Blixt,5.3,47,199,+0.234
60,0,33141,Keegan Bradley,5.3,50,213,+0.300
60,0,34099,Harris English,5.3,58,245,-0.034
60,0,36699,Patrick Rodgers,5.3,33,142,+0.121
60,0,30692,Scott Stallings,5.3,50,215,+0.300
65,0,49303,Anders Albertson,5.4,39,164,+0.128
65,0,47959,Bryson DeChambeau,5.4,50,210,+0.060
65,0,37380,Curtis Luck,5.4,33,149,+0.152
65,0,34264,Hudson Swafford,5.4,35,153,+0.143
65,0,33448,Justin Thomas,5.4,42,175,+0.286
65,0,49964,Aaron Wise,5.4,41,171,+0.390
71,0,29268,Bronson Burgoon,5.5,36,151,+0.417
71,0,26499,Rafa Cabrera Bello,5.5,37,159,+0.162
71,0,33122,Russell Knox,5.5,45,191,+0.133
71,0,32640,Troy Merritt,5.5,43,182,+0.070
71,0,30110,Kyle Stanley,5.5,42,178,+0.119
76,0,34076,Joel Dahmen,5.6,59,251,+0.322
76,0,29725,Tony Finau,5.6,50,212,+0.160
76,0,19846,Brian Gay,5.6,56,232,+0.143
76,0,25900,Lucas Glover,5.6,63,271,+0.190
76,0,46402,Talor Gooch,5.6,37,154,+0.216
76,0,35421,Brandon Harkins,5.6,53,224,+0.113
76,0,49766,Hank Lebioda,5.6,45,189,+0.200
76,0,32058,José de Jesús Rodríguez,5.6,38,165,+0.211
84,0,33399,Adam Hadwin,5.7,49,213,+0.224
84,0,34431,Robert Streb,5.7,47,197,+0.213
86,0,35450,Patrick Cantlay,5.8,46,193,+0.130
86,0,25686,Jason Dufner,5.8,46,195,+0.196
86,0,37454,Whee Kim,5.8,38,161,+0.316
86,0,33667,Carlos Ortiz,5.8,58,249,+0.241
86,0,27330,Josh Teater,5.8,43,180,+0.256
91,0,25364,Paul Casey,5.9,45,192,+0.111
91,0,34098,Russell Henley,5.9,50,218,+0.280
91,0,23353,J.J. Henry,5.9,34,142,+0.176
91,0,32757,Patton Kizzire,5.9,43,178,+0.279
91,0,39546,Keith Mitchell,5.9,50,213,+0.300
91,0,28252,Seamus Power,5.9,50,214,+0.240
91,0,34046,Jordan Spieth,5.9,54,232,E
91,0,37189,Harold Varner III,5.9,60,253,+0.067
91,0,47128,Richy Werenski,5.9,60,256,+0.267
100,0,22371,Aaron Baddeley,6.0,35,151,+0.143
100,0,34021,Bud Cauley,6.0,61,262,-0.033
100,0,47993,Denny McCarthy,6.0,57,243,+0.228
100,0,48822,Sebastián Muñoz,6.0,53,229,+0.208
100,0,45486,Joaquin Niemann,6.0,67,282,+0.179
100,0,24361,Pat Perez,6.0,34,145,+0.029
