RANK,MOVEMENT,PLAYER_ID,PLAYER,LOW RND
1,0,34098,Russell Henley,61
1,0,35879,Kelly Kraft,61
1,0,28237,Rory McIlroy,61
1,0,40115,Adam Svensson,61
1,0,33448,Justin Thomas,61
6,0,35376,Roberto Díaz,62
6,0,31557,Jim Herman,62
6,0,25818,Scott Piercy,62
6,0,49771,J.T. Poston,62
6,0,36699,Patrick Rodgers,62
6,0,37275,Sam Ryder,62
6,0,48081,Xander Schauffele,62
13,0,52372,Cameron Champ,63
13,0,46435,Austin Cook,63
13,0,26300,Matt Jones,63
13,0,23108,Matt Kuchar,63
13,0,27936,Martin Laird,63
13,0,28775,Nate Lashley,63
13,0,26851,Marc Leishman,63
13,0,35449,Adam Long,63
13,0,33204,Shane Lowry,63
13,0,32839,Hideki Matsuyama,63
13,0,39546,Keith Mitchell,63
13,0,26476,Chez Reavie,63
13,0,22405,Justin Rose,63
13,0,29221,Webb Simpson,63
13,0,49960,Sepp Straka,63
13,0,26951,Johnson Wagner,63
13,0,31323,Gary Woodland,63
30,0,40009,Dominic Bozzelli,64
30,0,29268,Bronson Burgoon,64
30,0,35450,Patrick Cantlay,64
30,0,39997,Corey Conners,64
30,0,45157,Cam Davis,64
30,0,29725,Tony Finau,64
30,0,32102,Rickie Fowler,64
30,0,29970,Dylan Frittelli,64
30,0,46523,Joey Garber,64
30,0,19846,Brian Gay,64
30,0,25900,Lucas Glover,64
30,0,28679,Fabián Gómez,64
30,0,46402,Talor Gooch,64
30,0,24924,Bill Haas,64
30,0,35421,Brandon Harkins,64
30,0,29420,Billy Horschel,64
30,0,46717,Viktor Hovland,64
30,0,21961,Charles Howell III,64
30,0,24024,Zach Johnson,64
30,0,37455,Si Woo Kim,64
30,0,33122,Russell Knox,64
30,0,36689,Brooks Koepka,64
30,0,30944,Jason Kokrak,64
30,0,29926,Danny Lee,64
30,0,32791,K.H. Lee,64
30,0,25572,Graeme McDowell,64
30,0,25198,Francesco Molinari,64
30,0,26596,Ryan Moore,64
30,0,50525,Collin Morikawa,64
30,0,46601,Trey Mullinax,64
30,0,33667,Carlos Ortiz,64
30,0,46970,Jon Rahm,64
30,0,24502,Adam Scott,64
30,0,34046,Jordan Spieth,64
30,0,30110,Kyle Stanley,64
30,0,27963,Chris Stroud,64
30,0,31560,Brian Stuard,64
30,0,33449,Zack Sucher,64
30,0,34264,Hudson Swafford,64
30,0,27330,Josh Teater,64
30,0,37189,Harold Varner III,64
30,0,27095,Nick Watney,64
30,0,37340,Chase Wright,64
73,0,49303,Anders Albertson,65
73,0,45526,Abraham Ancer,65
73,0,19803,Ryan Armour,65
73,0,21407,Arjun Atwal,65
73,0,56220,Garrett Barber,65
73,0,27958,Ryan Blaum,65
73,0,33141,Keegan Bradley,65
73,0,29479,Scott Brown,65
73,0,26499,Rafa Cabrera Bello,65
73,0,25364,Paul Casey,65
73,0,32200,Roberto Castro,65
73,0,25720,Chad Collins,65
73,0,01226,Fred Couples,65
73,0,47959,Bryson DeChambeau,65
73,0,45609,Tyler Duncan,65
73,0,30911,Tommy Fleetwood,65
73,0,10809,Jim Furyk,65
73,0,29535,Brice Garnett,65
73,0,33399,Adam Hadwin,65
73,0,28938,Justin Harding,65
73,0,27644,Brian Harman,65
73,0,35506,Mackenzie Hughes,65
73,0,39971,Sungjae Im,65
73,0,32775,Shugo Imahira,65
73,0,21731,Freddie Jacobson,65
73,0,30925,Dustin Johnson,65
73,0,29478,Kevin Kisner,65
73,0,32757,Patton Kizzire,65
