RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,START TOURNAMENT ID
1,0,30911,Tommy Fleetwood,28,2018310
2,0,36689,Brooks Koepka,15,2019220
3,0,29221,Webb Simpson,13,2019250
4,0,40098,Matt Fitzpatrick,12,2019190
4,0,21528,Henrik Stenson,12,2019230
6,0,50525,Collin Morikawa,10,2018220
6,0,34360,Patrick Reed,10,2019360
6,0,22405,Justin Rose,10,2019300
6,0,23325,Vaughn Taylor,10,2019300
10,0,35450,Patrick Cantlay,9,2019320
10,0,34363,Tyrrell Hatton,9,2019250
10,0,29478,Kevin Kisner,9,2019340
10,0,26329,Louis Oosthuizen,9,2019320
10,0,34256,Andrew Putnam,9,2019320
15,0,10809,Jim Furyk,8,2019330
15,0,35310,Lanto Griffin,8,2018370
15,0,46717,Viktor Hovland,8,2019210
18,0,25364,Paul Casey,7,2019360
18,0,25203,SSP Chawrasia,7,2008140
18,0,51766,Wyndham Clark,7,2019370
18,0,27896,Ross Fisher,7,2018300
18,0,25900,Lucas Glover,7,2019390
18,0,25198,Francesco Molinari,7,2019320
18,0,39113,Shubhankar Sharma,7,2019020
18,0,30110,Kyle Stanley,7,2019360
18,0,40006,Erik van Rooyen,7,2018420
18,0,32139,Danny Willett,7,2019320
28,0,23699,Danny Chia,6,2010310
28,0,29725,Tony Finau,6,2019390
28,0,28258,K.T. Kim,6,2017040
28,0,30944,Jason Kokrak,6,2019380
28,0,33204,Shane Lowry,6,2019320
28,0,28300,Joost Luiten,6,2018200
28,0,48822,Sebastián Muñoz,6,2019390
28,0,46970,Jon Rahm,6,2019360
28,0,33486,Roger Sloan,6,2019380
28,0,33418,Shawn Stefani,6,2019370
28,0,02190,Doug Tewell,6,1999230
28,0,33448,Justin Thomas,6,2019370
40,0,33948,Byeong Hun An,5,2019380
40,0,28697,Gaganjeet Bhullar,5,2014030
40,0,32200,Roberto Castro,5,2019380
40,0,34021,Bud Cauley,5,2019380
40,0,39997,Corey Conners,5,2019430
40,0,28751,Andrew Dodt,5,2015430
40,0,31273,Gavin Kyle Green,5,2018020
40,0,24924,Bill Haas,5,2019390
40,0,27324,Seungsu Han,5,2010300
40,0,27141,J.B. Holmes,5,2019380
40,0,39977,Max Homa,5,2019380
40,0,30925,Dustin Johnson,5,2019420
40,0,01682,Wayne Levi,5,2001300
40,0,32797,Sanghyun Park,5,2019020
40,0,25818,Scott Piercy,5,2019360
40,0,26476,Chez Reavie,5,2019430
40,0,27649,Brandt Snedeker,5,2019430
40,0,34046,Jordan Spieth,5,2019420
40,0,26951,Johnson Wagner,5,2019390
40,0,47128,Richy Werenski,5,2019390
40,0,29454,Bernd Wiesberger,5,2018200
40,0,49964,Aaron Wise,5,2019360
40,0,56278,Matthew Wolff,5,2019390
40,0,33870,Ashun Wu,5,2015060
64,0,40026,Daniel Berger,4,2019390
64,0,32366,Kevin Chappell,4,2018490
64,0,47959,Bryson DeChambeau,4,2019430
64,0,27436,Graham DeLaet,4,2017480
64,0,28500,Martin Flores,4,2018430
64,0,35421,Brandon Harkins,4,2019400
64,0,34098,Russell Henley,4,2019400
64,0,29420,Billy Horschel,4,2019430
64,0,36801,Mark Hubbard,4,2017400
64,0,39971,Sungjae Im,4,2019450
64,0,31420,Anirban Lahiri,4,2019380
64,0,28237,Rory McIlroy,4,2019430
64,0,49771,J.T. Poston,4,2019410
64,0,28252,Seamus Power,4,2019400
64,0,35732,Wes Roach,4,2019400
64,0,23797,Brett Rumford,4,2015390
64,0,23621,Rory Sabbatini,4,2019420
64,0,24502,Adam Scott,4,2019430
64,0,27330,Josh Teater,4,2019400
64,0,37189,Harold Varner III,4,2019400
64,0,48887,Matt Wallace,4,2019320
64,0,31323,Gary Woodland,4,2019430
86,0,45526,Abraham Ancer,3,2019460
86,0,30978,Kiradech Aphibarnrat,3,2019420
86,0,20098,Stuart Appleby,3,2019040
86,0,19803,Ryan Armour,3,2019410
86,0,33141,Keegan Bradley,3,2019430
86,0,28420,Ryan Brehm,3,2017430
86,0,34306,John Chin,3,2019410
86,0,46435,Austin Cook,3,2019400
86,0,34076,Joel Dahmen,3,2019450
86,0,34099,Harris English,3,2019410
86,0,30736,Oscar Fraustro,3,2017060
86,0,32105,Nicholas Fung,3,2014030
86,0,29974,Branden Grace,3,2019420
86,0,35532,Tom Hoge,3,2019410
86,0,29222,Billy Hurley III,3,2019400
86,0,36514,Yuki Inamori,3,2019050
86,0,47990,Kyle Jones,3,2019410
86,0,37455,Si Woo Kim,3,2019450
86,0,37250,Romain Langasque,3,2015390
86,0,01666,Bernhard Langer,3,2018260
86,0,50526,Tom Lovelady,3,2019400
86,0,32839,Hideki Matsuyama,3,2019460
86,0,01810,Phil Mickelson,3,2019430
86,0,24077,Matthew Millar,3,2011310
86,0,39546,Keith Mitchell,3,2019430
86,0,26596,Ryan Moore,3,2019400
86,0,45486,Joaquin Niemann,3,2019450
86,0,27349,Alex Noren,3,2019420
86,0,30163,Henrik Norlander,3,2017160
86,0,35947,John Oda,3,2018410
86,0,23320,Ryan Palmer,3,2019440
86,0,29908,C.T. Pan,3,2019430
86,0,27556,Ted Potter Jr.,3,2019400
86,0,24138,Ian Poulter,3,2019430
86,0,34541,Poom Saksansin,3,2018020
86,0,02084,Bob Shearer,3,1984320
86,0,20580,Andre Stolz,3,2011300
86,0,30927,Brendon Todd,3,2019400
86,0,29484,Peter Uihlein,3,2019410
86,0,28114,Dawie van der Walt,3,2016450
86,0,34126,Scott Vincent,3,2015250
86,0,32254,Xinjun Zhang,3,2018440
128,0,26418,Adam Bland,2,2018200
128,0,32262,Mark Brown,2,2013310
128,0,29479,Scott Brown,2,2019450
128,0,26499,Rafa Cabrera Bello,2,2019430
128,0,34697,Yi Cao,2,2016050
128,0,20472,Alex Cejka,2,2019440
128,0,52372,Cameron Champ,2,2019460
128,0,55648,Minchel Choi,2,2019020
128,0,28937,George Coetzee,2,2019050
128,0,35376,Roberto Díaz,2,2019440
128,0,24179,David Drysdale,2,2009310
128,0,45609,Tyler Duncan,2,2019440
128,0,30907,Rhys Enoch,2,2018420
128,0,32102,Rickie Fowler,2,2019470
128,0,29970,Dylan Frittelli,2,2019460
128,0,30750,Tommy Gainey,2,2019410
128,0,28679,Fabián Gómez,2,2019410
128,0,24604,Hunter Haas,2,2013180
128,0,34563,Chesson Hadley,2,2019450
128,0,33399,Adam Hadwin,2,2019460
128,0,28938,Justin Harding,2,2019420
128,0,27644,Brian Harman,2,2019450
128,0,26758,David Hearn,2,2019410
128,0,23063,Scott Hend,2,2018020
128,0,39058,Lucas Herbert,2,2018420
128,0,31557,Jim Herman,2,2019410
128,0,01527,Scott Hoch,2,2008100
128,0,21961,Charles Howell III,2,2019470
128,0,35506,Mackenzie Hughes,2,2019450
128,0,24956,Mikko Ilonen,2,2015430
128,0,21731,Freddie Jacobson,2,2019400
128,0,29378,Daisuke Kataoka,2,2018050
128,0,47239,Phachara Khongwatmai,2,2018020
128,0,32369,Sihwan Kim,2,2019020
128,0,46404,Marcus Kinhult,2,2018420
128,0,23108,Matt Kuchar,2,2019470
128,0,33410,Andrew Landry,2,2019450
128,0,35834,Hyungjoon Lee,2,2018030
128,0,49481,Tae Hee Lee,2,2019030
128,0,26851,Marc Leishman,2,2019470
128,0,27619,Ben Leong,2,2016030
128,0,36528,Yanwei Liu,2,2018050
128,0,01766,Billy Mayfair,2,2016360
128,0,40042,Tyler McCumber,2,2018230
128,0,55421,Chip McDaniel,2,2019410
128,0,01793,Mac McLendon,2,1980430
128,0,24490,George McNeill,2,2019410
128,0,32640,Troy Merritt,2,2019460
128,0,25396,Kevin Na,2,2019430
128,0,39537,Chris Naegel,2,2015370
128,0,01866,Jack Newton,2,1982420
128,0,33968,Thorbjørn Olesen,2,2019420
128,0,26341,Wade Ormsby,2,2018200
128,0,33667,Carlos Ortiz,2,2019450
