RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,28237,Rory McIlroy,68.06,1225,18
2,0,35891,Cameron Smith,68.13,1635,24
3,0,47504,Sam Burns,68.32,2118,31
4,0,46046,Scottie Scheffler,68.35,2119,31
5,0,33448,Justin Thomas,68.63,2059,30
6,0,49964,Aaron Wise,68.79,2339,34
7,0,21961,Charles Howell III,68.82,1514,22
8,0,47483,Will Zalatoris,68.83,1996,29
9,0,48081,Xander Schauffele,69.03,2071,30
10,0,29725,Tony Finau,69.11,3248,47
10,0,49771,J.T. Poston,69.11,3179,46
12,0,57366,Cameron Young,69.15,2282,33
13,0,47529,Mito Pereira,69.17,3251,47
14,0,46402,Talor Gooch,69.19,2145,31
15,0,45486,Joaquin Niemann,69.21,2284,33
16,0,30911,Tommy Fleetwood,69.25,1662,24
17,0,39971,Sungjae Im,69.29,2425,35
18,0,35532,Tom Hoge,69.31,3327,48
18,0,51634,Sahith Theegala,69.31,3743,54
20,0,46340,Alex Smalley,69.33,3189,46
21,0,23108,Matt Kuchar,69.35,2150,31
22,0,46442,Maverick McNealy,69.37,3191,46
23,0,40250,Taylor Pendrith,69.39,2290,33
24,0,39997,Corey Conners,69.40,3262,47
24,0,50525,Collin Morikawa,69.40,2082,30
24,0,34046,Jordan Spieth,69.40,2429,35
27,0,29926,Danny Lee,69.46,1945,28
27,0,46970,Jon Rahm,69.46,1945,28
29,0,45609,Tyler Duncan,69.49,2710,39
29,0,28252,Seamus Power,69.49,2432,35
31,0,34098,Russell Henley,69.50,2641,38
31,0,46717,Viktor Hovland,69.50,2363,34
33,0,39546,Keith Mitchell,69.52,3198,46
34,0,47995,Davis Riley,69.54,2851,41
35,0,29221,Webb Simpson,69.55,2156,31
36,0,39977,Max Homa,69.56,2713,39
36,0,51890,Greyson Sigg,69.56,3478,50
38,0,33122,Russell Knox,69.59,3201,46
38,0,27936,Martin Laird,69.59,2575,37
40,0,40098,Matt Fitzpatrick,69.62,2019,29
41,0,48822,Sebastián Muñoz,69.64,2925,42
41,0,30692,Scott Stallings,69.64,3134,45
43,0,31646,Emiliano Grillo,69.69,2927,42
43,0,35449,Adam Long,69.69,2927,42
45,0,47988,Nick Hardy,69.70,1882,27
45,0,34256,Andrew Putnam,69.70,3485,50
45,0,32150,Michael Thompson,69.70,3206,46
48,0,27129,Luke List,69.73,3138,45
48,0,48699,Callum Tarren,69.73,2301,33
50,0,28775,Nate Lashley,69.74,2650,38
51,0,33204,Shane Lowry,69.75,1674,24
52,0,24502,Adam Scott,69.78,2512,36
53,0,32839,Hideki Matsuyama,69.79,2373,34
54,0,45522,Christiaan Bezuidenhout,69.81,3002,43
54,0,33141,Keegan Bradley,69.81,2932,42
56,0,47993,Denny McCarthy,69.83,3212,46
56,0,46601,Trey Mullinax,69.83,2863,41
58,0,27644,Brian Harman,69.84,3492,50
59,0,27349,Alex Noren,69.88,2236,32
60,0,29420,Billy Horschel,69.89,2586,37
61,0,32791,K.H. Lee,69.90,3635,52
62,0,54628,Lee Hodges,69.91,3076,44
62,0,23325,Vaughn Taylor,69.91,2307,33
64,0,35450,Patrick Cantlay,69.95,1469,21
65,0,33419,Cameron Tringale,69.96,3288,47
66,0,36801,Mark Hubbard,69.97,2309,33
66,0,26851,Marc Leishman,69.97,2449,35
68,0,34174,John Huh,70.00,2800,40
68,0,36884,Ben Kohles,70.00,2310,33
68,0,49947,Taylor Moore,70.00,3150,45
71,0,33399,Adam Hadwin,70.02,3221,46
71,0,34431,Robert Streb,70.02,3011,43
73,0,23983,Luke Donald,70.03,2661,38
74,0,32640,Troy Merritt,70.04,3292,47
74,0,22056,Cameron Percy,70.04,1821,26
76,0,50095,Austin Smotherman,70.05,3012,43
77,0,30927,Brendon Todd,70.07,3153,45
78,0,55708,Hayden Buckley,70.09,3014,43
78,0,40115,Adam Svensson,70.09,3014,43
80,0,47856,Seth Reeves,70.11,2594,37
80,0,51894,Vince Whaley,70.11,3225,46
82,0,34466,Peter Malnati,70.13,3857,55
83,0,34363,Tyrrell Hatton,70.14,2034,29
83,0,30926,Chris Kirk,70.14,3016,43
85,0,23621,Rory Sabbatini,70.16,2175,31
86,0,27214,Kevin Streelman,70.21,3300,47
86,0,27064,Jhonattan Vegas,70.21,2387,34
88,0,46414,Aaron Rai,70.22,3160,45
89,0,32448,James Hahn,70.24,2388,34
90,0,29478,Kevin Kisner,70.25,2248,32
90,0,48117,Kurt Kitayama,70.25,1967,28
90,0,37189,Harold Varner III,70.25,1967,28
93,0,47983,Chad Ramey,70.26,2178,31
93,0,26476,Chez Reavie,70.26,3513,50
93,0,32139,Danny Willett,70.26,2178,31
96,0,36699,Patrick Rodgers,70.28,3233,46
97,0,51766,Wyndham Clark,70.29,3374,48
98,0,24024,Zach Johnson,70.31,2461,35
98,0,29518,Brendan Steele,70.31,2742,39
100,0,24361,Pat Perez,70.32,2883,41
101,0,30944,Jason Kokrak,70.34,2462,35
102,0,45526,Abraham Ancer,70.35,2181,31
103,0,45157,Cam Davis,70.37,2885,41
104,0,24925,Jonathan Byrd,70.38,2252,32
104,0,37455,Si Woo Kim,70.38,3519,50
104,0,29908,C.T. Pan,70.38,2815,40
107,0,53165,Doc Redman,70.40,3309,47
108,0,52374,Brandon Wu,70.41,2605,37
109,0,32757,Patton Kizzire,70.43,3310,47
109,0,32816,Satoshi Kodaira,70.43,1972,28
109,0,34610,Matthias Schwab,70.43,2465,35
112,0,49766,Hank Lebioda,70.44,3029,43
113,0,29289,S.Y. Noh,70.45,2677,38
113,0,24138,Ian Poulter,70.45,1550,22
115,0,22405,Justin Rose,70.48,2185,31
116,0,34255,Joseph Bramlett,70.49,3313,47
116,0,34076,Joel Dahmen,70.49,3454,49
118,0,28089,Jason Day,70.50,1974,28
119,0,40162,Justin Lower,70.51,2609,37
119,0,51997,Andrew Novak,70.51,2750,39
121,0,30978,Kiradech Aphibarnrat,70.54,1834,26
121,0,39953,Chase Seiffert,70.54,1834,26
123,0,36326,David Lipsky,70.55,3104,44
123,0,25493,Nick Taylor,70.55,3316,47
123,0,32333,Kevin Tway,70.55,2963,42
126,0,52375,Doug Ghim,70.57,3105,44
126,0,47347,Adam Schenk,70.57,3105,44
128,0,26300,Matt Jones,70.58,2188,31
129,0,35310,Lanto Griffin,70.60,2965,42
129,0,39324,J.J. Spaun,70.60,3389,48
131,0,45540,Jared Wolfe,70.61,1977,28
132,0,37212,Paul Barjon,70.62,2754,39
133,0,19803,Ryan Armour,70.63,1907,27
133,0,37275,Sam Ryder,70.63,3814,54
135,0,32102,Rickie Fowler,70.64,2755,39
135,0,25818,Scott Piercy,70.64,2967,42
137,0,31560,Brian Stuard,70.67,2968,42
138,0,35879,Kelly Kraft,70.70,2616,37
138,0,23320,Ryan Palmer,70.70,2333,33
138,0,34360,Patrick Reed,70.70,2616,37
141,0,32662,Michael Gligic,70.72,2546,36
141,0,29974,Branden Grace,70.72,2051,29
141,0,24980,Scott Gutschewski,70.72,2051,29
144,0,29970,Dylan Frittelli,70.73,3395,48
144,0,35461,Beau Hossler,70.73,2122,30
146,0,34563,Chesson Hadley,70.74,2688,38
146,0,49298,Kramer Hickok,70.74,3537,50
148,0,36871,Matthew NeSmith,70.76,3467,49
149,0,36689,Brooks Koepka,70.77,1557,22
150,0,29535,Brice Garnett,70.80,3115,44
151,0,32366,Kevin Chappell,70.82,1983,28
151,0,35506,Mackenzie Hughes,70.82,3187,45
153,0,12716,Charley Hoffman,70.83,2550,36
153,0,36799,Stephan Jaeger,70.83,2975,42
155,0,33490,Bo Hoag,70.88,1701,24
155,0,33667,Carlos Ortiz,70.88,2268,32
157,0,20229,Stewart Cink,70.90,2836,40
158,0,27139,David Skinns,70.91,2340,33
158,0,10381,Curtis Thompson,70.91,2340,33
158,0,54783,Dylan Wu,70.91,2411,34
161,0,24924,Bill Haas,70.92,3546,50
162,0,31557,Jim Herman,70.97,2058,29
162,0,34264,Hudson Swafford,70.97,2342,33
164,0,52372,Cameron Champ,71.00,2059,29
164,0,36852,Jim Knous,71.00,1846,26
164,0,51950,Max McGreevy,71.00,2130,30
167,0,25900,Lucas Glover,71.04,3836,54
168,0,33486,Roger Sloan,71.05,2629,37
169,0,30163,Henrik Norlander,71.07,2914,41
170,0,31420,Anirban Lahiri,71.08,2630,37
171,0,31323,Gary Woodland,71.10,2204,31
172,0,33597,Harry Higgs,71.14,2988,42
172,0,25198,Francesco Molinari,71.14,1992,28
174,0,40006,Erik van Rooyen,71.16,1779,25
175,0,54421,Garrick Higgo,71.17,2064,29
176,0,35617,Martin Trainer,71.22,2920,41
