RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,34076,Joel Dahmen,-1.500
2,0,24925,Jonathan Byrd,-1.000
2,0,49453,Trevor Cone,-1.000
2,0,39997,Corey Conners,-1.000
2,0,30911,Tommy Fleetwood,-1.000
2,0,35901,Paul Haley II,-1.000
2,0,54628,Lee Hodges,-1.000
2,0,32791,K.H. Lee,-1.000
2,0,32640,Troy Merritt,-1.000
2,0,25818,Scott Piercy,-1.000
2,0,53165,Doc Redman,-1.000
2,0,47995,Davis Riley,-1.000
2,0,34431,Robert Streb,-1.000
2,0,35617,Martin Trainer,-1.000
2,0,52411,Kyle Westmoreland,-1.000
2,0,45242,Kevin Yu,-1.000
17,0,59018,Ryan Gerard,-.833
18,0,54421,Garrick Higgo,-.818
19,0,40058,Zac Blair,-.800
19,0,45157,Cam Davis,-.800
19,0,49771,J.T. Poston,-.800
19,0,46046,Scottie Scheffler,-.800
23,0,35450,Patrick Cantlay,-.750
23,0,33410,Andrew Landry,-.750
23,0,33413,Ben Martin,-.750
23,0,32839,Hideki Matsuyama,-.750
27,0,50188,S.H. Kim,-.727
28,0,31646,Emiliano Grillo,-.714
28,0,29221,Webb Simpson,-.714
28,0,52513,Carson Young,-.714
31,0,32102,Rickie Fowler,-.667
31,0,25900,Lucas Glover,-.667
31,0,27554,Scott Harrington,-.667
31,0,34363,Tyrrell Hatton,-.667
31,0,36801,Mark Hubbard,-.667
31,0,49960,Sepp Straka,-.667
31,0,47128,Richy Werenski,-.667
38,0,46414,Aaron Rai,-.636
39,0,48887,Matt Wallace,-.625
40,0,47591,Eric Cole,-.600
40,0,52375,Doug Ghim,-.600
40,0,27644,Brian Harman,-.600
40,0,35449,Adam Long,-.600
40,0,25493,Nick Taylor,-.600
40,0,51634,Sahith Theegala,-.600
46,0,54591,Ben Griffin,-.571
46,0,39546,Keith Mitchell,-.571
46,0,37275,Sam Ryder,-.571
46,0,48081,Xander Schauffele,-.571
46,0,25632,Jimmy Walker,-.571
51,0,57975,Harry Hall,-.556
52,0,36799,Stephan Jaeger,-.545
53,0,22371,Aaron Baddeley,-.500
53,0,33141,Keegan Bradley,-.500
53,0,52372,Cameron Champ,-.500
53,0,32366,Kevin Chappell,-.500
53,0,20229,Stewart Cink,-.500
53,0,39067,MJ Daffue,-.500
53,0,28089,Jason Day,-.500
53,0,29970,Dylan Frittelli,-.500
53,0,51414,Brent Grant,-.500
53,0,34563,Chesson Hadley,-.500
53,0,33399,Adam Hadwin,-.500
53,0,52453,Nicolai Hojgaard,-.500
53,0,39977,Max Homa,-.500
53,0,35506,Mackenzie Hughes,-.500
53,0,48117,Kurt Kitayama,-.500
53,0,32816,Satoshi Kodaira,-.500
53,0,23108,Matt Kuchar,-.500
53,0,34409,David Lingmerth,-.500
53,0,40162,Justin Lower,-.500
53,0,33204,Shane Lowry,-.500
53,0,51491,Brandon Matthews,-.500
53,0,47993,Denny McCarthy,-.500
53,0,28237,Rory McIlroy,-.500
53,0,40250,Taylor Pendrith,-.500
53,0,22056,Cameron Percy,-.500
53,0,39335,Kevin Roy,-.500
53,0,39324,J.J. Spaun,-.500
53,0,34046,Jordan Spieth,-.500
