RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,48867,Matti Schmid,24.75%,25,101
2,0,49453,Trevor Cone,23.45%,34,145
3,0,46717,Viktor Hovland,23.08%,30,130
4,0,23108,Matt Kuchar,22.79%,31,136
5,0,27129,Luke List,22.75%,38,167
6,0,52453,Nicolai Hojgaard,22.58%,21,93
7,0,59018,Ryan Gerard,22.55%,23,102
8,0,31646,Emiliano Grillo,22.22%,32,144
8,0,46046,Scottie Scheffler,22.22%,24,108
10,0,35449,Adam Long,22.06%,30,136
11,0,52372,Cameron Champ,21.77%,27,124
12,0,24502,Adam Scott,21.60%,27,125
13,0,39067,MJ Daffue,21.38%,34,159
14,0,32366,Kevin Chappell,21.11%,19,90
15,0,36724,Augusto Núñez,20.98%,30,143
16,0,39977,Max Homa,20.89%,33,158
17,0,55454,Carl Yuan,20.69%,30,145
18,0,57975,Harry Hall,20.67%,31,150
19,0,20229,Stewart Cink,20.55%,30,146
20,0,25632,Jimmy Walker,20.51%,40,195
21,0,35879,Kelly Kraft,20.16%,25,124
22,0,51070,Vincent Norrman,20.13%,30,149
23,0,48084,Wesley Bryan,20.00%,12,60
23,0,52375,Doug Ghim,20.00%,24,120
23,0,32816,Satoshi Kodaira,20.00%,11,55
26,0,28089,Jason Day,19.63%,21,107
27,0,56630,Akshay Bhatia,19.59%,19,97
28,0,31577,Tano Goya,19.39%,32,165
29,0,33653,Thomas Detry,19.35%,24,124
30,0,29221,Webb Simpson,19.12%,13,68
31,0,47591,Eric Cole,19.05%,40,210
31,0,47988,Nick Hardy,19.05%,44,231
33,0,48887,Matt Wallace,18.90%,24,127
34,0,46340,Alex Smalley,18.82%,35,186
35,0,25686,Jason Dufner,18.75%,24,128
36,0,35617,Martin Trainer,18.68%,17,91
37,0,45242,Kevin Yu,18.63%,19,102
38,0,27936,Martin Laird,18.60%,24,129
39,0,35450,Patrick Cantlay,18.58%,21,113
40,0,45522,Christiaan Bezuidenhout,18.57%,26,140
41,0,55182,Tom Kim,18.52%,25,135
42,0,33204,Shane Lowry,18.48%,17,92
43,0,51634,Sahith Theegala,18.45%,38,206
44,0,51491,Brandon Matthews,18.44%,26,141
45,0,39971,Sungjae Im,18.29%,30,164
46,0,39335,Kevin Roy,18.26%,21,115
47,0,40250,Taylor Pendrith,18.07%,30,166
48,0,27214,Kevin Streelman,18.03%,33,183
49,0,46441,Robby Shelton,18.02%,31,172
50,0,28237,Rory McIlroy,17.93%,26,145
51,0,33597,Harry Higgs,17.91%,24,134
52,0,29289,S.Y. Noh,17.89%,17,95
53,0,46601,Trey Mullinax,17.86%,25,140
54,0,47995,Davis Riley,17.83%,23,129
55,0,24925,Jonathan Byrd,17.81%,13,73
56,0,57362,Austin Eckroat,17.78%,24,135
57,0,29725,Tony Finau,17.65%,21,119
57,0,33448,Justin Thomas,17.65%,24,136
59,0,54591,Ben Griffin,17.62%,37,210
59,0,37275,Sam Ryder,17.62%,34,193
61,0,55893,Sam Stevens,17.61%,28,159
62,0,33399,Adam Hadwin,17.57%,26,148
63,0,28775,Nate Lashley,17.52%,24,137
64,0,48699,Callum Tarren,17.45%,37,212
