RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,30911,Tommy Fleetwood,27.35,547,20
2,0,55789,Taylor Montgomery,27.43,823,30
3,0,34363,Tyrrell Hatton,27.45,549,20
4,0,31202,William McGirt,27.53,468,17
5,0,39977,Max Homa,27.57,634,23
6,0,22371,Aaron Baddeley,27.58,662,24
7,0,46442,Maverick McNealy,27.68,526,19
8,0,31560,Brian Stuard,27.78,750,27
9,0,33948,Byeong Hun An,27.79,806,29
10,0,35461,Beau Hossler,27.81,890,32
11,0,47591,Eric Cole,27.83,1002,36
12,0,35506,Mackenzie Hughes,27.86,780,28
12,0,51634,Sahith Theegala,27.86,808,29
14,0,47993,Denny McCarthy,27.89,781,28
15,0,22405,Justin Rose,27.90,558,20
16,0,30927,Brendon Todd,27.93,810,29
17,0,28237,Rory McIlroy,28.00,476,17
18,0,34409,David Lingmerth,28.03,841,30
19,0,33410,Andrew Landry,28.04,729,26
20,0,32816,Satoshi Kodaira,28.05,533,19
21,0,50493,Justin Suh,28.10,871,31
22,0,46717,Viktor Hovland,28.14,619,22
22,0,27349,Alex Noren,28.14,788,28
22,0,34046,Jordan Spieth,28.14,591,21
25,0,49771,J.T. Poston,28.17,845,30
26,0,50188,S.H. Kim,28.18,958,34
26,0,37275,Sam Ryder,28.18,958,34
28,0,52374,Brandon Wu,28.21,959,34
29,0,51766,Wyndham Clark,28.22,762,27
30,0,52453,Nicolai Hojgaard,28.23,367,13
31,0,35449,Adam Long,28.24,1045,37
32,0,30926,Chris Kirk,28.25,791,28
33,0,29289,S.Y. Noh,28.26,537,19
34,0,33653,Thomas Detry,28.30,764,27
35,0,47128,Richy Werenski,28.31,991,35
36,0,47983,Chad Ramey,28.34,907,32
37,0,37455,Si Woo Kim,28.36,794,28
38,0,27644,Brian Harman,28.37,766,27
39,0,35879,Kelly Kraft,28.38,823,29
39,0,23108,Matt Kuchar,28.38,738,26
41,0,46970,Jon Rahm,28.39,511,18
42,0,35532,Tom Hoge,28.45,882,31
43,0,28252,Seamus Power,28.46,683,24
44,0,39058,Lucas Herbert,28.47,541,19
45,0,47504,Sam Burns,28.48,655,23
45,0,29970,Dylan Frittelli,28.48,883,31
47,0,24925,Jonathan Byrd,28.52,656,23
47,0,20229,Stewart Cink,28.52,770,27
47,0,32102,Rickie Fowler,28.52,713,25
47,0,34256,Andrew Putnam,28.52,884,31
51,0,25818,Scott Piercy,28.53,856,30
51,0,51890,Greyson Sigg,28.53,913,32
53,0,45157,Cam Davis,28.54,799,28
54,0,39971,Sungjae Im,28.55,828,29
55,0,46441,Robby Shelton,28.56,971,34
56,0,35450,Patrick Cantlay,28.58,543,19
56,0,54628,Lee Hodges,28.58,943,33
58,0,33597,Harry Higgs,28.59,829,29
58,0,33204,Shane Lowry,28.59,486,17
58,0,26596,Ryan Moore,28.59,829,29
61,0,32139,Danny Willett,28.60,572,20
62,0,24502,Adam Scott,28.61,515,18
62,0,55454,Carl Yuan,28.61,801,28
64,0,29420,Billy Horschel,28.62,601,21
65,0,56630,Akshay Bhatia,28.63,687,24
65,0,32640,Troy Merritt,28.63,916,32
67,0,46601,Trey Mullinax,28.68,717,25
68,0,52955,Ludvig Åberg,28.69,373,13
68,0,54591,Ben Griffin,28.69,1004,35
68,0,40162,Justin Lower,28.69,1004,35
71,0,27974,Sung Kang,28.71,488,17
71,0,48119,Ben Taylor,28.71,976,34
73,0,34099,Harris English,28.75,805,28
73,0,32791,K.H. Lee,28.75,920,32
73,0,50095,Austin Smotherman,28.75,920,32
76,0,46435,Austin Cook,28.77,892,31
76,0,33399,Adam Hadwin,28.77,748,26
78,0,33413,Ben Martin,28.79,950,33
78,0,40115,Adam Svensson,28.79,979,34
78,0,52513,Carson Young,28.79,950,33
81,0,48117,Kurt Kitayama,28.83,663,23
82,0,57975,Harry Hall,28.84,923,32
82,0,36799,Stephan Jaeger,28.84,923,32
84,0,39067,MJ Daffue,28.85,952,33
85,0,24024,Zach Johnson,28.86,606,21
86,0,37338,Zecheng Dou,28.87,895,31
86,0,36699,Patrick Rodgers,28.87,895,31
88,0,45522,Christiaan Bezuidenhout,28.88,751,26
89,0,49453,Trevor Cone,28.89,809,28
90,0,49947,Taylor Moore,28.90,867,30
91,0,28089,Jason Day,28.91,665,23
