RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,57975,Harry Hall,69.05%,42,29
2,0,33968,ThorbjÃ¸rn Olesen,68.18%,22,15
3,0,55789,Taylor Montgomery,68.00%,25,17
4,0,59095,Chris Gotterup,66.67%,48,32
5,0,51894,Vince Whaley,65.63%,32,21
6,0,29478,Kevin Kisner,64.86%,37,24
7,0,36884,Ben Kohles,64.15%,53,34
8,0,35506,Mackenzie Hughes,60.94%,64,39
9,0,34374,Erik Barnes,59.26%,27,16
10,0,51977,Max Greyserman,58.97%,39,23
11,0,48117,Kurt Kitayama,58.82%,51,30
12,0,40098,Matt Fitzpatrick,58.54%,41,24
12,0,33486,Roger Sloan,58.54%,41,24
12,0,27649,Brandt Snedeker,58.54%,41,24
15,0,34466,Peter Malnati,58.33%,60,35
15,0,32839,Hideki Matsuyama,58.33%,36,21
15,0,49771,J.T. Poston,58.33%,48,28
18,0,47995,Davis Riley,57.78%,45,26
19,0,52514,Trace Crowe,57.58%,33,19
20,0,60067,Joe Highsmith,57.50%,40,23
21,0,46442,Maverick McNealy,57.45%,47,27
22,0,27644,Brian Harman,57.14%,49,28
22,0,29908,C.T. Pan,57.14%,42,24
22,0,34046,Jordan Spieth,57.14%,49,28
25,0,31323,Gary Woodland,56.90%,58,33
26,0,40058,Zac Blair,56.67%,60,34
27,0,45522,Christiaan Bezuidenhout,56.10%,41,23
28,0,46441,Robby Shelton,56.00%,50,28
29,0,51696,Rico Hoey,55.88%,34,19
30,0,54576,Patrick Fishburn,55.56%,45,25
31,0,28252,Seamus Power,55.38%,65,36
32,0,52215,Robert MacIntyre,54.76%,42,23
32,0,40006,Erik van Rooyen,54.76%,42,23
34,0,55182,Tom Kim,54.72%,53,29
35,0,48887,Matt Wallace,54.55%,33,18
36,0,27936,Martin Laird,54.29%,35,19
36,0,47347,Adam Schenk,54.29%,70,38
38,0,26476,Chez Reavie,54.17%,48,26
39,0,29936,Ryan Fox,54.05%,37,20
40,0,59866,Nick Dunlap,54.00%,50,27
40,0,29420,Billy Horschel,54.00%,50,27
42,0,37212,Paul Barjon,53.85%,39,21
43,0,51349,Nico Echavarria,53.70%,54,29
43,0,52666,Sami Valimaki,53.70%,54,29
45,0,39324,J.J. Spaun,53.57%,56,30
46,0,39327,Ben Silverman,53.49%,43,23
47,0,40250,Taylor Pendrith,53.45%,58,31
48,0,52372,Cameron Champ,53.13%,32,17
48,0,37378,Min Woo Lee,53.13%,32,17
50,0,50493,Justin Suh,52.78%,36,19
51,0,46414,Aaron Rai,52.54%,59,31
52,0,50188,S.H. Kim,52.46%,61,32
53,0,27064,Jhonattan Vegas,52.27%,44,23
54,0,56630,Akshay Bhatia,51.92%,52,27
55,0,47983,Chad Ramey,51.85%,54,28
55,0,25493,Nick Taylor,51.85%,54,28
57,0,35617,Martin Trainer,51.72%,29,15
58,0,55893,Sam Stevens,51.35%,37,19
59,0,28089,Jason Day,51.28%,39,20
59,0,27214,Kevin Streelman,51.28%,39,20
61,0,60004,Jacob Bridgeman,51.22%,41,21
62,0,22371,Aaron Baddeley,51.16%,43,22
62,0,48867,Matti Schmid,51.16%,43,22
64,0,36326,David Lipsky,50.98%,51,26
65,0,57900,Chandler Phillips,50.94%,53,27
66,0,34256,Andrew Putnam,50.91%,55,28
67,0,54628,Lee Hodges,50.79%,63,32
68,0,40162,Justin Lower,50.75%,67,34
69,0,32070,Rafael Campos,50.00%,32,16
69,0,47591,Eric Cole,50.00%,76,38
69,0,31646,Emiliano Grillo,50.00%,58,29
69,0,47988,Nick Hardy,50.00%,64,32
69,0,50525,Collin Morikawa,50.00%,60,30
69,0,47806,Raul Pereda,50.00%,30,15
69,0,48081,Xander Schauffele,50.00%,42,21
69,0,48319,Tom Whitney,50.00%,28,14
77,0,48699,Callum Tarren,49.12%,57,28
78,0,29725,Tony Finau,49.06%,53,26
78,0,33399,Adam Hadwin,49.06%,53,26
78,0,47993,Denny McCarthy,49.06%,53,26
81,0,49960,Sepp Straka,48.84%,43,21
82,0,54783,Dylan Wu,48.78%,41,20
83,0,40115,Adam Svensson,48.57%,70,34
84,0,32791,K.H. Lee,48.48%,33,16
85,0,59836,Pierceson Coody,48.28%,58,28
86,0,34587,Chan Kim,48.15%,54,26
86,0,27330,Josh Teater,48.15%,27,13
88,0,34563,Chesson Hadley,48.00%,50,24
89,0,46340,Alex Smalley,47.83%,46,22
90,0,52513,Carson Young,47.69%,65,31
91,0,24502,Adam Scott,47.62%,42,20
92,0,36801,Mark Hubbard,47.46%,59,28
93,0,47483,Will Zalatoris,47.37%,38,18
94,0,46113,Ryan McCormick,47.22%,36,17
95,0,52375,Doug Ghim,47.06%,68,32
95,0,52453,Nicolai HÃ¸jgaard,47.06%,34,16
97,0,35461,Beau Hossler,46.94%,49,23
98,0,52955,Ludvig Ãberg,46.88%,32,15
98,0,51070,Vincent Norrman,46.88%,32,15
100,0,39971,Sungjae Im,46.67%,75,35
100,0,38991,Alejandro Tosti,46.67%,45,21
102,0,34021,Bud Cauley,46.51%,43,20
102,0,27349,Alex Noren,46.51%,43,20
104,0,33408,Tyson Alexander,46.43%,28,13
104,0,57366,Cameron Young,46.43%,56,26
106,0,33448,Justin Thomas,46.34%,41,19
107,0,33948,Byeong Hun An,46.30%,54,25
108,0,39977,Max Homa,46.15%,52,24
108,0,46717,Viktor Hovland,46.15%,39,18
110,0,47504,Sam Burns,46.00%,50,23
111,0,48153,Matthieu Pavon,45.95%,37,17
112,0,36799,Stephan Jaeger,45.65%,46,21
113,0,51766,Wyndham Clark,45.45%,44,20
113,0,32333,Kevin Tway,45.45%,33,15
115,0,36699,Patrick Rodgers,45.28%,53,24
116,0,34098,Russell Henley,45.16%,31,14
116,0,27770,Camilo Villegas,45.16%,31,14
118,0,51287,Ryo Hisatsune,45.10%,51,23
118,0,36871,Matt NeSmith,45.10%,51,23
118,0,55454,Carl Yuan,45.10%,51,23
121,0,34099,Harris English,45.00%,60,27
122,0,24024,Zach Johnson,44.74%,38,17
123,0,33653,Thomas Detry,44.68%,47,21
124,0,30926,Chris Kirk,44.64%,56,25
125,0,35532,Tom Hoge,44.44%,63,28
125,0,32757,Patton Kizzire,44.44%,36,16
125,0,23108,Matt Kuchar,44.44%,36,16
128,0,33141,Keegan Bradley,44.07%,59,26
129,0,32640,Troy Merritt,44.00%,50,22
129,0,23320,Ryan Palmer,44.00%,25,11
131,0,40026,Daniel Berger,43.75%,32,14
131,0,32366,Kevin Chappell,43.75%,32,14
133,0,32102,Rickie Fowler,43.48%,46,20
133,0,37275,Sam Ryder,43.48%,46,20
135,0,51997,Andrew Novak,43.40%,53,23
136,0,32367,Jorge Campillo,43.33%,30,13
137,0,30911,Tommy Fleetwood,43.24%,37,16
137,0,56149,Wilson Furr,43.24%,37,16
137,0,52374,Brandon Wu,43.24%,37,16
140,0,45157,Cam Davis,42.86%,63,27
140,0,47679,Victor Perez,42.86%,35,15
140,0,30927,Brendon Todd,42.86%,63,27
143,0,25900,Lucas Glover,42.62%,61,26
144,0,54421,Garrick Higgo,42.55%,47,20
145,0,29535,Brice Garnett,42.31%,26,11
145,0,12716,Charley Hoffman,42.31%,52,22
145,0,22405,Justin Rose,42.31%,26,11
148,0,58168,Davis Thompson,42.22%,45,19
149,0,51634,Sahith Theegala,42.11%,76,32
150,0,45609,Tyler Duncan,41.94%,31,13
151,0,47663,Kevin Dougherty,41.67%,36,15
151,0,29221,Webb Simpson,41.67%,36,15
151,0,50095,Austin Smotherman,41.67%,24,10
154,0,54591,Ben Griffin,41.54%,65,27
155,0,47420,Jake Knapp,40.74%,54,22
156,0,55708,Hayden Buckley,40.00%,45,18
156,0,28237,Rory McIlroy,40.00%,35,14
158,0,50484,Hayden Springer,39.53%,43,17
159,0,48119,Ben Taylor,39.47%,38,15
160,0,28420,Ryan Brehm,39.02%,41,16
161,0,33204,Shane Lowry,38.78%,49,19
162,0,51890,Greyson Sigg,38.64%,44,17
163,0,39546,Keith Mitchell,38.60%,57,22
164,0,48084,Wesley Bryan,38.10%,21,8
164,0,46046,Scottie Scheffler,38.10%,42,16
166,0,57362,Austin Eckroat,37.78%,45,17
167,0,26596,Ryan Moore,37.50%,40,15
168,0,59143,Mac Meissner,37.25%,51,19
169,0,35310,Lanto Griffin,37.21%,43,16
170,0,37455,Si Woo Kim,37.04%,54,20
171,0,50497,Adrien Dumont de Chassart,36.84%,38,14
