RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL PAR 4 HOLES,TOTAL HOLE OUTS
1,0,38991,Alejandro Tosti,6,766,4
2,0,25900,Lucas Glover,5,998,2
2,0,33204,Shane Lowry,5,794,4
2,0,28252,Seamus Power,5,1036,4
5,0,56149,Wilson Furr,4,613,2
5,0,57366,Cameron Young,4,874,3
7,0,45609,Tyler Duncan,3,790,0
7,0,35506,Mackenzie Hughes,3,1020,2
7,0,39975,Michael Kim,3,900,3
7,0,47993,Denny McCarthy,3,954,3
7,0,39546,Keith Mitchell,3,902,2
7,0,46340,Alex Smalley,3,820,3
7,0,48887,Matt Wallace,3,722,1
7,0,31323,Gary Woodland,3,864,3
15,0,40026,Daniel Berger,2,862,1
15,0,45522,Christiaan Bezuidenhout,2,862,2
15,0,35450,Patrick Cantlay,2,742,0
15,0,34021,Bud Cauley,2,574,1
15,0,39997,Corey Conners,2,942,1
15,0,59836,Pierceson Coody,2,864,1
15,0,34076,Joel Dahmen,2,981,2
15,0,33653,Thomas Detry,2,746,2
15,0,47663,Kevin Dougherty,2,674,2
15,0,54591,Ben Griffin,2,1243,1
15,0,34563,Chesson Hadley,2,738,0
15,0,33399,Adam Hadwin,2,896,2
15,0,57975,Harry Hall,2,874,0
15,0,47988,Nick Hardy,2,930,1
15,0,27644,Brian Harman,2,950,0
15,0,54421,Garrick Higgo,2,872,2
15,0,60067,Joe Highsmith,2,774,1
15,0,51287,Ryo Hisatsune,2,936,1
15,0,51696,Rico Hoey,2,912,1
15,0,35461,Beau Hossler,2,948,1
15,0,39971,Sungjae Im,2,980,0
15,0,34587,Chan Kim,2,874,2
15,0,50188,S.H. Kim,2,1154,1
15,0,37455,Si Woo Kim,2,994,1
15,0,55182,Tom Kim,2,896,1
15,0,47420,Jake Knapp,2,839,0
15,0,23108,Matt Kuchar,2,812,1
15,0,28775,Nate Lashley,2,814,1
15,0,36326,David Lipsky,2,762,2
15,0,27129,Luke List,2,820,1
15,0,32839,Hideki Matsuyama,2,796,1
15,0,26596,Ryan Moore,2,794,2
15,0,29908,C.T. Pan,2,631,2
15,0,40250,Taylor Pendrith,2,850,2
15,0,47983,Chad Ramey,2,908,1
15,0,26476,Chez Reavie,2,758,1
15,0,36699,Patrick Rodgers,2,1072,2
15,0,46046,Scottie Scheffler,2,810,2
15,0,48867,Matti Schmid,2,848,2
15,0,50484,Hayden Springer,2,780,1
15,0,30927,Brendon Todd,2,1076,0
15,0,52666,Sami Valimaki,2,660,0
57,0,52955,Ludvig Ãberg,1,808,0
57,0,33408,Tyson Alexander,1,828,1
57,0,37212,Paul Barjon,1,597,1
57,0,56630,Akshay Bhatia,1,962,1
57,0,40058,Zac Blair,1,924,1
57,0,34255,Joseph Bramlett,1,926,1
57,0,60004,Jacob Bridgeman,1,866,1
57,0,48084,Wesley Bryan,1,532,1
57,0,47504,Sam Burns,1,834,0
57,0,32367,Jorge Campillo,1,550,1
57,0,52372,Cameron Champ,1,629,1
57,0,47591,Eric Cole,1,1190,0
57,0,52514,Trace Crowe,1,748,1
57,0,45157,Cam Davis,1,864,1
57,0,28089,Jason Day,1,782,1
57,0,50497,Adrien Dumont de Chassart,1,816,1
57,0,51349,Nico Echavarria,1,982,1
57,0,34099,Harris English,1,1008,1
57,0,32102,Rickie Fowler,1,854,0
57,0,29535,Brice Garnett,1,514,1
57,0,51977,Max Greyserman,1,859,1
57,0,35310,Lanto Griffin,1,804,1
57,0,31646,Emiliano Grillo,1,924,1
57,0,60767,Blaine Hale Jr.,1,570,1
57,0,12716,Charley Hoffman,1,770,0
57,0,52453,Nicolai HÃ¸jgaard,1,602,0
57,0,39977,Max Homa,1,840,1
57,0,29420,Billy Horschel,1,858,1
57,0,46717,Viktor Hovland,1,612,1
57,0,36801,Mark Hubbard,1,1106,1
57,0,36799,Stephan Jaeger,1,888,0
57,0,30926,Chris Kirk,1,880,1
57,0,48117,Kurt Kitayama,1,854,0
57,0,32757,Patton Kizzire,1,692,1
57,0,36884,Ben Kohles,1,947,0
57,0,27936,Martin Laird,1,802,1
57,0,32791,K.H. Lee,1,871,1
57,0,37378,Min Woo Lee,1,744,1
57,0,52215,Robert MacIntyre,1,810,0
57,0,46442,Maverick McNealy,1,1020,0
57,0,59143,Mac Meissner,1,794,0
57,0,32640,Troy Merritt,1,816,1
57,0,50525,Collin Morikawa,1,850,1
57,0,27349,Alex Noren,1,778,1
57,0,30163,Henrik Norlander,1,696,1
57,0,51997,Andrew Novak,1,913,0
57,0,33968,ThorbjÃ¸rn Olesen,1,506,0
57,0,48153,Matthieu Pavon,1,724,0
57,0,46414,Aaron Rai,1,954,1
57,0,37275,Sam Ryder,1,830,0
57,0,48081,Xander Schauffele,1,878,1
57,0,47347,Adam Schenk,1,1010,0
57,0,24502,Adam Scott,1,776,0
57,0,46441,Robby Shelton,1,836,1
57,0,29221,Webb Simpson,1,550,1
57,0,27139,David Skinns,1,894,1
57,0,34046,Jordan Spieth,1,765,1
57,0,55893,Sam Stevens,1,1074,1
57,0,49960,Sepp Straka,1,832,0
57,0,40115,Adam Svensson,1,1158,1
57,0,48119,Ben Taylor,1,692,1
57,0,25493,Nick Taylor,1,926,1
57,0,51634,Sahith Theegala,1,996,1
57,0,27064,Jhonattan Vegas,1,794,0
57,0,48319,Tom Whitney,1,740,1
57,0,52374,Brandon Wu,1,894,1
57,0,55454,Carl Yuan,1,703,1
