RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY
1,0,02159,Curtis Strange,$925941
2,0,01042,Paul Azinger,$904031
3,0,01235,Ben Crenshaw,$725794
4,0,02256,Tom Watson,$653151
5,0,02099,Scott Simpson,$629192
6,0,02242,Lanny Wadkins,$592447
7,0,01823,Larry Mize,$574890
8,0,02146,Payne Stewart,$572876
9,0,01378,David Frost,$565422
10,1,01161,Mark Calcavecchia,$550998
11,-1,01072,Chip Beck,$547878
12,0,01876,Greg Norman,$541050
13,0,01633,Tom Kite,$528076
14,0,01864,Larry Nelson,$505572
15,0,01928,Corey Pavin,$503406
16,0,02170,Hal Sutton,$499596
17,1,01226,Fred Couples,$488865
18,-1,01958,Dan Pohl,$465269
19,0,01960,Don Pooley,$459380
20,0,01783,Mark McCumber,$428885
21,0,01527,Scott Hoch,$422914
22,0,02267,D.A. Weibring,$391363
23,0,01666,Bernhard Langer,$378350
24,0,01996,Mike Reid,$365334
25,0,01968,Nick Price,$364035
26,1,02104,Jeff Sluman,$360757
27,-1,01717,Sandy Lyle,$351096
28,0,02241,Bobby Wadkins,$345173
29,1,01926,Steve Pate,$339728
30,-1,01887,Mark O'Meara,$339425
31,1,01200,Keith Clearwater,$337048
32,-1,01219,John Cook,$333184
33,0,02213,Lee Trevino,$313432
34,0,01051,Seve Ballesteros,$309098
35,0,01706,Davis Love III,$299578
36,0,01884,Mac O'Grady,$289359
37,1,01444,Ken Green,$286991
38,-1,02321,Fuzzy Zoeller,$285641
39,0,01457,Jay Haas,$281557
40,9,02223,Bob Tway,$267962
41,-1,02133,Craig Stadler,$265697
42,13,01549,Mike Hulbert,$258750
43,-2,02049,Gene Sauers,$250405
44,-2,02255,Denis Watson,$246449
45,-2,02101,Joey Sindelar,$246370
46,-2,01135,Ken Brown,$246287
47,-2,02118,J.C. Snead,$236962
48,-2,01068,Andy Bean,$230223
49,3,01468,Gary Hallberg,$228286
50,-2,01599,Steve Jones,$223918
51,-1,02303,Robert Wrenn,$223724
52,-5,01150,George Burns,$221257
53,-2,01156,Curt Byrum,$212450
54,4,01846,Jodie Mudd,$211423
55,1,01725,John Mahaffey,$210438
56,-3,01060,Dave Barr,$209761
57,-3,01682,Wayne Levi,$209072
58,1,01639,Kenny Knox,$204783
59,-2,01192,T.C. Chen,$203976
60,0,01943,Chris Perry,$199423
61,3,02023,Clarence Rose,$181754
62,-1,01984,Sam Randolph,$180378
63,5,02100,Tim Simpson,$176861
64,-2,01326,Nick Faldo,$176781
65,-2,01390,Buddy Gardner,$176297
66,15,01284,Mike Donald,$173984
67,-1,02190,Doug Tewell,$173166
68,-3,01495,Morris Hatalsky,$172304
69,-2,02225,Howard Twitty,$169442
70,2,01418,Bill Glasson,$164951
71,-2,01690,Bruce Lietzke,$163758
72,2,02033,Dave Rummells,$161220
73,-3,01361,Dan Forsman,$160978
74,-3,01475,Donnie Hammond,$159442
75,-2,01736,Roger Maltbie,$157023
76,-1,01093,Ronnie Black,$153658
77,-1,01305,Danny Edwards,$153408
78,-1,01203,Russ Cochran,$150460
79,4,01815,Johnny Miller,$150064
80,-2,01557,John Inman,$148386
81,-2,01306,David Edwards,$148217
82,0,01197,Bobby Clampett,$147704
83,-3,01157,Tom Byrum,$146384
84,0,01701,Bob Lohr,$137108
85,0,01355,Raymond Floyd,$134800
86,2,02279,Mark Wiebe,$134151
87,-1,01837,Gil Morgan,$133980
88,-1,01975,Tom Purtzer,$133537
89,1,01201,Lennie Clements,$128989
90,-1,01869,Jack Nicklaus,$125621
91,0,01771,Blaine McCallister,$124170
92,5,01331,Rick Fehr,$123225
93,-1,02322,Richard Zokol,$120331
94,-1,01256,Rodger Davis,$116659
95,0,01329,Brad Faxon,$116604
96,-2,01303,Bob Eastwood,$116427
97,-1,01797,Rocco Mediate,$113764
98,0,01945,Kenny Perry,$108814
99,0,01559,Hale Irwin,$108575
100,0,02094,Tony Sills,$107508
101,0,01346,Ed Fiori,$106532
102,0,02294,Willie Wood,$101592
103,0,01096,Phil Blackmar,$99581
104,4,02041,Bill Sander,$97154
105,8,01569,Peter Jacobsen,$96341
106,-2,01414,Bob Gilder,$95975
107,4,01755,Dick Mast,$94768
108,-3,01723,Andrew Magee,$94598
109,-3,01323,Brad Fabel,$93274
110,-3,01014,Fulton Allem,$93254
111,-2,01998,Jack Renner,$92289
112,-2,01648,Billy Kratzert,$91232
113,-1,01098,Jay Don Blake,$87634
114,0,01858,Tommy Nakajima,$85551
115,0,01435,Wayne Grady,$85472
116,1,02244,Fred Wadsworth,$83085
117,-1,01030,Isao Aoki,$82309
118,5,01499,Mark Hayes,$82166
119,-1,01891,David Ogrin,$80149
120,-1,02167,Mike Sullivan,$79456
121,5,02007,Larry Rinker,$79423
122,-2,01790,Pat McGowan,$79078
123,-2,01782,Mike McCullough,$77660
124,-2,01288,Ed Dougherty,$76705
125,-1,01501,Vance Heafner,$76452
126,-1,01313,Steve Elkington,$75738
127,0,01715,Mark Lye,$73625
128,0,02148,Ray Stewart,$72136
129,0,01469,Dan Halldorson,$69094
