RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
1,0,02104,Jeff Sluman,7
2,0,01040,Emlyn Aubrey,5
2,0,01096,Phil Blackmar,5
2,0,01196,Brian Claar,5
2,0,01577,Lee Janzen,5
2,0,06751,Chris Tucker,5
7,0,01035,Tommy Armour III,4
7,0,01132,Mark Brooks,4
7,0,01142,Bart Bryant,4
7,0,01161,Mark Calcavecchia,4
7,0,01226,Fred Couples,4
7,0,01261,Jay Delsing,4
7,0,01323,Brad Fabel,4
7,0,06585,Jerry Foltz,4
7,0,01361,Dan Forsman,4
7,0,01388,Robert Gamez,4
7,0,01425,Ernie Gonzalez,4
7,0,01677,Tom Lehman,4
7,0,01682,Wayne Levi,4
7,0,06090,Jim McGovern,4
7,0,01928,Corey Pavin,4
7,0,02099,Scott Simpson,4
7,0,02133,Craig Stadler,4
7,0,06072,Greg Whisman,4
7,0,02322,Richard Zokol,4
26,0,01006,John Adams,3
26,0,01042,Paul Azinger,3
26,0,06010,Brad Bell,3
26,0,01098,Jay Don Blake,3
26,0,01129,Bill Britton,3
26,0,07569,Mark Carnevale,3
26,0,01185,Brandel Chamblee,3
26,0,01201,Lennie Clements,3
26,0,01203,Russ Cochran,3
26,0,06150,Carl Cooper,3
26,0,01235,Ben Crenshaw,3
26,0,01249,John Daly,3
26,0,01307,Joel Edwards,3
26,0,01313,Steve Elkington,3
26,0,01329,Brad Faxon,3
26,0,01355,Raymond Floyd,3
26,0,01374,Robin Freeman,3
26,0,01489,Steve Hart,3
26,0,08537,J.P. Hayes,3
26,0,01522,Lon Hinkle,3
26,0,07547,Craig Kanada,3
26,0,06332,Neal Lancaster,3
26,0,01690,Bruce Lietzke,3
26,0,01701,Bob Lohr,3
26,0,01723,Andrew Magee,3
26,0,01766,Billy Mayfair,3
26,0,01771,Blaine McCallister,3
26,0,01783,Mark McCumber,3
26,0,01835,Tommy Moore,3
26,0,01837,Gil Morgan,3
26,0,01878,Andy North,3
26,0,01891,David Ogrin,3
26,0,01934,Dave Peege,3
26,0,01958,Dan Pohl,3
26,0,01998,Jack Renner,3
26,0,02007,Larry Rinker,3
26,0,06040,John Ross,3
26,0,02049,Gene Sauers,3
26,0,02146,Payne Stewart,3
26,0,02190,Doug Tewell,3
26,0,02214,Kirk Triplett,3
26,0,02224,Greg Twiggs,3
26,0,02225,Howard Twitty,3
26,0,02267,D.A. Weibring,3
26,0,02298,Jim Woodward,3
71,0,01014,Fulton Allem,2
71,0,06197,Michael Allen,2
71,0,01023,Jerry Anderson,2
71,0,01068,Andy Bean,2
71,0,01072,Chip Beck,2
