RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,01306,David Edwards,81.61,932,1142
2,0,01381,Fred Funk,80.11,1172,1463
3,0,02190,Doug Tewell,79.02,923,1168
4,0,01725,John Mahaffey,78.97,826,1046
5,0,01823,Larry Mize,78.82,826,1048
6,0,01559,Hale Irwin,77.97,807,1035
7,0,01891,David Ogrin,77.90,973,1249
8,0,01392,Tom Garner,77.73,604,777
9,0,01353,Bruce Fleisher,77.70,885,1139
10,0,02267,D.A. Weibring,77.63,680,876
11,0,01014,Fulton Allem,77.49,888,1146
12,0,01971,Dillard Pruitt,77.33,945,1222
13,0,02170,Hal Sutton,77.25,1046,1354
14,0,01837,Gil Morgan,77.24,699,905
15,0,01928,Corey Pavin,76.95,731,950
16,0,01266,Clark Dennis,76.89,1048,1363
17,0,01690,Bruce Lietzke,76.71,629,820
18,0,01701,Bob Lohr,76.20,935,1227
19,0,07569,Mark Carnevale,75.98,911,1199
20,0,01557,John Inman,75.76,1066,1407
21,0,01219,John Cook,75.65,845,1117
22,0,01201,Lennie Clements,75.62,884,1169
23,0,02010,Loren Roberts,75.58,811,1073
24,0,01569,Peter Jacobsen,75.55,717,949
25,0,02321,Fuzzy Zoeller,75.47,769,1019
26,0,02256,Tom Watson,75.36,569,755
27,0,01361,Dan Forsman,75.34,715,949
28,0,01783,Mark McCumber,75.28,801,1064
29,0,01633,Tom Kite,75.05,815,1086
30,0,07235,John Morse,74.95,796,1062
31,0,06078,Esteban Toledo,74.54,808,1084
32,0,02245,Grant Waite,74.49,727,976
33,0,02214,Kirk Triplett,74.14,929,1253
34,0,06643,Paul Goydos,73.95,1070,1447
35,0,02159,Curtis Strange,73.81,854,1157
36,0,01996,Mike Reid,73.77,689,934
37,0,02099,Scott Simpson,73.62,720,978
38,0,01378,David Frost,73.60,803,1091
39,0,01968,Nick Price,73.57,618,840
40,0,01418,Bill Glasson,73.44,766,1043
41,0,01766,Billy Mayfair,73.35,1013,1381
42,0,01320,Bob Estes,73.34,971,1324
43,0,01724,Jeff Maggert,73.33,902,1230
43,0,01876,Greg Norman,73.33,646,881
45,0,06140,Sean Murphy,73.11,862,1179
46,0,06315,Pete Jordan,73.10,894,1223
47,0,01475,Donnie Hammond,72.93,846,1160
47,0,01771,Blaine McCallister,72.93,962,1319
49,0,01060,Dave Barr,72.85,947,1300
50,0,01196,Brian Claar,72.77,1002,1377
51,0,01457,Jay Haas,72.62,1032,1421
52,0,01072,Chip Beck,72.54,869,1198
53,0,02230,Stan Utley,72.30,736,1018
54,0,06809,Bob Burns,72.24,687,951
55,0,01414,Bob Gilder,71.82,808,1125
56,0,01139,Olin Browne,71.81,907,1263
57,0,10809,Jim Furyk,71.71,948,1322
58,0,01920,Craig Parry,71.59,620,866
59,0,01577,Lee Janzen,71.53,877,1226
60,0,01550,Ed Humenik,71.49,885,1238
61,0,02218,Ted Tryba,71.39,1073,1503
62,0,01824,Yoshinori Mizumaki,71.13,606,852
63,0,01629,Eddie Kirby,71.07,511,719
64,0,01330,David Feherty,71.06,663,933
64,0,01495,Morris Hatalsky,71.06,749,1054
66,0,01682,Wayne Levi,71.00,820,1155
67,0,01945,Kenny Perry,70.95,982,1384
68,0,01527,Scott Hoch,70.84,928,1310
69,0,01677,Tom Lehman,70.76,801,1132
70,0,01288,Ed Dougherty,70.70,965,1365
70,0,08337,Mike Heinen,70.70,777,1099
72,0,06020,Steve Brodie,70.66,831,1176
73,0,02225,Howard Twitty,70.61,860,1218
74,0,02101,Joey Sindelar,70.43,636,903
75,0,06016,Brad Lardon,70.20,537,765
76,0,01510,Nolan Henke,70.06,770,1099
77,0,01435,Wayne Grady,70.03,549,784
78,0,01098,Jay Don Blake,69.88,847,1212
79,0,06128,Steve Lamontagne,69.78,762,1092
80,0,01864,Larry Nelson,69.75,535,767
80,0,02100,Tim Simpson,69.75,883,1266
82,0,01388,Robert Gamez,69.51,734,1056
83,0,01975,Tom Purtzer,69.48,658,947
84,0,02133,Craig Stadler,69.47,669,963
85,0,01748,Doug Martin,69.41,783,1128
86,0,08931,Glen Day,69.40,896,1291
86,0,06575,Dudley Hart,69.40,771,1111
88,0,01549,Mike Hulbert,69.34,995,1435
88,0,01553,John Huston,69.34,814,1174
88,0,06090,Jim McGovern,69.34,918,1324
91,0,01203,Russ Cochran,69.21,906,1309
92,0,01723,Andrew Magee,69.11,859,1243
93,0,06527,Steve Stricker,69.04,892,1292
94,0,02033,Dave Rummells,69.01,962,1394
95,0,02241,Bobby Wadkins,69.00,641,929
96,0,01926,Steve Pate,68.99,892,1293
97,0,01444,Ken Green,68.97,820,1189
98,0,02246,Duffy Waldorf,68.64,764,1113
99,0,01986,Joey Rassett,68.50,674,984
100,0,01755,Dick Mast,68.47,799,1167
101,0,01329,Brad Faxon,68.30,879,1287
102,0,02135,Mike Standly,68.27,880,1289
103,0,01185,Brandel Chamblee,68.16,807,1184
104,0,02242,Lanny Wadkins,68.06,637,936
105,0,02201,Jim Thorpe,68.05,720,1058
106,0,10213,Dicky Pride,67.99,701,1031
107,0,01607,Brian Kamm,67.94,890,1310
108,0,01890,Brett Ogle,67.90,550,810
109,0,06088,Steve Gotsche,67.87,528,778
110,0,02322,Richard Zokol,67.77,698,1030
111,0,06589,Jeff Woodland,67.62,781,1155
112,0,01132,Mark Brooks,67.61,1054,1559
112,0,06012,Greg Kraft,67.61,810,1198
114,0,01200,Keith Clearwater,67.42,834,1237
115,0,01307,Joel Edwards,67.40,798,1184
116,0,08375,Paul Stankowski,67.27,711,1057
117,0,06214,Guy Boros,67.26,871,1295
118,0,01331,Rick Fehr,67.13,721,1074
119,0,01905,Joe Ozaki,67.10,573,854
120,0,02095,Larry Silveira,67.07,717,1069
121,0,06657,Steve Rintoul,66.94,745,1113
122,0,01385,Jim Gallagher Jr.,66.90,774,1157
123,0,01143,Brad Bryant,66.89,1016,1519
124,0,06617,Brian Henninger,66.84,643,962
125,0,06197,Michael Allen,66.79,901,1349
126,0,06609,Rob Boldt,66.75,542,812
