RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,02245,Grant Waite,9,5,4
2,0,02133,Craig Stadler,13,10,3
3,0,01569,Peter Jacobsen,15,3,12
3,0,02170,Hal Sutton,15,2,13
5,0,02256,Tom Watson,28,8,20
6,0,02214,Kirk Triplett,34,18,16
7,0,06044,Scott Gump,35,29,6
8,0,01677,Tom Lehman,36,27,9
8,0,02321,Fuzzy Zoeller,36,14,22
10,0,01313,Steve Elkington,42,15,27
11,0,02008,Lee Rinker,48,16,32
11,0,02246,Duffy Waldorf,48,21,27
13,0,01633,Tom Kite,52,35,17
13,0,01725,John Mahaffey,52,37,15
15,0,01690,Bruce Lietzke,53,6,47
16,0,12660,Jesper Parnevik,56,27,29
17,0,01837,Gil Morgan,62,43,19
18,0,01975,Tom Purtzer,67,57,10
19,0,01040,Emlyn Aubrey,69,55,14
19,0,09011,David Duval,69,9,60
19,0,01599,Steve Jones,69,51,18
22,0,01201,Lennie Clements,70,69,1
22,0,01418,Bill Glasson,70,7,63
22,0,01823,Larry Mize,70,47,23
22,0,06527,Steve Stricker,70,19,51
26,0,01326,Nick Faldo,71,36,35
26,0,02099,Scott Simpson,71,64,7
28,0,01132,Mark Brooks,72,47,25
29,0,01887,Mark O'Meara,74,66,8
30,0,01143,Brad Bryant,76,29,47
31,0,01035,Tommy Armour III,77,12,65
32,0,01226,Fred Couples,80,50,30
33,0,02239,Scott Verplank,84,39,45
34,0,01968,Nick Price,86,1,85
35,0,01006,John Adams,87,64,23
36,0,01381,Fred Funk,91,39,52
37,0,01876,Greg Norman,92,4,88
38,0,01706,Davis Love III,93,11,82
38,0,01890,Brett Ogle,93,54,39
40,0,01945,Kenny Perry,95,33,62
41,0,01142,Bart Bryant,97,95,2
42,0,02101,Joey Sindelar,98,87,11
42,0,02267,D.A. Weibring,98,62,36
44,0,01334,Keith Fergus,99,44,55
45,0,01161,Mark Calcavecchia,100,33,67
46,0,02223,Bob Tway,101,45,56
47,0,01723,Andrew Magee,102,59,43
48,0,01771,Blaine McCallister,103,21,82
49,0,10860,Justin Leonard,105,31,74
50,0,01098,Jay Don Blake,108,78,30
51,0,01766,Billy Mayfair,111,16,95
52,0,01175,Jim Carter,115,77,38
52,0,02104,Jeff Sluman,115,69,46
54,0,01810,Phil Mickelson,116,13,103
55,0,06124,Patrick Burke,117,96,21
55,0,01971,Dillard Pruitt,117,73,44
57,0,01361,Dan Forsman,121,80,41
