RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,01766,Billy Mayfair,1543192
2,0,01577,Lee Janzen,1378966
3,0,01928,Corey Pavin,1340079
4,0,01706,Davis Love III,1111999
5,0,01569,Peter Jacobsen,1075057
6,0,01385,Jim Gallagher Jr.,1057241
7,0,01887,Mark O'Meara,914129
8,0,09011,David Duval,881436
9,0,02146,Payne Stewart,866219
10,0,01161,Mark Calcavecchia,843552
11,0,01677,Tom Lehman,830231
12,0,01457,Jay Haas,822259
13,0,02099,Scott Simpson,795798
14,0,01527,Scott Hoch,792643
15,0,02223,Bob Tway,787348
16,0,01945,Kenny Perry,773388
17,0,10860,Justin Leonard,748793
18,0,01235,Ben Crenshaw,737475
19,0,07867,Woody Austin,736497
20,0,01143,Brad Bryant,723834
21,0,01381,Fred Funk,717232
22,0,02010,Loren Roberts,678335
23,0,01810,Phil Mickelson,655777
24,0,02214,Kirk Triplett,644607
25,0,02104,Jeff Sluman,563681
26,0,02170,Hal Sutton,554733
27,0,10809,Jim Furyk,535380
28,0,01724,Jeff Maggert,527952
29,0,02246,Duffy Waldorf,525622
30,0,02267,D.A. Weibring,517065
31,0,01329,Brad Faxon,471887
32,0,01707,Steve Lowery,463858
33,0,02218,Ted Tryba,451983
34,0,06527,Steve Stricker,438931
35,0,01320,Bob Estes,433992
36,0,07235,John Morse,416803
37,0,01418,Bill Glasson,412094
38,0,06090,Jim McGovern,402587
39,0,02133,Craig Stadler,402316
40,0,01783,Mark McCumber,375923
41,0,01132,Mark Brooks,366860
42,0,02159,Curtis Strange,358175
43,0,01201,Lennie Clements,355130
44,0,08337,Mike Heinen,350920
45,0,01098,Jay Don Blake,333551
46,0,02239,Scott Verplank,332886
47,0,01249,John Daly,321748
48,0,02256,Tom Watson,320785
49,0,01701,Bob Lohr,314947
50,0,02049,Gene Sauers,311578
51,0,01549,Mike Hulbert,311055
52,0,06214,Guy Boros,303654
53,0,01226,Fred Couples,299259
54,0,01553,John Huston,294574
55,0,01823,Larry Mize,289576
56,0,01374,Robin Freeman,283756
57,0,01024,Billy Andrade,276494
58,0,01690,Bruce Lietzke,269394
59,0,06034,Marco Dawson,261214
60,0,01723,Andrew Magee,256918
61,0,01837,Gil Morgan,255565
62,0,01006,John Adams,243366
63,0,01196,Brian Claar,241107
64,0,01771,Blaine McCallister,238847
65,0,01510,Nolan Henke,237141
66,0,01599,Steve Jones,234749
67,0,01261,Jay Delsing,230769
68,0,01748,Doug Martin,227463
69,0,01960,Don Pooley,226804
70,0,01306,David Edwards,225857
71,0,01116,Michael Bradley,214469
72,0,01185,Brandel Chamblee,213796
73,0,01971,Dillard Pruitt,210453
74,0,01388,Robert Gamez,206588
75,0,02101,Joey Sindelar,202896
76,0,08931,Glen Day,201809
77,0,10569,Mike Brisky,194874
78,0,01361,Dan Forsman,194539
79,0,20094,Jonathan Kaye,191883
80,0,01559,Hale Irwin,190961
81,0,02008,Lee Rinker,187065
82,0,01219,John Cook,186977
83,0,06044,Scott Gump,184828
84,0,01042,Paul Azinger,182595
85,0,06332,Neal Lancaster,182219
86,0,01175,Jim Carter,180664
87,0,10215,Charlie Rymer,180401
88,0,01633,Tom Kite,178580
89,0,02135,Mike Standly,177920
90,0,01156,Curt Byrum,173838
91,0,01444,Ken Green,173577
92,0,01408,Kelly Gibson,173425
93,0,02321,Fuzzy Zoeller,170706
94,0,01072,Chip Beck,170081
95,0,02279,Mark Wiebe,168832
96,0,02167,Mike Sullivan,167486
97,0,06617,Brian Henninger,166730
98,0,02241,Bobby Wadkins,166527
99,0,06613,Tommy Tolles,166431
100,0,01958,Dan Pohl,166219
101,0,01607,Brian Kamm,165235
102,0,06124,Patrick Burke,162892
103,0,01725,John Mahaffey,156608
104,0,01096,Phil Blackmar,154801
105,0,01288,Ed Dougherty,154007
106,0,01891,David Ogrin,151419
107,0,07101,Dave Stockton Jr.,149579
108,0,06577,John Wilson,149280
109,0,01331,Rick Fehr,147766
110,0,20051,Joe Acosta Jr.,147745
111,0,10585,Scott McCarron,147371
112,0,06643,Paul Goydos,146423
113,0,01334,Keith Fergus,146359
114,0,01203,Russ Cochran,145663
115,0,01157,Tom Byrum,145427
116,0,08375,Paul Stankowski,144558
117,0,06315,Pete Jordan,143936
118,0,01475,Donnie Hammond,141150
119,0,02225,Howard Twitty,140695
120,0,01414,Bob Gilder,139361
121,0,06012,Greg Kraft,137655
122,0,01040,Emlyn Aubrey,137020
123,0,01035,Tommy Armour III,134407
124,0,02226,Tray Tyner,126339
125,0,01093,Ronnie Black,122188
126,0,01975,Tom Purtzer,120717
127,0,10425,Jay Williamson,120180
128,0,01142,Bart Bryant,119201
129,0,06575,Dudley Hart,116334
130,0,01307,Joel Edwards,114285
131,0,01943,Chris Perry,113632
132,0,02094,Tony Sills,113186
133,0,08537,J.P. Hayes,111696
134,0,01353,Bruce Fleisher,108830
135,0,01797,Rocco Mediate,105618
136,0,08385,Omar Uresti,104876
137,0,01927,Dennis Paulson,103411
138,0,01996,Mike Reid,102809
139,0,01468,Gary Hallberg,99332
140,0,10213,Dicky Pride,97712
141,0,02242,Lanny Wadkins,97485
142,0,02180,Harry Taylor,94265
143,0,01619,Skip Kendall,93606
144,0,01266,Clark Dennis,92077
145,0,01926,Steve Pate,89758
146,0,01938,David Peoples,86679
147,0,01346,Ed Fiori,83852
148,0,01458,Jerry Haas,78769
149,0,01550,Ed Humenik,78150
150,0,08563,Bruce Vaughan,77561
151,0,06251,Chris DiMarco,74698
152,0,01129,Bill Britton,73574
153,0,06088,Steve Gotsche,70425
154,0,06386,Bill Porter,68390
155,0,01869,Jack Nicklaus,68180
156,0,01355,Raymond Floyd,65031
157,0,02294,Willie Wood,64697
158,0,20095,Carl Paulson,64501
159,0,07569,Mark Carnevale,62206
160,0,01925,Jerry Pate,62001
161,0,01736,Roger Maltbie,61664
162,0,06791,Mark Wurtz,59949
163,0,01685,J.L. Lewis,59750
164,0,06809,Bob Burns,59243
165,0,08717,Kawika Cotner,56625
166,0,01133,Billy Ray Brown,56111
167,0,06197,Michael Allen,55825
168,0,02131,Mike Springer,55146
169,0,06641,Jeff Leonard,53444
170,0,06048,Dicky Thompson,53380
171,0,02148,Ray Stewart,48965
172,0,02111,Mike Smith,48088
173,0,07721,Pat Bates,48049
174,0,01682,Wayne Levi,46095
175,0,02190,Doug Tewell,45878
176,0,01846,Jodie Mudd,43200
177,0,02224,Greg Twiggs,42474
178,0,01864,Larry Nelson,40689
179,0,10145,Tom Hearn,39163
180,0,01992,Don Reese,38905
181,0,01200,Keith Clearwater,34354
182,0,01986,Joey Rassett,34132
183,0,02067,Ted Schulz,29290
184,0,01755,Dick Mast,26623
185,0,02033,Dave Rummells,26095
186,0,02020,Eduardo Romero,24942
187,0,01705,Tim Loustalot,17077
188,0,01779,Gary McCord,15813
189,0,02201,Jim Thorpe,12945
190,0,06020,Steve Brodie,11461
191,0,12449,Ryan Howison,11078
192,0,02007,Larry Rinker,9975
193,0,01495,Morris Hatalsky,9833
194,0,01639,Kenny Knox,9010
195,0,01955,Gary Player,7935
196,0,10933,Scott Ford,7608
197,0,01214,Frank Conner,7480
198,0,01068,Andy Bean,7405
199,0,01499,Mark Hayes,7061
199,0,02023,Clarence Rose,7061
201,0,01443,Hubert Green,6200
202,0,01284,Mike Donald,5760
203,0,01390,Buddy Gardner,5622
204,0,01197,Bobby Clampett,5472
205,0,01151,Clark Burroughs,5218
206,0,02064,John Schroeder,5122
207,0,01648,Billy Kratzert,4548
208,0,01425,Ernie Gonzalez,4227
209,0,02152,Dave Stockton,3122
210,0,01949,Mark Pfeil,2890
211,0,01489,Steve Hart,2748
212,0,01964,Greg Powers,2712
213,0,02100,Tim Simpson,2688
214,0,01150,George Burns,2463
215,0,01501,Vance Heafner,1690
216,0,01571,Barry Jaeckel,1540
216,0,01884,Mac O'Grady,1540
