RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,01444,Ken Green,34.26,2364,69
2,0,01890,Brett Ogle,34.44,2204,64
3,0,02099,Scott Simpson,34.61,3046,88
4,0,02321,Fuzzy Zoeller,34.64,1905,55
5,0,01797,Rocco Mediate,34.67,1768,51
6,0,01329,Brad Faxon,34.83,3030,87
7,0,01569,Peter Jacobsen,34.94,3249,93
8,0,01876,Greg Norman,34.98,2029,58
9,0,06124,Patrick Burke,34.99,2624,75
10,0,06522,Ernie Els,35.05,2103,60
11,0,01306,David Edwards,35.08,2596,74
11,0,02225,Howard Twitty,35.08,3052,87
13,0,01945,Kenny Perry,35.10,3299,94
14,0,01975,Tom Purtzer,35.12,2037,58
15,0,01887,Mark O'Meara,35.13,3372,96
16,0,20094,Jonathan Kaye,35.14,2284,65
16,0,10585,Scott McCarron,35.14,2706,77
18,0,01457,Jay Haas,35.15,3093,88
19,0,01381,Fred Funk,35.16,3938,112
20,0,02133,Craig Stadler,35.20,2429,69
21,0,01313,Steve Elkington,35.23,2501,71
21,0,01837,Gil Morgan,35.23,2501,71
23,0,02146,Payne Stewart,35.28,3422,97
24,0,02159,Curtis Strange,35.29,2964,84
25,0,01320,Bob Estes,35.30,3212,91
25,0,01766,Billy Mayfair,35.30,3495,99
25,0,02246,Duffy Waldorf,35.30,3177,90
28,0,01185,Brandel Chamblee,35.31,2648,75
28,0,01527,Scott Hoch,35.31,3531,100
28,0,02104,Jeff Sluman,35.31,3566,101
31,0,01549,Mike Hulbert,35.32,3603,102
31,0,01968,Nick Price,35.32,2331,66
33,0,01326,Nick Faldo,35.33,2544,72
34,0,01960,Don Pooley,35.34,2721,77
35,0,01677,Tom Lehman,35.35,2298,65
36,0,01724,Jeff Maggert,35.36,2864,81
37,0,01219,John Cook,35.37,2971,84
37,0,01385,Jim Gallagher Jr.,35.37,3502,99
37,0,01418,Bill Glasson,35.37,2582,73
37,0,06315,Pete Jordan,35.37,2087,59
37,0,01810,Phil Mickelson,35.37,2759,78
37,0,01905,Joe Ozaki,35.37,2193,62
37,0,06567,Vijay Singh,35.37,2794,79
37,0,02223,Bob Tway,35.37,3325,94
45,0,01938,David Peoples,35.39,1805,51
46,0,01682,Wayne Levi,35.40,1841,52
46,0,06527,Steve Stricker,35.40,2938,83
48,0,06613,Tommy Tolles,35.42,2798,79
49,0,01201,Lennie Clements,35.45,3297,93
49,0,02010,Loren Roberts,35.45,2942,83
49,0,02245,Grant Waite,35.45,2978,84
52,0,01161,Mark Calcavecchia,35.46,3723,105
52,0,01475,Donnie Hammond,35.46,2837,80
52,0,10860,Justin Leonard,35.46,3901,110
52,0,01706,Davis Love III,35.46,3156,89
56,0,01006,John Adams,35.47,2873,81
56,0,01928,Corey Pavin,35.47,2802,79
56,0,02214,Kirk Triplett,35.47,3547,100
59,0,10809,Jim Furyk,35.48,3619,102
59,0,01599,Steve Jones,35.48,2838,80
61,0,09011,David Duval,35.49,3159,89
61,0,01920,Craig Parry,35.49,2697,76
61,0,02239,Scott Verplank,35.49,3017,85
64,0,01226,Fred Couples,35.50,1917,54
64,0,06643,Paul Goydos,35.50,3870,109
64,0,01707,Steve Lowery,35.50,3798,107
67,0,01986,Joey Rassett,35.51,1953,55
67,0,02218,Ted Tryba,35.51,3693,104
67,0,02242,Lanny Wadkins,35.51,2095,59
70,0,01040,Emlyn Aubrey,35.53,3056,86
70,0,01098,Jay Don Blake,35.53,3056,86
70,0,08931,Glen Day,35.53,3233,91
70,0,01685,J.L. Lewis,35.53,3020,85
70,0,02008,Lee Rinker,35.53,3233,91
75,0,01116,Michael Bradley,35.55,3128,88
75,0,01748,Doug Martin,35.55,3271,92
77,0,01143,Brad Bryant,35.56,3378,95
78,0,01361,Dan Forsman,35.57,2739,77
78,0,01823,Larry Mize,35.57,2490,70
80,0,01771,Blaine McCallister,35.59,3203,90
80,0,02101,Joey Sindelar,35.59,2527,71
80,0,02267,D.A. Weibring,35.59,2954,83
83,0,06090,Jim McGovern,35.60,3453,97
84,0,01331,Rick Fehr,35.61,2706,76
84,0,01334,Keith Fergus,35.61,2920,82
84,0,01783,Mark McCumber,35.61,2350,66
87,0,01553,John Huston,35.63,2886,81
87,0,02256,Tom Watson,35.63,1995,56
89,0,01374,Robin Freeman,35.65,3458,97
89,0,01723,Andrew Magee,35.65,3066,86
91,0,01132,Mark Brooks,35.66,3316,93
91,0,06048,Dicky Thompson,35.66,2496,70
93,0,01024,Billy Andrade,35.67,3210,90
93,0,06034,Marco Dawson,35.67,2925,82
95,0,01458,Jerry Haas,35.68,2926,82
96,0,07867,Woody Austin,35.69,4069,114
96,0,01156,Curt Byrum,35.69,3783,106
96,0,06044,Scott Gump,35.69,3319,93
96,0,01577,Lee Janzen,35.69,3426,96
100,0,01619,Skip Kendall,35.70,3427,96
101,0,01971,Dillard Pruitt,35.71,2750,77
102,0,01378,David Frost,35.72,2572,72
103,0,01408,Kelly Gibson,35.73,3609,101
104,0,01353,Bruce Fleisher,35.74,2466,69
105,0,01203,Russ Cochran,35.75,2896,81
105,0,12660,Jesper Parnevik,35.75,2324,65
105,0,02049,Gene Sauers,35.75,2681,75
108,0,01060,Dave Barr,35.76,2825,79
108,0,08337,Mike Heinen,35.76,3111,87
108,0,06012,Greg Kraft,35.76,3576,100
111,0,01093,Ronnie Black,35.77,3219,90
111,0,01550,Ed Humenik,35.77,3112,87
111,0,10425,Jay Williamson,35.77,2325,65
114,0,01235,Ben Crenshaw,35.78,2862,80
115,0,01510,Nolan Henke,35.79,2899,81
115,0,01701,Bob Lohr,35.79,3400,95
117,0,01175,Jim Carter,35.80,3437,96
117,0,07235,John Morse,35.80,2542,71
117,0,02167,Mike Sullivan,35.80,3079,86
120,0,01200,Keith Clearwater,35.81,2471,69
120,0,06088,Steve Gotsche,35.81,2901,81
120,0,10215,Charlie Rymer,35.81,2686,75
120,0,02170,Hal Sutton,35.81,3366,94
124,0,01129,Bill Britton,35.82,2400,67
124,0,01142,Bart Bryant,35.82,2937,82
124,0,01414,Bob Gilder,35.82,3045,85
124,0,02148,Ray Stewart,35.82,2364,66
128,0,01725,John Mahaffey,35.83,2902,81
129,0,01633,Tom Kite,35.84,3118,87
129,0,02094,Tony Sills,35.84,2616,73
131,0,01042,Paul Azinger,35.86,2725,76
131,0,06332,Neal Lancaster,35.86,3227,90
133,0,01307,Joel Edwards,35.87,3408,95
133,0,01996,Mike Reid,35.87,2224,62
135,0,06214,Guy Boros,35.89,3481,97
135,0,10145,Tom Hearn,35.89,2046,57
135,0,01690,Bruce Lietzke,35.89,1902,53
135,0,01927,Dennis Paulson,35.89,2943,82
139,0,06197,Michael Allen,35.91,2047,57
139,0,01072,Chip Beck,35.91,3340,93
139,0,02241,Bobby Wadkins,35.91,3447,96
142,0,08563,Bruce Vaughan,35.92,3341,93
143,0,01196,Brian Claar,35.93,3449,96
144,0,07101,Dave Stockton Jr.,35.95,3343,93
144,0,02190,Doug Tewell,35.95,1977,55
146,0,01014,Fulton Allem,35.96,1978,55
146,0,01096,Phil Blackmar,35.96,2733,76
146,0,01891,David Ogrin,35.96,3272,91
146,0,02111,Mike Smith,35.96,2589,72
146,0,02180,Harry Taylor,35.96,3057,85
146,0,06577,John Wilson,35.96,3416,95
152,0,20051,Joe Acosta Jr.,35.97,2662,74
153,0,01943,Chris Perry,35.98,3130,87
154,0,01388,Robert Gamez,35.99,2951,82
154,0,08385,Omar Uresti,35.99,3455,96
156,0,06575,Dudley Hart,36.00,3456,96
157,0,01926,Steve Pate,36.01,3421,95
158,0,20095,Carl Paulson,36.03,2234,62
158,0,08375,Paul Stankowski,36.03,3279,91
160,0,06641,Jeff Leonard,36.04,2595,72
160,0,01992,Don Reese,36.04,2703,75
160,0,06657,Steve Rintoul,36.04,3460,96
163,0,01266,Clark Dennis,36.05,3317,92
163,0,06617,Brian Henninger,36.05,2848,79
165,0,01133,Billy Ray Brown,36.06,2344,65
165,0,08717,Kawika Cotner,36.06,2957,82
165,0,02135,Mike Standly,36.06,3354,93
168,0,01705,Tim Loustalot,36.11,1986,55
169,0,01249,John Daly,36.12,2709,75
170,0,01035,Tommy Armour III,36.13,3324,92
171,0,01925,Jerry Pate,36.14,2530,70
172,0,06251,Chris DiMarco,36.16,3182,88
173,0,07569,Mark Carnevale,36.17,2785,77
174,0,10213,Dicky Pride,36.18,3003,83
175,0,01607,Brian Kamm,36.21,3259,90
175,0,06386,Bill Porter,36.21,2752,76
177,0,10569,Mike Brisky,36.23,3152,87
178,0,06791,Mark Wurtz,36.29,3048,84
179,0,06809,Bob Burns,36.31,3014,83
180,0,08537,J.P. Hayes,36.34,2907,80
181,0,02226,Tray Tyner,36.35,2981,82
182,0,01261,Jay Delsing,36.38,2801,77
183,0,02279,Mark Wiebe,36.42,2331,64
184,0,01864,Larry Nelson,36.45,2041,56
185,0,07721,Pat Bates,36.51,2957,81
186,0,01330,David Feherty,36.54,2594,71
187,0,01468,Gary Hallberg,36.58,2853,78
188,0,02131,Mike Springer,36.84,2468,67
