RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,08793,Tiger Woods,34.38,722,21
2,0,02223,Bob Tway,34.40,860,25
3,0,02214,Kirk Triplett,34.44,861,25
4,0,01810,Phil Mickelson,34.45,689,20
5,0,01418,Bill Glasson,34.59,588,17
5,0,01527,Scott Hoch,34.59,761,22
7,0,01219,John Cook,34.64,970,28
8,0,01457,Jay Haas,34.65,797,23
9,0,01569,Peter Jacobsen,34.67,832,24
10,0,01707,Steve Lowery,34.72,1007,29
11,0,02146,Payne Stewart,34.74,799,23
12,0,01706,Davis Love III,34.75,834,24
12,0,08375,Paul Stankowski,34.75,973,28
14,0,06613,Tommy Tolles,34.79,835,24
15,0,01682,Wayne Levi,34.80,696,20
16,0,01096,Phil Blackmar,34.85,941,27
16,0,02133,Craig Stadler,34.85,697,20
18,0,01876,Greg Norman,34.93,489,14
18,0,01891,David Ogrin,34.93,943,27
20,0,01313,Steve Elkington,34.94,594,17
21,0,01320,Bob Estes,34.95,664,19
21,0,01960,Don Pooley,34.95,664,19
23,0,10809,Jim Furyk,34.96,909,26
23,0,01797,Rocco Mediate,34.96,804,23
23,0,02010,Loren Roberts,34.96,839,24
26,0,01175,Jim Carter,35.00,980,28
26,0,01475,Donnie Hammond,35.00,735,21
26,0,02245,Grant Waite,35.00,1015,29
29,0,01723,Andrew Magee,35.04,981,28
30,0,01035,Tommy Armour III,35.07,1017,29
30,0,01226,Fred Couples,35.07,526,15
30,0,06643,Paul Goydos,35.07,1017,29
33,0,20229,Stewart Cink,35.10,1053,30
33,0,01920,Craig Parry,35.10,702,20
35,0,01161,Mark Calcavecchia,35.12,913,26
36,0,01968,Nick Price,35.13,527,15
36,0,01996,Mike Reid,35.13,843,24
38,0,06567,Vijay Singh,35.14,738,21
39,0,01577,Lee Janzen,35.15,914,26
40,0,07749,Brett Quigley,35.18,1161,33
41,0,08385,Omar Uresti,35.19,1091,31
42,0,20099,Doug Barron,35.20,1056,30
43,0,01014,Fulton Allem,35.22,634,18
43,0,01116,Michael Bradley,35.22,951,27
43,0,06522,Ernie Els,35.22,634,18
46,0,01203,Russ Cochran,35.24,1022,29
46,0,01353,Bruce Fleisher,35.24,599,17
48,0,07267,Allen Doyle,35.25,987,28
48,0,01677,Tom Lehman,35.25,705,20
48,0,01823,Larry Mize,35.25,705,20
48,0,02242,Lanny Wadkins,35.25,705,20
52,0,01346,Ed Fiori,35.28,635,18
52,0,06315,Pete Jordan,35.28,1129,32
54,0,01334,Keith Fergus,35.29,600,17
54,0,01887,Mark O'Meara,35.29,741,21
56,0,12645,Brent Geiberger,35.30,953,27
57,0,01361,Dan Forsman,35.31,918,26
57,0,06575,Dudley Hart,35.31,918,26
57,0,01748,Doug Martin,35.31,1024,29
60,0,02104,Jeff Sluman,35.32,989,28
60,0,02267,D.A. Weibring,35.32,671,19
62,0,01024,Billy Andrade,35.33,954,27
62,0,06617,Brian Henninger,35.33,848,24
62,0,07235,John Morse,35.33,1060,30
62,0,10457,Frank Nobilo,35.33,636,18
66,0,01331,Rick Fehr,35.35,707,20
66,0,01378,David Frost,35.35,813,23
68,0,09011,David Duval,35.36,990,28
69,0,01724,Jeff Maggert,35.37,955,27
70,0,02101,Joey Sindelar,35.40,1062,30
71,0,10207,Jimmy Johnston,35.41,1027,29
72,0,01323,Brad Fabel,35.43,992,28
72,0,01326,Nick Faldo,35.43,496,14
74,0,02321,Fuzzy Zoeller,35.44,567,16
75,0,01329,Brad Faxon,35.45,780,22
75,0,01941,Tom Pernice Jr.,35.45,1028,29
77,0,01006,John Adams,35.46,922,26
77,0,02294,Willie Wood,35.46,922,26
79,0,07363,Craig Bowden,35.47,674,19
79,0,01761,Len Mattiace,35.47,1206,34
81,0,01185,Brandel Chamblee,35.48,887,25
81,0,01599,Steve Jones,35.48,816,23
81,0,02170,Hal Sutton,35.48,1029,29
81,0,02218,Ted Tryba,35.48,1171,33
85,0,01307,Joel Edwards,35.50,1065,30
86,0,01011,Rafael Alarcon,35.52,888,25
86,0,01549,Mike Hulbert,35.52,1030,29
86,0,01633,Tom Kite,35.52,746,21
89,0,01619,Skip Kendall,35.53,1066,30
90,0,02099,Scott Simpson,35.54,853,24
91,0,06332,Neal Lancaster,35.55,1102,31
92,0,01288,Ed Dougherty,35.56,889,25
92,0,01388,Robert Gamez,35.56,960,27
92,0,02246,Duffy Waldorf,35.56,889,25
95,0,06214,Guy Boros,35.58,854,24
95,0,12660,Jesper Parnevik,35.58,676,19
95,0,02159,Curtis Strange,35.58,676,19
98,0,06581,David Sutherland,35.59,961,27
99,0,06090,Jim McGovern,35.60,1068,30
99,0,01943,Chris Perry,35.60,1068,30
101,0,08537,J.P. Hayes,35.61,997,28
101,0,01510,Nolan Henke,35.61,819,23
103,0,01157,Tom Byrum,35.63,962,27
103,0,01374,Robin Freeman,35.63,677,19
103,0,06044,Scott Gump,35.63,1140,32
106,0,10860,Justin Leonard,35.64,998,28
107,0,10837,Kevin Burton,35.65,927,26
107,0,01487,Jeff Hart,35.65,927,26
109,0,01261,Jay Delsing,35.67,963,27
109,0,12782,Tim Herron,35.67,1070,30
109,0,01905,Joe Ozaki,35.67,642,18
112,0,01093,Ronnie Black,35.69,928,26
113,0,06036,Scott Dunlap,35.70,1071,30
114,0,01444,Ken Green,35.72,643,18
115,0,08339,Spike McRoy,35.73,929,26
115,0,02131,Mike Springer,35.73,786,22
117,0,01143,Brad Bryant,35.74,822,23
117,0,12387,Michael Christie,35.74,1108,31
117,0,06012,Greg Kraft,35.74,1215,34
120,0,01385,Jim Gallagher Jr.,35.75,1001,28
121,0,01533,P.H. Horgan III,35.76,1037,29
121,0,11032,Frank Lickliter II,35.76,1037,29
121,0,12663,Phil Tataurangi,35.76,894,25
124,0,01139,Olin Browne,35.77,1073,30
125,0,10875,Todd Demsey,35.78,966,27
125,0,01306,David Edwards,35.78,823,23
125,0,01864,Larry Nelson,35.78,644,18
125,0,01945,Kenny Perry,35.78,823,23
129,0,06124,Patrick Burke,35.80,716,20
130,0,01098,Jay Don Blake,35.81,931,26
130,0,02007,Larry Rinker,35.81,1146,32
132,0,01381,Fred Funk,35.82,1182,33
132,0,02135,Mike Standly,35.82,1003,28
134,0,10569,Mike Brisky,35.83,1075,30
134,0,01766,Billy Mayfair,35.83,1039,29
134,0,01771,Blaine McCallister,35.83,1075,30
137,0,20098,Stuart Appleby,35.86,789,22
137,0,01928,Corey Pavin,35.86,753,21
139,0,08931,Glen Day,35.88,933,26
139,0,01926,Steve Pate,35.88,933,26
139,0,02225,Howard Twitty,35.88,574,16
142,0,01042,Paul Azinger,35.89,682,19
142,0,01196,Brian Claar,35.89,646,18
144,0,01717,Sandy Lyle,35.90,754,21
145,0,01133,Billy Ray Brown,35.91,826,23
145,0,08547,John Maginnes,35.91,1221,34
145,0,01975,Tom Purtzer,35.91,790,22
148,0,10962,Bradley Hughes,35.92,898,25
149,0,01201,Lennie Clements,35.93,970,27
150,0,05466,Jack O'Keefe,35.96,935,26
151,0,07867,Woody Austin,35.97,1223,34
151,0,10505,Shane Bertsch,35.97,1043,29
151,0,19881,Robert Damron,35.97,1115,31
151,0,01408,Kelly Gibson,35.97,1259,35
151,0,02008,Lee Rinker,35.97,1079,30
156,0,10963,Jimmy Green,36.00,1044,29
156,0,10585,Scott McCarron,36.00,900,25
156,0,02023,Clarence Rose,36.00,1116,31
156,0,06132,Sonny Skinner,36.00,900,25
156,0,06527,Steve Stricker,36.00,684,19
161,0,06621,Joe Durant,36.03,1081,30
162,0,02100,Tim Simpson,36.04,829,23
162,0,02292,Bob Wolcott,36.04,901,25
164,0,02049,Gene Sauers,36.06,577,16
165,0,01132,Mark Brooks,36.07,1046,29
166,0,01040,Emlyn Aubrey,36.08,938,26
167,0,08075,Jerry Kelly,36.09,1155,32
168,0,02239,Scott Verplank,36.10,722,20
169,0,02206,David Toms,36.12,939,26
170,0,02256,Tom Watson,36.13,542,15
171,0,12826,Paul Claxton,36.14,759,21
172,0,06595,Kevin Sutherland,36.15,940,26
173,0,07101,Dave Stockton Jr.,36.16,1121,31
174,0,01489,Steve Hart,36.24,906,25
175,0,08265,Eric Johnson,36.25,1015,28
176,0,02226,Tray Tyner,36.26,979,27
177,0,07003,David Berganio Jr.,36.30,980,27
177,0,08553,Lee Porter,36.30,1089,30
177,0,02279,Mark Wiebe,36.30,835,23
180,0,07465,Hideki Kase,36.31,1053,29
181,0,06577,John Wilson,36.34,1054,29
182,0,10213,Dicky Pride,36.35,1127,31
183,0,06034,Marco Dawson,36.38,1055,29
183,0,02166,Chip Sullivan,36.38,946,26
185,0,02115,Taylor Smith,36.41,983,27
186,0,02095,Larry Silveira,36.43,838,23
187,0,07087,Hugh Royer III,36.44,1166,32
188,0,01249,John Daly,36.53,548,15
189,0,06144,John Dowdall,36.54,877,24
190,0,07547,Craig Kanada,36.64,806,22
191,0,01553,John Huston,36.72,918,25
192,0,21007,Gabriel Hjertstedt,36.74,845,23
193,0,20158,Anthony Rodriguez,36.78,846,23
194,0,01072,Chip Beck,36.83,1068,29
195,0,06515,Shaun Micheel,36.86,774,21
