RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,0,01677,Tom Lehman,2.87,457,159
2,0,08375,Paul Stankowski,2.92,456,156
3,0,01361,Dan Forsman,2.94,458,156
4,0,01098,Jay Don Blake,2.95,463,157
5,0,01024,Billy Andrade,2.96,566,191
5,0,01797,Rocco Mediate,2.96,489,165
5,0,01823,Larry Mize,2.96,486,164
8,0,01599,Steve Jones,2.97,478,161
8,0,01920,Craig Parry,2.97,279,94
10,0,09011,David Duval,2.98,500,168
10,0,01329,Brad Faxon,2.98,492,165
10,0,08545,Glen Hnatiuk,2.98,497,167
10,0,08075,Jerry Kelly,2.98,561,188
10,0,01926,Steve Pate,2.98,510,171
10,0,01945,Kenny Perry,2.98,495,166
10,0,08553,Lee Porter,2.98,549,184
10,0,02104,Jeff Sluman,2.98,637,214
10,0,06613,Tommy Tolles,2.98,489,164
19,0,01035,Tommy Armour III,2.99,524,175
19,0,19883,Joe Daley,2.99,409,137
19,0,06522,Ernie Els,2.99,287,96
19,0,12782,Tim Herron,2.99,565,189
19,0,01748,Doug Martin,2.99,664,222
19,0,02294,Willie Wood,2.99,502,168
19,0,02321,Fuzzy Zoeller,2.99,412,138
26,0,07569,Mark Carnevale,3.00,564,188
26,0,01191,Barry Cheesman,3.00,564,188
26,0,07457,Steve Flesch,3.00,600,200
26,0,06643,Paul Goydos,3.00,607,202
26,0,01766,Billy Mayfair,3.00,543,181
26,0,01943,Chris Perry,3.00,648,216
26,0,01960,Don Pooley,3.00,363,121
26,0,02131,Mike Springer,3.00,635,212
26,0,12663,Phil Tataurangi,3.00,477,159
26,0,02206,David Toms,3.00,516,172
26,0,08385,Omar Uresti,3.00,660,220
37,0,01063,Ben Bates,3.01,605,201
37,0,01175,Jim Carter,3.01,645,214
37,0,06251,Chris DiMarco,3.01,581,193
37,0,01282,Trevor Dodds,3.01,553,184
37,0,21805,Harrison Frazar,3.01,491,163
37,0,01607,Brian Kamm,3.01,427,142
37,0,06012,Greg Kraft,3.01,503,167
37,0,02010,Loren Roberts,3.01,484,161
37,0,06581,David Sutherland,3.01,565,188
37,0,06078,Esteban Toledo,3.01,563,187
37,0,02223,Bob Tway,3.01,605,201
37,0,02239,Scott Verplank,3.01,581,193
49,0,01132,Mark Brooks,3.02,562,186
49,0,01161,Mark Calcavecchia,3.02,583,193
49,0,01381,Fred Funk,3.02,695,230
49,0,10809,Jim Furyk,3.02,616,204
49,0,20154,Guy Hill,3.02,432,143
49,0,01569,Peter Jacobsen,3.02,399,132
49,0,01707,Steve Lowery,3.02,522,173
49,0,06567,Vijay Singh,3.02,564,187
49,0,07101,Dave Stockton Jr.,3.02,398,132
49,0,06791,Mark Wurtz,3.02,338,112
59,0,10569,Mike Brisky,3.03,530,175
59,0,20229,Stewart Cink,3.03,593,196
59,0,01219,John Cook,3.03,564,186
59,0,06621,Joe Durant,3.03,481,159
59,0,01306,David Edwards,3.03,464,153
59,0,06044,Scott Gump,3.03,594,196
59,0,01533,P.H. Horgan III,3.03,642,212
59,0,01619,Skip Kendall,3.03,637,210
59,0,08993,Franklin Langham,3.03,563,186
59,0,10860,Justin Leonard,3.03,609,201
59,0,01723,Andrew Magee,3.03,576,190
59,0,01761,Len Mattiace,3.03,630,208
59,0,02002,John Riegger,3.03,506,167
59,0,02101,Joey Sindelar,3.03,584,193
73,0,01096,Phil Blackmar,3.04,486,160
73,0,01139,Olin Browne,3.04,475,156
73,0,01201,Lennie Clements,3.04,429,141
73,0,06056,Jim Estes,3.04,392,129
73,0,01323,Brad Fabel,3.04,562,185
73,0,01376,Bob Friend,3.04,520,171
73,0,12645,Brent Geiberger,3.04,545,179
73,0,06575,Dudley Hart,3.04,507,167
73,0,08537,J.P. Hayes,3.04,411,135
73,0,01549,Mike Hulbert,3.04,545,179
73,0,01724,Jeff Maggert,3.04,504,166
73,0,01771,Blaine McCallister,3.04,636,209
73,0,08339,Spike McRoy,3.04,535,176
73,0,12660,Jesper Parnevik,3.04,425,140
73,0,01968,Nick Price,3.04,377,124
73,0,02106,Chris Smith,3.04,565,186
73,0,02146,Payne Stewart,3.04,465,153
73,0,02170,Hal Sutton,3.04,635,209
73,0,02218,Ted Tryba,3.04,644,212
73,0,10423,Mike Weir,3.04,471,155
93,0,06617,Brian Henninger,3.05,586,192
93,0,20094,Jonathan Kaye,3.05,384,126
93,0,01887,Mark O'Meara,3.05,421,138
93,0,01928,Corey Pavin,3.05,415,136
93,0,10213,Dicky Pride,3.05,363,119
93,0,06527,Steve Stricker,3.05,503,165
99,0,01060,Dave Barr,3.06,370,121
99,0,01185,Brandel Chamblee,3.06,490,160
99,0,08931,Glen Day,3.06,570,186
99,0,01326,Nick Faldo,3.06,300,98
99,0,01334,Keith Fergus,3.06,327,107
99,0,01353,Bruce Fleisher,3.06,474,155
99,0,01378,David Frost,3.06,443,145
99,0,01388,Robert Gamez,3.06,425,139
99,0,01475,Donnie Hammond,3.06,538,176
99,0,01527,Scott Hoch,3.06,616,201
99,0,06090,Jim McGovern,3.06,523,171
99,0,01891,David Ogrin,3.06,612,200
99,0,01996,Mike Reid,3.06,484,158
99,0,21631,Iain Steel,3.06,382,125
99,0,06595,Kevin Sutherland,3.06,619,202
99,0,02214,Kirk Triplett,3.06,508,166
99,0,07753,Kevin Wentworth,3.06,480,157
99,0,02279,Mark Wiebe,3.06,489,160
99,0,08793,Tiger Woods,3.06,450,147
118,0,01261,Jay Delsing,3.07,464,151
118,0,10733,Kent Jones,3.07,538,175
118,0,01706,Davis Love III,3.07,458,149
118,0,07749,Brett Quigley,3.07,544,177
118,0,02023,Clarence Rose,3.07,607,198
118,0,07087,Hugh Royer III,3.07,506,165
118,0,02099,Scott Simpson,3.07,356,116
118,0,02159,Curtis Strange,3.07,310,101
118,0,02241,Bobby Wadkins,3.07,556,181
118,0,02246,Duffy Waldorf,3.07,507,165
128,0,01157,Tom Byrum,3.08,570,185
128,0,01249,John Daly,3.08,481,156
128,0,19881,Robert Damron,3.08,549,178
128,0,01320,Bob Estes,3.08,647,210
128,0,06064,Jeff Gallagher,3.08,552,179
128,0,01510,Nolan Henke,3.08,545,177
128,0,07235,John Morse,3.08,367,119
