RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
1,0,08537,J.P. Hayes,6
1,0,02239,Scott Verplank,6
3,0,01024,Billy Andrade,5
3,0,19824,Craig Barlow,5
3,0,08243,Aaron Bengoechea,5
3,0,01191,Barry Cheesman,5
3,0,01226,Fred Couples,5
3,0,07457,Steve Flesch,5
3,0,21805,Harrison Frazar,5
3,0,20043,Edward Fryatt,5
3,0,01381,Fred Funk,5
3,0,19846,Brian Gay,5
3,0,01408,Kelly Gibson,5
3,0,06643,Paul Goydos,5
3,0,08545,Glen Hnatiuk,5
3,0,08993,Franklin Langham,5
3,0,06373,José María Olazábal,5
3,0,10912,Craig Perks,5
3,0,10649,Tom Scherrer,5
3,0,06581,David Sutherland,5
3,0,06595,Kevin Sutherland,5
3,0,10423,Mike Weir,5
23,0,06004,Stephen Ames,4
23,0,07867,Woody Austin,4
23,0,01042,Paul Azinger,4
23,0,20099,Doug Barron,4
23,0,12652,Cameron Beckman,4
23,0,23614,Rich Beem,4
23,0,01096,Phil Blackmar,4
23,0,01139,Olin Browne,4
23,0,01142,Bart Bryant,4
23,0,01157,Tom Byrum,4
23,0,24357,K.J. Choi,4
23,0,20229,Stewart Cink,4
23,0,12388,Michael Clark II,4
23,0,19972,José Coceres,4
23,0,19822,Bobby Cochran,4
23,0,01203,Russ Cochran,4
23,0,01219,John Cook,4
23,0,01249,John Daly,4
23,0,08931,Glen Day,4
23,0,06251,Chris DiMarco,4
23,0,01282,Trevor Dodds,4
23,0,06036,Scott Dunlap,4
23,0,01307,Joel Edwards,4
23,0,12823,Carlos Franco,4
23,0,01378,David Frost,4
23,0,01418,Bill Glasson,4
23,0,10201,Matt Gogel,4
23,0,06088,Steve Gotsche,4
23,0,10963,Jimmy Green,4
23,0,01457,Jay Haas,4
23,0,06575,Dudley Hart,4
23,0,06617,Brian Henninger,4
23,0,21007,Gabriel Hjertstedt,4
23,0,01527,Scott Hoch,4
23,0,19823,David Howser,4
23,0,01553,John Huston,4
23,0,06315,Pete Jordan,4
