RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,DISTANCE (IN INCHES),ATTEMPTS
1,0,22892,Jason Gore,.0,0,2
1,0,01943,Chris Perry,.0,0,1
3,0,10213,Dicky Pride,.4,13.000,1
4,0,12645,Brent Geiberger,.9,135.000,4
4,0,06613,Tommy Tolles,.9,65.000,2
6,0,01761,Len Mattiace,2.0,73.000,1
6,0,01766,Billy Mayfair,2.0,216.000,3
8,0,06567,Vijay Singh,2.9,210.000,2
9,0,01307,Joel Edwards,3.0,214.000,2
10,0,06522,Ernie Els,3.2,344.000,3
10,0,01685,J.L. Lewis,3.2,232.000,2
12,0,01024,Billy Andrade,3.3,240.000,2
13,0,23125,Brad Elder,3.4,245.000,2
14,0,12705,Cliff Kresge,3.9,140.000,1
15,0,19817,Michael Muehr,4.1,590.000,4
16,0,06809,Bob Burns,4.3,153.000,1
17,0,01941,Tom Pernice Jr.,4.4,159.000,1
17,0,20566,Kaname Yokoo,4.4,319.000,2
19,0,06617,Brian Henninger,4.5,162.000,1
19,0,20094,Jonathan Kaye,4.5,325.000,2
21,0,06643,Paul Goydos,4.8,174.000,1
21,0,02110,Jerry Smith,4.8,172.000,1
23,0,01226,Fred Couples,5.0,181.000,1
23,0,21007,Gabriel Hjertstedt,5.0,363.000,2
25,0,01132,Mark Brooks,5.1,183.000,1
25,0,02218,Ted Tryba,5.1,366.000,2
27,0,23353,J.J. Henry,5.3,576.000,3
27,0,08545,Glen Hnatiuk,5.3,192.000,1
29,0,06251,Chris DiMarco,5.6,201.000,1
30,0,01418,Bill Glasson,6.3,903.000,4
31,0,06595,Kevin Sutherland,6.6,1188.000,5
32,0,20229,Stewart Cink,7.1,1028.000,4
32,0,01945,Kenny Perry,7.1,1016.000,4
34,0,01203,Russ Cochran,7.2,780.000,3
34,0,08339,Spike McRoy,7.2,779.000,3
36,0,10649,Tom Scherrer,7.3,261.000,1
37,0,01388,Robert Gamez,7.5,542.000,2
37,0,10423,Mike Weir,7.5,1075.000,4
39,0,02214,Kirk Triplett,7.6,544.000,2
40,0,01577,Lee Janzen,7.8,559.000,2
41,0,01249,John Daly,7.9,1141.000,4
42,0,07763,Doug Dunakey,8.1,291.000,1
43,0,10885,Robert Allenby,8.3,1801.000,6
43,0,01175,Jim Carter,8.3,1197.000,4
45,0,21209,Sergio Garcia,8.4,602.000,2
45,0,06315,Pete Jordan,8.4,303.000,1
45,0,01926,Steve Pate,8.4,607.000,2
45,0,02104,Jeff Sluman,8.4,605.000,2
49,0,09011,David Duval,8.5,1838.000,6
49,0,01320,Bob Estes,8.5,1224.000,4
49,0,01724,Jeff Maggert,8.5,1228.000,4
49,0,01938,David Peoples,8.5,305.000,1
49,0,10425,Jay Williamson,8.5,305.000,1
54,0,10733,Kent Jones,8.6,311.000,1
