RANK,MOVEMENT,PLAYER_ID,PLAYER,%
1,0,06621,Joe Durant,85.71
1,0,10733,Kent Jones,85.71
3,0,08063,Kelly Grunewald,83.33
4,0,22892,Jason Gore,81.82
5,0,06617,Brian Henninger,80.00
6,0,21209,Sergio Garcia,76.92
7,0,12680,Shigeki Maruyama,76.19
8,0,01024,Billy Andrade,75.00
8,0,10565,Ian Leggatt,75.00
8,0,01945,Kenny Perry,75.00
11,0,08793,Tiger Woods,73.68
12,0,06575,Dudley Hart,73.33
13,0,01619,Skip Kendall,72.73
13,0,06567,Vijay Singh,72.73
15,0,01139,Olin Browne,72.22
16,0,01014,Fulton Allem,71.43
16,0,01724,Jeff Maggert,71.43
16,0,19817,Michael Muehr,71.43
16,0,06431,Jean Van de Velde,71.43
20,0,01706,Davis Love III,70.59
20,0,01938,David Peoples,70.59
20,0,01968,Nick Price,70.59
20,0,02214,Kirk Triplett,70.59
24,0,20229,Stewart Cink,70.00
24,0,08993,Franklin Langham,70.00
26,0,02239,Scott Verplank,69.57
27,0,01161,Mark Calcavecchia,68.75
27,0,01249,John Daly,68.75
27,0,12645,Brent Geiberger,68.75
27,0,01677,Tom Lehman,68.75
31,0,01810,Phil Mickelson,68.42
32,0,02170,Hal Sutton,68.18
32,0,02206,David Toms,68.18
34,0,01093,Ronnie Black,66.67
34,0,01313,Steve Elkington,66.67
34,0,01378,David Frost,66.67
34,0,01388,Robert Gamez,66.67
34,0,06643,Paul Goydos,66.67
34,0,10963,Jimmy Green,66.67
34,0,01457,Jay Haas,66.67
34,0,06332,Neal Lancaster,66.67
34,0,01766,Billy Mayfair,66.67
34,0,06373,José María Olazábal,66.67
34,0,01927,Dennis Paulson,66.67
34,0,01941,Tom Pernice Jr.,66.67
34,0,06591,Rocky Walcher,66.67
47,0,01381,Fred Funk,65.38
48,0,10860,Justin Leonard,65.00
48,0,20127,Chris Riley,65.00
50,0,02010,Loren Roberts,64.71
51,0,01185,Brandel Chamblee,64.29
51,0,23353,J.J. Henry,64.29
53,0,10585,Scott McCarron,63.64
53,0,23034,Brent Schwarzrock,63.64
53,0,06613,Tommy Tolles,63.64
56,0,01320,Bob Estes,63.16
56,0,10809,Jim Furyk,63.16
58,0,07101,Dave Stockton Jr.,62.50
58,0,02223,Bob Tway,62.50
58,0,02279,Mark Wiebe,62.50
61,0,06078,Esteban Toledo,61.90
62,0,08123,Jeff Brehaut,61.54
62,0,06522,Ernie Els,61.54
64,0,24357,K.J. Choi,61.11
64,0,12782,Tim Herron,61.11
64,0,11011,Mike Sposa,61.11
67,0,12652,Cameron Beckman,60.00
67,0,08931,Glen Day,60.00
67,0,23125,Brad Elder,60.00
67,0,01603,Jeff Julian,60.00
67,0,12705,Cliff Kresge,60.00
67,0,02101,Joey Sindelar,60.00
67,0,06595,Kevin Sutherland,60.00
74,0,02104,Jeff Sluman,59.09
75,0,06004,Stephen Ames,58.82
75,0,09011,David Duval,58.82
75,0,02002,John Riegger,58.82
78,0,21633,Steve Allan,58.33
78,0,07749,Brett Quigley,58.33
78,0,10425,Jay Williamson,58.33
81,0,01329,Brad Faxon,57.89
82,0,25083,Jeremy Anderson,57.14
82,0,23614,Rich Beem,57.14
82,0,01418,Bill Glasson,57.14
82,0,10201,Matt Gogel,57.14
82,0,20433,Mark Hensby,57.14
82,0,06514,Kevin Johnson,57.14
82,0,11032,Frank Lickliter II,57.14
82,0,12660,Jesper Parnevik,57.14
82,0,01928,Corey Pavin,57.14
82,0,01943,Chris Perry,57.14
82,0,06527,Steve Stricker,57.14
93,0,19846,Brian Gay,56.52
94,0,01219,John Cook,55.00
94,0,08075,Jerry Kelly,55.00
94,0,21949,Joe Ogilvie,55.00
94,0,10423,Mike Weir,55.00
98,0,21806,Paul Gow,54.55
