RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,08793,Tiger Woods,69.00,2415,35
2,0,06251,Chris DiMarco,69.46,3959,57
2,0,20157,Retief Goosen,69.46,1945,28
4,0,10860,Justin Leonard,69.49,3544,51
5,0,06567,Vijay Singh,69.58,3688,53
6,0,02010,Loren Roberts,69.60,3619,52
7,0,01810,Phil Mickelson,69.61,3550,51
8,0,01381,Fred Funk,69.66,4110,59
9,0,02206,David Toms,69.69,3833,55
10,0,21961,Charles Howell III,69.72,4462,64
10,0,02223,Bob Tway,69.72,3974,57
12,0,02239,Scott Verplank,69.73,3626,52
13,0,01553,John Huston,69.74,3696,53
14,0,12652,Cameron Beckman,69.75,3557,51
14,0,01945,Kenny Perry,69.75,3627,52
16,0,06522,Ernie Els,69.84,2235,32
17,0,20634,Peter Lonard,69.85,3353,48
18,0,20127,Chris Riley,69.86,3912,56
19,0,02104,Jeff Sluman,69.95,4617,66
20,0,01457,Jay Haas,69.96,3218,46
21,0,02246,Duffy Waldorf,70.00,3640,52
22,0,02214,Kirk Triplett,70.08,3434,49
23,0,01142,Bart Bryant,70.13,2735,39
24,0,20572,Rod Pampling,70.15,4209,60
25,0,01761,Len Mattiace,70.16,3999,57
26,0,12663,Phil Tataurangi,70.18,3439,49
27,0,08931,Glen Day,70.19,4422,63
27,0,06515,Shaun Micheel,70.19,4141,59
29,0,10585,Scott McCarron,70.21,3932,56
30,0,07721,Pat Bates,70.22,4143,59
30,0,01307,Joel Edwards,70.22,4073,58
32,0,07457,Steve Flesch,70.25,4496,64
33,0,10423,Mike Weir,70.27,3654,52
34,0,23983,Luke Donald,70.29,4147,59
34,0,19846,Brian Gay,70.29,4850,69
36,0,01475,Donnie Hammond,70.30,2601,37
36,0,12680,Shigeki Maruyama,70.30,3304,47
36,0,22913,John Rollins,70.30,4921,70
39,0,10885,Robert Allenby,70.32,3727,53
39,0,12823,Carlos Franco,70.32,4430,63
39,0,10809,Jim Furyk,70.32,3516,50
42,0,01707,Steve Lowery,70.33,3868,55
42,0,01938,David Peoples,70.33,4431,63
44,0,01577,Lee Janzen,70.34,4080,58
45,0,01968,Nick Price,70.35,2392,34
45,0,20548,Hidemichi Tanaka,70.35,4362,62
47,0,23614,Rich Beem,70.36,4151,59
48,0,10565,Ian Leggatt,70.39,4012,57
49,0,01797,Rocco Mediate,70.41,3098,44
50,0,01320,Bob Estes,70.43,3451,49
51,0,23338,David Gossett,70.44,4156,59
52,0,08633,Per-Ulrik Johansson,70.46,4016,57
53,0,09011,David Duval,70.51,3314,47
54,0,08545,Glen Hnatiuk,70.52,3949,56
55,0,24357,K.J. Choi,70.53,3738,53
55,0,01706,Davis Love III,70.53,3456,49
57,0,08881,Tripp Isenhour,70.54,2892,41
58,0,01619,Skip Kendall,70.56,4516,64
58,0,06078,Esteban Toledo,70.56,4516,64
60,0,01388,Robert Gamez,70.57,3105,44
61,0,12510,Chad Campbell,70.58,4870,69
62,0,24925,Jonathan Byrd,70.62,4661,66
62,0,23353,J.J. Henry,70.62,4873,69
64,0,20098,Stuart Appleby,70.64,3885,55
