RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
1,0,01941,Tom Pernice Jr.,41,13,2,4,2002030
2,0,20548,Hidemichi Tanaka,32,3,5,8,2002460
3,0,20029,Notah Begay III,30,2,2,11,2002430
3,0,01766,Billy Mayfair,30,0,2,14,2002460
3,0,08375,Paul Stankowski,30,0,1,10,2002320
6,0,01219,John Cook,29,1,3,7,2002470
7,0,01797,Rocco Mediate,28,18,2,17,2002470
7,0,02104,Jeff Sluman,28,2,1,9,2002460
9,0,10885,Robert Allenby,27,1,1,1,2002360
9,0,06350,Bob May,27,0,3,16,2002030
11,0,01320,Bob Estes,26,2,1,14,2002430
11,0,12823,Carlos Franco,26,4,2,9,2002110
11,0,10809,Jim Furyk,26,18,4,6,2002040
14,0,07003,David Berganio Jr.,25,4,2,17,2002030
14,0,01307,Joel Edwards,25,1,2,9,2002460
14,0,20502,Michael Long,25,1,1,2,2002300
14,0,02170,Hal Sutton,25,11,1,2,2002280
14,0,12663,Phil Tataurangi,25,22,1,9,2002460
19,0,01381,Fred Funk,24,0,1,4,2002320
19,0,23353,J.J. Henry,24,1,4,6,2002320
19,0,01553,John Huston,24,0,1,5,2002020
22,0,20498,Briny Baird,23,1,4,2,2002390
22,0,24925,Jonathan Byrd,23,3,1,11,2002460
22,0,12388,Michael Clark II,23,0,2,9,2002450
22,0,01203,Russ Cochran,23,0,1,1,2002470
22,0,01577,Lee Janzen,23,4,2,8,2002460
22,0,01761,Len Mattiace,23,0,2,16,2002170
22,0,02223,Bob Tway,23,2,1,15,2002460
29,0,06621,Joe Durant,22,4,2,12,2002030
29,0,01408,Kelly Gibson,22,3,2,17,2002430
29,0,01549,Mike Hulbert,22,1,2,1,2002300
29,0,08881,Tripp Isenhour,22,0,1,9,2002320
29,0,08553,Lee Porter,22,1,1,4,2002090
29,0,06078,Esteban Toledo,22,0,3,7,2002460
29,0,02239,Scott Verplank,22,0,1,15,2002460
36,0,01132,Mark Brooks,21,1,3,11,2002460
36,0,12510,Chad Campbell,21,4,1,12,2002450
36,0,20229,Stewart Cink,21,4,2,15,2002480
36,0,01385,Jim Gallagher Jr.,21,1,3,4,2002390
36,0,21806,Paul Gow,21,1,3,11,2002480
36,0,08537,J.P. Hayes,21,1,2,8,2002460
36,0,06573,Brandt Jobe,21,0,2,1,2002300
36,0,10860,Justin Leonard,21,7,3,14,2002010
36,0,20634,Peter Lonard,21,1,3,14,2002280
36,0,01926,Steve Pate,21,2,4,16,2002030
36,0,02206,David Toms,21,2,3,13,2002280
47,0,07721,Pat Bates,20,1,3,18,2002300
47,0,23614,Rich Beem,20,0,1,11,2002060
47,0,08123,Jeff Brehaut,20,0,3,5,2002400
47,0,21805,Harrison Frazar,20,0,1,17,2002460
47,0,01569,Peter Jacobsen,20,0,3,13,2002460
47,0,10733,Kent Jones,20,7,4,13,2002320
47,0,01599,Steve Jones,20,6,1,2,2002320
47,0,10565,Ian Leggatt,20,13,1,2,2002050
47,0,01771,Blaine McCallister,20,4,1,10,2002380
47,0,06515,Shaun Micheel,20,1,3,18,2002430
47,0,22913,John Rollins,20,1,3,2,2002390
47,0,23177,Kenneth Staton,20,5,3,9,2002460
47,0,06595,Kevin Sutherland,20,4,2,7,2002470
47,0,02257,Brian Watts,20,2,2,16,2002340
47,0,08793,Tiger Woods,20,2,3,15,2002010
62,0,20098,Stuart Appleby,19,1,4,17,2002020
62,0,12652,Cameron Beckman,19,9,1,12,2002030
62,0,01175,Jim Carter,19,1,2,4,2002090
62,0,01185,Brandel Chamblee,19,5,2,18,2002450
62,0,07457,Steve Flesch,19,6,3,5,2002400
62,0,20105,Jeff Gove,19,1,1,1,2002460
62,0,08545,Glen Hnatiuk,19,1,2,7,2002030
62,0,01920,Craig Parry,19,1,3,16,2002460
62,0,01945,Kenny Perry,19,0,2,15,2002030
62,0,06498,Matt Peterson,19,0,2,14,2002300
62,0,20645,John Senden,19,1,3,8,2002280
73,0,01060,Dave Barr,18,3,1,14,2002390
73,0,07223,Brian Bateman,18,4,3,10,2002400
73,0,01098,Jay Don Blake,18,0,1,14,2002460
73,0,06809,Bob Burns,18,0,2,4,2002340
73,0,20848,Ángel Cabrera,18,0,2,8,2002410
73,0,01161,Mark Calcavecchia,18,2,2,2,2002110
73,0,12826,Paul Claxton,18,0,1,8,2002320
73,0,24937,Jess Daley,18,1,1,17,2002370
73,0,09011,David Duval,18,1,2,9,2002460
73,0,19906,Gary Evans,18,1,3,17,2002410
73,0,01374,Robin Freeman,18,0,1,8,2002340
73,0,12645,Brent Geiberger,18,0,1,17,2002460
73,0,23338,David Gossett,18,3,1,4,2002490
73,0,06044,Scott Gump,18,2,1,9,2002320
73,0,01475,Donnie Hammond,18,3,2,12,2002300
73,0,01514,Eduardo Herrera,18,2,1,16,2002380
73,0,01527,Scott Hoch,18,0,2,18,2002410
73,0,20094,Jonathan Kaye,18,2,1,10,2002150
73,0,08075,Jerry Kelly,18,0,2,9,2002410
73,0,23108,Matt Kuchar,18,3,2,10,2002110
73,0,25572,Graeme McDowell,18,3,1,4,2002390
73,0,01938,David Peoples,18,0,1,3,2002060
73,0,01948,Tim Petrovic,18,0,1,18,2002340
73,0,10213,Dicky Pride,18,4,3,12,2002400
73,0,02010,Loren Roberts,18,0,1,4,2002200
73,0,23621,Rory Sabbatini,18,5,3,11,2002280
73,0,06567,Vijay Singh,18,11,4,13,2002360
73,0,02110,Jerry Smith,18,0,1,9,2002150
101,0,01014,Fulton Allem,17,0,2,2,2002390
101,0,06004,Stephen Ames,17,8,4,10,2002450
101,0,01142,Bart Bryant,17,1,1,13,2002090
101,0,01329,Brad Faxon,17,2,3,2,2002010
101,0,06643,Paul Goydos,17,0,1,16,2002060
101,0,06575,Dudley Hart,17,4,3,8,2002460
101,0,12782,Tim Herron,17,1,1,10,2002050
101,0,21961,Charles Howell III,17,7,3,8,2002460
101,0,08633,Per-Ulrik Johansson,17,3,1,12,2002460
101,0,23552,Hank Kuehne,17,13,1,5,2002300
101,0,01677,Tom Lehman,17,0,3,5,2002220
101,0,01706,Davis Love III,17,0,1,7,2002470
101,0,01707,Steve Lowery,17,2,4,9,2002360
101,0,01717,Sandy Lyle,17,4,4,5,2002030
101,0,01724,Jeff Maggert,17,2,4,11,2002370
101,0,12680,Shigeki Maruyama,17,1,3,8,2002010
101,0,12660,Jesper Parnevik,17,1,1,17,2002150
101,0,07749,Brett Quigley,17,2,2,8,2002230
101,0,25190,Jeff Quinney,17,0,1,18,2002390
101,0,22293,Heath Slocum,17,2,3,18,2002460
101,0,02106,Chris Smith,17,11,1,4,2002100
101,0,02245,Grant Waite,17,0,4,1,2002390
123,0,21633,Steve Allan,16,5,2,12,2002460
123,0,01139,Olin Browne,16,0,4,10,2002470
123,0,19881,Robert Damron,16,9,1,7,2002290
123,0,23983,Luke Donald,16,9,1,16,2002340
123,0,01306,David Edwards,16,0,1,7,2002390
123,0,01313,Steve Elkington,16,8,4,13,2002060
123,0,06522,Ernie Els,16,0,1,8,2002410
123,0,01361,Dan Forsman,16,2,4,7,2002460
123,0,20043,Edward Fryatt,16,1,4,15,2002400
123,0,01388,Robert Gamez,16,1,1,14,2002320
123,0,21209,Sergio Garcia,16,4,4,3,2002410
123,0,19846,Brian Gay,16,4,2,16,2002470
123,0,20574,Mathew Goggin,16,0,4,13,2002050
123,0,20157,Retief Goosen,16,0,3,15,2002010
123,0,06012,Greg Kraft,16,1,3,18,2002460
123,0,01666,Bernhard Langer,16,0,1,14,2002410
123,0,06016,Brad Lardon,16,1,2,5,2002390
123,0,01685,J.L. Lewis,16,1,1,12,2002060
123,0,11032,Frank Lickliter II,16,5,3,1,2002470
123,0,01810,Phil Mickelson,16,14,3,13,2002110
123,0,07235,John Morse,16,0,2,1,2002430
