RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL RNDS
1,0,10809,Jim Furyk,59
2,0,06567,Vijay Singh,56
3,0,20498,Briny Baird,50
4,0,01381,Fred Funk,49
5,0,20229,Stewart Cink,48
6,0,01361,Dan Forsman,47
6,0,01388,Robert Gamez,47
8,0,21961,Charles Howell III,46
8,0,08075,Jerry Kelly,46
10,0,07457,Steve Flesch,45
10,0,01619,Skip Kendall,45
10,0,02104,Jeff Sluman,45
10,0,02239,Scott Verplank,45
14,0,12510,Chad Campbell,44
14,0,06251,Chris DiMarco,44
14,0,01948,Tim Petrovic,44
17,0,01938,David Peoples,43
17,0,01945,Kenny Perry,43
19,0,06621,Joe Durant,42
19,0,12782,Tim Herron,42
19,0,20548,Hidemichi Tanaka,42
22,0,08123,Jeff Brehaut,41
22,0,08931,Glen Day,41
24,0,07867,Woody Austin,40
24,0,01320,Bob Estes,40
24,0,20645,John Senden,40
27,0,06332,Neal Lancaster,39
27,0,01706,Davis Love III,39
27,0,20663,Brenden Pappas,39
27,0,02214,Kirk Triplett,39
31,0,12652,Cameron Beckman,38
31,0,23541,Ben Crane,38
31,0,20127,Chris Riley,38
31,0,22548,Patrick Sheehan,38
35,0,10885,Robert Allenby,37
35,0,24357,K.J. Choi,37
35,0,12823,Carlos Franco,37
35,0,01457,Jay Haas,37
35,0,06515,Shaun Micheel,37
35,0,02223,Bob Tway,37
35,0,20436,Garrett Willis,37
42,0,06004,Stephen Ames,36
42,0,07721,Pat Bates,36
42,0,20095,Carl Paulson,36
42,0,01941,Tom Pernice Jr.,36
42,0,06078,Esteban Toledo,36
47,0,01024,Billy Andrade,35
47,0,01139,Olin Browne,35
47,0,21805,Harrison Frazar,35
47,0,19846,Brian Gay,35
47,0,01553,John Huston,35
47,0,01928,Corey Pavin,35
47,0,10423,Mike Weir,35
54,0,01161,Mark Calcavecchia,34
54,0,01329,Brad Faxon,34
54,0,01766,Billy Mayfair,34
54,0,20572,Rod Pampling,34
54,0,02170,Hal Sutton,34
54,0,08793,Tiger Woods,34
60,0,23353,J.J. Henry,33
60,0,01677,Tom Lehman,33
60,0,10860,Justin Leonard,33
60,0,01723,Andrew Magee,33
60,0,08339,Spike McRoy,33
60,0,07749,Brett Quigley,33
60,0,02206,David Toms,33
67,0,20029,Notah Begay III,32
67,0,20157,Retief Goosen,32
67,0,06643,Paul Goydos,32
67,0,26420,Richard Johnson,32
67,0,01685,J.L. Lewis,32
67,0,12680,Shigeki Maruyama,32
67,0,01810,Phil Mickelson,32
67,0,02246,Duffy Waldorf,32
75,0,20098,Stuart Appleby,31
75,0,19824,Craig Barlow,31
75,0,08337,Mike Heinen,31
75,0,01569,Peter Jacobsen,31
75,0,06573,Brandt Jobe,31
75,0,08633,Per-Ulrik Johansson,31
75,0,20634,Peter Lonard,31
75,0,01761,Len Mattiace,31
75,0,22046,Geoff Ogilvy,31
75,0,12660,Jesper Parnevik,31
75,0,23621,Rory Sabbatini,31
86,0,24925,Jonathan Byrd,30
86,0,20472,Alex Cejka,30
86,0,10733,Kent Jones,30
86,0,02101,Joey Sindelar,30
86,0,08375,Paul Stankowski,30
86,0,06595,Kevin Sutherland,30
86,0,10425,Jay Williamson,30
93,0,01226,Fred Couples,29
93,0,20121,Todd Fischer,29
93,0,01577,Lee Janzen,29
93,0,20094,Jonathan Kaye,29
93,0,10585,Scott McCarron,29
93,0,20628,Arron Oberholser,29
93,0,22293,Heath Slocum,29
100,0,01157,Tom Byrum,28
100,0,06034,Marco Dawson,28
100,0,08545,Glen Hnatiuk,28
100,0,12705,Cliff Kresge,28
100,0,23552,Hank Kuehne,28
100,0,01797,Rocco Mediate,28
100,0,02010,Loren Roberts,28
100,0,22913,John Rollins,28
108,0,21739,Aaron Barber,27
108,0,23983,Luke Donald,27
108,0,23338,David Gossett,27
108,0,08537,J.P. Hayes,27
108,0,11032,Frank Lickliter II,27
113,0,23135,Tim Clark,26
113,0,19881,Robert Damron,26
113,0,06522,Ernie Els,26
113,0,10201,Matt Gogel,26
113,0,06575,Dudley Hart,26
113,0,01707,Steve Lowery,26
113,0,06581,David Sutherland,26
113,0,12602,Dean Wilson,26
121,0,23036,Chris Anderson,25
121,0,20099,Doug Barron,25
121,0,01475,Donnie Hammond,25
121,0,10213,Dicky Pride,25
125,0,22371,Aaron Baddeley,24
125,0,24361,Pat Perez,24
125,0,22295,Darron Stiles,24
128,0,06809,Bob Burns,23
128,0,20593,Greg Chalmers,23
128,0,01378,David Frost,23
128,0,07941,Mike Grob,23
128,0,20940,Kenichi Kuboya,23
128,0,10565,Ian Leggatt,23
128,0,01724,Jeff Maggert,23
128,0,26950,John Morgan,23
128,0,25345,Carl Pettersson,23
137,0,01042,Paul Azinger,22
137,0,19825,Darren Clarke,22
137,0,01968,Nick Price,22
137,0,25692,Akio Sadakata,22
137,0,02106,Chris Smith,22
142,0,01035,Tommy Armour III,21
142,0,23614,Rich Beem,21
142,0,01175,Jim Carter,21
142,0,08725,Tom Gillis,21
142,0,21806,Paul Gow,21
142,0,20573,Scott Laycock,21
142,0,10107,Deane Pappas,21
142,0,11011,Mike Sposa,21
150,0,21209,Sergio Garcia,20
150,0,22892,Jason Gore,20
150,0,08547,John Maginnes,20
150,0,02002,John Riegger,20
154,0,20771,Steven Alker,19
154,0,01132,Mark Brooks,19
154,0,20568,Anthony Painter,19
154,0,01927,Dennis Paulson,19
154,0,10912,Craig Perks,19
154,0,02049,Gene Sauers,19
154,0,21878,Mark Wilson,19
161,0,25031,Andy Miller,18
162,0,01098,Jay Don Blake,17
162,0,19972,José Coceres,17
162,0,06617,Brian Henninger,17
162,0,12662,Thomas Levet,17
162,0,23034,Brent Schwarzrock,17
162,0,07101,Dave Stockton Jr.,17
168,0,22621,Ben Curtis,16
168,0,01418,Bill Glasson,16
168,0,20574,Mathew Goggin,16
168,0,01666,Bernhard Langer,16
172,0,07223,Brian Bateman,15
172,0,01307,Joel Edwards,15
172,0,24502,Adam Scott,15
172,0,12755,Vance Veazey,15
176,0,21633,Steve Allan,14
176,0,01306,David Edwards,14
176,0,12645,Brent Geiberger,14
176,0,06527,Steve Stricker,14
176,0,02245,Grant Waite,14
181,0,07003,David Berganio Jr.,13
181,0,12760,Danny Ellis,13
181,0,20585,Niclas Fasth,13
181,0,23108,Matt Kuchar,13
181,0,01887,Mark O'Meara,13
186,0,12388,Michael Clark II,12
186,0,01249,John Daly,12
186,0,23125,Brad Elder,12
186,0,01313,Steve Elkington,12
186,0,23177,Kenneth Staton,12
191,0,12661,Todd Barranger,11
191,0,23656,Jason Caron,11
191,0,01261,Jay Delsing,11
191,0,06064,Jeff Gallagher,11
191,0,06090,Jim McGovern,11
191,0,25034,James McLean,11
191,0,01926,Steve Pate,11
198,0,01142,Bart Bryant,10
198,0,21731,Freddie Jacobson,10
198,0,20474,Phillip Price,10
198,0,22405,Justin Rose,10
198,0,02294,Willie Wood,10
203,0,24356,Jason Buha,9
203,0,01185,Brandel Chamblee,9
203,0,20766,Padraig Harrington,9
203,0,06350,Bob May,9
203,0,02230,Stan Utley,9
203,0,26489,Cameron Yancey,9
209,0,20623,Gavin Coles,8
209,0,01219,John Cook,8
209,0,01374,Robin Freeman,8
209,0,01408,Kelly Gibson,8
209,0,01599,Steve Jones,8
209,0,24781,Hunter Mahan,8
209,0,06373,José María Olazábal,8
209,0,02131,Mike Springer,8
209,0,25450,Ty Tryon,8
218,0,12394,Tom Carter,7
218,0,22378,Trevor Immelman,7
218,0,02133,Craig Stadler,7
218,0,20566,Kaname Yokoo,7
222,0,01203,Russ Cochran,6
222,0,09011,David Duval,6
222,0,01527,Scott Hoch,6
222,0,06475,Jeff Klein,6
222,0,06012,Greg Kraft,6
222,0,22624,Joel Kribel,6
222,0,20382,Stephen Leaney,6
222,0,20676,Patrick Moore,6
222,0,01920,Craig Parry,6
222,0,10649,Tom Scherrer,6
222,0,02099,Scott Simpson,6
233,0,24846,Ricky Barnes,5
233,0,06214,Guy Boros,5
233,0,01326,Nick Faldo,5
233,0,01334,Keith Fergus,5
233,0,01385,Jim Gallagher Jr.,5
233,0,01444,Ken Green,5
233,0,01876,Greg Norman,5
233,0,02135,Mike Standly,5
233,0,12663,Phil Tataurangi,5
233,0,02257,Brian Watts,5
243,0,01014,Fulton Allem,4
243,0,25364,Paul Casey,4
243,0,22034,Yasuharu Imano,4
243,0,25572,Graeme McDowell,4
243,0,01823,Larry Mize,4
243,0,19817,Michael Muehr,4
243,0,20396,Lee Westwood,4
250,0,01116,Michael Bradley,3
250,0,01143,Brad Bryant,3
250,0,20848,Ángel Cabrera,3
250,0,01191,Barry Cheesman,3
250,0,21753,Brian Davis,3
250,0,10705,Paul Dietsche,3
250,0,20043,Edward Fryatt,3
250,0,20473,Ignacio Garrido,3
250,0,20378,Mathias Grönberg,3
250,0,06016,Brad Lardon,3
250,0,19904,Paul Lawrie,3
250,0,01771,Blaine McCallister,3
250,0,19795,Kelly Mitchum,3
250,0,08535,Gary Nicklaus,3
250,0,22400,Hennie Otto,3
250,0,24138,Ian Poulter,3
250,0,02020,Eduardo Romero,3
250,0,02267,D.A. Weibring,3
250,0,02322,Richard Zokol,3
269,0,01068,Andy Bean,2
269,0,10944,Thomas Bjørn,2
269,0,21836,Michael Flynn,2
269,0,01469,Dan Halldorson,2
269,0,01510,Nolan Henke,2
269,0,21007,Gabriel Hjertstedt,2
269,0,10821,Toshi Izawa,2
269,0,01717,Sandy Lyle,2
269,0,27120,Troy Matteson,2
269,0,08635,Colin Montgomerie,2
269,0,23091,Alan Morin,2
269,0,23497,Tag Ridings,2
269,0,02033,Dave Rummells,2
269,0,02196,Robert Thompson,2
269,0,12454,Mario Tiziani,2
269,0,23788,D.J. Trahan,2
269,0,02256,Tom Watson,2
286,0,23778,Brad Adamonis,1
286,0,25083,Jeremy Anderson,1
286,0,27124,Chris Baryla,1
286,0,01078,Jim Benepe,1
286,0,07363,Craig Bowden,1
286,0,01127,Danny Briggs,1
286,0,20400,Michael Campbell,1
286,0,01206,Bobby Cole,1
286,0,23739,Ryan Dillon,1
286,0,01282,Trevor Dodds,1
286,0,24427,Chris Downes,1
286,0,01331,Rick Fehr,1
286,0,01376,Bob Friend,1
286,0,20763,Pierre Fulke,1
286,0,25052,Derek Gillespie,1
286,0,20952,Philip Golding,1
286,0,01425,Ernie Gonzalez,1
286,0,25541,Damian Hale,1
286,0,01468,Gary Hallberg,1
286,0,01499,Mark Hayes,1
286,0,20433,Mark Hensby,1
286,0,24155,Ryan Hogue,1
286,0,27141,J.B. Holmes,1
286,0,20608,David Howell,1
286,0,01549,Mike Hulbert,1
286,0,20832,Raphael Jacquelin,1
286,0,06315,Pete Jordan,1
286,0,07547,Craig Kanada,1
286,0,22253,Taichiro Kiyota,1
286,0,22032,Tomohiro Kondo,1
286,0,10027,Trip Kuehne,1
286,0,08993,Franklin Langham,1
286,0,22388,John Ray Leary,1
286,0,26976,Regan Lee,1
286,0,01682,Wayne Levi,1
286,0,24940,Edward Loar,1
286,0,28158,Steve Marino,1
286,0,26815,Gibby Martens,1
286,0,07795,Richard Massey,1
286,0,10375,Sean McCarty,1
286,0,12461,Paul McGinley,1
286,0,01796,Mark McNulty,1
286,0,20719,Adam Mednick,1
286,0,23821,Yusaku Miyazato,1
286,0,07235,John Morse,1
286,0,25396,Kevin Na,1
286,0,27293,Simon Nash,1
286,0,01886,Peter O'Malley,1
286,0,01891,David Ogrin,1
286,0,01925,Jerry Pate,1
286,0,01943,Chris Perry,1
286,0,06498,Matt Peterson,1
286,0,22117,Jyoti Randhawa,1
286,0,26919,Greg Reynolds,1
286,0,02007,Larry Rinker,1
286,0,19927,Mark Roe,1
286,0,25041,Todd Rose,1
286,0,20624,David Smail,1
286,0,07707,Mike Small,1
286,0,02159,Curtis Strange,1
286,0,20935,Toru Taniguchi,1
286,0,25005,Mark Walker,1
286,0,27095,Nick Watney,1
286,0,22929,Ryan Welborn,1
286,0,25349,Tim Wilkinson,1
286,0,26840,Jeff Yurkiewicz,1
