RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,01226,Fred Couples,43' 1",5905.500,137,-16
2,0,24502,Adam Scott,44' 8",7413.167,166,-10
3,0,21209,Sergio Garcia,45' 1",7670.917,170,-34
4,0,01945,Kenny Perry,45' 3",8192.167,181,-41
5,0,23541,Ben Crane,45' 4",7391.833,163,-38
6,0,02010,Loren Roberts,45' 7",6104.833,134,-10
7,0,20157,Retief Goosen,45' 11",6524.917,142,-34
8,0,10809,Jim Furyk,46' 11",10178.833,217,-48
9,0,23983,Luke Donald,47' 4",5916.167,125,-11
10,0,08793,Tiger Woods,47' 5",9012.417,190,-36
11,0,24138,Ian Poulter,47' 10",4882.917,102,-28
12,0,20766,Padraig Harrington,48' 2",5877.417,122,-25
13,0,12680,Shigeki Maruyama,48' 3",12293.417,255,-34
14,0,12510,Chad Campbell,48' 4",11256.000,233,-55
15,0,01035,Tommy Armour III,48' 5",12242.917,253,-35
16,0,10885,Robert Allenby,48' 6",10813.667,223,-44
16,0,20663,Brenden Pappas,48' 6",6795.250,140,-36
18,0,20634,Peter Lonard,48' 8",9871.000,203,-19
18,0,06373,José María Olazábal,48' 8",5255.917,108,-20
20,0,02214,Kirk Triplett,48' 10",5710.250,117,-2
21,0,23063,Scott Hend,49' 0",8335.250,170,-20
22,0,07867,Woody Austin,49' 1",13848.667,282,-60
23,0,22405,Justin Rose,49' 5",13135.833,266,-44
24,0,24140,Sean O'Hair,49' 6",13406.500,271,-43
25,0,01139,Olin Browne,49' 7",11063.750,223,-20
25,0,02104,Jeff Sluman,49' 7",12646.917,255,-24
27,0,21753,Brian Davis,49' 8",10973.750,221,-37
27,0,02246,Duffy Waldorf,49' 8",12372.417,249,-28
29,0,21959,Ted Purdy,49' 9",14035.583,282,-38
29,0,08385,Omar Uresti,49' 9",11186.917,225,-26
31,0,01487,Jeff Hart,49' 11",9084.333,182,+2
31,0,01706,Davis Love III,49' 11",8133.333,163,-31
31,0,02206,David Toms,49' 11",9885.333,198,-47
31,0,20396,Lee Westwood,49' 11",5095.500,102,-13
35,0,22371,Aaron Baddeley,50' 0",10299.667,206,-32
35,0,01381,Fred Funk,50' 0",13750.250,275,-13
35,0,08075,Jerry Kelly,50' 0",11742.833,235,-38
38,0,24980,Scott Gutschewski,50' 1",10466.333,209,-53
39,0,12823,Carlos Franco,50' 2",10483.000,209,-44
40,0,01249,John Daly,50' 3",8448.667,168,-37
40,0,01418,Bill Glasson,50' 3",5028.083,100,-12
40,0,26679,Kevin Stadler,50' 3",12603.667,251,-61
40,0,23623,Bo Van Pelt,50' 3",14424.333,287,-57
44,0,20378,Mathias Grönberg,50' 4",7954.000,158,-48
