RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,0,26758,David Hearn,72,45,27
2,0,01945,Kenny Perry,98,9,89
3,0,21805,Harrison Frazar,104,17,87
4,0,06621,Joe Durant,105,92,13
5,0,23349,Charles Warren,106,27,79
6,0,20378,Mathias Grönberg,108,15,93
7,0,10962,Bradley Hughes,113,75,38
8,0,21951,Joey Snyder III,118,68,50
9,0,01766,Billy Mayfair,125,103,22
10,0,20645,John Senden,131,77,54
11,0,24912,Will MacKenzie,132,20,112
12,0,24024,Zach Johnson,133,86,47
12,0,20502,Michael Long,133,29,104
12,0,22913,John Rollins,133,49,84
15,0,08123,Jeff Brehaut,134,114,20
16,0,24290,D.J. Brigman,136,42,94
16,0,21959,Ted Purdy,136,45,91
16,0,22405,Justin Rose,136,51,85
19,0,26287,Roland Thatcher,137,67,70
20,0,01161,Mark Calcavecchia,140,91,49
21,0,10885,Robert Allenby,142,33,109
22,0,20498,Briny Baird,143,100,43
23,0,02101,Joey Sindelar,144,113,31
24,0,26420,Richard Johnson,145,117,28
24,0,20094,Jonathan Kaye,145,80,65
26,0,24140,Sean O'Hair,150,23,127
27,0,25900,Lucas Glover,151,12,139
27,0,01685,J.L. Lewis,151,71,80
27,0,01724,Jeff Maggert,151,135,16
30,0,01142,Bart Bryant,153,147,6
30,0,20472,Alex Cejka,153,114,39
32,0,23623,Bo Van Pelt,157,59,98
33,0,19824,Craig Barlow,159,88,71
33,0,23788,D.J. Trahan,159,41,118
35,0,01553,John Huston,161,56,105
36,0,23325,Vaughn Taylor,162,84,78
36,0,02206,David Toms,162,107,55
38,0,21753,Brian Davis,163,155,8
38,0,06034,Marco Dawson,163,63,100
38,0,21209,Sergio Garcia,163,10,153
38,0,10733,Kent Jones,163,102,61
42,0,06567,Vijay Singh,164,16,148
42,0,20396,Lee Westwood,164,38,126
44,0,01035,Tommy Armour III,165,112,53
44,0,24357,K.J. Choi,165,98,67
44,0,12826,Paul Claxton,165,153,12
44,0,23353,J.J. Henry,165,34,131
44,0,02106,Chris Smith,165,18,147
44,0,22295,Darron Stiles,165,142,23
50,0,01797,Rocco Mediate,168,108,60
50,0,25240,D.A. Points,168,82,86
50,0,26679,Kevin Stadler,168,23,145
50,0,02239,Scott Verplank,168,159,9
54,0,24980,Scott Gutschewski,169,4,165
54,0,10425,Jay Williamson,169,155,14
56,0,22046,Geoff Ogilvy,170,31,139
56,0,22293,Heath Slocum,170,159,11
58,0,02246,Duffy Waldorf,172,149,23
59,0,20098,Stuart Appleby,174,19,155
59,0,01706,Davis Love III,174,8,166
61,0,24507,Jason Bohn,175,62,113
62,0,12510,Chad Campbell,176,52,124
62,0,06595,Kevin Sutherland,176,108,68
64,0,01139,Olin Browne,177,173,4
65,0,01941,Tom Pernice Jr.,179,80,99
65,0,20548,Hidemichi Tanaka,179,150,29
67,0,21407,Arjun Atwal,180,50,130
68,0,27095,Nick Watney,182,28,154
69,0,12652,Cameron Beckman,183,120,63
69,0,01707,Steve Lowery,183,77,106
69,0,24781,Hunter Mahan,183,55,128
72,0,20433,Mark Hensby,185,83,102
72,0,23322,Brett Wetterich,185,3,182
74,0,20572,Rod Pampling,186,40,146
74,0,12454,Mario Tiziani,186,122,64
76,0,07223,Brian Bateman,187,76,111
76,0,12782,Tim Herron,187,65,122
76,0,01810,Phil Mickelson,187,26,161
76,0,20691,Greg Owen,187,71,116
80,0,24925,Jonathan Byrd,188,37,151
80,0,08075,Jerry Kelly,188,155,33
82,0,06573,Brandt Jobe,189,11,178
83,0,20812,Tjaart van der Walt,190,140,50
84,0,19972,José Coceres,191,184,7
84,0,19881,Robert Damron,191,181,10
86,0,20628,Arron Oberholser,193,145,48
86,0,08793,Tiger Woods,193,2,191
88,0,21633,Steve Allan,194,32,162
88,0,08385,Omar Uresti,194,191,3
90,0,23108,Matt Kuchar,195,170,25
91,0,23320,Ryan Palmer,196,47,149
91,0,02223,Bob Tway,196,114,82
93,0,01677,Tom Lehman,197,121,76
94,0,23135,Tim Clark,199,140,59
94,0,01381,Fred Funk,199,197,2
94,0,23725,Brendan Jones,199,14,185
94,0,24502,Adam Scott,199,23,176
98,0,20474,Phillip Price,200,142,58
99,0,20099,Doug Barron,201,175,26
99,0,01313,Steve Elkington,201,145,56
99,0,20157,Retief Goosen,201,44,157
102,0,10809,Jim Furyk,202,170,32
102,0,01487,Jeff Hart,202,201,1
102,0,01619,Skip Kendall,202,187,15
102,0,10860,Justin Leonard,202,128,74
106,0,23063,Scott Hend,203,1,202
107,0,11032,Frank Lickliter II,204,103,101
107,0,20663,Brenden Pappas,204,6,198
107,0,02214,Kirk Triplett,204,187,17
110,0,20623,Gavin Coles,205,200,5
110,0,01249,John Daly,205,5,200
110,0,08725,Tom Gillis,205,133,72
110,0,24361,Pat Perez,205,68,137
110,0,25345,Carl Pettersson,205,70,135
115,0,23552,Hank Kuehne,206,7,199
116,0,01388,Robert Gamez,208,162,46
117,0,06599,John Elliott,209,13,196
117,0,23497,Tag Ridings,209,20,189
119,0,23983,Luke Donald,210,135,75
120,0,01823,Larry Mize,211,192,19
121,0,01157,Tom Byrum,213,195,18
121,0,01226,Fred Couples,213,39,174
121,0,20634,Peter Lonard,213,93,120
124,0,01175,Jim Carter,215,185,30
124,0,01361,Dan Forsman,215,52,163
124,0,06515,Shaun Micheel,215,101,114
124,0,21878,Mark Wilson,215,174,41
128,0,01219,John Cook,217,196,21
128,0,06332,Neal Lancaster,217,58,159
128,0,20382,Stephen Leaney,217,182,35
131,0,10585,Scott McCarron,218,77,141
131,0,01927,Dennis Paulson,218,30,188
131,0,02104,Jeff Sluman,218,176,42
131,0,12602,Dean Wilson,218,152,66
135,0,01320,Bob Estes,219,142,77
135,0,12680,Shigeki Maruyama,219,98,121
137,0,23540,Jason Allred,221,20,201
138,0,01127,Danny Briggs,222,185,37
138,0,20850,Daniel Chopra,222,35,187
138,0,20127,Chris Riley,222,178,44
138,0,23621,Rory Sabbatini,222,36,186
142,0,12823,Carlos Franco,223,48,175
143,0,01599,Steve Jones,224,167,57
144,0,08931,Glen Day,225,118,107
145,0,01473,Todd Hamilton,227,110,117
146,0,21961,Charles Howell III,228,56,172
147,0,21806,Paul Gow,230,178,52
147,0,07749,Brett Quigley,230,59,171
147,0,22548,Patrick Sheehan,230,96,134
150,0,02010,Loren Roberts,231,197,34
151,0,12660,Jesper Parnevik,232,64,168
152,0,19846,Brian Gay,233,193,40
153,0,28088,Matt Davidson,234,165,69
153,0,01418,Bill Glasson,234,139,95
153,0,21949,Joe Ogilvie,234,131,103
156,0,07867,Woody Austin,235,93,142
156,0,01132,Mark Brooks,235,199,36
156,0,07457,Steve Flesch,235,138,97
159,0,23409,James Driscoll,237,42,195
160,0,24138,Ian Poulter,239,132,107
161,0,10423,Mike Weir,240,158,82
162,0,01024,Billy Andrade,241,151,90
162,0,10117,Bob Heintz,241,71,170
164,0,20766,Padraig Harrington,243,54,189
165,0,23541,Ben Crane,244,61,183
165,0,20160,Charlie Wi,244,129,115
167,0,24604,Hunter Haas,247,88,159
167,0,01928,Corey Pavin,247,202,45
169,0,01457,Jay Haas,249,187,62
170,0,06575,Dudley Hart,250,127,123
171,0,24227,Justin Bolli,252,96,156
171,0,21350,Ryuji Imada,252,85,167
173,0,06004,Stephen Ames,254,122,132
174,0,06197,Michael Allen,257,65,192
175,0,23036,Chris Anderson,258,177,81
175,0,22621,Ben Curtis,258,170,88
175,0,12645,Brent Geiberger,258,162,96
175,0,08545,Glen Hnatiuk,258,148,110
179,0,20121,Todd Fischer,260,187,73
180,0,10201,Matt Gogel,261,169,92
180,0,06373,José María Olazábal,261,103,158
182,0,01666,Bernhard Langer,262,93,169
183,0,21498,Hideto Tanihara,264,135,129
184,0,21731,Freddie Jacobson,266,90,176
185,0,22371,Aaron Baddeley,268,74,194
185,0,01723,Andrew Magee,268,87,181
187,0,01042,Paul Azinger,269,133,136
187,0,20229,Stewart Cink,269,126,143
189,0,23614,Rich Beem,270,106,164
190,0,25396,Kevin Na,285,167,118
191,0,06251,Chris DiMarco,289,164,125
192,0,12662,Thomas Levet,290,110,180
193,0,08537,J.P. Hayes,297,153,144
193,0,01948,Tim Petrovic,297,118,179
195,0,01577,Lee Janzen,309,125,184
196,0,10912,Craig Perks,315,122,193
197,0,01887,Mark O'Meara,316,183,133
198,0,25847,Rob Rashell,318,166,152
199,0,06527,Steve Stricker,326,129,197
200,0,01761,Len Mattiace,328,178,150
201,0,01329,Brad Faxon,332,194,138
201,0,08993,Franklin Langham,332,159,173
