RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,23541,Ben Crane,57.30,445,255
2,0,01761,Len Mattiace,55.89,569,318
3,0,23621,Rory Sabbatini,54.15,458,248
4,0,08537,J.P. Hayes,53.70,378,203
5,0,06373,José María Olazábal,53.31,287,153
6,0,22371,Aaron Baddeley,53.27,535,285
7,0,21407,Arjun Atwal,53.14,446,237
8,0,23497,Tag Ridings,52.02,619,322
9,0,01823,Larry Mize,51.85,351,182
10,0,02206,David Toms,51.78,477,247
11,0,01329,Brad Faxon,51.72,437,226
12,0,06004,Stephen Ames,51.42,422,217
13,0,19846,Brian Gay,51.26,636,326
13,0,06527,Steve Stricker,51.26,435,223
15,0,21949,Joe Ogilvie,51.15,608,311
16,0,23983,Luke Donald,51.14,264,135
17,0,02214,Kirk Triplett,51.10,319,163
18,0,20160,Charlie Wi,51.05,478,244
19,0,01042,Paul Azinger,51.03,435,222
20,0,10809,Jim Furyk,50.95,528,269
21,0,01142,Bart Bryant,50.90,556,283
21,0,19972,José Coceres,50.90,389,198
23,0,02223,Bob Tway,50.88,454,231
24,0,01887,Mark O'Meara,50.80,374,190
25,0,10733,Kent Jones,50.70,643,326
25,0,24138,Ian Poulter,50.70,284,144
27,0,06575,Dudley Hart,50.69,507,257
28,0,24980,Scott Gutschewski,50.67,525,266
29,0,01685,J.L. Lewis,50.57,611,309
30,0,28088,Matt Davidson,50.53,380,192
30,0,23623,Bo Van Pelt,50.53,661,334
32,0,22295,Darron Stiles,50.48,523,264
33,0,23552,Hank Kuehne,50.37,544,274
34,0,06595,Kevin Sutherland,50.32,467,235
35,0,07457,Steve Flesch,50.31,477,240
36,0,12645,Brent Geiberger,50.29,350,176
37,0,20812,Tjaart van der Walt,50.27,364,183
38,0,12602,Dean Wilson,50.26,571,287
39,0,02246,Duffy Waldorf,50.20,492,247
40,0,01157,Tom Byrum,50.09,553,277
41,0,20766,Padraig Harrington,50.00,302,151
42,0,01139,Olin Browne,49.92,591,295
42,0,20121,Todd Fischer,49.92,609,304
44,0,01024,Billy Andrade,49.91,531,265
45,0,12660,Jesper Parnevik,49.90,479,239
46,0,22548,Patrick Sheehan,49.78,673,335
47,0,26420,Richard Johnson,49.69,322,160
48,0,25396,Kevin Na,49.66,586,291
49,0,12680,Shigeki Maruyama,49.50,596,295
50,0,12782,Tim Herron,49.44,536,265
51,0,20663,Brenden Pappas,49.41,338,167
52,0,23320,Ryan Palmer,49.39,656,324
53,0,10860,Justin Leonard,49.24,396,195
54,0,20229,Stewart Cink,49.13,519,255
55,0,24507,Jason Bohn,49.01,555,272
55,0,24361,Pat Perez,49.01,553,271
57,0,22046,Geoff Ogilvy,49.00,549,269
57,0,27095,Nick Watney,49.00,549,269
59,0,21731,Freddie Jacobson,48.98,443,217
60,0,21633,Steve Allan,48.97,631,309
61,0,01388,Robert Gamez,48.94,615,301
62,0,25345,Carl Pettersson,48.93,654,320
