RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
1,0,20498,Briny Baird,97.56,41,40
2,0,01487,Jeff Hart,94.74,19,18
3,0,01887,Mark O'Meara,94.44,18,17
4,0,22548,Patrick Sheehan,93.75,64,60
5,0,07223,Brian Bateman,93.33,45,42
5,0,20229,Stewart Cink,93.33,30,28
5,0,01677,Tom Lehman,93.33,30,28
8,0,01761,Len Mattiace,93.10,29,27
8,0,20628,Arron Oberholser,93.10,29,27
10,0,22913,John Rollins,93.02,43,40
11,0,01619,Skip Kendall,92.86,28,26
11,0,01948,Tim Petrovic,92.86,42,39
13,0,23349,Charles Warren,92.45,53,49
14,0,24227,Justin Bolli,92.31,39,36
14,0,20157,Retief Goosen,92.31,26,24
14,0,12782,Tim Herron,92.31,52,48
17,0,06197,Michael Allen,91.84,49,45
18,0,01219,John Cook,91.67,36,33
18,0,01577,Lee Janzen,91.67,36,33
18,0,26420,Richard Johnson,91.67,24,22
18,0,12454,Mario Tiziani,91.67,36,33
22,0,23623,Bo Van Pelt,91.53,59,54
23,0,26679,Kevin Stadler,91.49,47,43
24,0,23725,Brendan Jones,91.18,34,31
25,0,24024,Zach Johnson,91.07,56,51
26,0,23409,James Driscoll,90.91,33,30
26,0,01313,Steve Elkington,90.91,33,30
26,0,01388,Robert Gamez,90.91,44,40
29,0,08793,Tiger Woods,90.70,43,39
30,0,10885,Robert Allenby,90.63,32,29
31,0,23983,Luke Donald,90.48,21,19
31,0,02010,Loren Roberts,90.48,21,19
33,0,06599,John Elliott,90.32,31,28
33,0,08537,J.P. Hayes,90.32,31,28
35,0,06573,Brandt Jobe,90.00,50,45
35,0,24138,Ian Poulter,90.00,10,9
35,0,02246,Duffy Waldorf,90.00,40,36
38,0,21731,Freddie Jacobson,89.66,29,26
38,0,02223,Bob Tway,89.66,29,26
40,0,01927,Dennis Paulson,89.47,19,17
41,0,01928,Corey Pavin,89.29,28,25
42,0,24781,Hunter Mahan,89.09,55,49
43,0,20634,Peter Lonard,88.89,36,32
43,0,12660,Jesper Parnevik,88.89,36,32
45,0,10809,Jim Furyk,88.64,44,39
46,0,01329,Brad Faxon,88.57,35,31
47,0,24357,K.J. Choi,88.46,26,23
47,0,20127,Chris Riley,88.46,26,23
49,0,24140,Sean O'Hair,88.37,43,38
49,0,01945,Kenny Perry,88.37,43,38
51,0,19881,Robert Damron,88.24,34,30
51,0,23063,Scott Hend,88.24,34,30
53,0,01142,Bart Bryant,88.10,42,37
53,0,20121,Todd Fischer,88.10,42,37
55,0,20663,Brenden Pappas,88.00,25,22
55,0,24502,Adam Scott,88.00,25,22
57,0,20094,Jonathan Kaye,87.88,33,29
58,0,20378,Mathias Grönberg,87.50,24,21
59,0,23497,Tag Ridings,87.23,47,41
60,0,25847,Rob Rashell,87.10,31,27
60,0,21878,Mark Wilson,87.10,31,27
62,0,24925,Jonathan Byrd,86.84,38,33
63,0,19972,José Coceres,86.67,30,26
63,0,07749,Brett Quigley,86.67,45,39
63,0,06527,Steve Stricker,86.67,30,26
63,0,02214,Kirk Triplett,86.67,15,13
67,0,20433,Mark Hensby,86.49,37,32
68,0,01418,Bill Glasson,86.36,22,19
68,0,01599,Steve Jones,86.36,22,19
68,0,01823,Larry Mize,86.36,22,19
71,0,01797,Rocco Mediate,86.27,51,44
72,0,12652,Cameron Beckman,85.71,49,42
72,0,01157,Tom Byrum,85.71,35,30
72,0,08725,Tom Gillis,85.71,28,24
72,0,24604,Hunter Haas,85.71,35,30
72,0,20766,Padraig Harrington,85.71,21,18
72,0,06575,Dudley Hart,85.71,28,24
72,0,06567,Vijay Singh,85.71,49,42
72,0,06595,Kevin Sutherland,85.71,35,30
80,0,23135,Tim Clark,85.42,48,41
80,0,26287,Roland Thatcher,85.42,48,41
82,0,22046,Geoff Ogilvy,85.37,41,35
83,0,23541,Ben Crane,85.29,34,29
84,0,20548,Hidemichi Tanaka,85.25,61,52
85,0,20812,Tjaart van der Walt,85.19,27,23
85,0,20160,Charlie Wi,85.19,27,23
87,0,23353,J.J. Henry,85.00,60,51
87,0,06332,Neal Lancaster,85.00,60,51
89,0,23325,Vaughn Taylor,84.75,59,50
90,0,21961,Charles Howell III,84.62,26,22
90,0,10733,Kent Jones,84.62,39,33
92,0,07867,Woody Austin,84.44,45,38
93,0,01161,Mark Calcavecchia,84.31,51,43
94,0,06034,Marco Dawson,84.21,38,32
94,0,10117,Bob Heintz,84.21,38,32
94,0,20474,Phillip Price,84.21,38,32
97,0,12680,Shigeki Maruyama,84.09,44,37
98,0,01139,Olin Browne,83.72,43,36
99,0,01035,Tommy Armour III,83.67,49,41
99,0,23320,Ryan Palmer,83.67,49,41
101,0,23614,Rich Beem,83.33,30,25
101,0,01132,Mark Brooks,83.33,30,25
101,0,22621,Ben Curtis,83.33,24,20
101,0,28088,Matt Davidson,83.33,18,15
101,0,26758,David Hearn,83.33,36,30
101,0,08075,Jerry Kelly,83.33,42,35
101,0,08993,Franklin Langham,83.33,48,40
101,0,01724,Jeff Maggert,83.33,42,35
101,0,10912,Craig Perks,83.33,36,30
101,0,21951,Joey Snyder III,83.33,48,40
111,0,25345,Carl Pettersson,83.08,65,54
112,0,21949,Joe Ogilvie,83.02,53,44
112,0,21959,Ted Purdy,83.02,53,44
114,0,06621,Joe Durant,82.98,47,39
115,0,08123,Jeff Brehaut,82.93,41,34
115,0,02104,Jeff Sluman,82.93,41,34
117,0,06004,Stephen Ames,82.86,35,29
