RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOURN/COURSE,ROUND
1,0,01810,Phil Mickelson,60,FBR Open/TPC Sc,2
2,0,01329,Brad Faxon,61,Buick Champ/TPC,4
2,0,01706,Davis Love III,61,Bob Hope Chrysl,3
2,0,25345,Carl Pettersson,61,FUNAI-Disney/Pa,2
2,0,08793,Tiger Woods,61,Buick Open/Warw,2
6,0,20498,Briny Baird,62,Las Vegas/TPC S,1
6,0,01142,Bart Bryant,62,THE TOUR Champ/,1
6,0,23541,Ben Crane,62,Milwaukee/Brown,1
6,0,06522,Ernie Els,62,Sony Open/Waial,4
6,0,21805,Harrison Frazar,62,B.C. Open/En-Jo,4
6,0,01388,Robert Gamez,62,Texas Open/LaCa,1
6,0,01418,Bill Glasson,62,Reno-Tahoe Open,2
6,0,21731,Freddie Jacobson,62,Bob Hope Chrysl,2
6,0,06573,Brandt Jobe,62,FUNAI-Disney/Pa,2
6,0,01677,Tom Lehman,62,Buick Invitatio,1
6,0,10860,Justin Leonard,62,FedEx St. Jude/,1
6,0,20634,Peter Lonard,62,MCI Heritage/Ha,1
6,0,23320,Ryan Palmer,62,Las Vegas/TPC C,1
6,0,01941,Tom Pernice Jr.,62,FUNAI-Disney/Pa,2
6,0,22548,Patrick Sheehan,62,Colonial/Coloni,1
6,0,23481,Marcel Siem,62,Deutsche Bank/T,2
6,0,02101,Joey Sindelar,62,Buick Champ/TPC,2
6,0,02239,Scott Verplank,62,Bob Hope Chrysl,4
6,0,23349,Charles Warren,62,Greensboro/Fore,1
6,0,12602,Dean Wilson,62,Texas Open/LaCa,2
26,0,06197,Michael Allen,63,B.C. Open/En-Jo,3
26,0,01024,Billy Andrade,63,AT&T Pebble/Peb,3
26,0,20098,Stuart Appleby,63,EDS B. Nelson/T,1
26,0,07867,Woody Austin,63,Texas Open/LaCa,1
26,0,22371,Aaron Baddeley,63,Las Vegas/TPC C,2
26,0,23614,Rich Beem,63,FUNAI-Disney/Ma,3
26,0,10944,Thomas Bjørn,63,PGA Championshi,3
26,0,08931,Glen Day,63,B.C. Open/En-Jo,1
26,0,01261,Jay Delsing,63,Texas Open/LaCa,4
26,0,06621,Joe Durant,63,Colonial/Coloni,2
26,0,01306,David Edwards,63,B.C. Open/En-Jo,2
26,0,25900,Lucas Glover,63,Honda Classic/C,4
26,0,10201,Matt Gogel,63,Booz Allen/Cong,1
26,0,24604,Hunter Haas,63,FUNAI-Disney/Pa,1
26,0,20766,Padraig Harrington,63,Honda Classic/C,4
26,0,27702,Matt Hendrix,63,B.C. Open/En-Jo,1
26,0,21961,Charles Howell III,63,Las Vegas/TPC S,1
26,0,24024,Zach Johnson,63,Buick Champ/TPC,2
26,0,10733,Kent Jones,63,Deutsche Bank/T,3
26,0,01685,J.L. Lewis,63,FUNAI-Disney/Pa,2
26,0,01724,Jeff Maggert,63,Texas Open/LaCa,1
26,0,24781,Hunter Mahan,63,John Deere Clas,1
26,0,12680,Shigeki Maruyama,63,John Deere Clas,2
