RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,20498,Briny Baird,33' 5",1302.000,39,-4
2,0,02206,David Toms,35' 4",1095.083,31,+3
3,0,24138,Ian Poulter,35' 5",1063.333,30,-1
4,0,08793,Tiger Woods,35' 10",1182.583,33,-1
5,0,20691,Greg Owen,36' 1",1985.917,55,+10
6,0,23614,Rich Beem,36' 2",1774.000,49,+7
6,0,01161,Mark Calcavecchia,36' 2",1701.250,47,+16
8,0,02214,Kirk Triplett,36' 10",736.333,20,+1
9,0,06251,Chris DiMarco,37' 1",1744.750,47,+7
10,0,23983,Luke Donald,37' 3",931.417,25,-5
11,0,06197,Michael Allen,38' 1",1867.583,49,+6
12,0,01226,Fred Couples,38' 3",1110.250,29,+1
12,0,22405,Justin Rose,38' 3",2561.667,67,+21
14,0,23621,Rory Sabbatini,38' 6",2079.167,54,+11
15,0,01024,Billy Andrade,38' 10",2328.750,60,+12
15,0,01142,Bart Bryant,38' 10",1552.667,40,+5
17,0,23135,Tim Clark,38' 11",1439.833,37,+13
18,0,20105,Jeff Gove,39' 0",2066.083,53,E
18,0,21959,Ted Purdy,39' 0",2026.750,52,+7
20,0,24358,Robert Garrigus,39' 1",2266.917,58,+7
20,0,20094,Jonathan Kaye,39' 1",2303.917,59,+15
20,0,01706,Davis Love III,39' 1",1913.917,49,+3
23,0,21731,Freddie Jacobson,39' 2",1723.167,44,+7
24,0,23048,Eric Axley,39' 4",2832.750,72,+18
25,0,28780,Nicholas Thompson,39' 10",1512.083,38,+6
26,0,02223,Bob Tway,39' 11",1837.583,46,+12
27,0,20157,Retief Goosen,40' 0",1559.167,39,E
28,0,21949,Joe Ogilvie,40' 1",2406.667,60,+7
29,0,20382,Stephen Leaney,40' 2",2087.083,52,+3
30,0,12680,Shigeki Maruyama,40' 3",3056.667,76,+1
30,0,02101,Joey Sindelar,40' 3",2010.833,50,+15
32,0,12760,Danny Ellis,40' 4",1935.667,48,+1
32,0,06643,Paul Goydos,40' 4",1531.083,38,+5
34,0,02246,Duffy Waldorf,40' 5",2181.000,54,+6
35,0,01381,Fred Funk,40' 6",1256.417,31,+3
35,0,27095,Nick Watney,40' 6",2796.917,69,+26
37,0,01320,Bob Estes,40' 10",2084.000,51,+5
37,0,28475,Jeff Overton,40' 10",2779.000,68,+16
39,0,20634,Peter Lonard,41' 0",1803.500,44,+4
40,0,10885,Robert Allenby,41' 1",1315.417,32,+5
40,0,06621,Joe Durant,41' 1",1478.250,36,+7
42,0,12782,Tim Herron,41' 2",2756.167,67,+10
42,0,21350,Ryuji Imada,41' 2",3129.167,76,+14
44,0,23788,D.J. Trahan,41' 3",2060.667,50,+11
45,0,22946,Henrik Bjornstad,41' 4",3056.500,74,+6
45,0,01707,Steve Lowery,41' 4",2438.417,59,+18
45,0,08375,Paul Stankowski,41' 4",1983.083,48,+2
45,0,12602,Dean Wilson,41' 4",2771.667,67,+8
49,0,24925,Jonathan Byrd,41' 7",1663.917,40,+6
49,0,22892,Jason Gore,41' 7",2580.083,62,+4
51,0,06575,Dudley Hart,41' 8",2831.583,68,+4
51,0,08385,Omar Uresti,41' 8",1415.667,34,+3
