RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL MISSED,TOTAL FWYS,RELATIVE TO PAR
1,0,01381,Fred Funk,1.50,19,1268,+0.16
2,0,24024,Zach Johnson,1.65,18,1088,+0.17
3,0,02206,David Toms,1.72,15,872,+0.80
4,0,24138,Ian Poulter,1.87,11,588,+0.27
5,0,10809,Jim Furyk,2.08,21,1011,+0.38
6,0,06621,Joe Durant,2.35,33,1405,+0.15
7,0,10885,Robert Allenby,2.46,21,852,+0.62
8,0,01945,Kenny Perry,2.53,22,868,+0.36
9,0,12662,Thomas Levet,2.62,18,686,+0.11
9,0,24502,Adam Scott,2.62,19,726,+0.21
11,0,01142,Bart Bryant,2.80,29,1036,+0.52
12,0,20766,Padraig Harrington,2.82,15,532,+0.60
13,0,02239,Scott Verplank,2.92,30,1027,+0.13
14,0,22293,Heath Slocum,3.14,39,1243,+0.72
15,0,20157,Retief Goosen,3.27,21,642,+0.90
16,0,20634,Peter Lonard,3.36,32,952,+0.56
17,0,01313,Steve Elkington,3.38,23,681,+0.39
18,0,01139,Olin Browne,3.50,46,1316,+0.33
19,0,19846,Brian Gay,3.56,53,1488,+0.30
20,0,24357,K.J. Choi,3.58,41,1144,+0.24
20,0,02214,Kirk Triplett,3.58,27,754,+0.59
22,0,20812,Tjaart van der Walt,3.77,30,795,+0.37
23,0,21878,Mark Wilson,3.97,42,1059,+0.29
24,0,22621,Ben Curtis,3.98,40,1005,+0.53
25,0,23349,Charles Warren,4.01,48,1197,+0.21
26,0,01724,Jeff Maggert,4.02,42,1046,+0.57
26,0,08385,Omar Uresti,4.02,33,821,+0.27
28,0,20628,Arron Oberholser,4.06,38,937,E
29,0,21731,Freddie Jacobson,4.09,32,783,+0.66
30,0,20098,Stuart Appleby,4.11,38,924,+0.13
31,0,06527,Steve Stricker,4.13,31,751,E
32,0,26420,Richard Johnson,4.23,54,1278,+0.22
32,0,25345,Carl Pettersson,4.23,48,1135,+0.35
34,0,20127,Chris Riley,4.24,46,1085,+0.28
35,0,22378,Trevor Immelman,4.25,45,1060,+0.36
36,0,02110,Jerry Smith,4.29,55,1282,+0.55
37,0,06643,Paul Goydos,4.30,43,1000,+0.51
38,0,06004,Stephen Ames,4.32,29,671,+0.03
39,0,06522,Ernie Els,4.34,29,668,+0.31
40,0,01132,Mark Brooks,4.39,52,1184,+0.44
41,0,02104,Jeff Sluman,4.43,56,1264,+0.34
42,0,01320,Bob Estes,4.44,50,1125,+0.50
42,0,01619,Skip Kendall,4.44,42,947,+0.24
42,0,24781,Hunter Mahan,4.44,58,1307,+0.52
45,0,23718,Nathan Green,4.47,61,1366,+0.38
45,0,06567,Vijay Singh,4.47,55,1231,+0.42
47,0,01677,Tom Lehman,4.56,33,723,E
47,0,02246,Duffy Waldorf,4.56,57,1250,+0.26
49,0,01388,Robert Gamez,4.60,59,1284,+0.39
49,0,01599,Steve Jones,4.60,50,1088,+0.40
49,0,01766,Billy Mayfair,4.60,54,1173,+0.04
52,0,20498,Briny Baird,4.66,50,1073,+0.28
53,0,20229,Stewart Cink,4.67,48,1028,+0.31
54,0,23983,Luke Donald,4.72,31,657,+0.10
54,0,21470,Daisuke Maruyama,4.72,52,1101,+0.27
56,0,01823,Larry Mize,4.75,31,653,+0.39
57,0,10423,Mike Weir,4.79,46,960,+0.22
58,0,22371,Aaron Baddeley,4.81,47,978,+0.49
59,0,23325,Vaughn Taylor,4.82,54,1120,+0.52
60,0,25900,Lucas Glover,4.87,62,1273,+0.21
61,0,06251,Chris DiMarco,4.88,45,923,+0.42
62,0,10860,Justin Leonard,4.93,49,993,+0.29
62,0,23623,Bo Van Pelt,4.93,66,1339,+0.17
62,0,12602,Dean Wilson,4.93,72,1460,+0.38
65,0,10505,Shane Bertsch,4.94,70,1418,+0.40
66,0,12645,Brent Geiberger,4.95,67,1353,+0.39
66,0,20105,Jeff Gove,4.95,60,1211,+0.40
68,0,12680,Shigeki Maruyama,4.97,61,1228,+0.38
69,0,01707,Steve Lowery,4.98,63,1266,+0.21
70,0,06515,Shaun Micheel,5.03,58,1153,+0.41
71,0,20608,David Howell,5.07,22,434,+0.14
72,0,08075,Jerry Kelly,5.08,65,1280,+0.35
73,0,07457,Steve Flesch,5.10,79,1548,+0.41
74,0,01685,J.L. Lewis,5.15,41,796,+0.12
75,0,19913,Ron Whittaker,5.18,57,1101,+0.42
76,0,21209,Sergio Garcia,5.19,30,578,+0.57
77,0,21961,Charles Howell III,5.23,62,1186,+0.19
78,0,01219,John Cook,5.26,46,874,+0.37
79,0,24507,Jason Bohn,5.27,72,1367,+0.11
80,0,01161,Mark Calcavecchia,5.29,62,1171,+0.26
80,0,06573,Brandt Jobe,5.29,56,1059,+0.23
82,0,01941,Tom Pernice Jr.,5.32,71,1334,+0.17
83,0,01329,Brad Faxon,5.36,57,1063,+0.44
84,0,20094,Jonathan Kaye,5.37,69,1285,+0.32
84,0,01706,Davis Love III,5.37,48,894,-0.02
86,0,06012,Greg Kraft,5.40,55,1019,+0.15
86,0,11011,Mike Sposa,5.40,49,907,+0.24
88,0,21753,Brian Davis,5.41,68,1256,+0.21
89,0,01042,Paul Azinger,5.49,65,1185,+0.49
90,0,26596,Ryan Moore,5.52,47,852,+0.40
90,0,28780,Nicholas Thompson,5.52,70,1268,+0.36
92,0,21646,David Branshaw,5.58,76,1363,+0.29
92,0,23541,Ben Crane,5.58,53,950,+0.38
94,0,20121,Todd Fischer,5.60,77,1376,+0.43
95,0,23135,Tim Clark,5.64,51,904,+0.12
95,0,10733,Kent Jones,5.64,76,1348,+0.34
95,0,20572,Rod Pampling,5.64,55,975,+0.45
98,0,22946,Henrik Bjornstad,5.65,75,1327,+0.33
99,0,07867,Woody Austin,5.66,78,1377,+0.38
100,0,08537,J.P. Hayes,5.74,44,767,+0.32
101,0,23353,J.J. Henry,5.83,69,1184,+0.25
102,0,08123,Jeff Brehaut,5.84,78,1336,+0.37
103,0,20645,John Senden,5.85,71,1214,+0.28
104,0,20691,Greg Owen,5.86,58,990,+0.22
105,0,02106,Chris Smith,5.89,55,933,+0.24
106,0,12782,Tim Herron,6.00,56,933,+0.54
107,0,11032,Frank Lickliter II,6.01,81,1348,+0.48
107,0,20631,David McKenzie,6.01,67,1114,+0.42
109,0,12755,Vance Veazey,6.06,50,825,+0.50
110,0,20574,Mathew Goggin,6.07,56,922,+0.39
110,0,01928,Corey Pavin,6.07,54,890,+0.19
112,0,06595,Kevin Sutherland,6.14,82,1336,+0.34
113,0,01035,Tommy Armour III,6.15,52,846,+0.19
114,0,12660,Jesper Parnevik,6.22,71,1142,+0.20
115,0,21350,Ryuji Imada,6.23,85,1365,+0.22
115,0,02101,Joey Sindelar,6.23,73,1171,+0.30
117,0,23614,Rich Beem,6.26,62,991,+0.35
118,0,12510,Chad Campbell,6.29,64,1017,+0.27
119,0,19881,Robert Damron,6.31,80,1268,+0.39
120,0,20382,Stephen Leaney,6.34,74,1167,+0.47
121,0,20099,Doug Barron,6.39,65,1018,+0.55
122,0,21959,Ted Purdy,6.43,80,1244,+0.54
123,0,22405,Justin Rose,6.47,82,1268,+0.61
124,0,25935,John Engler Jr.,6.52,61,935,+0.41
125,0,07749,Brett Quigley,6.53,90,1379,+0.32
126,0,25240,D.A. Points,6.54,73,1116,+0.41
127,0,22046,Geoff Ogilvy,6.58,50,760,+0.54
128,0,23322,Brett Wetterich,6.65,72,1083,+0.22
129,0,21949,Joe Ogilvie,6.83,85,1244,+0.21
129,0,07013,Wes Short Jr.,6.83,88,1289,+0.27
131,0,20378,Mathias Grönberg,6.84,85,1243,+0.19
132,0,23788,D.J. Trahan,6.85,84,1226,+0.21
133,0,27095,Nick Watney,6.87,91,1324,+0.31
134,0,21407,Arjun Atwal,6.88,91,1322,+0.41
135,0,11123,Chris Couch,6.90,70,1015,+0.30
136,0,28475,Jeff Overton,6.93,90,1299,+0.21
137,0,06373,José María Olazábal,6.98,41,587,+0.24
138,0,21660,Jason Schultz,7.08,74,1045,+0.36
139,0,27770,Camilo Villegas,7.09,86,1213,+0.48
140,0,20472,Alex Cejka,7.10,90,1268,+0.32
141,0,12716,Charley Hoffman,7.17,94,1311,+0.23
141,0,22913,John Rollins,7.17,87,1213,+0.25
143,0,01553,John Huston,7.19,72,1001,+0.44
144,0,06350,Bob May,7.20,62,861,+0.31
145,0,24980,Scott Gutschewski,7.31,52,711,+0.40
146,0,08793,Tiger Woods,7.33,39,532,+0.03
147,0,12760,Danny Ellis,7.39,66,893,+0.35
147,0,22548,Patrick Sheehan,7.39,103,1394,+0.26
149,0,01948,Tim Petrovic,7.40,94,1270,+0.44
150,0,24925,Jonathan Byrd,7.45,64,859,+0.09
151,0,10565,Ian Leggatt,7.46,79,1059,+0.67
152,0,19824,Craig Barlow,7.48,70,936,+0.30
152,0,24140,Sean O'Hair,7.48,88,1176,+0.30
152,0,23320,Ryan Palmer,7.48,99,1324,+0.20
155,0,23048,Eric Axley,7.51,93,1239,+0.48
155,0,01666,Bernhard Langer,7.51,69,919,+0.09
157,0,01761,Len Mattiace,7.56,62,820,+0.50
158,0,23621,Rory Sabbatini,7.59,75,988,+0.13
159,0,23409,James Driscoll,7.62,85,1116,+0.46
160,0,01810,Phil Mickelson,7.70,57,740,+0.28
161,0,08375,Paul Stankowski,7.79,76,975,+0.37
162,0,01024,Billy Andrade,7.84,74,944,+0.24
162,0,12823,Carlos Franco,7.84,94,1199,+0.37
164,0,22892,Jason Gore,7.86,88,1120,+0.38
165,0,26360,Bubba Dickerson,7.92,106,1338,+0.31
