RANK,MOVEMENT,PLAYER_ID,PLAYER,RATING
1,0,20436,Garrett Willis,9.4
2,0,02101,Joey Sindelar,9.0
3,0,22293,Heath Slocum,8.7
4,0,10505,Shane Bertsch,8.6
5,3,08793,Tiger Woods,8.4
6,-1,08931,Glen Day,8.3
6,-1,10809,Jim Furyk,8.3
6,-1,26758,David Hearn,8.3
9,-1,06036,Scott Dunlap,8.2
9,-1,01381,Fred Funk,8.2
11,0,01374,Robin Freeman,8.1
12,0,06621,Joe Durant,8.0
13,0,01457,Jay Haas,7.9
13,0,20382,Stephen Leaney,7.9
13,0,27060,John Mallinger,7.9
13,0,01945,Kenny Perry,7.9
13,0,27399,Richard Scott,7.9
13,0,22295,Darron Stiles,7.9
19,0,01139,Olin Browne,7.8
19,0,01175,Jim Carter,7.8
19,0,20104,Ken Duke,7.8
19,0,10733,Kent Jones,7.8
19,0,08075,Jerry Kelly,7.8
19,0,11032,Frank Lickliter II,7.8
19,0,06527,Steve Stricker,7.8
26,1,01307,Joel Edwards,7.7
26,1,01388,Robert Gamez,7.7
26,1,29222,Billy Hurley III,7.7
26,1,20218,Shingo Katayama,7.7
26,1,20474,Phillip Price,7.7
26,1,02010,Loren Roberts,7.7
26,1,22405,Justin Rose,7.7
26,-7,24502,Adam Scott,7.7
34,0,20498,Briny Baird,7.6
34,0,20623,Gavin Coles,7.6
34,0,21209,Sergio Garcia,7.6
34,0,22378,Trevor Immelman,7.6
34,0,29718,Anthony Kim,7.6
34,0,22348,Nick O'Hern,7.6
34,0,21951,Joey Snyder III,7.6
34,0,02239,Scott Verplank,7.6
42,0,24507,Jason Bohn,7.5
42,0,19846,Brian Gay,7.5
42,0,10860,Justin Leonard,7.5
42,0,24781,Hunter Mahan,7.5
42,0,23325,Vaughn Taylor,7.5
47,0,01142,Bart Bryant,7.4
47,0,23135,Tim Clark,7.4
47,0,19970,Robert Karlsson,7.4
47,0,23552,Hank Kuehne,7.4
47,0,25572,Graeme McDowell,7.4
47,0,06090,Jim McGovern,7.4
47,0,01797,Rocco Mediate,7.4
47,0,06515,Shaun Micheel,7.4
