RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
1,0,06197,Michael Allen,.00,0,263,100.0
1,0,20098,Stuart Appleby,.00,0,233,100.0
1,0,23048,Eric Axley,.00,0,283,100.0
1,0,20498,Briny Baird,.00,0,244,100.0
1,0,10505,Shane Bertsch,.00,0,319,100.0
1,0,21646,David Branshaw,.00,0,271,100.0
1,0,01132,Mark Brooks,.00,0,235,100.0
1,0,01139,Olin Browne,.00,0,323,100.0
1,0,01142,Bart Bryant,.00,0,232,100.0
1,0,12510,Chad Campbell,.00,0,223,100.0
1,0,20593,Greg Chalmers,.00,0,214,100.0
1,0,20229,Stewart Cink,.00,0,255,100.0
1,0,23673,Michael Connell,.00,0,142,100.0
1,0,01219,John Cook,.00,0,189,100.0
1,0,01249,John Daly,.00,0,152,100.0
1,0,19881,Robert Damron,.00,0,290,100.0
1,0,26360,Bubba Dickerson,.00,0,313,100.0
1,0,06251,Chris DiMarco,.00,0,208,100.0
1,0,25935,John Engler Jr.,.00,0,207,100.0
1,0,10809,Jim Furyk,.00,0,208,100.0
1,0,21209,Sergio Garcia,.00,0,146,100.0
1,0,20157,Retief Goosen,.00,0,179,100.0
1,0,20105,Jeff Gove,.00,0,245,100.0
1,0,06643,Paul Goydos,.00,0,232,100.0
1,0,27943,Matt Hansen,.00,0,178,100.0
1,0,12782,Tim Herron,.00,0,231,100.0
1,0,21961,Charles Howell III,.00,0,245,100.0
1,0,22378,Trevor Immelman,.00,0,239,100.0
1,0,21731,Freddie Jacobson,.00,0,184,100.0
1,0,06573,Brandt Jobe,.00,0,258,100.0
1,0,01619,Skip Kendall,.00,0,236,100.0
1,0,06012,Greg Kraft,.00,0,241,100.0
1,0,01666,Bernhard Langer,.00,0,204,100.0
1,0,10565,Ian Leggatt,.00,0,245,100.0
1,0,01677,Tom Lehman,.00,0,171,100.0
1,0,11032,Frank Lickliter II,.00,0,290,100.0
1,0,20634,Peter Lonard,.00,0,216,100.0
1,0,01706,Davis Love III,.00,0,229,100.0
1,0,01707,Steve Lowery,.00,0,294,100.0
1,0,01724,Jeff Maggert,.00,0,256,100.0
1,0,21470,Daisuke Maruyama,.00,0,230,100.0
1,0,12680,Shigeki Maruyama,.00,0,304,100.0
1,0,01810,Phil Mickelson,.00,0,167,100.0
1,0,01887,Mark O'Meara,.00,0,142,100.0
1,0,20628,Arron Oberholser,.00,0,224,100.0
1,0,06373,José María Olazábal,.00,0,122,100.0
1,0,23320,Ryan Palmer,.00,0,290,100.0
1,0,01928,Corey Pavin,.00,0,193,100.0
1,0,22913,John Rollins,.00,0,251,100.0
1,0,22405,Justin Rose,.00,0,319,100.0
1,0,21660,Jason Schultz,.00,0,201,100.0
1,0,24502,Adam Scott,.00,0,171,100.0
1,0,06567,Vijay Singh,.00,0,279,100.0
1,0,22293,Heath Slocum,.00,0,299,100.0
1,0,08375,Paul Stankowski,.00,0,202,100.0
1,0,06527,Steve Stricker,.00,0,169,100.0
1,0,06595,Kevin Sutherland,.00,0,271,100.0
1,0,12755,Vance Veazey,.00,0,198,100.0
1,0,02239,Scott Verplank,.00,0,220,100.0
1,0,23322,Brett Wetterich,.00,0,264,100.0
1,0,08793,Tiger Woods,.00,0,114,100.0
62,0,19846,Brian Gay,.27,1,374,99.7
63,0,23718,Nathan Green,.30,1,337,99.7
63,0,10733,Kent Jones,.30,1,331,99.7
65,0,20850,Daniel Chopra,.31,1,323,99.6
65,0,01948,Tim Petrovic,.31,1,319,99.6
67,0,12645,Brent Geiberger,.32,1,313,99.6
67,0,12716,Charley Hoffman,.32,1,317,99.6
67,0,24781,Hunter Mahan,.32,1,316,99.6
67,0,23497,Tag Ridings,.32,1,312,99.6
71,0,21350,Ryuji Imada,.33,1,305,99.6
72,0,08123,Jeff Brehaut,.34,1,298,99.6
72,0,08075,Jerry Kelly,.34,1,291,99.6
72,0,02104,Jeff Sluman,.34,1,292,99.6
75,0,21407,Arjun Atwal,.35,1,284,99.6
75,0,01941,Tom Pernice Jr.,.35,1,283,99.6
77,0,20378,Mathias Grönberg,.36,1,275,99.6
77,0,24024,Zach Johnson,.36,1,279,99.6
77,0,27770,Camilo Villegas,.36,1,275,99.6
80,0,08835,Kris Cox,.37,1,271,99.6
80,0,20094,Jonathan Kaye,.37,1,272,99.6
80,0,20382,Stephen Leaney,.37,1,271,99.6
83,0,23409,James Driscoll,.38,1,266,99.6
83,0,24358,Robert Garrigus,.38,1,262,99.6
83,0,02110,Jerry Smith,.38,1,266,99.6
83,0,23349,Charles Warren,.38,1,265,99.6
87,0,22892,Jason Gore,.39,1,259,99.6
87,0,25345,Carl Pettersson,.39,1,256,99.6
89,0,23614,Rich Beem,.40,1,249,99.6
89,0,02101,Joey Sindelar,.40,1,250,99.6
91,0,24357,K.J. Choi,.41,1,245,99.5
91,0,01320,Bob Estes,.41,1,244,99.5
91,0,25240,D.A. Points,.41,1,243,99.5
91,0,02223,Bob Tway,.41,1,242,99.5
95,0,11123,Chris Couch,.42,1,236,99.5
95,0,23621,Rory Sabbatini,.42,1,236,99.5
97,0,22371,Aaron Baddeley,.43,1,235,99.5
97,0,20631,David McKenzie,.43,1,233,99.5
97,0,02206,David Toms,.43,1,234,99.5
100,0,01599,Steve Jones,.44,1,226,99.5
101,0,23541,Ben Crane,.46,1,218,99.5
101,0,27141,J.B. Holmes,.46,1,218,99.5
101,0,20572,Rod Pampling,.46,1,218,99.5
104,0,01024,Billy Andrade,.47,1,212,99.5
104,0,10860,Justin Leonard,.47,1,214,99.5
104,0,06350,Bob May,.47,1,212,99.5
104,0,25632,Jimmy Walker,.47,1,212,99.5
108,0,01035,Tommy Armour III,.50,1,201,99.5
108,0,11011,Mike Sposa,.50,1,202,99.5
110,0,26596,Ryan Moore,.51,1,195,99.4
111,0,23616,Ryan Hietala,.52,1,192,99.4
111,0,08385,Omar Uresti,.52,1,192,99.4
113,0,22046,Geoff Ogilvy,.53,1,189,99.4
114,0,07457,Steve Flesch,.55,2,362,99.4
115,0,25842,Jon Mills,.59,1,170,99.4
116,0,24138,Ian Poulter,.60,1,166,99.4
116,0,23307,Roger Tambellini,.60,1,168,99.4
118,0,12662,Thomas Levet,.61,1,163,99.3
119,0,24980,Scott Gutschewski,.62,1,161,99.3
120,0,23983,Luke Donald,.63,1,160,99.3
120,0,01381,Fred Funk,.63,2,317,99.3
122,0,20472,Alex Cejka,.64,2,311,99.3
122,0,25900,Lucas Glover,.64,2,314,99.3
122,0,02106,Chris Smith,.64,1,157,99.3
125,0,06004,Stephen Ames,.65,1,154,99.3
125,0,24924,Bill Haas,.65,2,310,99.3
127,0,20766,Padraig Harrington,.66,1,151,99.3
128,0,07749,Brett Quigley,.67,2,299,99.3
129,0,12602,Dean Wilson,.69,2,291,99.3
130,0,21959,Ted Purdy,.70,2,286,99.3
131,0,26420,Richard Johnson,.71,2,280,99.2
132,0,01329,Brad Faxon,.74,2,272,99.2
132,0,12823,Carlos Franco,.74,2,271,99.2
132,0,22548,Patrick Sheehan,.74,2,271,99.2
132,0,02246,Duffy Waldorf,.74,2,270,99.2
136,0,06034,Marco Dawson,.75,2,267,99.2
136,0,21805,Harrison Frazar,.75,2,267,99.2
136,0,24140,Sean O'Hair,.75,2,267,99.2
139,0,01823,Larry Mize,.76,1,132,99.2
140,0,06515,Shaun Micheel,.78,2,257,99.2
141,0,23353,J.J. Henry,.79,2,253,99.2
141,0,20127,Chris Riley,.79,2,252,99.2
143,0,01226,Fred Couples,.82,1,122,99.1
143,0,19913,Ron Whittaker,.82,2,244,99.1
145,0,21878,Mark Wilson,.84,2,239,99.1
146,0,01766,Billy Mayfair,.85,2,236,99.1
146,0,25804,Bubba Watson,.85,2,236,99.1
148,0,01577,Lee Janzen,.90,2,223,99.1
149,0,06575,Dudley Hart,.91,2,219,99.0
149,0,28475,Jeff Overton,.91,3,328,99.0
151,0,20121,Todd Fischer,.92,3,325,99.0
152,0,24507,Jason Bohn,.93,3,324,99.0
153,0,06621,Joe Durant,.94,3,319,99.0
154,0,01388,Robert Gamez,.95,3,317,99.0
155,0,20548,Hidemichi Tanaka,.98,2,205,99.0
156,0,10885,Robert Allenby,1.03,2,195,98.9
156,0,24925,Jonathan Byrd,1.03,2,194,98.9
156,0,23623,Bo Van Pelt,1.03,3,291,98.9
159,0,01042,Paul Azinger,1.05,3,285,98.9
159,0,23325,Vaughn Taylor,1.05,3,285,98.9
161,0,27095,Nick Watney,1.06,3,284,98.9
162,0,01685,J.L. Lewis,1.12,2,178,98.8
163,0,06522,Ernie Els,1.14,2,176,98.8
163,0,02214,Kirk Triplett,1.14,2,176,98.8
165,0,07223,Brian Bateman,1.15,2,174,98.8
166,0,07013,Wes Short Jr.,1.23,4,324,98.7
167,0,27120,Troy Matteson,1.26,4,318,98.7
168,0,01553,John Huston,1.29,3,232,98.7
169,0,22621,Ben Curtis,1.36,3,220,98.6
170,0,01161,Mark Calcavecchia,1.38,4,289,98.6
170,0,21949,Joe Ogilvie,1.38,4,290,98.6
172,0,19824,Craig Barlow,1.39,3,216,98.6
173,0,01945,Kenny Perry,1.42,3,211,98.5
173,0,28780,Nicholas Thompson,1.42,4,282,98.5
175,0,23788,D.J. Trahan,1.43,4,280,98.5
176,0,20691,Greg Owen,1.44,3,208,98.5
177,0,01473,Todd Hamilton,1.45,3,207,98.5
178,0,08537,J.P. Hayes,1.51,3,199,98.4
178,0,20645,John Senden,1.51,4,265,98.4
180,0,09011,David Duval,1.54,3,195,98.4
181,0,25936,Alex Aragon,1.56,3,192,98.4
