RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
1,0,12660,Jesper Parnevik,3.10,10,323,96.9
2,0,06527,Steve Stricker,4.33,9,208,95.6
3,0,19846,Brian Gay,4.50,17,378,95.5
4,0,22371,Aaron Baddeley,4.81,13,270,95.1
5,0,26420,Richard Johnson,4.98,20,402,95.0
6,0,10809,Jim Furyk,5.61,16,285,94.3
7,0,01823,Larry Mize,6.06,12,198,93.9
8,0,12755,Vance Veazey,6.17,14,227,93.8
9,0,23541,Ben Crane,6.18,16,259,93.8
10,0,22621,Ben Curtis,6.23,20,321,93.7
11,0,06515,Shaun Micheel,6.53,23,352,93.4
12,0,20850,Daniel Chopra,6.67,25,375,93.3
13,0,12760,Danny Ellis,6.72,16,238,93.2
14,0,10860,Justin Leonard,6.84,18,263,93.1
15,0,12716,Charley Hoffman,6.86,26,379,93.1
16,0,25632,Jimmy Walker,6.95,18,259,93.0
17,0,23353,J.J. Henry,7.14,27,378,92.8
17,0,26596,Ryan Moore,7.14,18,252,92.8
19,0,06197,Michael Allen,7.17,20,279,92.8
19,0,20548,Hidemichi Tanaka,7.17,21,293,92.8
21,0,24980,Scott Gutschewski,7.18,14,195,92.8
22,0,20382,Stephen Leaney,7.19,23,320,92.8
23,0,25900,Lucas Glover,7.34,27,368,92.6
24,0,20229,Stewart Cink,7.37,23,312,92.6
25,0,01320,Bob Estes,7.45,26,349,92.5
26,0,20572,Rod Pampling,7.52,20,266,92.4
27,0,01329,Brad Faxon,7.64,24,314,92.3
28,0,11032,Frank Lickliter II,7.69,29,377,92.3
29,0,06573,Brandt Jobe,7.74,25,323,92.2
30,0,20608,David Howell,7.80,11,141,92.2
31,0,02214,Kirk Triplett,7.82,14,179,92.1
32,0,12602,Dean Wilson,7.88,33,419,92.1
33,0,20121,Todd Fischer,7.89,27,342,92.1
34,0,01706,Davis Love III,7.95,19,239,92.0
35,0,01928,Corey Pavin,8.05,21,261,91.9
36,0,21805,Harrison Frazar,8.13,23,283,91.8
37,0,06522,Ernie Els,8.20,15,183,91.8
38,0,01042,Paul Azinger,8.23,26,316,91.7
38,0,01887,Mark O'Meara,8.23,13,158,91.7
40,0,10885,Robert Allenby,8.27,21,254,91.7
41,0,24357,K.J. Choi,8.29,32,386,91.7
42,0,21878,Mark Wilson,8.31,27,325,91.6
43,0,24024,Zach Johnson,8.33,27,324,91.6
43,0,06012,Greg Kraft,8.33,24,288,91.6
45,0,06373,José María Olazábal,8.38,15,179,91.6
46,0,21407,Arjun Atwal,8.45,30,355,91.5
47,0,01619,Skip Kendall,8.47,20,236,91.5
48,0,01766,Billy Mayfair,8.48,33,389,91.5
49,0,08793,Tiger Woods,8.56,16,187,91.4
50,0,12510,Chad Campbell,8.59,25,291,91.4
51,0,20631,David McKenzie,8.61,29,337,91.3
52,0,23135,Tim Clark,8.62,20,232,91.3
53,0,23048,Eric Axley,8.63,27,313,91.3
53,0,23320,Ryan Palmer,8.63,29,336,91.3
55,0,12645,Brent Geiberger,8.64,40,463,91.3
56,0,22913,John Rollins,8.68,29,334,91.3
57,0,01948,Tim Petrovic,8.73,31,355,91.2
58,0,07749,Brett Quigley,8.74,39,446,91.2
59,0,06034,Marco Dawson,8.77,27,308,91.2
60,0,21731,Freddie Jacobson,8.81,20,227,91.1
61,0,20157,Retief Goosen,8.82,15,170,91.1
61,0,22405,Justin Rose,8.82,32,363,91.1
63,0,20498,Briny Baird,8.83,28,317,91.1
64,0,25935,John Engler Jr.,8.85,27,305,91.1
65,0,07457,Steve Flesch,8.90,39,438,91.1
66,0,10505,Shane Bertsch,8.92,33,370,91.0
67,0,10423,Mike Weir,8.94,22,246,91.0
68,0,24924,Bill Haas,8.96,32,357,91.0
68,0,01685,J.L. Lewis,8.96,19,212,91.0
70,0,01810,Phil Mickelson,8.98,15,167,91.0
71,0,23616,Ryan Hietala,9.01,21,233,90.9
72,0,02223,Bob Tway,9.03,28,310,90.9
73,0,20472,Alex Cejka,9.06,25,276,90.9
73,0,02104,Jeff Sluman,9.06,30,331,90.9
75,0,01132,Mark Brooks,9.09,27,297,90.9
76,0,01577,Lee Janzen,9.25,26,281,90.7
76,0,02246,Duffy Waldorf,9.25,36,389,90.7
78,0,01473,Todd Hamilton,9.29,21,226,90.7
79,0,01035,Tommy Armour III,9.33,21,225,90.6
80,0,02239,Scott Verplank,9.34,24,257,90.6
81,0,19913,Ron Whittaker,9.37,31,331,90.6
82,0,21350,Ryuji Imada,9.44,32,339,90.5
83,0,08835,Kris Cox,9.46,30,317,90.5
83,0,23788,D.J. Trahan,9.46,28,296,90.5
85,0,10733,Kent Jones,9.47,36,380,90.5
86,0,20766,Padraig Harrington,9.52,14,147,90.4
86,0,27770,Camilo Villegas,9.52,32,336,90.4
88,0,22548,Patrick Sheehan,9.62,35,364,90.3
89,0,20593,Greg Chalmers,9.69,22,227,90.3
89,0,01724,Jeff Maggert,9.69,28,289,90.3
91,0,25842,Jon Mills,9.72,24,247,90.2
92,0,06575,Dudley Hart,9.77,30,307,90.2
93,0,06595,Kevin Sutherland,9.81,41,418,90.1
94,0,23718,Nathan Green,9.83,40,407,90.1
95,0,01139,Olin Browne,9.88,34,344,90.1
96,0,21949,Joe Ogilvie,9.93,30,302,90.0
97,0,22378,Trevor Immelman,9.94,33,332,90.0
98,0,01142,Bart Bryant,9.97,32,321,90.0
99,0,21961,Charles Howell III,10.00,39,390,90.0
99,0,25240,D.A. Points,10.00,30,300,90.0
99,0,24138,Ian Poulter,10.00,17,170,90.0
99,0,23497,Tag Ridings,10.00,36,360,90.0
103,0,20098,Stuart Appleby,10.08,26,258,89.9
103,0,28475,Jeff Overton,10.08,38,377,89.9
105,0,22946,Henrik Bjornstad,10.12,41,405,89.8
106,0,20645,John Senden,10.13,38,375,89.8
107,0,01707,Steve Lowery,10.14,37,365,89.8
108,0,27120,Troy Matteson,10.15,40,394,89.8
109,0,02206,David Toms,10.16,25,246,89.8
110,0,01381,Fred Funk,10.21,34,333,89.7
111,0,06004,Stephen Ames,10.22,19,186,89.7
112,0,21660,Jason Schultz,10.25,33,322,89.7
113,0,22293,Heath Slocum,10.26,36,351,89.7
114,0,08075,Jerry Kelly,10.28,37,360,89.7
115,0,20378,Mathias Grönberg,10.30,34,330,89.7
116,0,10565,Ian Leggatt,10.33,28,271,89.6
117,0,20127,Chris Riley,10.34,30,290,89.6
118,0,06567,Vijay Singh,10.39,35,337,89.6
119,0,24925,Jonathan Byrd,10.42,25,240,89.5
120,0,21470,Daisuke Maruyama,10.49,32,305,89.5
120,0,23322,Brett Wetterich,10.49,30,286,89.5
122,0,12782,Tim Herron,10.50,25,238,89.5
