RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ATTEMPTS
1,0,08793,Tiger Woods,3.910,653,167
2,0,01810,Phil Mickelson,3.918,768,196
3,0,06527,Steve Stricker,3.931,912,232
4,0,10809,Jim Furyk,3.935,1263,321
5,0,06004,Stephen Ames,3.948,762,193
5,0,02206,David Toms,3.948,1054,267
7,0,07457,Steve Flesch,3.959,1920,485
8,0,06567,Vijay Singh,3.960,1477,373
9,0,06595,Kevin Sutherland,3.962,1557,393
10,0,10885,Robert Allenby,3.964,1090,275
11,0,27770,Camilo Villegas,3.965,1574,397
12,0,23983,Luke Donald,3.968,742,187
13,0,10733,Kent Jones,3.970,1608,405
14,0,20098,Stuart Appleby,3.974,1089,274
14,0,20105,Jeff Gove,3.974,1538,387
16,0,25345,Carl Pettersson,3.976,1340,337
17,0,01945,Kenny Perry,3.978,1098,276
18,0,24502,Adam Scott,3.979,935,235
19,0,20157,Retief Goosen,3.980,816,205
20,0,01142,Bart Bryant,3.982,1318,331
21,0,19846,Brian Gay,3.990,1915,480
22,0,01706,Davis Love III,3.992,1010,253
23,0,06621,Joe Durant,3.993,1789,448
23,0,01619,Skip Kendall,3.993,1082,271
25,0,25804,Bubba Watson,3.994,1378,345
26,0,06522,Ernie Els,3.995,867,217
26,0,24024,Zach Johnson,3.995,1486,372
26,0,02104,Jeff Sluman,3.995,1586,397
29,0,23048,Eric Axley,3.997,1519,380
29,0,23322,Brett Wetterich,3.997,1331,333
31,0,08075,Jerry Kelly,3.998,1603,401
32,0,20850,Daniel Chopra,4.000,1660,415
32,0,06034,Marco Dawson,4.000,1428,357
32,0,22405,Justin Rose,4.000,1680,420
35,0,20572,Rod Pampling,4.003,1229,307
35,0,02239,Scott Verplank,4.003,1301,325
37,0,24507,Jason Bohn,4.007,1643,410
37,0,20628,Arron Oberholser,4.007,1174,293
39,0,25900,Lucas Glover,4.008,1551,387
40,0,20498,Briny Baird,4.009,1295,323
40,0,07749,Brett Quigley,4.009,1696,423
42,0,12716,Charley Hoffman,4.010,1680,419
43,0,21646,David Branshaw,4.012,1681,419
43,0,21470,Daisuke Maruyama,4.012,1312,327
43,0,12660,Jesper Parnevik,4.012,1316,328
46,0,23353,J.J. Henry,4.014,1429,356
47,0,01381,Fred Funk,4.015,1646,410
47,0,02110,Jerry Smith,4.015,1562,389
49,0,28475,Jeff Overton,4.017,1675,417
49,0,21878,Mark Wilson,4.017,1390,346
51,0,01766,Billy Mayfair,4.018,1523,379
52,0,20766,Padraig Harrington,4.019,627,156
52,0,20382,Stephen Leaney,4.019,1455,362
52,0,12680,Shigeki Maruyama,4.019,1499,373
55,0,20229,Stewart Cink,4.020,1431,356
55,0,20812,Tjaart van der Walt,4.020,1013,252
57,0,23541,Ben Crane,4.023,1062,264
57,0,22378,Trevor Immelman,4.023,1408,350
59,0,24924,Bill Haas,4.026,1723,428
60,0,20645,John Senden,4.028,1418,352
61,0,21949,Joe Ogilvie,4.030,1455,361
62,0,12510,Chad Campbell,4.031,1298,322
63,0,22046,Geoff Ogilvy,4.032,895,222
64,0,01219,John Cook,4.033,1089,270
64,0,01320,Bob Estes,4.033,1468,364
66,0,21209,Sergio Garcia,4.034,589,146
66,0,20631,David McKenzie,4.034,1315,326
66,0,24138,Ian Poulter,4.034,722,179
66,0,23788,D.J. Trahan,4.034,1412,350
70,0,21753,Brian Davis,4.035,1509,374
70,0,01313,Steve Elkington,4.035,924,229
72,0,20691,Greg Owen,4.037,1098,272
72,0,23349,Charles Warren,4.037,1538,381
74,0,01161,Mark Calcavecchia,4.038,1365,338
74,0,01707,Steve Lowery,4.038,1587,393
76,0,06575,Dudley Hart,4.039,1357,336
76,0,11032,Frank Lickliter II,4.039,1648,408
76,0,23623,Bo Van Pelt,4.039,1749,433
79,0,24357,K.J. Choi,4.040,1418,351
80,0,06251,Chris DiMarco,4.041,1091,270
80,0,21350,Ryuji Imada,4.041,1685,417
80,0,10423,Mike Weir,4.041,1172,290
83,0,23718,Nathan Green,4.042,1831,453
83,0,22548,Patrick Sheehan,4.042,1641,406
85,0,12760,Danny Ellis,4.043,1136,281
85,0,20094,Jonathan Kaye,4.043,1710,423
87,0,01042,Paul Azinger,4.044,1561,386
87,0,08835,Kris Cox,4.044,1371,339
87,0,22621,Ben Curtis,4.044,1298,321
87,0,21805,Harrison Frazar,4.044,1472,364
91,0,24781,Hunter Mahan,4.045,1723,426
91,0,08385,Omar Uresti,4.045,983,243
93,0,01139,Olin Browne,4.046,1594,394
93,0,23135,Tim Clark,4.046,1052,260
93,0,02101,Joey Sindelar,4.046,1420,351
96,0,01599,Steve Jones,4.047,1388,343
97,0,10505,Shane Bertsch,4.048,1761,435
97,0,27943,Matt Hansen,4.048,1101,272
99,0,07867,Woody Austin,4.049,1802,445
100,0,01666,Bernhard Langer,4.051,1122,277
101,0,07223,Brian Bateman,4.052,1163,287
101,0,26420,Richard Johnson,4.052,1568,387
103,0,22946,Henrik Bjornstad,4.053,1682,415
103,0,24925,Jonathan Byrd,4.053,997,246
103,0,06515,Shaun Micheel,4.053,1447,357
106,0,19881,Robert Damron,4.055,1537,379
107,0,26360,Bubba Dickerson,4.056,1671,412
108,0,10860,Justin Leonard,4.057,1213,299
109,0,23673,Michael Connell,4.058,840,207
109,0,12645,Brent Geiberger,4.058,1741,429
111,0,22293,Heath Slocum,4.060,1628,401
112,0,19824,Craig Barlow,4.062,1048,258
112,0,23616,Ryan Hietala,4.062,979,241
114,0,08537,J.P. Hayes,4.063,971,239
115,0,20472,Alex Cejka,4.064,1585,390
115,0,21959,Ted Purdy,4.064,1459,359
117,0,22913,John Rollins,4.065,1443,355
118,0,23320,Ryan Palmer,4.066,1590,391
119,0,20608,David Howell,4.067,545,134
120,0,20378,Mathias Grönberg,4.068,1546,380
120,0,01724,Jeff Maggert,4.068,1257,309
120,0,25240,D.A. Points,4.068,1265,311
123,0,01132,Mark Brooks,4.071,1437,353
123,0,08375,Paul Stankowski,4.071,1140,280
125,0,22371,Aaron Baddeley,4.072,1303,320
125,0,23307,Roger Tambellini,4.072,1014,249
125,0,02214,Kirk Triplett,4.072,904,222
128,0,24358,Robert Garrigus,4.074,1373,337
128,0,24980,Scott Gutschewski,4.074,876,215
128,0,21731,Freddie Jacobson,4.074,986,242
128,0,06573,Brandt Jobe,4.074,1316,323
128,0,10565,Ian Leggatt,4.074,1324,325
133,0,20121,Todd Fischer,4.075,1748,429
133,0,27120,Troy Matteson,4.075,1687,414
133,0,23621,Rory Sabbatini,4.075,1198,294
136,0,01024,Billy Andrade,4.076,1133,278
136,0,02223,Bob Tway,4.076,1394,342
136,0,02246,Duffy Waldorf,4.076,1602,393
139,0,12782,Tim Herron,4.077,1117,274
139,0,01941,Tom Pernice Jr.,4.077,1688,414
141,0,20099,Doug Barron,4.078,1305,320
142,0,27141,J.B. Holmes,4.079,1191,292
142,0,11011,Mike Sposa,4.079,1142,280
144,0,01948,Tim Petrovic,4.080,1579,387
145,0,08123,Jeff Brehaut,4.081,1706,418
145,0,06012,Greg Kraft,4.081,1253,307
145,0,12662,Thomas Levet,4.081,906,222
148,0,24912,Will MacKenzie,4.082,1445,354
148,0,01928,Corey Pavin,4.082,1151,282
148,0,20127,Chris Riley,4.082,1392,341
151,0,01329,Brad Faxon,4.083,1376,337
152,0,27095,Nick Watney,4.085,1638,401
153,0,01823,Larry Mize,4.086,760,186
154,0,21407,Arjun Atwal,4.087,1602,392
155,0,21961,Charles Howell III,4.088,1390,340
156,0,01887,Mark O'Meara,4.089,736,180
157,0,11123,Chris Couch,4.090,1231,301
158,0,19913,Ron Whittaker,4.091,1350,330
159,0,12755,Vance Veazey,4.093,1011,247
160,0,20574,Mathew Goggin,4.094,1085,265
161,0,22892,Jason Gore,4.095,1335,326
161,0,25842,Jon Mills,4.095,1032,252
161,0,02106,Chris Smith,4.095,1073,262
164,0,01553,John Huston,4.096,1237,302
165,0,06197,Michael Allen,4.098,1332,325
165,0,06350,Bob May,4.098,1082,264
167,0,26596,Ryan Moore,4.099,1115,272
167,0,12602,Dean Wilson,4.099,1820,444
169,0,23614,Rich Beem,4.101,1259,307
169,0,06643,Paul Goydos,4.101,1296,316
171,0,01677,Tom Lehman,4.102,886,216
172,0,01388,Robert Gamez,4.103,1551,378
173,0,28780,Nicholas Thompson,4.105,1445,352
174,0,07013,Wes Short Jr.,4.107,1647,401
175,0,01761,Len Mattiace,4.108,990,241
175,0,23325,Vaughn Taylor,4.108,1442,351
177,0,23497,Tag Ridings,4.115,1786,434
178,0,20548,Hidemichi Tanaka,4.116,1276,310
179,0,12823,Carlos Franco,4.122,1492,362
180,0,01685,J.L. Lewis,4.126,887,215
180,0,24140,Sean O'Hair,4.126,1440,349
182,0,06373,José María Olazábal,4.128,710,172
183,0,01226,Fred Couples,4.129,574,139
183,0,20634,Peter Lonard,4.129,1317,319
185,0,25936,Alex Aragon,4.131,1070,259
186,0,01035,Tommy Armour III,4.140,948,229
187,0,25632,Jimmy Walker,4.151,1075,259
188,0,21660,Jason Schultz,4.152,1233,297
189,0,20593,Greg Chalmers,4.154,1109,267
189,0,24361,Pat Perez,4.154,781,188
191,0,09011,David Duval,4.157,1056,254
192,0,01249,John Daly,4.160,753,181
192,0,25935,John Engler Jr.,4.160,1248,300
194,0,23409,James Driscoll,4.165,1491,358
195,0,01577,Lee Janzen,4.167,1275,306
196,0,01473,Todd Hamilton,4.177,1132,271
