RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,06527,Steve Stricker,68.67,412,6
2,0,20608,David Howell,68.75,275,4
2,0,22046,Geoff Ogilvy,68.75,550,8
4,0,06004,Stephen Ames,68.82,757,11
5,0,24138,Ian Poulter,68.88,551,8
6,0,20098,Stuart Appleby,69.00,483,7
7,0,01381,Fred Funk,69.06,1243,18
8,0,20628,Arron Oberholser,69.14,484,7
9,0,24357,K.J. Choi,69.23,900,13
10,0,10885,Robert Allenby,69.36,763,11
11,0,12602,Dean Wilson,69.52,1599,23
12,0,01810,Phil Mickelson,69.60,348,5
13,0,06522,Ernie Els,69.67,209,3
14,0,23135,Tim Clark,69.75,558,8
15,0,01766,Billy Mayfair,69.79,977,14
16,0,19846,Brian Gay,69.84,1327,19
17,0,20105,Jeff Gove,69.89,1258,18
18,0,20229,Stewart Cink,69.92,839,12
19,0,23983,Luke Donald,70.00,70,1
19,0,01666,Bernhard Langer,70.00,840,12
19,0,02104,Jeff Sluman,70.00,1120,16
19,0,25804,Bubba Watson,70.00,840,12
23,0,10423,Mike Weir,70.14,982,14
24,0,12510,Chad Campbell,70.18,772,11
25,0,23614,Rich Beem,70.19,1123,16
26,0,28475,Jeff Overton,70.24,1194,17
27,0,08075,Jerry Kelly,70.25,1124,16
28,0,25900,Lucas Glover,70.27,1054,15
28,0,23353,J.J. Henry,70.27,773,11
30,0,10860,Justin Leonard,70.29,984,14
30,0,06350,Bob May,70.29,984,14
30,0,06515,Shaun Micheel,70.29,984,14
33,0,08835,Kris Cox,70.31,1125,16
34,0,12716,Charley Hoffman,70.35,1407,20
35,0,12760,Danny Ellis,70.36,774,11
35,0,24024,Zach Johnson,70.36,774,11
35,0,23623,Bo Van Pelt,70.36,985,14
38,0,10809,Jim Furyk,70.38,563,8
39,0,06573,Brandt Jobe,70.40,704,10
39,0,23621,Rory Sabbatini,70.40,704,10
41,0,06621,Joe Durant,70.41,1549,22
42,0,21731,Freddie Jacobson,70.45,775,11
42,0,10733,Kent Jones,70.45,1550,22
44,0,06251,Chris DiMarco,70.50,564,8
44,0,06643,Paul Goydos,70.50,987,14
44,0,20382,Stephen Leaney,70.50,1128,16
47,0,01707,Steve Lowery,70.52,1481,21
48,0,23349,Charles Warren,70.53,1340,19
49,0,01142,Bart Bryant,70.55,776,11
49,0,20378,Mathias Grönberg,70.55,1411,20
51,0,23048,Eric Axley,70.56,1270,18
51,0,20645,John Senden,70.56,1270,18
53,0,20157,Retief Goosen,70.60,353,5
53,0,11032,Frank Lickliter II,70.60,1059,15
55,0,24912,Will MacKenzie,70.61,1271,18
55,0,21949,Joe Ogilvie,70.61,1271,18
57,0,01388,Robert Gamez,70.63,1130,16
57,0,24980,Scott Gutschewski,70.63,565,8
59,0,09011,David Duval,70.65,1413,20
59,0,23322,Brett Wetterich,70.65,1201,17
61,0,21805,Harrison Frazar,70.71,990,14
61,0,12680,Shigeki Maruyama,70.71,990,14
61,0,01945,Kenny Perry,70.71,495,7
64,0,01024,Billy Andrade,70.73,1061,15
64,0,12782,Tim Herron,70.73,1061,15
66,0,01249,John Daly,70.75,566,8
66,0,01928,Corey Pavin,70.75,849,12
68,0,20472,Alex Cejka,70.76,1203,17
69,0,01320,Bob Estes,70.77,920,13
70,0,22378,Trevor Immelman,70.78,637,9
70,0,12662,Thomas Levet,70.78,637,9
72,0,21753,Brian Davis,70.80,1062,15
73,0,06197,Michael Allen,70.81,1487,21
74,0,27141,J.B. Holmes,70.82,779,11
74,0,02246,Duffy Waldorf,70.82,1204,17
76,0,20498,Briny Baird,70.83,1275,18
76,0,01226,Fred Couples,70.83,425,6
78,0,01553,John Huston,70.86,496,7
78,0,12660,Jesper Parnevik,70.86,992,14
80,0,21660,Jason Schultz,70.88,1205,17
80,0,22293,Heath Slocum,70.88,1205,17
82,0,24781,Hunter Mahan,70.89,1347,19
82,0,27120,Troy Matteson,70.89,1347,19
84,0,01219,John Cook,70.90,709,10
85,0,06034,Marco Dawson,70.92,851,12
85,0,27770,Camilo Villegas,70.92,851,12
87,0,24507,Jason Bohn,70.94,1206,17
87,0,01161,Mark Calcavecchia,70.94,1135,16
89,0,01139,Olin Browne,70.95,1348,19
90,0,01035,Tommy Armour III,71.00,852,12
90,0,21209,Sergio Garcia,71.00,355,5
90,0,20766,Padraig Harrington,71.00,355,5
90,0,25240,D.A. Points,71.00,1136,16
90,0,02110,Jerry Smith,71.00,994,14
90,0,02239,Scott Verplank,71.00,710,10
96,0,01042,Paul Azinger,71.06,1279,18
96,0,01619,Skip Kendall,71.06,1137,16
96,0,12755,Vance Veazey,71.06,1208,17
99,0,22548,Patrick Sheehan,71.08,1777,25
99,0,27095,Nick Watney,71.08,853,12
101,0,20691,Greg Owen,71.13,569,8
102,0,20572,Rod Pampling,71.14,996,14
103,0,01313,Steve Elkington,71.15,925,13
103,0,02101,Joey Sindelar,71.15,1423,20
105,0,23320,Ryan Palmer,71.18,1566,22
106,0,23541,Ben Crane,71.20,712,10
107,0,07867,Woody Austin,71.22,1638,23
108,0,19881,Robert Damron,71.23,926,13
108,0,20127,Chris Riley,71.23,1567,22
