RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
1,0,23048,Eric Axley,150.8,1715945000,316
1,0,01249,John Daly,150.8,1042316000,192
3,0,23320,Ryan Palmer,151.0,1429832000,263
4,0,23325,Vaughn Taylor,151.2,1202624000,221
5,0,21961,Charles Howell III,151.4,1161070000,213
6,0,12716,Charley Hoffman,151.5,1505668000,276
7,0,23800,Bryce Molder,151.7,961179000,176
8,0,08537,J.P. Hayes,151.8,1388201000,254
8,0,21528,Henrik Stenson,151.8,584878000,107
10,0,29718,Anthony Kim,152.3,1239179000,226
11,0,23613,Rich Barcelo,152.5,1300789000,237
11,0,20766,Padraig Harrington,152.5,724810000,132
13,0,27963,Chris Stroud,152.6,928661000,169
14,0,06527,Steve Stricker,152.9,814491000,148
15,0,23497,Tag Ridings,153.1,755319000,137
16,0,07749,Brett Quigley,153.4,1204114000,218
17,0,08123,Jeff Brehaut,153.6,840461000,152
17,0,23322,Brett Wetterich,153.6,1382141000,250
19,0,20157,Retief Goosen,153.8,658943000,119
20,0,24980,Scott Gutschewski,154.1,1187038000,214
20,0,27141,J.B. Holmes,154.1,1281706000,231
22,0,24290,D.J. Brigman,154.2,976855000,176
23,0,06522,Ernie Els,154.3,650017000,117
24,0,27060,John Mallinger,154.4,1556781000,280
24,0,22046,Geoff Ogilvy,154.4,1056025000,190
26,0,24502,Adam Scott,154.6,918488000,165
27,0,20859,Anders Hansen,154.9,596769000,107
28,0,24358,Robert Garrigus,155.1,1574892000,282
29,0,21731,Freddie Jacobson,155.3,1090368000,195
29,0,12660,Jesper Parnevik,155.3,1218626000,218
31,0,02206,David Toms,155.4,967885000,173
31,0,21878,Mark Wilson,155.4,1230578000,220
33,0,23983,Luke Donald,155.7,862924000,154
34,0,25345,Carl Pettersson,155.8,1525824000,272
34,0,02214,Kirk Triplett,155.8,1233965000,220
36,0,22293,Heath Slocum,155.9,1330153000,237
37,0,26360,Bubba Dickerson,156.0,898359000,160
37,0,20104,Ken Duke,156.0,1415181000,252
37,0,10117,Bob Heintz,156.0,1201650000,214
37,0,26882,Michael Sim,156.0,769501000,137
41,0,01132,Mark Brooks,156.1,601171000,107
41,0,22913,John Rollins,156.1,1326312000,236
43,0,01473,Todd Hamilton,156.4,1317787000,234
44,0,20691,Greg Owen,156.6,1392049000,247
44,0,20160,Charlie Wi,156.6,1268347000,225
46,0,23614,Rich Beem,156.7,1342474000,238
46,0,11123,Chris Couch,156.7,1438137000,255
46,0,20634,Peter Lonard,156.7,1314627000,233
49,0,20098,Stuart Appleby,156.9,1028073000,182
49,0,01706,Davis Love III,156.9,982791000,174
51,0,20572,Rod Pampling,157.0,1187180000,210
52,0,01161,Mark Calcavecchia,157.3,1353557000,239
52,0,27649,Brandt Snedeker,157.3,1268825000,224
54,0,23638,Brendon de Jonge,157.4,1365636000,241
55,0,20472,Alex Cejka,157.6,1077928000,190
56,0,01320,Bob Estes,157.7,1357238000,239
56,0,10860,Justin Leonard,157.7,1294786000,228
58,0,20433,Mark Hensby,157.8,1272465000,224
58,0,12782,Tim Herron,157.8,1363813000,240
60,0,10809,Jim Furyk,157.9,852476000,150
60,0,28158,Steve Marino,157.9,1563101000,275
60,0,01766,Billy Mayfair,157.9,1307735000,230
60,0,27095,Nick Watney,157.9,1210598000,213
64,0,20850,Daniel Chopra,158.0,1513484000,266
65,0,12705,Cliff Kresge,158.1,1752674000,308
65,0,22348,Nick O'Hern,158.1,996242000,175
65,0,06567,Vijay Singh,158.1,1263910000,222
68,0,26679,Kevin Stadler,158.2,1555172000,273
69,0,22371,Aaron Baddeley,158.3,1037220000,182
69,0,22378,Trevor Immelman,158.3,871642000,153
69,0,22212,Craig Lile,158.3,1145354000,201
69,0,26881,Jarrod Lyle,158.3,1157138000,203
73,0,01024,Billy Andrade,158.4,1608232000,282
73,0,23353,J.J. Henry,158.4,1186193000,208
73,0,02246,Duffy Waldorf,158.4,1055116000,185
76,0,20628,Arron Oberholser,158.5,787422000,138
77,0,25900,Lucas Glover,158.6,1238987000,217
77,0,24138,Ian Poulter,158.6,668075000,117
79,0,21949,Joe Ogilvie,158.7,1559479000,273
80,0,19824,Craig Barlow,158.8,823225000,144
80,0,01945,Kenny Perry,158.8,1263728000,221
80,0,22295,Darron Stiles,158.8,1120498000,196
80,0,24457,Jaco Van Zyl,158.8,857605000,150
84,0,24925,Jonathan Byrd,158.9,1098053000,192
84,0,24140,Sean O'Hair,158.9,1310048000,229
84,0,25190,Jeff Quinney,158.9,1584481000,277
87,0,07223,Brian Bateman,159.0,864128000,151
87,0,23108,Matt Kuchar,159.0,1053314000,184
89,0,20229,Stewart Cink,159.1,1185538000,207
89,0,10423,Mike Weir,159.1,1014024000,177
91,0,25273,Andrew Buckle,159.2,1261255000,220
91,0,06621,Joe Durant,159.2,1335731000,233
91,0,22892,Jason Gore,159.2,1426710000,249
91,0,01677,Tom Lehman,159.2,802223000,140
95,0,06251,Chris DiMarco,159.3,1140982000,199
95,0,26420,Richard Johnson,159.3,1514214000,264
97,0,06595,Kevin Sutherland,159.4,1147913000,200
98,0,01157,Tom Byrum,159.5,712174000,124
98,0,01707,Steve Lowery,159.5,1240486000,216
98,0,24361,Pat Perez,159.5,1193972000,208
101,0,06515,Shaun Micheel,159.6,1149298000,200
102,0,01035,Tommy Armour III,159.8,1104199000,192
102,0,10733,Kent Jones,159.8,1559192000,271
104,0,21209,Sergio Garcia,159.9,828930000,144
104,0,06373,José María Olazábal,159.9,800371000,139
104,0,21959,Ted Purdy,159.9,1571257000,273
107,0,20105,Jeff Gove,160.0,1687748000,293
108,0,07457,Steve Flesch,160.1,1573314000,273
108,0,01388,Robert Gamez,160.1,1441163000,250
108,0,29476,Kyle Reifers,160.1,1308468000,227
108,0,26289,Boo Weekley,160.1,1314390000,228
112,0,21633,Steve Allan,160.2,1026344000,178
113,0,06197,Michael Allen,160.3,1200142000,208
113,0,19972,José Coceres,160.3,738706000,128
113,0,24912,Will MacKenzie,160.3,1679361000,291
116,0,25804,Bubba Watson,160.4,1149174000,199
117,0,01313,Steve Elkington,160.5,1109241000,192
117,0,01577,Lee Janzen,160.5,999860000,173
119,0,12195,Tom Johnson,160.6,1341343000,232
119,0,28475,Jeff Overton,160.6,809644000,140
119,0,01941,Tom Pernice Jr.,160.6,1427836000,247
119,0,12714,Chris Tidland,160.6,971240000,168
123,0,24924,Bill Haas,160.7,1498256000,259
123,0,27120,Troy Matteson,160.7,1371202000,237
123,0,01810,Phil Mickelson,160.7,717158000,124
126,0,06034,Marco Dawson,160.8,1111477000,192
126,0,10425,Jay Williamson,160.8,775595000,134
126,0,12602,Dean Wilson,160.8,1233067000,213
129,0,10885,Robert Allenby,160.9,1297112000,224
130,0,27702,Matt Hendrix,161.0,1130002000,195
130,0,22806,Doug LaBelle II,161.0,1553298000,268
130,0,02101,Joey Sindelar,161.0,1280614000,221
133,0,25396,Kevin Na,161.1,1316912000,227
134,0,12510,Chad Campbell,161.4,1470114000,253
134,0,11032,Frank Lickliter II,161.4,1563165000,269
136,0,02036,Jim Rutledge,161.5,901310000,155
136,0,23788,D.J. Trahan,161.5,1534421000,264
138,0,24024,Zach Johnson,161.6,889914000,153
138,0,24449,Parker McLachlin,161.6,1431367000,246
140,0,07547,Craig Kanada,161.7,1665090000,286
140,0,02104,Jeff Sluman,161.7,873415000,150
142,0,24357,K.J. Choi,161.8,1019094000,175
143,0,06643,Paul Goydos,161.9,932803000,160
143,0,08375,Paul Stankowski,161.9,868239000,149
145,0,20574,Mathew Goggin,162.0,1452591000,249
146,0,21806,Paul Gow,162.2,1068718000,183
146,0,20378,Mathias Grönberg,162.2,1664448000,285
146,0,08793,Tiger Woods,162.2,472855000,81
149,0,24490,George McNeill,162.3,1379263000,236
150,0,01142,Bart Bryant,162.4,1239669000,212
151,0,21805,Harrison Frazar,162.6,1522196000,260
151,0,21470,Daisuke Maruyama,162.6,1509802000,258
153,0,21753,Brian Davis,162.7,1475710000,252
153,0,27770,Camilo Villegas,162.7,1089152000,186
155,0,08931,Glen Day,162.9,1389639000,237
156,0,20645,John Senden,163.3,1458354000,248
157,0,08881,Tripp Isenhour,163.4,1417310000,241
158,0,12652,Cameron Beckman,163.5,1406543000,239
158,0,27933,John Merrick,163.5,1530362000,260
160,0,20498,Briny Baird,163.6,1772365000,301
161,0,21350,Ryuji Imada,163.7,1573374000,267
161,0,28486,Michael Putnam,163.7,1591037000,270
163,0,01948,Tim Petrovic,163.8,1710276000,290
164,0,26951,Johnson Wagner,164.0,1540844000,261
165,0,06004,Stephen Ames,164.1,992263000,168
165,0,23933,Michael Boyd,164.1,986415000,167
167,0,24507,Jason Bohn,164.2,969249000,164
167,0,23718,Nathan Green,164.2,1448163000,245
169,0,21646,David Branshaw,164.3,1579532000,267
169,0,08075,Jerry Kelly,164.3,1330582000,225
171,0,23349,Charles Warren,164.4,1752070000,296
172,0,22405,Justin Rose,164.6,687413000,116
173,0,21660,Jason Schultz,164.8,1049851000,177
174,0,10213,Dicky Pride,164.9,1110211000,187
175,0,07363,Craig Bowden,165.0,1140331000,192
175,0,25686,Jason Dufner,165.0,1651332000,278
175,0,19846,Brian Gay,165.0,1639196000,276
175,0,02239,Scott Verplank,165.0,902640000,152
179,0,19803,Ryan Armour,165.1,1765696000,297
179,0,23135,Tim Clark,165.1,772806000,130
181,0,23623,Bo Van Pelt,165.8,1540086000,258
182,0,01381,Fred Funk,165.9,1015258000,170
182,0,01724,Jeff Maggert,165.9,1391571000,233
182,0,26596,Ryan Moore,165.9,1313956000,220
185,0,12680,Shigeki Maruyama,166.5,1540277000,257
186,0,02223,Bob Tway,166.7,1692218000,282
187,0,20623,Gavin Coles,166.9,1340011000,223
187,0,25892,Steve Wheatcroft,166.9,1274074000,212
189,0,24781,Hunter Mahan,167.0,1292810000,215
190,0,22621,Ben Curtis,167.1,1371601000,228
190,0,01797,Rocco Mediate,167.1,1323679000,220
192,0,20127,Chris Riley,167.2,878684000,146
193,0,07867,Woody Austin,167.4,1530464000,254
194,0,01928,Corey Pavin,167.9,1348201000,223
195,0,23621,Rory Sabbatini,170.7,921672000,150
196,0,20382,Stephen Leaney,171.1,1207183000,196
