RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF ROUNDS
1,0,22293,Heath Slocum,17
2,0,02239,Scott Verplank,14
2,0,12602,Dean Wilson,14
4,0,08793,Tiger Woods,11
5,0,20645,John Senden,10
6,0,20850,Daniel Chopra,9
6,0,24449,Parker McLachlin,9
8,0,20098,Stuart Appleby,8
8,0,20104,Ken Duke,8
8,0,01388,Robert Gamez,8
8,0,21209,Sergio Garcia,8
8,0,21731,Freddie Jacobson,8
8,0,01766,Billy Mayfair,8
8,0,23800,Bryce Molder,8
8,0,27770,Camilo Villegas,8
8,0,10423,Mike Weir,8
8,0,20436,Garrett Willis,8
18,0,08075,Jerry Kelly,7
19,0,22378,Trevor Immelman,6
19,0,23621,Rory Sabbatini,6
21,0,06004,Stephen Ames,5
21,0,21407,Arjun Atwal,5
21,0,20472,Alex Cejka,5
21,0,20229,Stewart Cink,5
21,0,06621,Joe Durant,5
21,0,19846,Brian Gay,5
21,0,20378,Mathias Grönberg,5
21,0,10117,Bob Heintz,5
21,0,07547,Craig Kanada,5
21,0,12680,Shigeki Maruyama,5
21,0,22348,Nick O'Hern,5
21,0,28475,Jeff Overton,5
21,0,23497,Tag Ridings,5
21,0,21660,Jason Schultz,5
21,0,06567,Vijay Singh,5
21,0,26679,Kevin Stadler,5
21,0,21528,Henrik Stenson,5
21,0,23322,Brett Wetterich,5
39,0,29416,Andy Bare,4
39,0,19824,Craig Barlow,4
39,0,01132,Mark Brooks,4
39,0,26500,Alejandro Cañizares,4
39,0,23135,Tim Clark,4
39,0,01203,Russ Cochran,4
39,0,20121,Todd Fischer,4
39,0,20105,Jeff Gove,4
39,0,08537,J.P. Hayes,4
39,0,27141,J.B. Holmes,4
39,0,21350,Ryuji Imada,4
39,0,06332,Neal Lancaster,4
39,0,10860,Justin Leonard,4
39,0,27129,Luke List,4
39,0,12660,Jesper Parnevik,4
39,0,01941,Tom Pernice Jr.,4
39,0,29476,Kyle Reifers,4
39,0,25679,B.J. Staten,4
39,0,12663,Phil Tataurangi,4
39,0,23349,Charles Warren,4
39,0,28310,Lee Williams,4
39,0,21878,Mark Wilson,4
61,0,20848,Ángel Cabrera,3
61,0,21753,Brian Davis,3
61,0,23983,Luke Donald,3
61,0,10809,Jim Furyk,3
61,0,06643,Paul Goydos,3
61,0,24980,Scott Gutschewski,3
61,0,06575,Dudley Hart,3
61,0,20433,Mark Hensby,3
61,0,24024,Zach Johnson,3
61,0,29718,Anthony Kim,3
61,0,06012,Greg Kraft,3
61,0,01666,Bernhard Langer,3
61,0,06350,Bob May,3
61,0,06515,Shaun Micheel,3
61,0,02206,David Toms,3
76,0,07223,Brian Bateman,2
76,0,11123,Chris Couch,2
76,0,22621,Ben Curtis,2
76,0,27776,Pelle Edberg,2
76,0,01329,Brad Faxon,2
76,0,29419,Tadd Fujikawa,2
76,0,25900,Lucas Glover,2
76,0,24924,Bill Haas,2
76,0,12782,Tim Herron,2
76,0,06799,Tim Hogarth,2
76,0,01677,Tom Lehman,2
76,0,20726,Alan McLean,2
76,0,27933,John Merrick,2
76,0,25396,Kevin Na,2
76,0,20572,Rod Pampling,2
76,0,24361,Pat Perez,2
76,0,10912,Craig Perks,2
76,0,24138,Ian Poulter,2
76,0,22405,Justin Rose,2
76,0,02036,Jim Rutledge,2
