RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,01797,Rocco Mediate,75.00,18,24
2,0,10423,Mike Weir,70.37,19,27
3,0,02223,Bob Tway,68.42,13,19
4,0,08931,Glen Day,66.67,16,24
4,0,20766,Padraig Harrington,66.67,12,18
6,0,21209,Sergio Garcia,65.22,15,23
6,0,12782,Tim Herron,65.22,30,46
8,0,06527,Steve Stricker,64.00,16,25
9,0,22371,Aaron Baddeley,62.07,18,29
10,0,01035,Tommy Armour III,61.90,13,21
11,0,09011,David Duval,61.54,8,13
11,0,24502,Adam Scott,61.54,8,13
13,0,01766,Billy Mayfair,61.22,30,49
14,0,20157,Retief Goosen,60.71,17,28
14,0,23108,Matt Kuchar,60.71,17,28
16,0,20105,Jeff Gove,60.00,6,10
16,0,23718,Nathan Green,60.00,27,45
18,0,21350,Ryuji Imada,59.46,22,37
19,0,12652,Cameron Beckman,58.33,14,24
19,0,08075,Jerry Kelly,58.33,21,36
21,0,21949,Joe Ogilvie,57.89,22,38
22,0,10649,Tom Scherrer,57.14,4,7
23,0,07457,Steve Flesch,56.67,17,30
23,0,20433,Mark Hensby,56.67,17,30
25,0,01810,Phil Mickelson,56.52,13,23
26,0,20498,Briny Baird,56.41,22,39
27,0,12660,Jesper Parnevik,56.25,18,32
28,0,24490,George McNeill,55.88,19,34
29,0,27933,John Merrick,55.56,15,27
30,0,20850,Daniel Chopra,55.26,21,38
31,0,24357,K.J. Choi,55.17,16,29
32,0,27770,Camilo Villegas,54.17,13,24
33,0,10505,Shane Bertsch,53.85,21,39
33,0,10809,Jim Furyk,53.85,21,39
33,0,23497,Tag Ridings,53.85,14,26
36,0,21731,Freddie Jacobson,53.57,15,28
36,0,20127,Chris Riley,53.57,15,28
36,0,22293,Heath Slocum,53.57,15,28
39,0,20663,Brenden Pappas,53.33,8,15
40,0,01707,Steve Lowery,53.13,17,32
41,0,27060,John Mallinger,53.06,26,49
42,0,12680,Shigeki Maruyama,52.94,9,17
42,0,21878,Mark Wilson,52.94,18,34
44,0,06575,Dudley Hart,52.63,20,38
44,0,02002,John Riegger,52.63,10,19
46,0,20572,Rod Pampling,52.27,23,44
47,0,30750,Tommy Gainey,52.17,12,23
47,0,01928,Corey Pavin,52.17,12,23
49,0,01226,Fred Couples,51.61,16,31
49,0,27649,Brandt Snedeker,51.61,16,31
51,0,06090,Jim McGovern,51.52,17,33
52,0,12705,Cliff Kresge,51.35,19,37
52,0,23623,Bo Van Pelt,51.35,19,37
54,0,21961,Charles Howell III,51.28,20,39
55,0,23778,Brad Adamonis,51.16,22,43
56,0,23540,Jason Allred,50.00,14,28
56,0,20098,Stuart Appleby,50.00,8,16
56,0,25364,Paul Casey,50.00,6,12
56,0,25720,Chad Collins,50.00,16,32
56,0,23541,Ben Crane,50.00,13,26
56,0,22621,Ben Curtis,50.00,17,34
56,0,06034,Marco Dawson,50.00,11,22
56,0,23409,James Driscoll,50.00,18,36
56,0,20574,Mathew Goggin,50.00,19,38
56,0,01553,John Huston,50.00,10,20
56,0,06573,Brandt Jobe,50.00,9,18
56,0,07547,Craig Kanada,50.00,11,22
56,0,27936,Martin Laird,50.00,17,34
56,0,20382,Stephen Leaney,50.00,9,18
56,0,10860,Justin Leonard,50.00,18,36
56,0,28158,Steve Marino,50.00,23,46
56,0,24449,Parker McLachlin,50.00,22,44
56,0,25396,Kevin Na,50.00,18,36
56,0,24140,Sean O'Hair,50.00,22,44
56,0,22348,Nick O'Hern,50.00,13,26
56,0,24361,Pat Perez,50.00,15,30
56,0,24138,Ian Poulter,50.00,10,20
56,0,12309,Bob Sowards,50.00,16,32
