RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. (INCHES),TOTAL ROUNDS,AVG DIST.,BEST ROUND
1,0,23541,Ben Crane,82' 6",74276,75,464,3903002079
2,0,01928,Corey Pavin,81' 11",55038,56,462,3801001681
3,0,25190,Jeff Quinney,81' 8",71520,73,460,0401001851
4,0,23320,Ryan Palmer,80' 8",58051,60,453,2304001703
5,0,23621,Rory Sabbatini,80' 0",60493,63,450,0404002160
6,0,26668,Marc Turnesa,79' 10",72772,76,449,4601001846
7,0,07867,Woody Austin,79' 6",83960,88,445,1001001553
8,0,23157,Richard Johnson,79' 5",64835,68,448,2101001686
8,0,02223,Bob Tway,79' 5",54334,57,445,4801001618
10,0,07547,Craig Kanada,79' 4",52349,55,442,4802001539
11,0,12660,Jesper Parnevik,79' 3",71347,75,449,4801002101
12,0,24361,Pat Perez,79' 1",74994,79,446,4502002319
13,0,10585,Scott McCarron,79' 0",51166,54,444,3903001763
14,0,24357,K.J. Choi,78' 11",53987,57,442,2402001938
15,0,20378,Mathias Grönberg,78' 10",74756,79,443,1504001632
15,0,20433,Mark Hensby,78' 10",60572,64,445,4604001912
17,0,12510,Chad Campbell,78' 6",80109,85,441,1603002095
18,0,23718,Nathan Green,78' 5",85609,91,442,1103001631
18,0,24781,Hunter Mahan,78' 5",67729,72,439,1102001874
18,0,21878,Mark Wilson,78' 5",97870,104,441,3702002063
21,0,06575,Dudley Hart,78' 4",62998,67,440,4004002034
21,0,26420,Richard Johnson,78' 4",46073,49,440,2702001690
21,0,01948,Tim Petrovic,78' 4",76153,81,443,3902001910
24,0,20850,Daniel Chopra,78' 3",64811,69,441,0101001679
25,0,20229,Stewart Cink,78' 2",60044,64,439,2702001938
26,0,01707,Steve Lowery,77' 10",62599,67,439,3504002027
26,0,28158,Steve Marino,77' 10",97186,104,438,2301001746
28,0,01313,Steve Elkington,77' 7",67993,73,436,4504001863
28,0,25562,Andres Romero,77' 7",45603,49,441,1502001648
30,0,21461,Kenneth Ferrie,77' 6",55806,60,433,2801001968
31,0,10860,Justin Leonard,77' 5",67833,73,435,1001001857
32,0,27770,Camilo Villegas,77' 4",58457,63,435,4304001778
33,0,25720,Chad Collins,77' 0",58234,63,433,0201001841
34,0,23048,Eric Axley,76' 11",90474,98,433,1002001612
34,0,27561,Nick Flanagan,76' 11",73806,80,432,1601001743
36,0,21350,Ryuji Imada,76' 8",62589,68,433,0404001819
36,0,20663,Brenden Pappas,76' 8",51541,56,430,2703001536
36,0,12602,Dean Wilson,76' 8",85525,93,430,3301001712
39,0,08537,J.P. Hayes,76' 7",57866,63,429,1001001514
39,0,06012,Greg Kraft,76' 7",45944,50,430,4503001515
39,0,28475,Jeff Overton,76' 7",83623,91,430,0503001853
42,0,22806,Doug LaBelle II,76' 6",46834,51,427,0201001865
43,0,21633,Steve Allan,76' 5",44000,48,428,0502001729
43,0,23409,James Driscoll,76' 5",69718,76,428,1801002112
43,0,26951,Johnson Wagner,76' 5",62376,68,431,3001001596
46,0,22371,Aaron Baddeley,76' 1",54756,60,428,0404001561
46,0,24449,Parker McLachlin,76' 1",72157,79,429,2202001723
46,0,25345,Carl Pettersson,76' 1",88586,97,429,2401001972
49,0,21949,Joe Ogilvie,76' 0",79359,87,427,4103001407
50,0,21731,Freddie Jacobson,75' 11",58326,64,428,0504001588
50,0,06527,Steve Stricker,75' 11",52833,58,429,2902001989
52,0,24925,Jonathan Byrd,75' 10",70083,77,429,4602002220
52,0,30750,Tommy Gainey,75' 10",41850,46,424,3002001518
52,0,22892,Jason Gore,75' 10",77338,85,426,2702001545
55,0,27060,John Mallinger,75' 8",76286,84,429,4002001683
56,0,20104,Ken Duke,75' 7",95202,105,425,1204001757
56,0,12782,Tim Herron,75' 7",78869,87,427,4604001882
56,0,29718,Anthony Kim,75' 7",58928,65,426,4001001626
56,0,22548,Patrick Sheehan,75' 7",95183,105,424,4601001900
60,0,19803,Ryan Armour,75' 5",68747,76,424,3004001465
61,0,23135,Tim Clark,75' 2",65862,73,423,3003001476
61,0,07457,Steve Flesch,75' 2",73060,81,422,0502001802
63,0,23108,Matt Kuchar,75' 1",63085,70,422,2302001900
64,0,01473,Todd Hamilton,75' 0",66606,74,421,4101001484
64,0,26596,Ryan Moore,75' 0",56676,63,422,4404001536
64,0,25396,Kevin Na,75' 0",81933,91,422,0202001724
67,0,27936,Martin Laird,74' 11",76406,85,419,3703002082
67,0,20382,Stephen Leaney,74' 11",40472,45,421,2201001583
67,0,06595,Kevin Sutherland,74' 11",79117,88,421,2702002004
70,0,01810,Phil Mickelson,74' 10",53002,59,421,4303001609
71,0,19846,Brian Gay,74' 9",77169,86,419,2302001673
71,0,23623,Bo Van Pelt,74' 9",83385,93,418,3801001783
73,0,26300,Matt Jones,74' 8",75222,84,419,4502001850
74,0,24358,Robert Garrigus,74' 6",76871,86,419,2002001900
