RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,20766,Padraig Harrington,34.09,375,11
2,0,22892,Jason Gore,34.13,512,15
3,0,19913,Ron Whittaker,34.20,171,5
4,0,20634,Peter Lonard,34.44,551,16
5,0,25720,Chad Collins,34.45,379,11
6,0,21633,Steve Allan,34.57,242,7
7,0,20663,Brenden Pappas,34.63,277,8
8,0,20572,Rod Pampling,34.75,417,12
9,0,21350,Ryuji Imada,34.80,522,15
10,0,10649,Tom Scherrer,34.86,244,7
11,0,23541,Ben Crane,34.89,628,18
12,0,01707,Steve Lowery,34.91,384,11
13,0,23320,Ryan Palmer,34.92,419,12
14,0,10875,Todd Demsey,34.93,489,14
14,0,26695,Michael Letzig,34.93,489,14
16,0,20645,John Senden,34.94,629,18
17,0,08931,Glen Day,35.00,420,12
17,0,20104,Ken Duke,35.00,840,24
17,0,30750,Tommy Gainey,35.00,210,6
17,0,23157,Richard Johnson,35.00,280,8
17,0,26420,Richard Johnson,35.00,315,9
17,0,23349,Charles Warren,35.00,315,9
23,0,10505,Shane Bertsch,35.05,666,19
23,0,27095,Nick Watney,35.05,736,21
25,0,06004,Stephen Ames,35.06,631,18
26,0,12660,Jesper Parnevik,35.07,526,15
27,0,20472,Alex Cejka,35.08,421,12
27,0,06034,Marco Dawson,35.08,421,12
29,0,06595,Kevin Sutherland,35.09,772,22
29,0,25632,Jimmy Walker,35.09,386,11
31,0,20574,Mathew Goggin,35.11,632,18
32,0,12652,Cameron Beckman,35.13,527,15
32,0,24357,K.J. Choi,35.13,527,15
32,0,21731,Freddie Jacobson,35.13,527,15
32,0,12309,Bob Sowards,35.13,281,8
32,0,06527,Steve Stricker,35.13,527,15
32,0,02223,Bob Tway,35.13,527,15
38,0,25345,Carl Pettersson,35.15,914,26
39,0,06012,Greg Kraft,35.20,352,10
39,0,24490,George McNeill,35.20,704,20
41,0,08075,Jerry Kelly,35.21,493,14
41,0,12705,Cliff Kresge,35.21,493,14
41,0,01928,Corey Pavin,35.21,493,14
41,0,25562,Andres Romero,35.21,493,14
41,0,23788,D.J. Trahan,35.21,669,19
46,0,24227,Justin Bolli,35.23,458,13
47,0,01313,Steve Elkington,35.24,599,17
47,0,27120,Troy Matteson,35.24,599,17
49,0,20098,Stuart Appleby,35.25,705,20
49,0,28089,Jason Day,35.25,423,12
49,0,20157,Retief Goosen,35.25,423,12
52,0,23353,J.J. Henry,35.26,670,19
52,0,21961,Charles Howell III,35.26,670,19
52,0,27936,Martin Laird,35.26,670,19
52,0,10860,Justin Leonard,35.26,811,23
56,0,25842,Jon Mills,35.27,529,15
57,0,06573,Brandt Jobe,35.29,247,7
58,0,12510,Chad Campbell,35.32,671,19
59,0,19803,Ryan Armour,35.33,424,12
59,0,22371,Aaron Baddeley,35.33,530,15
59,0,01388,Robert Gamez,35.33,424,12
59,0,23797,Brett Rumford,35.33,318,9
59,0,25349,Tim Wilkinson,35.33,636,18
64,0,24781,Hunter Mahan,35.35,601,17
65,0,20623,Gavin Coles,35.36,389,11
65,0,06251,Chris DiMarco,35.36,495,14
67,0,01035,Tommy Armour III,35.38,460,13
67,0,22348,Nick O'Hern,35.38,566,16
67,0,21878,Mark Wilson,35.38,849,24
70,0,01553,John Huston,35.40,354,10
70,0,07547,Craig Kanada,35.40,354,10
70,0,24361,Pat Perez,35.40,708,20
70,0,28780,Nicholas Thompson,35.40,708,20
74,0,22293,Heath Slocum,35.41,779,22
75,0,10733,Kent Jones,35.42,425,12
75,0,27933,John Merrick,35.42,673,19
77,0,23409,James Driscoll,35.43,496,14
77,0,08537,J.P. Hayes,35.43,248,7
77,0,26668,Marc Turnesa,35.43,496,14
80,0,27770,Camilo Villegas,35.44,638,18
81,0,21805,Harrison Frazar,35.46,461,13
82,0,25900,Lucas Glover,35.47,674,19
82,0,06567,Vijay Singh,35.47,603,17
82,0,02239,Scott Verplank,35.47,603,17
85,0,23540,Jason Allred,35.50,284,8
85,0,23048,Eric Axley,35.50,710,20
85,0,19846,Brian Gay,35.50,710,20
85,0,12680,Shigeki Maruyama,35.50,284,8
85,0,10585,Scott McCarron,35.50,284,8
85,0,01810,Phil Mickelson,35.50,639,18
91,0,23108,Matt Kuchar,35.53,604,17
92,0,23718,Nathan Green,35.56,640,18
92,0,24924,Bill Haas,35.56,640,18
92,0,01948,Tim Petrovic,35.56,569,16
95,0,21949,Joe Ogilvie,35.58,676,19
96,0,21753,Brian Davis,35.60,712,20
97,0,28158,Steve Marino,35.63,962,27
97,0,25190,Jeff Quinney,35.63,570,16
97,0,27214,Kevin Streelman,35.63,855,24
100,0,25364,Paul Casey,35.64,392,11
100,0,26596,Ryan Moore,35.64,392,11
100,0,12602,Dean Wilson,35.64,784,22
103,0,07457,Steve Flesch,35.65,606,17
104,0,01941,Tom Pernice Jr.,35.68,785,22
104,0,01945,Kenny Perry,35.68,785,22
106,0,08845,Scott Sterling,35.69,571,16
107,0,23778,Brad Adamonis,35.71,500,14
107,0,01320,Bob Estes,35.71,607,17
109,0,01724,Jeff Maggert,35.73,536,15
110,0,23623,Bo Van Pelt,35.74,679,19
