RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,06527,Steve Stricker,-.400
2,0,21209,Sergio Garcia,-.393
3,0,01313,Steve Elkington,-.353
4,0,27933,John Merrick,-.314
5,0,27060,John Mallinger,-.313
5,0,12602,Dean Wilson,-.313
7,0,06004,Stephen Ames,-.294
8,0,25396,Kevin Na,-.290
9,0,06643,Paul Goydos,-.288
10,0,20472,Alex Cejka,-.279
11,0,25818,Scott Piercy,-.278
12,0,10885,Robert Allenby,-.276
13,0,24924,Bill Haas,-.275
13,0,12716,Charley Hoffman,-.275
15,0,21753,Brian Davis,-.269
16,0,22046,Geoff Ogilvy,-.260
17,0,22913,John Rollins,-.257
18,0,23623,Bo Van Pelt,-.246
19,0,27141,J.B. Holmes,-.244
20,0,21731,Freddie Jacobson,-.242
21,0,24140,Sean O'Hair,-.240
22,0,22348,Nick O'Hern,-.238
23,0,22621,Ben Curtis,-.231
24,0,10117,Bob Heintz,-.230
25,0,29221,Webb Simpson,-.228
26,0,20645,John Senden,-.224
27,0,27466,Spencer Levin,-.217
28,0,12510,Chad Campbell,-.213
28,0,10423,Mike Weir,-.213
30,0,22371,Aaron Baddeley,-.211
30,0,31416,Derek Fathauer,-.211
32,0,20691,Greg Owen,-.206
32,0,20127,Chris Riley,-.206
34,0,23800,Bryce Molder,-.205
35,0,21949,Joe Ogilvie,-.203
35,0,26668,Marc Turnesa,-.203
37,0,06621,Joe Durant,-.200
37,0,01928,Corey Pavin,-.200
39,0,23135,Tim Clark,-.195
40,0,08931,Glen Day,-.194
40,0,23788,D.J. Trahan,-.194
42,0,20098,Stuart Appleby,-.193
43,0,10860,Justin Leonard,-.192
44,0,01035,Tommy Armour III,-.191
44,0,20104,Ken Duke,-.191
46,0,24024,Zach Johnson,-.190
47,0,07867,Woody Austin,-.188
47,0,20850,Daniel Chopra,-.188
49,0,01724,Jeff Maggert,-.186
50,0,24503,Jeff Klauk,-.183
51,0,28089,Jason Day,-.179
52,0,19846,Brian Gay,-.174
53,0,25686,Jason Dufner,-.172
54,0,27936,Martin Laird,-.171
55,0,02239,Scott Verplank,-.170
56,0,20160,Charlie Wi,-.167
57,0,22961,David Mathis,-.162
58,0,20229,Stewart Cink,-.161
59,0,08793,Tiger Woods,-.160
60,0,01948,Tim Petrovic,-.157
61,0,10809,Jim Furyk,-.156
62,0,20593,Greg Chalmers,-.154
63,0,12705,Cliff Kresge,-.152
63,0,25240,D.A. Points,-.152
65,0,26596,Ryan Moore,-.151
65,0,01941,Tom Pernice Jr.,-.151
67,0,27120,Troy Matteson,-.149
67,0,28780,Nicholas Thompson,-.149
69,0,06251,Chris DiMarco,-.147
69,0,21961,Charles Howell III,-.147
71,0,21350,Ryuji Imada,-.145
72,0,20498,Briny Baird,-.141
72,0,02206,David Toms,-.141
74,0,28475,Jeff Overton,-.137
74,0,22548,Patrick Sheehan,-.137
76,0,28087,Kris Blanks,-.135
76,0,02214,Kirk Triplett,-.135
78,0,22293,Heath Slocum,-.134
79,0,23983,Luke Donald,-.129
79,0,25562,Andres Romero,-.129
81,0,20766,Padraig Harrington,-.128
82,0,24912,Will MacKenzie,-.125
82,0,10585,Scott McCarron,-.125
82,0,26679,Kevin Stadler,-.125
82,0,31323,Gary Woodland,-.125
86,0,01161,Mark Calcavecchia,-.122
87,0,10733,Kent Jones,-.121
87,0,24490,George McNeill,-.121
87,0,25632,Jimmy Walker,-.121
90,0,23614,Rich Beem,-.118
91,0,23108,Matt Kuchar,-.117
92,0,01132,Mark Brooks,-.111
92,0,26420,Richard Johnson,-.111
94,0,12782,Tim Herron,-.109
94,0,25345,Carl Pettersson,-.109
94,0,06539,Rick Price,-.109
94,0,30927,Brendon Todd,-.109
98,0,24846,Ricky Barnes,-.108
99,0,08075,Jerry Kelly,-.106
99,0,26881,Jarrod Lyle,-.106
101,0,25900,Lucas Glover,-.105
101,0,28158,Steve Marino,-.105
101,0,26476,Chez Reavie,-.105
104,0,01945,Kenny Perry,-.102
105,0,24663,Y.E. Yang,-.098
106,0,26695,Michael Letzig,-.094
106,0,28118,Peter Tomasulo,-.094
108,0,27963,Chris Stroud,-.090
109,0,07749,Brett Quigley,-.089
110,0,28620,Aron Price,-.085
110,0,23325,Vaughn Taylor,-.085
112,0,23621,Rory Sabbatini,-.083
113,0,23349,Charles Warren,-.082
114,0,12652,Cameron Beckman,-.078
114,0,07457,Steve Flesch,-.078
116,0,23048,Eric Axley,-.077
116,0,09011,David Duval,-.077
116,0,01577,Lee Janzen,-.077
116,0,23497,Tag Ridings,-.077
120,0,01320,Bob Estes,-.075
121,0,26497,Casey Wittenberg,-.074
122,0,27770,Camilo Villegas,-.073
123,0,23638,Brendon de Jonge,-.071
124,0,29718,Anthony Kim,-.068
124,0,01797,Rocco Mediate,-.068
126,0,26498,Matt Weibring,-.064
