RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND
1,0,08793,Tiger Woods,14,6,3
2,0,10809,Jim Furyk,11,2,1
2,0,06527,Steve Stricker,11,3,2,1
4,0,24024,Zach Johnson,9,2,1,1
4,0,25396,Kevin Na,9,2
4,0,24140,Sean O'Hair,9,1,1,1
7,0,01945,Kenny Perry,8,2,1
8,0,06522,Ernie Els,7,1
8,0,01810,Phil Mickelson,7,3,1
8,0,20645,John Senden,7,1
8,0,02206,David Toms,7,3
12,0,23983,Luke Donald,6,1
12,0,25686,Jason Dufner,6,1,1
12,0,25900,Lucas Glover,6,1,1,1
12,0,20766,Padraig Harrington,6,2
12,0,08075,Jerry Kelly,6,1,1
12,0,10860,Justin Leonard,6,1
12,0,24781,Hunter Mahan,6,1
12,0,26596,Ryan Moore,6,1
12,0,01948,Tim Petrovic,6,1
12,0,02239,Scott Verplank,6,1
12,0,10423,Mike Weir,6,1,1
23,0,06004,Stephen Ames,5,1
23,0,23135,Tim Clark,5,1
23,0,20157,Retief Goosen,5,1,1,1
23,0,30925,Dustin Johnson,5,1
23,0,23108,Matt Kuchar,5,1
23,0,28158,Steve Marino,5,1
23,0,22046,Geoff Ogilvy,5,2
23,0,24138,Ian Poulter,5,1
23,0,27649,Brandt Snedeker,5,1
23,0,23623,Bo Van Pelt,5,1
33,0,20229,Stewart Cink,4,1,1
33,0,01226,Fred Couples,4,2
33,0,23541,Ben Crane,4,1
33,0,21753,Brian Davis,4,1
33,0,19846,Brian Gay,4,2
33,0,06643,Paul Goydos,4,1,1
33,0,24924,Bill Haas,4,1
33,0,12716,Charley Hoffman,4,1
33,0,27060,John Mallinger,4,1,1
33,0,27933,John Merrick,4,1
33,0,25240,D.A. Points,4,1
33,0,22913,John Rollins,4,1,2
33,0,23621,Rory Sabbatini,4,1,1
33,0,29221,Webb Simpson,4
33,0,22293,Heath Slocum,4,1,1
33,0,21528,Henrik Stenson,4,1,1
33,0,27770,Camilo Villegas,4,1
33,0,27095,Nick Watney,4,1,1
33,0,24663,Y.E. Yang,4,2
52,0,10885,Robert Allenby,3,1
52,0,07867,Woody Austin,3
52,0,20498,Briny Baird,3,1
52,0,20848,Ángel Cabrera,3,1
52,0,01161,Mark Calcavecchia,3
52,0,12510,Chad Campbell,3,2
52,0,25364,Paul Casey,3,1,1
52,0,20472,Alex Cejka,3
52,0,21209,Sergio Garcia,3
52,0,20574,Mathew Goggin,3
52,0,23353,J.J. Henry,3,1
52,0,21961,Charles Howell III,3,2
52,0,21731,Freddie Jacobson,3
52,0,29718,Anthony Kim,3,1,2
52,0,24503,Jeff Klauk,3
52,0,26851,Marc Leishman,3,1
52,0,10585,Scott McCarron,3
52,0,28237,Rory McIlroy,3,1
52,0,24490,George McNeill,3,2
52,0,23800,Bryce Molder,3,1
52,0,28475,Jeff Overton,3
52,0,20572,Rod Pampling,3
52,0,07749,Brett Quigley,3,3
52,0,06567,Vijay Singh,3
52,0,23788,D.J. Trahan,3
52,0,20396,Lee Westwood,3,2
52,0,20160,Charlie Wi,3,1
52,0,21878,Mark Wilson,3,1,1
80,0,24461,Thomas Aiken,2
80,0,22371,Aaron Baddeley,2
80,0,12652,Cameron Beckman,2
80,0,20070,Matt Bettencourt,2
80,0,24507,Jason Bohn,2,1
80,0,24925,Jonathan Byrd,2,1
80,0,20593,Greg Chalmers,2,1
80,0,20850,Daniel Chopra,2
80,0,28089,Jason Day,2,1
80,0,23638,Brendon de Jonge,2
80,0,01320,Bob Estes,2
80,0,27896,Ross Fisher,2
80,0,07457,Steve Flesch,2
80,0,32102,Rickie Fowler,2,1
80,0,22892,Jason Gore,2
80,0,23624,Soren Hansen,2
80,0,27141,J.B. Holmes,2,1
80,0,01577,Lee Janzen,2
80,0,26420,Richard Johnson,2
80,0,26300,Matt Jones,2
80,0,22986,Søren Kjeldsen,2
80,0,27936,Martin Laird,2,1,1
80,0,26695,Michael Letzig,2
80,0,01706,Davis Love III,2,1
80,0,23548,Bill Lunde,2
80,0,24912,Will MacKenzie,2
80,0,01724,Jeff Maggert,2
80,0,25572,Graeme McDowell,2
80,0,26301,James Nitties,2
80,0,22348,Nick O'Hern,2,1
80,0,24361,Pat Perez,2,1
80,0,01941,Tom Pernice Jr.,2
80,0,25818,Scott Piercy,2
80,0,25190,Jeff Quinney,2,1
80,0,25562,Andres Romero,2,1
80,0,22405,Justin Rose,2
80,0,20686,Jeev Milkha Singh,2
80,0,27214,Kevin Streelman,2,1
80,0,27963,Chris Stroud,2
80,0,06595,Kevin Sutherland,2
80,0,23325,Vaughn Taylor,2,1
80,0,26287,Roland Thatcher,2,1
80,0,25632,Jimmy Walker,2
80,0,25804,Bubba Watson,2,1
80,0,27506,Oliver Wilson,2
125,0,23778,Brad Adamonis,1
125,0,06197,Michael Allen,1
125,0,20098,Stuart Appleby,1
125,0,01035,Tommy Armour III,1
125,0,24846,Ricky Barnes,1,1
125,0,27124,Chris Baryla,1
125,0,23614,Rich Beem,1
125,0,28087,Kris Blanks,1
125,0,01116,Michael Bradley,1,1
125,0,01132,Mark Brooks,1
125,0,01142,Bart Bryant,1
125,0,32366,Kevin Chappell,1
125,0,24357,K.J. Choi,1,1
125,0,22621,Ben Curtis,1
125,0,23409,James Driscoll,1,1
125,0,06621,Joe Durant,1
125,0,09011,David Duval,1,1
125,0,21805,Harrison Frazar,1
125,0,24358,Robert Garrigus,1
125,0,23718,Nathan Green,1,1
125,0,20378,Mathias Grönberg,1
125,0,01473,Todd Hamilton,1
125,0,22792,Peter Hanson,1
125,0,08537,J.P. Hayes,1
125,0,10117,Bob Heintz,1
125,0,19958,Miguel Angel Jiménez,1
125,0,10733,Kent Jones,1
125,0,20218,Shingo Katayama,1
125,0,20094,Jonathan Kaye,1
125,0,27408,Martin Kaymer,1
125,0,12705,Cliff Kresge,1
125,0,29926,Danny Lee,1
125,0,01677,Tom Lehman,1
125,0,27466,Spencer Levin,1
125,0,29461,Jamie Lovemark,1,1
125,0,26881,Jarrod Lyle,1
125,0,12680,Shigeki Maruyama,1
125,0,27120,Troy Matteson,1,1
125,0,01766,Billy Mayfair,1
125,0,01797,Rocco Mediate,1
125,0,25198,Francesco Molinari,1
125,0,21949,Joe Ogilvie,1
125,0,06373,José María Olazábal,1
125,0,27683,Leif Olson,1,1
125,0,20691,Greg Owen,1
125,0,23320,Ryan Palmer,1
125,0,25345,Carl Pettersson,1
125,0,28620,Aron Price,1
125,0,10213,Dicky Pride,1
125,0,21959,Ted Purdy,1
125,0,26476,Chez Reavie,1
125,0,23497,Tag Ridings,1
125,0,20127,Chris Riley,1
125,0,24502,Adam Scott,1,1
125,0,26679,Kevin Stadler,1,1
125,0,22295,Darron Stiles,1
125,0,28780,Nicholas Thompson,1
125,0,08385,Omar Uresti,1
125,0,25919,Brian Vranesh,1
125,0,26951,Johnson Wagner,1
125,0,28135,Aaron Watkins,1
125,0,02256,Tom Watson,1,1
125,0,26289,Boo Weekley,1
125,0,26498,Matt Weibring,1
125,0,25349,Tim Wilkinson,1
125,0,26497,Casey Wittenberg,1
125,0,22000,Chris Wood,1,1
