RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,29718,Anthony Kim,41.41,53,128,+3.94
2,0,12716,Charley Hoffman,37.89,72,190,+3.97
3,0,30925,Dustin Johnson,35.81,53,148,+4.15
4,0,27120,Troy Matteson,35.16,64,182,+3.89
5,0,21209,Sergio Garcia,34.78,32,92,+3.94
6,0,27933,John Merrick,34.42,53,154,+4.06
7,0,27683,Leif Olson,34.04,32,94,+3.47
8,0,28118,Peter Tomasulo,33.96,36,106,+3.64
9,0,31323,Gary Woodland,33.72,29,86,+3.76
10,0,26300,Matt Jones,33.67,33,98,+3.85
11,0,26596,Ryan Moore,33.33,54,162,+3.74
11,0,25818,Scott Piercy,33.33,54,162,+3.76
13,0,23638,Brendon de Jonge,33.14,57,172,+3.54
14,0,28158,Steve Marino,32.78,59,180,+3.85
15,0,01226,Fred Couples,32.69,34,104,+3.68
16,0,20848,Ángel Cabrera,32.14,27,84,+3.78
17,0,24846,Ricky Barnes,31.82,35,110,+3.66
18,0,20850,Daniel Chopra,31.46,56,178,+3.84
18,0,21961,Charles Howell III,31.46,56,178,+3.77
20,0,25562,Andres Romero,31.11,28,90,+3.68
21,0,26851,Marc Leishman,31.03,54,174,+3.43
22,0,21805,Harrison Frazar,30.90,55,178,+3.71
23,0,23548,Bill Lunde,30.86,50,162,+3.64
24,0,21949,Joe Ogilvie,30.72,51,166,+3.73
25,0,20645,John Senden,30.61,60,196,+3.83
26,0,26695,Michael Letzig,30.43,56,184,+3.64
27,0,27770,Camilo Villegas,30.33,37,122,+3.70
28,0,20157,Retief Goosen,30.16,38,126,+3.87
29,0,25919,Brian Vranesh,29.79,28,94,+3.11
30,0,23353,J.J. Henry,29.67,54,182,+3.50
31,0,27141,J.B. Holmes,29.55,39,132,+3.49
31,0,27936,Martin Laird,29.55,39,132,+3.77
33,0,24924,Bill Haas,29.31,51,174,+3.47
34,0,07223,Brian Bateman,29.09,32,110,+3.94
35,0,26881,Jarrod Lyle,28.95,33,114,+4.09
36,0,01035,Tommy Armour III,28.45,33,116,+3.85
37,0,23497,Tag Ridings,28.41,25,88,+3.84
38,0,01706,Davis Love III,28.31,47,166,+3.55
39,0,12510,Chad Campbell,28.21,44,156,+3.84
40,0,23349,Charles Warren,28.07,32,114,+3.28
41,0,09011,David Duval,28.00,28,100,+4.07
42,0,27214,Kevin Streelman,27.96,52,186,+3.42
43,0,25804,Bubba Watson,27.78,35,126,+3.69
44,0,12782,Tim Herron,27.59,48,174,+3.52
45,0,23320,Ryan Palmer,27.56,43,156,+3.72
46,0,24781,Hunter Mahan,27.44,45,164,+3.40
47,0,22046,Geoff Ogilvy,27.42,34,124,+3.94
48,0,24358,Robert Garrigus,27.22,43,158,+3.53
49,0,24490,George McNeill,26.92,42,156,+3.45
50,0,28780,Nicholas Thompson,26.60,50,188,+3.14
51,0,21959,Ted Purdy,26.34,49,186,+3.24
52,0,27095,Nick Watney,26.32,40,152,+3.88
53,0,22913,John Rollins,26.14,46,176,+3.57
54,0,23623,Bo Van Pelt,26.11,47,180,+3.60
55,0,26289,Boo Weekley,26.09,36,138,+3.67
56,0,28475,Jeff Overton,25.60,43,168,+3.35
57,0,08845,Scott Sterling,25.58,22,86,+3.45
58,0,23788,D.J. Trahan,25.57,45,176,+3.51
59,0,06567,Vijay Singh,25.44,29,114,+3.21
60,0,20572,Rod Pampling,25.37,34,134,+3.32
61,0,25900,Lucas Glover,25.29,44,174,+3.77
62,0,20098,Stuart Appleby,25.00,34,136,+3.59
62,0,20070,Matt Bettencourt,25.00,47,188,+3.34
62,0,27963,Chris Stroud,25.00,41,164,+3.27
62,0,08793,Tiger Woods,25.00,26,104,+3.81
66,0,22293,Heath Slocum,24.72,44,178,+3.23
67,0,01810,Phil Mickelson,24.55,27,110,+4.00
68,0,07749,Brett Quigley,24.40,41,168,+3.59
69,0,24140,Sean O'Hair,24.22,31,128,+3.32
70,0,24925,Jonathan Byrd,24.12,41,170,+3.44
71,0,28087,Kris Blanks,24.07,26,108,+3.50
72,0,26301,James Nitties,23.75,38,160,+3.76
73,0,25632,Jimmy Walker,23.53,32,136,+3.75
74,0,06595,Kevin Sutherland,23.49,39,166,+3.64
75,0,23048,Eric Axley,23.08,30,130,+3.70
76,0,23541,Ben Crane,23.03,41,178,+3.46
76,0,20691,Greg Owen,23.03,41,178,+3.27
78,0,20229,Stewart Cink,23.02,29,126,+4.21
79,0,01707,Steve Lowery,22.89,38,166,+3.47
80,0,12652,Cameron Beckman,22.84,37,162,+3.46
81,0,01945,Kenny Perry,22.78,36,158,+3.31
82,0,20593,Greg Chalmers,22.73,35,154,+3.54
82,0,24502,Adam Scott,22.73,20,88,+2.90
84,0,28089,Jason Day,22.64,24,106,+3.50
85,0,22371,Aaron Baddeley,22.13,27,122,+3.74
86,0,29221,Webb Simpson,21.81,41,188,+3.59
87,0,25345,Carl Pettersson,21.79,34,156,+3.62
88,0,24912,Will MacKenzie,21.74,30,138,+3.33
89,0,10885,Robert Allenby,21.67,26,120,+2.81
90,0,01948,Tim Petrovic,21.58,41,190,+3.54
91,0,01724,Jeff Maggert,21.52,34,158,+2.91
92,0,10425,Jay Williamson,21.31,26,122,+2.85
92,0,26497,Casey Wittenberg,21.31,26,122,+3.38
94,0,25686,Jason Dufner,20.93,36,172,+3.11
95,0,24663,Y.E. Yang,20.78,32,154,+3.13
96,0,06522,Ernie Els,20.69,24,116,+3.38
97,0,20574,Mathew Goggin,20.59,28,136,+3.50
98,0,21878,Mark Wilson,20.53,39,190,+3.18
99,0,22892,Jason Gore,20.29,28,138,+2.96
100,0,26679,Kevin Stadler,20.18,23,114,+3.22
101,0,23621,Rory Sabbatini,20.14,29,144,+3.83
102,0,20766,Padraig Harrington,20.00,22,110,+3.77
102,0,22405,Justin Rose,20.00,24,120,+3.29
