RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
1,0,22371,Aaron Baddeley,64.96,254,165
2,0,21949,Joe Ogilvie,64.06,320,205
3,0,19846,Brian Gay,63.58,346,220
4,0,20766,Padraig Harrington,63.27,196,124
5,0,23800,Bryce Molder,63.23,223,141
6,0,30711,Colt Knost,62.56,227,142
7,0,24781,Hunter Mahan,62.38,303,189
8,0,06595,Kevin Sutherland,62.13,301,187
9,0,08793,Tiger Woods,62.09,182,113
10,0,20848,Ángel Cabrera,62.03,158,98
11,0,28089,Jason Day,62.01,179,111
12,0,21805,Harrison Frazar,61.72,337,208
12,0,23320,Ryan Palmer,61.72,303,187
14,0,27466,Spencer Levin,61.62,271,167
15,0,27649,Brandt Snedeker,61.48,270,166
16,0,07867,Woody Austin,61.39,360,221
16,0,10423,Mike Weir,61.39,303,186
18,0,01161,Mark Calcavecchia,61.09,275,168
19,0,24449,Parker McLachlin,60.88,317,193
20,0,26596,Ryan Moore,60.81,347,211
21,0,21731,Freddie Jacobson,60.67,300,182
22,0,26300,Matt Jones,60.66,183,111
23,0,23983,Luke Donald,60.63,254,154
24,0,23718,Nathan Green,60.44,412,249
25,0,24490,George McNeill,60.12,321,193
26,0,12705,Cliff Kresge,60.00,300,180
26,0,29221,Webb Simpson,60.00,395,237
28,0,23778,Brad Adamonis,59.91,232,139
29,0,21878,Mark Wilson,59.75,395,236
30,0,25562,Andres Romero,59.61,203,121
31,0,06004,Stephen Ames,59.48,232,138
32,0,28158,Steve Marino,59.36,342,203
33,0,23108,Matt Kuchar,59.35,310,184
34,0,26420,Richard Johnson,59.24,314,186
35,0,25919,Brian Vranesh,59.11,203,120
36,0,23048,Eric Axley,58.91,258,152
37,0,06643,Paul Goydos,58.90,292,172
38,0,21753,Brian Davis,58.82,408,240
39,0,23135,Tim Clark,58.80,250,147
40,0,23548,Bill Lunde,58.75,320,188
41,0,30925,Dustin Johnson,58.67,271,159
42,0,28475,Jeff Overton,58.66,358,210
43,0,01724,Jeff Maggert,58.64,324,190
44,0,01707,Steve Lowery,58.60,343,201
45,0,20229,Stewart Cink,58.58,239,140
46,0,22621,Ben Curtis,58.52,176,103
47,0,24024,Zach Johnson,58.51,323,189
47,0,22961,David Mathis,58.51,335,196
49,0,30927,Brendon Todd,58.43,178,104
50,0,26951,Johnson Wagner,58.31,307,179
51,0,10809,Jim Furyk,58.17,263,153
52,0,20157,Retief Goosen,58.11,222,129
53,0,27683,Leif Olson,58.08,198,115
54,0,26851,Marc Leishman,58.04,367,213
55,0,12652,Cameron Beckman,57.96,314,182
56,0,20127,Chris Riley,57.77,251,145
57,0,20160,Charlie Wi,57.74,336,194
58,0,29718,Anthony Kim,57.69,260,150
59,0,08075,Jerry Kelly,57.51,313,180
59,0,27214,Kevin Streelman,57.51,386,222
61,0,24503,Jeff Klauk,57.42,364,209
62,0,24361,Pat Perez,57.38,244,140
63,0,25818,Scott Piercy,57.36,326,187
64,0,27095,Nick Watney,57.28,302,173
65,0,24138,Ian Poulter,57.22,180,103
66,0,24357,K.J. Choi,57.21,215,123
67,0,25396,Kevin Na,57.14,350,200
68,0,10585,Scott McCarron,57.10,324,185
69,0,01329,Brad Faxon,57.02,228,130
70,0,10117,Bob Heintz,56.95,223,127
71,0,25900,Lucas Glover,56.94,353,201
72,0,28620,Aron Price,56.92,325,185
73,0,24358,Robert Garrigus,56.54,306,173
74,0,20498,Briny Baird,56.42,296,167
75,0,01035,Tommy Armour III,56.40,250,141
76,0,21350,Ryuji Imada,56.39,305,172
77,0,12782,Tim Herron,56.27,327,184
78,0,24507,Jason Bohn,56.23,329,185
79,0,01941,Tom Pernice Jr.,56.19,315,177
80,0,22046,Geoff Ogilvy,56.18,251,141
81,0,21959,Ted Purdy,56.17,381,214
82,0,01948,Tim Petrovic,56.12,376,211
82,0,22295,Darron Stiles,56.12,196,110
84,0,01945,Kenny Perry,56.10,328,184
85,0,20593,Greg Chalmers,56.09,312,175
86,0,23541,Ben Crane,56.08,362,203
87,0,23623,Bo Van Pelt,56.07,387,217
87,0,26498,Matt Weibring,56.07,239,134
89,0,24924,Bill Haas,55.87,358,200
90,0,25190,Jeff Quinney,55.84,308,172
90,0,02206,David Toms,55.84,317,177
92,0,07223,Brian Bateman,55.78,199,111
