RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
1,0,01766,Billy Mayfair,7' 1",7.083,1,-2
2,0,23135,Tim Clark,23' 0",23.000,1,E
3,0,25345,Carl Pettersson,33' 0",33.000,1,-1
4,0,31560,Brian Stuard,34' 6",69.000,2,-3
5,0,12714,Chris Tidland,43' 11",87.750,2,-2
6,0,22378,Trevor Immelman,44' 0",44.000,1,-1
7,0,02206,David Toms,44' 11",44.917,1,E
8,0,24924,Bill Haas,45' 4",90.667,2,-2
9,0,28475,Jeff Overton,48' 0",191.833,4,-1
10,0,25190,Jeff Quinney,54' 2",54.167,1,-1
11,0,33419,Cameron Tringale,55' 0",55.000,1,-1
12,0,06643,Paul Goydos,61' 3",61.250,1,E
13,0,28237,Rory McIlroy,61' 8",61.667,1,-1
14,0,27436,Graham DeLaet,62' 11",125.750,2,+2
15,0,01810,Phil Mickelson,63' 1",315.500,5,-4
16,0,08725,Tom Gillis,63' 3",126.500,2,-1
17,0,01724,Jeff Maggert,64' 4",64.333,1,-1
18,0,01320,Bob Estes,64' 10",129.583,2,-2
19,0,24140,Sean O'Hair,65' 2",130.250,2,-1
20,0,20378,Mathias Grönberg,67' 0",134.000,2,-2
21,0,26392,Chris Wilson,67' 1",268.417,4,-2
22,0,24227,Justin Bolli,67' 2",67.167,1,-1
23,0,22056,Cameron Percy,68' 0",271.917,4,-2
24,0,08075,Jerry Kelly,68' 7",137.083,2,-3
25,0,24024,Zach Johnson,69' 3",138.417,2,-1
25,0,24361,Pat Perez,69' 3",69.250,1,E
25,0,26951,Johnson Wagner,69' 3",69.250,1,-1
28,0,26287,Roland Thatcher,69' 5",208.167,3,-2
29,0,07749,Brett Quigley,71' 10",71.833,1,-1
30,0,01161,Mark Calcavecchia,73' 0",218.917,3,+1
31,0,01577,Lee Janzen,73' 2",292.750,4,-3
31,0,26882,Michael Sim,73' 2",73.167,1,E
33,0,07867,Woody Austin,73' 3",219.833,3,E
34,0,01313,Steve Elkington,73' 4",73.333,1,E
35,0,06012,Greg Kraft,74' 0",74.000,1,-1
36,0,23548,Bill Lunde,74' 5",297.500,4,-2
37,0,27613,David Lutterus,75' 1",150.083,2,-1
38,0,23621,Rory Sabbatini,75' 5",226.250,3,-3
39,0,27095,Nick Watney,75' 10",303.167,4,-3
40,0,21961,Charles Howell III,76' 0",152.000,2,-1
41,0,20127,Chris Riley,76' 10",76.833,1,E
42,0,23623,Bo Van Pelt,77' 1",231.333,3,-2
43,0,23638,Brendon de Jonge,79' 10",399.083,5,-4
44,0,01707,Steve Lowery,80' 0",160.000,2,-1
45,0,10885,Robert Allenby,80' 8",161.250,2,-1
46,0,26695,Michael Letzig,80' 11",161.750,2,E
47,0,12510,Chad Campbell,81' 2",162.333,2,-1
48,0,12652,Cameron Beckman,81' 3",162.417,2,E
49,0,01797,Rocco Mediate,81' 7",81.583,1,-1
50,0,26881,Jarrod Lyle,81' 10",163.667,2,E
51,0,09011,David Duval,82' 2",164.250,2,E
52,0,27770,Camilo Villegas,82' 3",164.500,2,+1
53,0,24925,Jonathan Byrd,82' 5",164.833,2,-1
54,0,21949,Joe Ogilvie,82' 9",331.083,4,+1
55,0,27060,John Mallinger,82' 10",331.333,4,-1
56,0,29910,Blake Adams,82' 11",165.833,2,-1
57,0,24507,Jason Bohn,83' 4",250.000,3,-3
58,0,06522,Ernie Els,83' 5",333.667,4,-4
58,0,08537,J.P. Hayes,83' 5",333.500,4,-3
60,0,25804,Bubba Watson,83' 10",335.333,4,-3
61,0,27302,Garth Mulroy,84' 5",337.750,4,-1
62,0,12705,Cliff Kresge,85' 7",171.083,2,-2
63,0,28158,Steve Marino,85' 9",600.500,7,-2
64,0,27466,Spencer Levin,86' 2",172.333,2,-1
65,0,23983,Luke Donald,87' 7",175.083,2,-1
66,0,26301,James Nitties,88' 7",531.333,6,-3
67,0,12782,Tim Herron,89' 1",89.083,1,-1
68,0,20070,Matt Bettencourt,89' 2",445.917,5,+1
69,0,01329,Brad Faxon,89' 3",267.833,3,-1
70,0,25240,D.A. Points,89' 4",268.000,3,-1
71,0,23673,Michael Connell,89' 8",358.667,4,-5
72,0,22371,Aaron Baddeley,90' 2",450.833,5,-2
73,0,24502,Adam Scott,90' 3",361.000,4,E
74,0,27120,Troy Matteson,91' 2",182.333,2,+1
75,0,21753,Brian Davis,91' 4",91.333,1,E
75,0,20645,John Senden,91' 4",182.667,2,+1
77,0,32640,Troy Merritt,91' 7",274.667,3,-1
78,0,21731,Freddie Jacobson,92' 2",184.250,2,-1
79,0,23322,Brett Wetterich,92' 9",371.000,4,E
80,0,32102,Rickie Fowler,92' 10",185.583,2,-2
